Date,Open,High,Low,Close,Volume
2015-09-07,10550,10775,10250,10317.6,755
2015-09-08,10499.9,11200,10202,10975,1962
2015-09-09,11290,11375,10810,11038.4,1659
2015-09-10,10805,11299,10602,10834.8,1696
2015-09-11,11089,11285,10802,10918.5,1320
2015-09-14,11099.9,11099.9,10811,10973.5,436
2015-09-15,11085.8,11249.5,10960,11076,570
2015-09-16,11104,11156.7,10904.6,10957.2,514
2015-09-18,11177,11177,10708.6,10926.8,494
2015-09-21,10826,11135.1,10826,10970.5,367
2015-09-22,10970.2,11020,10751.8,10790.7,834
2015-09-23,10690,10900,10683,10860.3,202
2015-09-24,10865,10980,10812,10879,492
2015-09-28,10879,10959,10820,10940.5,302
2015-09-29,10670,11057.2,10670,10930.9,499
2015-09-30,11190,11190,10895.5,10948,576
2015-10-01,10888,10980,10850,10869.5,248
2015-10-05,11100,11100,10815,10971.3,523
2015-10-06,11038.5,11059.9,10900,11017.8,640
2015-10-07,11004,11830,11000,11713.8,1858
2015-10-08,11650,11863,11514.9,11734.1,1080
2015-10-09,11997,11997,11540.2,11655.2,1137
2015-10-12,11655,11920,11500.1,11506.3,915
2015-10-13,11450,11782,11450,11508,509
2015-10-14,11508.3,11695,11319.6,11423.2,586
2015-10-15,11450,11599,11401,11483,225
2015-10-16,11684,11690,11091.7,11335,748
2015-10-19,11280,11481.6,11280,11348,285
2015-10-20,11535,11535,11225.1,11428.5,289
2015-10-21,11321,11643.9,11321,11555.3,369
2015-10-23,11555,12499,11460,12186.3,3631
2015-10-26,12549.7,12774.3,12200,12320,2050
2015-10-27,12500,12500,12047,12115.4,1514
2015-10-28,11765.8,12206,11700.1,11840.1,1672
2015-10-29,11900,11998.3,11775,11806.8,753
2015-10-30,11879.8,11970,11632.2,11675.1,1674
2015-11-02,12000,12274.4,11800,11883,5130
2015-11-03,11996.5,11996.5,11551,11673.5,1008
2015-11-04,11800,11821,11675,11702.7,394
2015-11-05,11800,11800,11210,11381.2,711
2015-11-06,11380,11390,11100,11322.8,575
2015-11-09,11220,11785.2,10950,11631.5,1094
2015-11-10,11700,11780,11441.3,11559.2,664
2015-11-11,11796,11879.5,11660,11731.7,554
2015-11-13,11731,11731,11439,11450.2,405
2015-11-16,11450,11600,11111.1,11219.4,782
2015-11-17,11257.5,11588,11173,11533,999
2015-11-18,11578,11700,11187,11580.5,895
2015-11-19,11461,11727.1,11440,11567.6,268
2015-11-20,11567,11670,11375,11434.9,598
2015-11-23,11390,11500,11350,11400.2,246
2015-11-24,11369.3,11750,11369.3,11399,890
2015-11-26,11399.8,11600,11399.8,11467.2,1003
2015-11-27,11535,11550,11440,11527,330
2015-11-30,11527,11527,11430,11451.8,432
2015-12-01,11555.1,11569.4,11380,11406,565
2015-12-02,11406,11500,11252,11305.8,511
2015-12-03,11305,11354,11201,11279.8,4470
2015-12-04,11279,11356.8,11115,11174.2,633
2015-12-07,11174.2,11300,11103,11191.2,456
2015-12-08,11191,11275,11000,11008,251
2015-12-09,11015,11034.9,10530,10623,1042
2015-12-10,10993.8,10998.8,10550,10805,620
2015-12-11,10805,10850,10550,10688.5,479
2015-12-16,10700,10890,10600,10645,329
2015-12-17,10858.7,10969,10700,10803.4,9580
2015-12-18,10800,10850,10600,10708,524
2015-12-21,10609,10850,10355.1,10521.7,2045
2015-12-22,10789,10789,10511,10582.2,619
2015-12-23,10749,10749,10527.5,10698,265
2015-12-24,10700,10849,10402,10616.8,819
2015-12-28,10616,10705.5,10410,10595.6,1009
2015-12-29,10595,11500,10595,11215.1,1824
2015-12-30,11215.1,11500,11175,11251,885
2015-12-31,11352,11490,11260,11397.5,437
2016-01-01,11397,11455,11200,11322,400
2016-01-04,11330,11330,10578.5,10935.8,1002
2016-01-05,11053.4,11055,10725,10784.3,541
2016-01-06,10751,10947,10520.2,10644.6,872
2016-01-07,10651,10810,10505,10673.8,381
2016-01-08,10800,10849.9,10550,10589.6,923
2016-01-11,10830,10830,10518,10654,341
2016-01-12,10615,10769.5,10485,10657,458
2016-01-13,10565,10800,10385,10514.3,504
2016-01-14,10450,10600,10390,10403.9,436
2016-01-15,10600,10600,10152.1,10209.8,427
2016-01-18,10325,10650,9793.7,9837.7,1364
2016-01-19,9899.95,10274.5,9815.15,9962.45,652
2016-01-20,9816.05,9956.65,9800,9838.95,561
2016-01-21,9900,10005.3,9800,9827.5,616
2016-01-22,9969.95,10050,9849,9925.5,659
