Date,Open,High,Low,Close,Volume
2023-07-14,47.5,50.5,47,48.85,66000
2023-07-17,48.9,53.5,48,50.1,126000
2023-07-18,49.65,50.85,48.6,49,38000
2023-07-19,48.1,48.95,47,48,52000
2023-07-20,47.8,48.1,46.5,46.6,54000
2023-07-21,46.75,47.75,46.6,46.8,38000
2023-07-24,48,48,45,45.25,64000
2023-07-25,44.9,45,44.1,44.55,72000
2023-07-26,45.3,53.45,45.3,48.55,634000
2023-07-27,49.9,49.9,47.2,48.1,82000
2023-07-28,47.8,47.8,46.6,47.15,48000
2023-07-31,48,50.8,48,48.6,80000
2023-08-01,47.2,48.45,47,47.5,36000
2023-08-02,48.5,48.5,47.1,47.55,78000
2023-08-03,48.25,48.25,47.15,47.5,28000
2023-08-04,47.5,47.5,47.05,47.05,18000
2023-08-07,51.45,51.45,46.8,46.85,60000
2023-08-08,46.85,48.6,46.5,48.6,44000
2023-08-09,48.5,48.85,46.65,46.9,22000
2023-08-10,46.9,52.1,46.65,51.5,236000
2023-08-11,52.75,52.75,49.05,49.6,64000
2023-08-14,50.5,51.9,48.55,49.55,166000
2023-08-16,49.55,50.2,48.6,48.6,18000
2023-08-17,49.25,50.35,49.05,49.05,54000
2023-08-18,49.1,51.25,48.5,49.1,70000
2023-08-21,49.9,50.75,48.85,49,34000
2023-08-22,49.85,50,49.05,49.4,22000
2023-08-23,49.95,51.95,49.3,51.75,110000
2023-08-24,53.35,54.35,53,53.8,214000
2023-08-25,54,55.65,53.5,55.2,146000
2023-08-28,55.2,56.5,53.7,53.9,110000
2023-08-29,53.85,60,53.85,58.75,546000
2023-08-30,58.45,58.5,53.3,54.3,366000
2023-08-31,54.1,55.55,52.35,52.5,200000
2023-09-01,52.5,53.5,51.25,51.6,102000
2023-09-04,52,52.75,50,52.2,84000
2023-09-05,53,53.5,51.9,52.65,82000
2023-09-06,52.65,53.7,51.4,51.7,256000
2023-09-07,51.15,52,50,51.1,58000
2023-09-08,52.1,52.15,50.6,51.35,52000
2023-09-11,50.6,51.1,49.9,50.05,82000
2023-09-12,50.3,50.35,48.1,48.45,50000
2023-09-13,49.95,49.95,47.15,49,36000
2023-09-14,50,50,49,49.05,16000
2023-09-15,49.9,49.9,48.4,49,16000
2023-09-18,48.1,48.5,47.7,48.1,56000
2023-09-20,47.8,48.45,47.8,48.4,24000
2023-09-21,47.8,47.8,46.6,46.8,16000
2023-09-22,46.6,48.5,46.1,48.2,22000
2023-09-25,43.05,48.65,43.05,46.55,10000
2023-09-26,47.45,47.5,45,45.2,48000
2023-09-27,46,47.8,45.25,47.3,34000
2023-09-28,45.7,47.85,45.7,46.1,18000
2023-09-29,46.85,46.85,44.95,45.5,74000
2023-10-03,46.5,46.5,44.65,45.65,30000
2023-10-04,45.7,45.7,44.45,44.7,14000
2023-10-05,44,46,44,46,26000
2023-10-06,46,46.3,45,46.1,42000
2023-10-09,44.2,45,44.1,44.45,24000
2023-10-10,45,45.75,44.2,45.7,28000
2023-10-11,46.85,47,45.1,45.8,10000
2023-10-12,45.1,46.4,44.9,45.4,30000
2023-10-13,46.5,46.5,46,46.05,42000
2023-10-16,46.05,47.6,46.05,46.6,24000
2023-10-17,46.6,46.6,45.7,46.2,34000
2023-10-18,47.5,47.5,45.9,46.75,18000
2023-10-19,46.05,47.3,46.05,46.1,36000
2023-10-20,45.15,46.15,45.15,45.8,52000
2023-10-23,44.8,45.1,44.25,44.85,28000
2023-10-25,44.25,45.2,44,44.45,30000
2023-10-26,43.05,43.95,42.15,43.8,24000
2023-10-27,43.8,45,43.8,44.6,14000
2023-10-30,44.6,45.2,44.5,45.2,16000
2023-10-31,44.3,44.5,44.05,44.35,28000
2023-11-01,44.35,44.95,43.6,44,34000
2023-11-02,43.55,43.9,43.25,43.55,36000
2023-11-03,43.1,44.2,43.1,44.2,20000
2023-11-06,44.2,44.2,43.55,43.65,16000
2023-11-07,44.7,51.95,44.7,50.65,256000
2023-11-08,49.35,50.35,47.05,49.05,202000
2023-11-09,45.5,45.5,42.1,43.35,264000
2023-11-10,42.35,44,42.35,43.45,76000
2023-11-12,42.5,43,42.5,42.95,6000
2023-11-13,42.95,43.5,42.5,43.35,34000
2023-11-15,43.6,44,42.05,43.35,78000
2023-11-16,42.6,43.2,42.5,43.2,26000
2023-11-17,43.95,43.95,41.25,41.75,84000
2023-11-20,41.5,41.6,41.25,41.25,12000
2023-11-21,41.25,41.25,39.45,40.2,90000
2023-11-22,40,40.6,39.2,40.2,42000
2023-11-23,40.2,41.6,39.35,41.35,50000
2023-11-24,40.45,41.3,40.25,41.1,30000
2023-11-28,39.55,42.25,39.55,42.25,40000
2023-11-29,42.25,42.4,40.6,41,38000
2023-11-30,41,42.8,40.35,41,40000
2023-12-01,40.7,44.8,40.7,43.9,72000
2023-12-04,43.5,44.1,43,43,16000
2023-12-05,41.9,42,41.4,41.4,12000
2023-12-06,41.4,41.65,41,41,10000
2023-12-07,41.3,41.3,41.3,41.3,2000
2023-12-08,41.3,42.75,41.3,41.55,18000
2023-12-11,42.95,42.95,42,42.75,28000
2023-12-12,41.8,42.45,41.75,42.45,10000
2023-12-13,42,42,40.65,41.3,38000
2023-12-14,41.95,43.3,40,40.55,42000
2023-12-15,40.55,40.75,39.9,40.1,84000
2023-12-18,42.7,42.7,40.2,41.2,44000
2023-12-19,41.85,42.3,40.6,41.5,26000
2023-12-20,42,42.5,39.9,40.05,42000
2023-12-21,41,41.4,39.6,39.75,44000
2023-12-22,39.75,40.6,39.75,40.05,30000
2023-12-26,40.5,43.85,40.5,43.3,160000
2023-12-27,43.95,44.2,42,43,52000
2023-12-28,43.45,43.45,42.25,43.1,26000
2023-12-29,42.3,42.3,41.4,41.65,32000
2024-01-01,41.5,42.5,41.1,42.05,44000
2024-01-02,41,42,40.8,41,74000
2024-01-03,41.7,41.95,41.05,41.95,24000
2024-01-04,41.4,43.5,41.4,43,50000
2024-01-05,42.35,43,42,42.4,122000
2024-01-08,42.4,42.4,41.5,41.5,40000
2024-01-09,42.5,42.5,41.5,41.6,22000
2024-01-10,41.75,42.3,41.4,42.25,34000
2024-01-11,42.65,42.65,41.9,42.55,36000
2024-01-12,43.1,43.1,42.3,42.4,40000
2024-01-15,43,43,42,42.05,46000
2024-01-16,42.5,42.5,41.6,42.1,24000
2024-01-17,41.55,42.95,41,41.6,82000
2024-01-18,41.85,42.5,39.95,40.4,108000
2024-01-19,41.85,41.85,40.9,40.95,12000
2024-01-20,40.55,41.9,40.5,41.2,30000
2024-01-23,41,41,39,39.85,50000
2024-01-24,40,40.5,39.3,39.8,18000
2024-01-25,40,40.9,39.9,40.5,20000
2024-01-29,41.25,41.5,40.2,40.25,18000
2024-01-30,40.8,40.8,39.1,39.8,24000
2024-01-31,40,42,40,41.85,90000
2024-02-01,41.85,42,40.85,41.65,58000
2024-02-02,42.75,42.75,40.85,41.2,40000
2024-02-05,41.15,41.75,40,40.65,108000
2024-02-06,40.9,42,40.9,41.4,126000
2024-02-07,41,41.5,41,41.5,32000
2024-02-08,41.5,41.5,39.65,39.75,72000
2024-02-09,40,40,36.3,39.2,94000
2024-02-12,40,40,38.1,39.2,28000
2024-02-13,38.1,39.5,38,39,24000
2024-02-14,39,40.5,39,40.25,32000
2024-02-15,39.55,41,39.5,40.5,22000
2024-02-16,41.1,41.1,40.05,40.05,36000
2024-02-19,40.75,40.9,40.25,40.5,12000
2024-02-20,40.35,40.85,40,40.25,32000
2024-02-21,40.8,41,40.25,40.75,32000
2024-02-22,40,40.5,40,40.5,18000
2024-02-23,40.55,40.7,40.05,40.25,30000
2024-02-26,40.8,41,40.2,40.75,38000
2024-02-27,40.9,40.9,40.15,40.15,30000
2024-02-28,39.95,40,39.65,39.65,16000
2024-02-29,40.05,40.5,39.6,39.9,36000
2024-03-01,39.8,40,39.1,39.25,22000
2024-03-02,39.1,39.1,38.85,38.85,6000
2024-03-04,38.9,39.35,38.1,38.35,24000
2024-03-05,38.7,40,37.7,38.5,72000
2024-03-06,37.75,38.8,35.65,37.3,32000
2024-03-07,38,39.75,38,39.55,32000
2024-03-11,39.6,40.6,39.05,39.75,112000
2024-03-12,39.5,39.5,38.05,38.5,36000
2024-03-13,36,37.75,35.55,36.4,44000
2024-03-14,37,37.05,36.7,36.7,16000
2024-03-15,35.6,37,35.6,36.55,32000
2024-03-18,36.55,37,36,36.15,78000
2024-03-19,36.15,36.7,36.15,36.5,28000
2024-03-20,36.45,36.55,36.2,36.2,42000
2024-03-21,36.4,36.4,35.8,35.95,46000
2024-03-22,35.7,36.1,35.65,35.8,44000
2024-03-26,35.5,35.5,33.3,33.95,182000
2024-03-27,32.55,33.5,32.05,32.35,250000
2024-03-28,31.5,33.35,31.1,31.25,110000
2024-04-01,33.35,37.45,33.35,37.2,106000
2024-04-02,37,37,35.3,36.45,38000
2024-04-03,36.45,37.5,35.65,37.4,24000
2024-04-04,38,39.8,38,39.7,34000
2024-04-05,38.4,39,38.3,39,16000
2024-04-08,39.05,39.05,38.7,38.7,10000
2024-04-09,37.2,38.7,37.2,38,14000
2024-04-10,38,39.65,38,39.3,24000
2024-04-12,39,39.65,38.4,38.4,16000
2024-04-15,36.35,36.35,36.35,36.35,2000
2024-04-16,38.3,38.35,37,38.35,16000
2024-04-18,36.45,39,36.45,38.85,14000
2024-04-19,38.8,38.8,36.35,37.25,18000
2024-04-22,39.8,40,37.25,39.05,72000
2024-04-23,40,40,38.8,38.8,18000
2024-04-24,39.75,39.8,38.15,39.6,20000
2024-04-25,39.6,40,38.85,38.85,16000
2024-04-26,38.15,39.75,38.15,39.6,14000
2024-04-29,40.4,41.5,39.5,39.65,134000
2024-04-30,40.5,40.8,36.55,37.35,80000
2024-05-02,36.8,38.45,36.8,38,36000
2024-05-03,37.65,37.65,36,37.45,58000
2024-05-06,38.7,38.7,36.55,37.3,16000
2024-05-07,36.7,36.7,36.55,36.55,8000
2024-05-08,36.3,36.95,36.15,36.95,10000
2024-05-09,36,36.7,36,36.65,14000
2024-05-10,36.65,37.25,36.45,36.55,18000
2024-05-13,36,37.15,36,37.15,14000
2024-05-14,37.6,37.6,37.6,37.6,2000
2024-05-15,37.95,38.1,37.5,37.5,12000
2024-05-16,36.8,37.5,36.7,37.45,22000
2024-05-17,37,38.4,37,38.25,30000
2024-05-18,38,38.6,38,38.3,12000
2024-05-21,38,40,38,38.65,72000
2024-05-22,38.9,39.7,38.6,39.6,82000
2024-05-23,40.35,40.4,39.15,39.15,38000
2024-05-24,40.3,40.3,39.25,39.95,92000
2024-05-27,32,32,32,32,130000
2024-05-28,31.05,31.05,25.75,26.7,592000
2024-05-29,28.2,29.35,27.6,28.65,154000
2024-05-30,28.65,28.75,27.1,27.1,38000
2024-05-31,28,28.8,27.5,28.65,26000
2024-06-03,29.95,29.95,27.3,27.45,62000
2024-06-04,25.85,27,25,25.55,78000
2024-06-05,25.6,26.95,25.15,26.95,46000
2024-06-06,28.4,28.45,27.15,27.15,8000
2024-06-07,27.6,27.6,26.85,27.15,30000
2024-06-10,27,27.85,27,27,8000
2024-06-11,26.9,27.65,26.9,27.6,16000
2024-06-12,27.3,27.9,27,27.35,20000
2024-06-13,27.85,27.95,27.1,27.55,32000
2024-06-14,27.5,28.05,27.1,27.15,32000
2024-06-18,27,27,26.3,26.5,34000
2024-06-19,26.5,26.9,26.3,26.5,24000
2024-06-20,26.5,26.95,26.25,26.65,26000
2024-06-21,26.65,26.9,26.25,26.6,20000
2024-06-24,28.7,28.7,26.7,26.9,48000
2024-06-25,27.5,28.3,26.8,26.8,40000
2024-06-26,27,27.45,26,26.85,52000
2024-06-27,26.5,26.5,25.5,26.15,92000
2024-06-28,26.05,26.45,26.05,26.25,16000
2024-07-01,26.85,27,26.05,26.2,46000
2024-07-02,26.2,26.5,25.7,26.4,36000
2024-07-03,26.7,26.7,26.4,26.55,20000
2024-07-04,26.55,26.7,26.3,26.6,20000
2024-07-05,26.6,27.4,26.6,27,34000
2024-07-08,27,27.2,26.8,26.85,20000
2024-07-09,27.7,27.7,27.1,27.1,22000
2024-07-10,26.85,26.85,26.3,26.7,12000
2024-07-11,26.25,26.65,26.25,26.3,14000
2024-07-12,26.45,26.45,26.3,26.4,8000
2024-07-15,26.5,26.5,26.15,26.2,12000
2024-07-16,25.75,27,25.75,26.7,32000
2024-07-18,27.35,27.35,26.25,26.25,14000
2024-07-19,26.1,26.45,26.1,26.45,4000
2024-07-22,27.4,27.4,26.55,26.55,10000
2024-07-23,26.35,26.75,26.1,26.75,12000
