Date,Open,High,Low,Close,Volume
2021-10-11,715,722.9,695.35,699.45,7876940
2021-10-12,700,700,678.3,682.3,1649958
2021-10-13,681.1,681.95,672,678.2,1050858
2021-10-14,676.05,703,672.8,697.15,1009332
2021-10-18,698.25,701.95,680,683.95,435065
2021-10-19,683,692.95,675,678.9,372408
2021-10-20,681.55,683.15,661.2,662.15,391114
2021-10-21,667.5,671.9,657,658.7,266001
2021-10-22,659,667.4,654.65,658.65,216987
2021-10-25,658.65,662,635.75,651.25,395106
2021-10-26,660,665,637.8,639.2,545362
2021-10-27,640.95,642,620.5,623.35,1043401
2021-10-28,621.1,649.8,616.15,630.05,1491570
2021-10-29,627,651,622.3,649.1,424720
2021-11-01,651,665,646.15,652.35,235406
2021-11-02,652.35,662.1,645.35,648.7,206419
2021-11-03,650,651.65,639,640.6,89927
2021-11-04,642,648.9,638,646.35,59104
2021-11-08,645.65,645.65,631.1,632.4,309066
2021-11-09,632.45,638,630.55,631.15,302366
2021-11-10,630.1,635.65,624.2,626,345759
2021-11-11,627.2,632.4,623.1,624.45,196212
2021-11-12,629.85,629.85,619.05,619.7,352841
2021-11-15,618.5,623.4,617,617.6,338667
2021-11-16,617.5,619.95,608,609.35,394924
2021-11-17,609.35,611.55,598.2,603.8,528097
2021-11-18,602,604.35,583.8,584.9,628805
2021-11-22,585,598.25,578.05,594.7,341218
2021-11-23,594,600,587.2,597.8,168137
2021-11-24,599.9,605.5,596.5,598.55,153716
2021-11-25,589,599.4,589,595.05,75456
2021-11-26,590,599.55,588.8,593.45,654445
2021-11-29,582.05,587.95,570,575.9,193867
2021-11-30,572,595,572,577.15,307291
2021-12-01,582,586.15,573,574.5,169375
2021-12-02,575,579.8,574,577.95,118834
2021-12-03,579.45,584.8,576.3,581.45,123164
2021-12-06,581.45,587.75,576,577.15,140344
2021-12-07,578,583.75,575,577,86643
2021-12-08,578,585.9,578,582.5,119154
2021-12-09,584.95,595,583.7,593.55,198486
2021-12-10,593.55,597,587,589.45,109805
2021-12-13,596,598,583.7,585.6,221403
2021-12-14,585,587.65,579.5,580.65,76250
2021-12-15,582.05,585.15,575,576.4,161586
2021-12-16,577,580.25,568.8,572.2,155670
2021-12-17,579,579,545.1,550.95,525443
2021-12-20,550.95,552,505.1,531.85,796915
2021-12-21,542,544.55,525,528.1,153588
2021-12-22,534.95,534.95,526,527.55,266721
2021-12-23,530,535,518,523.8,475702
2021-12-24,527,528,509.9,511.4,356275
2021-12-27,513.9,513.9,499.25,503.6,465096
2021-12-28,505.5,525,503.1,523.8,459489
2021-12-29,524,538,521,523.05,322957
2021-12-30,523.55,529.55,523.5,525.05,91330
2021-12-31,527.9,534.6,523.9,531.35,179844
2022-01-03,531,536.9,527,529.35,134692
2022-01-04,535.25,538.5,528,535.6,179585
2022-01-05,535.95,548.2,535.95,540.75,228418
2022-01-06,540,562.5,533.05,553.15,220079
2022-01-07,559,559.1,541,542.2,163983
2022-01-10,542.2,549.8,532.2,547.75,313236
2022-01-11,552.95,555.25,537.2,539.65,199215
2022-01-12,541,559.85,541,551.5,406510
2022-01-13,555,576.55,552,571.85,475117
2022-01-14,574.85,587.95,567.6,586.6,354577
2022-01-17,588,590,575,577.35,343790
2022-01-18,577.35,578.7,561,563.6,156291
2022-01-19,563.95,565,546.2,558.65,334062
2022-01-20,562.9,562.9,548.05,549.35,101082
2022-01-21,549,555.85,538.65,540.35,164630
2022-01-24,540,540.35,520,534.6,304432
2022-01-25,527,533.55,521,523.95,400766
2022-01-27,523.95,525.95,518.2,520.05,375582
2022-01-28,525,525,511,512.6,1188295
2022-01-31,519.9,522,516.25,519.4,338165
2022-02-01,521.8,526.5,517.55,519.35,380068
2022-02-02,520,538.2,519,530.85,338089
2022-02-03,536.5,536.5,524,531.5,343383
2022-02-04,531.5,532.5,522,528.3,296466
2022-02-07,529.9,529.9,519.6,524.5,199069
2022-02-08,527.9,527.9,519.5,524.75,326204
2022-02-09,523.5,524.75,516.45,517.7,354893
2022-02-10,518,519.8,512.45,514.75,139291
2022-02-11,514.7,520.3,512,513.9,378158
2022-02-14,510,511.5,503.6,508.55,373826
2022-02-15,513.4,515.5,504.85,508.1,422047
2022-02-16,514.9,519.55,509,510.5,255778
2022-02-17,511.05,514.95,508,509.15,324525
2022-02-18,508.9,511.8,506.5,510.15,257674
2022-02-21,506.5,523.25,502.5,510.15,156452
2022-02-22,502.1,509.85,500.9,506.2,350901
2022-02-23,506.6,512.65,506.5,511.25,194814
2022-02-24,500.05,505.95,496,497.7,652308
2022-02-25,500,510,499.05,508.5,242929
2022-02-28,503,509.05,496.5,506.45,185694
2022-03-02,501.25,510.65,499.05,500.9,332073
2022-03-03,504,506.6,500.55,503.1,201100
2022-03-04,500.05,503.95,498.65,499.55,315166
2022-03-07,497,499.1,486.2,493.25,602596
2022-03-08,490.6,496.4,483.15,491.5,592217
2022-03-09,492,495.35,484.8,490.45,1077765
2022-03-10,498.7,500.75,488.25,498.7,447753
2022-03-11,498.7,503.7,495.5,496.25,215232
2022-03-14,496,498.85,491.15,497.25,134463
2022-03-15,498.95,498.95,490.2,491.8,212373
2022-03-16,493.55,499.55,493,498.1,136635
2022-03-17,503,503,494.9,498,457217
2022-03-21,501.5,506.5,496.45,502.45,359118
2022-03-22,499.95,504.65,497.45,501.9,129554
