Date,Open,High,Low,Close,Volume
2015-09-07,340.9,345.5,321.3,322.65,2580631
2015-09-08,323.65,327.35,311.7,317.55,4788058
2015-09-09,323.5,327.6,320.15,324.05,2070584
2015-09-10,319.1,328,314.8,326.2,2432225
2015-09-11,329,334,320.5,322.95,2528750
2015-09-14,324.4,331.2,323,329.95,2471856
2015-09-15,330.4,334.9,326.9,332.8,2164523
2015-09-16,337.65,337.65,331.1,334.2,1854497
2015-09-18,340,351.2,335,339.7,11182333
2015-09-21,335.8,337.3,331.5,332.9,2001172
2015-09-22,335.5,335.55,317.1,319.1,2640588
2015-09-23,312.75,316.6,309.25,310.85,3910066
2015-09-24,313,313.3,300.35,301.85,10386968
2015-09-28,304.6,312,302.75,307.2,3282892
2015-09-29,304,304.95,293,297.4,5666979
2015-09-30,302.95,303.5,294,299,5296746
2015-10-01,302.95,307.1,298.5,305.05,4450444
2015-10-05,310,319.65,309.05,317.85,5465126
2015-10-06,319.85,320.95,313,315.8,3585046
2015-10-07,315.8,319.5,312.1,314.55,1851446
2015-10-08,314.1,322.4,312.15,320.75,3186244
2015-10-09,323,324.7,315.95,318.55,1322859
2015-10-12,322,324.25,318,320.75,1229567
2015-10-13,320,325.3,319.1,323.55,1271687
2015-10-14,323,328.4,321.3,324.5,1676790
2015-10-15,325.2,331,325,329,1970502
2015-10-16,330.45,330.9,320.05,323.7,1561900
2015-10-19,323.3,324.7,315.6,317.7,1396880
2015-10-20,319.3,319.3,308.7,309.85,5636626
2015-10-21,309,314.8,309,314.2,2184160
2015-10-23,317.3,318,313.05,314.15,1598163
2015-10-26,315.3,317,311.6,316.35,1674155
2015-10-27,315.8,316.65,310.35,311.3,2983187
2015-10-28,309,310.75,298.25,300.65,6552757
2015-10-29,300.85,303.35,298.15,300.1,4435704
2015-10-30,301.8,302.75,294.35,296.25,3247944
2015-11-02,293.1,302.7,290.1,295.55,7004865
2015-11-03,298.35,301.5,290.3,291.2,3207025
2015-11-04,293.45,295.2,287.55,289.45,2575040
2015-11-05,289.2,292.95,283,284.1,2305175
2015-11-06,284.5,287.9,281.3,285.05,2510273
2015-11-09,277.95,283.5,274.4,276.05,5642736
2015-11-10,276,276.6,262.45,265.6,5013279
2015-11-11,266.95,268.95,266.4,267.5,255406
2015-11-13,266.5,268.95,261.6,267.35,4675141
2015-11-16,267,273.25,266.6,272.1,2383616
2015-11-17,275.8,276.4,269.55,270.75,2545418
2015-11-18,270.4,272.4,265.7,267.3,2005924
2015-11-19,268.15,271.5,265.35,270.75,2036037
2015-11-20,268.1,273.5,268.1,269.7,3352666
2015-11-23,274.4,278.9,273.4,276.5,3246402
2015-11-24,276.5,277,269.5,270.25,2730094
2015-11-26,271.5,272.5,267.05,268,5489324
2015-11-27,269,271.7,267.55,268.25,3022945
2015-11-30,268.5,269.2,264.25,267.7,4828780
2015-12-01,269,269.35,261.1,263.25,5104457
2015-12-02,263.7,265.8,260.05,261.4,3928835
2015-12-03,259.95,262.95,256.85,258.85,5427457
2015-12-04,255,257.9,254.55,255.55,3911817
2015-12-07,257.85,258.9,254.5,255.1,2699537
2015-12-08,255,255,250.05,251.05,2741462
2015-12-09,249,251.3,243.65,244,4226145
2015-12-10,245.1,249.45,242.15,246.9,4531790
2015-12-11,247.95,250.4,238.75,241.15,3975604
2015-12-16,253.7,254.5,249,251.65,2954754
2015-12-17,253,257.65,252,256.3,2430145
2015-12-18,256,261.25,253.55,260.2,3384209
2015-12-21,261.55,262.6,257.95,260.6,1249639
2015-12-22,261.3,261.3,256.35,257.6,1992099
2015-12-23,259,260.25,255.85,257.3,1924064
2015-12-24,257.2,261.3,254.45,258.1,1660435
2015-12-28,259,263,257.1,262,2392484
2015-12-29,263.3,266.4,261.7,263.55,1721015
2015-12-30,264.4,265,261.05,261.75,1410867
2015-12-31,262.5,262.95,259.2,260.9,2727837
2016-01-01,261,268.3,260.1,267.55,1347893
2016-01-04,264.45,266.5,257,257.95,2536252
2016-01-05,259.2,260.3,254.25,255.7,2815055
2016-01-06,253,257.3,250.55,251.8,2029467
2016-01-07,245.65,247.5,241.5,245,4244402
2016-01-08,245.3,247.25,239.35,241.4,4219352
2016-01-11,237,238.7,232.5,234.05,2995719
2016-01-12,234.2,240.5,234.1,236.6,3544439
2016-01-13,238.75,239.8,222.8,230.2,4137056
2016-01-14,227,232.95,224.7,227.8,2802513
2016-01-15,228.5,229.45,216.5,218.25,3286291
2016-01-18,211.1,225.9,209.8,219.3,4116330
2016-01-19,222.8,233.9,218.7,232.85,3713322
2016-01-20,229.05,229.35,216.05,219.4,4087126
2016-01-21,224,224,215.1,221.3,7664473
2016-01-22,223,225,216.45,221.75,5622627
2016-01-25,223,225.8,217.75,218.4,1804218
2016-01-27,219.95,220.05,214.5,215.35,2189628
2016-01-28,216,219.95,207.15,210.85,12022147
2016-01-29,211.35,216.75,208.6,212.25,4589849
2016-02-01,213.25,221.8,212.75,221.1,3982611
2016-02-02,221.95,223.95,211.7,213.25,2971041
2016-02-03,212,214.5,208,210.2,3026403
2016-02-04,212.55,218,211.65,215.7,2023624
2016-02-05,215.7,218,209.1,211.1,3022383
2016-02-08,211.45,216.9,210,212.05,2723554
2016-02-09,210,212.75,208.55,210.4,1954496
2016-02-10,209.85,209.9,198.4,202.85,3393463
2016-02-11,203,204.8,182.5,186.85,3670827
2016-02-12,187.95,190.7,169.15,178.05,12168356
2016-02-15,184.45,194,184,191.15,9208050
2016-02-16,195.5,204.35,193.75,200.35,9113057
2016-02-17,201.05,214.3,196.3,212.5,6728882
2016-02-18,214.5,215.8,205.75,210.4,4659211
2016-02-19,208.9,210.8,205.75,209.4,2019974
2016-02-22,209.05,211.7,204.25,205.9,2342159
2016-02-23,205.95,208.65,203,204.2,2174859
2016-02-24,202.85,203.75,198.85,200.15,3502611
2016-02-25,201.3,201.9,195.45,198.45,4868927
2016-02-26,201.9,204.45,196.65,200.1,2188367
2016-02-29,201,204,195.8,196.7,3939877
2016-03-01,198,208,196.35,206.9,2152599
2016-03-02,209,222.55,208.85,218.8,4228824
2016-03-03,220.85,229.45,217.65,227.5,3290989
2016-03-04,228.85,228.85,222.2,225.15,4768604
2016-03-08,224,231.7,222.3,228.25,3066086
2016-03-09,228,232.65,221.3,226,4117976
2016-03-10,228.8,228.8,224.2,226.45,1543894
2016-03-11,226.45,232.85,226,231.2,2649095
2016-03-14,233,237.5,229.65,232.4,2722628
2016-03-15,233.1,233.6,227.2,228.25,1913147
2016-03-16,229,229.5,222.75,228.55,2172701
2016-03-17,231.4,239.5,231.05,235.7,5383866
2016-03-18,236.45,243.2,235.75,241.95,4606790
2016-03-21,238.95,245,236.75,243.85,3240298
2016-03-22,242,243.3,236.5,239.55,3153670
2016-03-23,239.75,243.2,237.35,238.3,2083410
2016-03-28,240.4,242.95,232.7,235.65,2756755
2016-03-29,236.45,242.2,233.3,237.85,2043092
2016-03-30,240,248.5,239.55,245.95,2883662
2016-03-31,247.1,250,242.5,247.7,4192902
2016-04-01,248,248,239.5,242.9,1772898
2016-04-04,249.45,249.45,241.2,242.55,1986415
2016-04-05,242.4,242.45,223.85,226.25,4836504
2016-04-06,227,229.75,221.15,224.35,6273776
2016-04-07,225.5,228,216,216.8,4171133
2016-04-08,216,220,214.7,219.25,1631016
2016-04-11,220.9,229.9,218.75,229.05,2417006
2016-04-12,229,234.8,226.3,233.6,2704639
2016-04-13,235,237.95,232,233.55,2830268
