Date,Open,High,Low,Close,Volume
2024-09-18,125,149.2,125,140.05,510000
2024-09-19,142.05,145,130,133,190000
2024-09-20,138,138,129,135.15,124000
2024-09-23,138.05,145.9,138,142.5,153000
2024-09-24,144,146.95,136.7,138.15,113000
2024-09-25,140,143,135.3,140.65,57000
2024-09-26,144.9,160,142.05,152.55,540000
2024-09-27,153,156,143.15,145.15,135000
2024-09-30,144,147.5,138.2,139.9,141000
2024-10-01,142,146.9,138,143.35,95000
2024-10-03,141,155,134,140.85,241000
2024-10-04,141,147.8,135.1,136.55,144000
2024-10-07,137.9,137.9,123.45,127.7,103000
2024-10-08,129,134,129,133.3,67000
2024-10-09,134.9,137.5,133,134.65,33000
2024-10-10,134.1,135.95,132.25,133.3,21000
2024-10-11,133,135,129.05,132.25,34000
2024-10-14,132,132.5,126,127.85,52000
2024-10-15,128,133,127,132.05,32000
2024-10-16,130,135,130,131.3,15000
2024-10-17,132,132,127.5,128.7,27000
2024-10-18,128,134.5,125.2,133.95,51000
2024-10-21,133,133,128,129.5,14000
2024-10-22,126.15,126.15,118,120.4,55000
2024-10-23,120.4,126,120.4,122.5,37000
2024-10-24,123,130.5,120,128.05,37000
2024-10-25,123.3,127,121,122.7,12000
2024-10-28,121.55,123.45,120.1,121.05,17000
2024-10-29,120.1,123,118.5,121.05,18000
2024-10-30,127,129.15,123.25,127.05,21000
2024-10-31,128,130.5,127.5,127.8,23000
2024-11-01,129,129,127.5,128.05,18000
2024-11-04,127.6,132.95,126,129,49000
2024-11-05,129,135.95,127.2,135.35,50000
2024-11-06,138.45,141,138.45,139.4,76000
2024-11-07,143,144.8,137.15,137.85,69000
2024-11-08,139.95,139.95,128,130.55,101000
2024-11-11,128.1,134.5,128.1,132.85,45000
2024-11-12,135,135.9,129,130.25,50000
2024-11-13,129.1,129.1,120.05,122.8,80000
2024-11-14,125,126.45,122,126.45,19000
2024-11-18,125.95,125.95,118.5,120.5,42000
2024-11-19,123,127.85,123,125.8,29000
2024-11-21,124.4,139.95,124.4,134.6,180000
2024-11-22,134.6,136,131.05,132,18000
2024-11-25,133,133,127.65,128.85,37000
2024-11-26,128,129,127,127.05,30000
2024-11-27,143,149.55,139,143.1,593000
2024-11-28,143.35,149.95,140,147.55,271000
2024-11-29,151,155,147.25,151.45,188000
2024-12-02,153.8,154.7,147,150.55,142000
2024-12-03,149,152.55,145.15,147.55,92000
2024-12-04,145.1,151.9,145.1,148.4,93000
2024-12-05,148.4,150.75,145.95,148.05,92000
2024-12-06,149.95,150,145.6,145.8,107000
2024-12-09,148,148.95,139,142.05,110000
2024-12-10,143,144.45,137.05,143.6,109000
2024-12-11,141.95,158.9,141.95,157.2,479000
2024-12-12,159,163.25,156.65,157.3,115000
2024-12-13,158,165,154.25,162.4,166000
2024-12-16,165,190.05,159.5,179.9,599000
2024-12-17,180.9,191.1,175,176.25,166000
2024-12-18,176.25,179.5,169,170.95,119000
2024-12-19,167,181.9,162.6,178,111000
2024-12-20,180,188.95,177.45,181.05,127000
2024-12-23,181.05,186.95,174.05,183.5,107000
2024-12-24,185.85,186.45,178.05,180.35,44000
2024-12-26,180,202,180,196.6,218000
2024-12-27,200.8,202,191.5,194.45,85000
2024-12-30,201.9,202.2,185,185.1,63000
2024-12-31,185,188.1,175.6,185.85,82000
2025-01-01,188.1,192.4,187,191.85,12000
2025-01-02,194.9,195,171.55,181.45,169000
2025-01-03,181.45,191.7,176.25,189.5,92000
2025-01-06,188,188,175.1,176.35,68000
2025-01-07,179,182.5,175.2,182.5,24000
2025-01-08,176.4,185,176.4,183.6,38000
2025-01-09,184.95,184.95,177.05,178.9,41000
2025-01-10,184.9,185,169,169.95,95000
2025-01-13,169,169,154,155.05,104000
2025-01-14,160,163.15,148.25,162.4,72000
2025-01-15,168.95,170,162.1,164.15,34000
2025-01-16,170,170,162.75,163.9,28000
2025-01-17,164,165,164,165,4000
2025-01-20,164,167,162.25,162.6,18000
2025-01-21,162.05,168.95,155.5,157.05,65000
2025-01-22,157.05,160,155.6,156.5,21000
2025-01-23,156.5,162.95,156.5,157.75,31000
2025-01-24,159,170.95,159,165.65,191000
2025-01-27,159,163,155,159,68000
2025-01-28,159,165,157.2,162.9,45000
2025-01-29,165,165,160.15,162.2,31000
2025-01-30,160.65,167.6,160.65,161.65,29000
2025-01-31,162.05,164.5,160,161.8,33000
2025-02-01,161.8,161.8,156.6,157.35,37000
2025-02-03,159,159,153,158.9,20000
2025-02-04,162,162.95,158,160,29000
2025-02-05,160,162.5,155.15,156.8,33000
2025-02-06,156.55,156.55,150,151.4,31000
2025-02-07,154.5,154.5,147.1,151.85,33000
2025-02-10,151,151,144.25,146.7,49000
2025-02-11,145,145,131.5,138.35,77000
2025-02-12,138.35,141.8,130,141.8,57000
2025-02-13,141.8,144.75,141.8,142.5,9000
2025-02-14,142.5,142.5,135,137,41000
2025-02-17,130.05,137.9,130.05,131.5,49000
2025-02-18,131.1,133,124.5,128.45,69000
2025-02-19,125.25,135,125.25,132.6,47000
2025-02-20,132,133,129.5,130.4,78000
2025-02-21,126.05,130.95,126,127.7,26000
2025-02-24,125.7,127.9,122.2,126.95,29000
2025-02-25,127.55,129.5,126,128.2,25000
2025-02-27,127,127,124,124.25,13000
2025-02-28,123,125,117,122.8,56000
2025-03-03,125.05,125.05,112.7,121.8,71000
2025-03-04,123.45,124.65,121,124.05,24000
2025-03-05,116,129,116,125.9,38000
2025-03-06,128,132.3,128,132.1,40000
2025-03-07,132.1,136,131.7,132.35,11000
2025-03-10,127.05,129.85,126,126.05,91000
2025-03-11,126,129.5,122.05,122.05,25000
2025-03-12,122.05,123,120.3,121.15,64000
2025-03-13,121.5,122,120.3,120.5,42000
2025-03-17,127.95,127.95,113.5,115.05,64000
2025-03-18,118,118.7,113.05,118,96000
2025-03-19,121.9,121.9,117.55,120.1,76000
2025-03-20,123.8,125.4,120.2,123.55,16000
2025-03-21,123.55,123.55,115.4,118.8,129000
2025-03-24,121,135.1,121,132.5,73000
2025-03-25,132.5,132.5,125,126.65,27000
2025-03-26,131.9,132.4,121.9,122.6,38000
2025-03-27,122.6,131.7,122.6,126.25,66000
2025-03-28,137,137,127.6,128,26000
2025-04-01,128,133,127.7,128.3,30000
2025-04-02,129.5,137.5,129.5,135,41000
2025-04-03,134,140.35,134,140.3,20000
2025-04-04,135,137,131,132.4,26000
2025-04-07,121,127,118,119.55,101000
2025-04-08,124.75,128,117,124.4,99000
2025-04-09,123.9,123.9,119,121.95,21000
2025-04-11,125.45,126.5,124,124,10000
2025-04-15,125.1,129.4,125.1,127.45,26000
2025-04-16,127.5,129.55,125.2,128.95,23000
2025-04-17,129,133.9,126.85,133.85,20000
2025-04-21,133.1,136.9,131.05,134.7,24000
2025-04-22,134.7,137,134.5,136,13000
2025-04-23,138.5,160,131.35,149.95,61000
2025-04-24,150.05,165,144,153.15,105000
2025-04-25,150,151,141.9,142.95,53000
2025-04-28,141.95,143.05,141.5,141.75,10000
2025-04-29,141.75,141.75,138.35,138.55,5000
2025-04-30,137,139,131.15,132.85,46000
2025-05-02,132.2,133.8,128.5,130.7,14000
2025-05-05,130.3,131,130,130.7,16000
2025-05-06,130.1,130.1,125.55,126.6,40000
2025-05-07,126.7,145,126.7,142.5,67000
2025-05-08,142.25,145,136.5,138.45,19000
2025-05-09,138,139.55,136,136,5000
2025-05-12,141,148,141,146.3,22000
2025-05-13,141.6,144.9,140.1,141.2,24000
2025-05-14,141.15,141.25,138,138,9000
2025-05-15,140,144.45,140,142.85,21000
2025-05-16,145,145,142.3,142.65,11000
2025-05-19,143.95,150,140.05,142.7,31000
2025-05-20,142.7,145,142,143,8000
2025-05-21,144.85,145.5,141.2,144.75,24000
2025-05-22,144.75,144.75,141.1,143,7000
2025-05-23,144.9,144.9,137.05,138.5,15000
2025-05-26,133.15,135.95,128.6,131,138000
2025-05-27,132,145,130,140.5,140000
2025-05-28,141.9,142.95,140.1,142.85,25000
2025-05-29,140.05,143,137,137.95,45000
2025-05-30,142.8,142.8,135.5,139.45,37000
2025-06-02,136.05,139.85,135,137.15,18000
2025-06-03,139.95,139.95,136.5,137.2,96000
2025-06-04,137.5,137.5,131.1,131.55,123000
2025-06-05,134.7,134.7,131,132.1,25000
2025-06-06,133.9,135,131.55,134,24000
2025-06-09,134.95,134.95,134,134.5,7000
2025-06-10,134.5,137.9,133.7,135.25,19000
2025-06-11,138,140,133.5,135.1,36000
2025-06-12,135.1,138,133.55,135.3,39000
2025-06-13,134.95,134.95,133,133,2000
2025-06-16,135,135,129,130.1,41000
2025-06-17,131.5,133.45,129.25,129.5,23000
2025-06-18,130.3,130.3,129,129,9000
2025-06-19,131.3,133.5,130,130,27000
2025-06-20,128,132,125,127.9,68000
2025-06-23,126,127,125,125.15,23000
2025-06-24,125.6,133.5,125.6,131.1,48000
2025-06-25,130,142,130,134.25,118000
2025-06-26,135,139.25,132.2,132.4,45000
2025-06-27,131.5,135.95,129,129.5,57000
2025-06-30,129.5,129.9,125,125.65,115000
2025-07-01,128,131.6,124.9,130.2,119000
2025-07-02,130,134,128.95,129,46000
2025-07-03,128.95,130.7,127.05,127.05,12000
2025-07-04,131,131,126.4,126.95,16000
2025-07-07,127,129.4,125,128,25000
2025-07-08,129,129,126.65,127.7,15000
2025-07-09,128,129.25,124,125.45,33000
2025-07-10,125.35,126.85,124,124.35,48000
2025-07-11,124,127,124,125.95,24000
2025-07-14,127.3,128,124.1,125.95,40000
2025-07-15,125,127.8,123.1,124.35,66000
2025-07-16,122.55,129,122,123,100000
2025-07-17,124.8,127.2,124,126.75,28000
2025-07-18,125.4,127.95,117.2,119.95,133000
2025-07-21,120,122,119.95,122,9000
2025-07-22,123.9,123.9,120.9,123,9000
2025-07-23,123.1,123.95,119.8,119.95,43000
2025-07-24,120,122.3,119.55,120.8,18000
2025-07-25,120.8,122.95,119.2,122.25,16000
2025-07-28,120.75,121,120.05,121,6000
2025-07-29,122.45,122.5,119.7,119.85,20000
2025-07-30,119.4,121,118,119.95,21000
2025-07-31,120,120,117.55,118.25,11000
2025-08-01,118.95,119.95,113.75,114.25,79000
2025-08-04,114.25,114.25,106,110,59000
2025-08-05,111.7,111.7,108,108,13000
2025-08-06,111.95,114.85,109,111.25,37000
2025-08-07,111.25,111.25,107.4,107.75,26000
2025-08-08,106.25,110,106.25,108.8,11000
2025-08-11,109.4,109.4,102.7,104.3,44000
2025-08-12,103.65,104.65,103.65,104.2,9000
2025-08-13,104,109,104,108.15,23000
2025-08-14,108.15,110,106,107.15,17000
2025-08-18,109,110,108.4,109.25,25000
2025-08-19,109.25,117,109.25,114.65,22000
2025-08-20,116.9,117.8,113.95,115.9,23000
2025-08-21,116,117,114.9,116.3,8000
2025-08-22,117.45,118.7,114,115.05,21000
2025-08-25,113.15,114.95,113.15,114.95,4000
2025-08-26,112.15,113.9,112.15,112.2,5000
2025-08-28,111.2,111.2,107.05,108.5,4000
2025-08-29,113,113,109.65,111.15,8000
2025-09-01,112,116.9,112,115,20000
2025-09-02,114,116.55,112.1,115.4,9000
2025-09-03,116,124,114.6,121.45,48000
2025-09-04,121.5,122,120.1,121.05,18000
