Date,Open,High,Low,Close,Volume
2023-05-09,52,56,51.75,54.1,40000
2023-05-10,54,54,54,54,2000
2023-05-11,53.2,53.25,50.1,50.1,26000
2023-05-12,50.1,53,50.1,52.55,24000
2023-05-15,51.5,51.5,50.1,50.15,8000
2023-05-16,51.9,51.9,49,49.2,8000
2023-05-17,48,51,47.05,50.9,32000
2023-05-18,49.2,49.2,49.2,49.2,2000
2023-05-19,49.1,49.1,49.1,49.1,2000
2023-05-22,52.5,55,52.5,53.9,26000
2023-05-23,53.9,55,53.9,53.95,12000
2023-05-24,55,55,55,55,2000
2023-05-26,51.7,52.25,51.7,52.25,6000
2023-05-29,54.9,54.9,54,54,16000
2023-05-30,54,54,53.1,53.1,4000
2023-05-31,51.1,51.4,50.9,51.4,12000
2023-06-02,51,51,51,51,2000
2023-06-05,48.75,48.75,48.75,48.75,2000
2023-06-08,48.8,48.8,48.05,48.05,4000
2023-06-09,50,50,50,50,2000
2023-06-13,50,50,50,50,2000
2023-06-14,49,49,48.5,48.5,4000
2023-06-16,45.55,46,45,45.3,28000
2023-06-19,48.5,48.5,42.5,44.3,10000
2023-06-20,44.3,44.3,44.3,44.3,2000
2023-06-21,42.1,42.1,42,42.1,10000
2023-06-23,37.55,37.55,37.55,37.55,2000
2023-06-26,37.6,40.05,37.6,40.05,20000
2023-06-27,42,42,40,40,12000
2023-06-28,32.5,40,32.5,40,16000
2023-06-30,43,48,41,43.5,14000
2023-07-03,45,48,44,44,8000
2023-07-04,44.1,44.1,44.1,44.1,2000
2023-07-05,44.5,44.5,42.65,43,6000
2023-07-11,34.6,41.5,34.6,41.5,6000
2023-07-13,41.5,41.5,41.5,41.5,2000
2023-07-17,42,42,42,42,2000
2023-07-18,41.75,42,39.5,39.5,14000
2023-07-19,44.95,45,44.95,44.95,4000
2023-07-20,45.9,45.9,45.9,45.9,2000
2023-07-21,45.9,46.5,45.9,46.5,12000
2023-07-24,46.5,53,46.5,53,20000
2023-07-25,57.5,60,53,53,42000
2023-07-26,55,55,54,54,6000
2023-07-27,53,53,53,53,2000
2023-07-28,52.8,52.8,52.8,52.8,2000
2023-07-31,43.2,45.6,43.2,44.35,20000
2023-08-01,53.1,53.2,53,53.1,18000
2023-08-02,55,55,53,53,10000
2023-08-03,52,52,52,52,2000
2023-08-07,52,52,52,52,2000
2023-08-08,50,50,48.5,48.5,4000
2023-08-10,48.55,48.55,48.5,48.5,4000
2023-08-14,50,50,50,50,2000
2023-08-16,46.5,49,46.5,49,6000
2023-08-18,49,49,49,49,4000
2023-08-21,48.9,48.9,48.9,48.9,2000
2023-08-22,50,50.5,50,50.5,4000
2023-08-25,48,56,47,54,12000
2023-08-28,63.7,64.8,59,64.8,238000
2023-08-29,71.5,77.75,71.5,77.75,216000
2023-08-30,80.5,84.95,70,70.65,196000
2023-08-31,68.6,74,68.6,73,36000
2023-09-01,71.2,75,71.2,71.4,30000
2023-09-04,71,71.95,69,69.5,34000
2023-09-05,69.1,69.1,66.1,66.3,12000
2023-09-06,66.3,72,66.3,67.6,22000
2023-09-07,70.2,71.9,70.2,71,22000
2023-09-08,72,78,72,73,52000
2023-09-11,72,72,69.2,70.7,18000
2023-09-12,69.9,69.9,67,67,12000
2023-09-13,66.5,66.5,65,66.5,22000
2023-09-14,65,70,65,70,24000
2023-09-15,70,70.9,70,70.85,8000
2023-09-18,68,71.5,68,71,14000
2023-09-20,71,71,71,71,12000
2023-09-25,64.4,67.5,64.4,65.2,14000
2023-09-26,62,62,59.1,59.25,10000
2023-09-27,59.25,59.25,59.25,59.25,2000
2023-09-28,60,60,60,60,6000
2023-10-03,59.95,60,59.95,60,4000
2023-10-04,61,61,61,61,2000
2023-10-06,63,65,63,65,10000
2023-10-09,64.05,64.05,64,64,4000
2023-10-10,61,61,61,61,2000
2023-10-11,60.8,60.8,60.8,60.8,2000
2023-10-12,62,62,62,62,2000
2023-10-13,62.5,62.5,62.5,62.5,4000
2023-10-16,62.5,65,62.5,65,4000
2023-10-17,65,65,65,65,2000
2023-10-18,65.9,65.9,65.9,65.9,2000
2023-10-20,65.9,65.9,65.9,65.9,2000
2023-10-23,64,64,64,64,2000
2023-10-25,64.95,72.8,64.95,67,14000
2023-10-27,67,67,67,67,2000
2023-10-30,71,80.4,68,80.4,110000
2023-10-31,96.45,96.45,96.45,96.45,40000
2023-11-01,106.05,106.05,97.1,105.65,212000
2023-11-02,108.2,112.8,95.1,96.65,92000
2023-11-03,94,106.3,94,106.3,52000
