Date,Open,High,Low,Close,Volume
2022-05-27,49.25,49.25,49.25,49.25,1200
2022-05-30,46.8,51.7,46.8,47.3,6000
2022-05-31,49.65,49.65,49.65,49.65,1200
2022-06-02,49.2,49.2,49.2,49.2,1200
2022-06-03,48,51.65,48,51.65,2400
2022-06-06,49.5,49.5,49.5,49.5,1200
2022-06-09,49,49,49,49,1200
2022-06-10,50.45,50.45,50.45,50.45,1200
2022-06-13,47.95,49.85,47.95,47.95,3600
2022-06-16,49.75,49.75,45.6,48.4,3600
2022-06-17,46,46,46,46,1200
2022-06-27,46,46,46,46,1200
2022-07-04,44,44,44,44,1200
2022-07-11,42.2,42.2,42.2,42.2,1200
2022-07-13,40.75,40.75,40.75,40.75,1200
2022-07-20,39,39,39,39,1200
2022-07-21,39,39,39,39,1200
2022-07-25,39,39,39,39,2400
2022-07-27,39,39,39,39,3600
2022-07-28,37.05,40.5,37.05,40.5,2400
2022-08-01,40.5,40.5,40.5,40.5,1200
2022-08-02,40.5,40.5,40.5,40.5,1200
2022-08-04,42.5,42.5,42.5,42.5,1200
2022-08-05,44.6,44.6,44.4,44.6,4800
2022-08-08,46.8,46.8,46.8,46.8,1200
2022-08-10,49.1,49.1,45.15,45.2,6000
2022-08-16,42.95,45.5,42.95,43,8400
2022-08-18,45,45.15,45,45.1,6000
2022-08-19,46,46,46,46,1200
2022-08-24,43.7,46.8,43.7,46.8,2400
2022-08-25,47.5,47.5,47.5,47.5,2400
2022-08-26,47.2,47.2,47,47,2400
2022-08-29,44.65,44.65,44.65,44.65,1200
2022-08-30,43.5,43.5,43,43,2400
2022-09-02,42,42,42,42,1200
2022-09-08,42.6,44,42.6,43,3600
2022-09-13,45.15,45.15,45.15,45.15,2400
2022-09-14,47.4,47.4,47.4,47.4,3600
2022-09-15,49.75,49.75,49.7,49.7,2400
2022-09-16,52.15,52.15,51.3,52.05,4800
2022-09-19,54.45,54.45,54.45,54.45,1200
2022-09-20,57,57,57,57,1200
2022-10-03,57.9,58,57.9,58,2400
2022-10-04,58,58,56,56,2400
2022-10-06,55,55,55,55,1200
2022-10-21,56,56,56,56,2400
2022-10-25,53.2,53.2,53.2,53.2,2400
2022-10-27,52,52,52,52,1200
2022-11-09,49.4,49.4,49.4,49.4,1200
2022-11-15,47,50.5,46.95,47,4800
