Date,Open,High,Low,Close,Volume
2025-02-17,576,609,566,595.4,6686060
2025-02-18,584.1,617.85,583,607.8,1404994
2025-02-19,605,616,590.5,600.75,611248
2025-02-20,597,628.85,595,600.5,773303
2025-02-21,605,610,598.1,603.1,1089413
2025-02-24,595,609.9,585.45,603.15,767309
2025-02-25,601,607.9,598,601.55,272650
2025-02-27,601.5,617.4,598.25,600.95,530302
2025-02-28,598,602,583.45,595.05,382913
2025-03-03,588.5,597.2,580.5,588.1,335574
2025-03-04,566.05,610,566.05,604.75,402151
2025-03-05,600,609.2,592,596.75,286011
2025-03-06,599.75,619.75,595,599.65,488530
2025-03-07,608,610.65,600.1,602.35,152435
2025-03-10,611,620,602.5,612.15,617619
2025-03-11,600.6,606.45,590.3,592.35,207260
2025-03-12,594,599.2,577.2,585.6,295612
2025-03-13,585.6,599,585.6,590.15,184288
2025-03-17,589,609,580.35,605.2,294349
2025-03-18,610.75,615,597.25,611,229216
2025-03-19,610.75,650,608.15,646.2,2844516
2025-03-20,652.45,658.3,615,623.8,851396
2025-03-21,620.9,637.4,584.8,601.4,791319
2025-03-24,600.7,607.75,582.3,590,652331
2025-03-25,594.45,625.2,586.6,607.3,779915
2025-03-26,611.9,627.85,606.75,609.9,415795
2025-03-27,612.9,615,593.8,596.95,307628
2025-03-28,603.9,606.5,590,593.8,165650
2025-04-01,586.3,615,586.3,612.1,263798
2025-04-02,619.15,631,606.6,627.7,515603
2025-04-03,611,630.5,610.7,627.3,225987
2025-04-04,627,635,601.9,610.1,328531
2025-04-07,549.1,588.35,549.1,581.55,199567
2025-04-08,597,607.8,588.8,604.25,198833
2025-04-09,602.8,605.95,595.2,601.95,91314
2025-04-11,607,638,607,622.65,449431
2025-04-15,625,631.75,620,626.9,201464
2025-04-16,634,687.9,628.95,679,1644688
2025-04-17,674.2,714.9,666.35,700.65,1332052
2025-04-21,701,729,697.3,718.6,792317
2025-04-22,710.25,734.35,710.25,714.65,549293
2025-04-23,716.05,724,682,692.7,476191
2025-04-24,694.75,715,692.75,704.3,247567
2025-04-25,709.7,712.8,633.9,668.6,631697
2025-04-28,668.6,682.05,663.35,669.55,147714
2025-04-29,680.4,687.7,665.25,672.5,156400
2025-04-30,667.25,675.3,625.85,641.15,179557
2025-05-02,653.4,690.25,644.3,651,473366
2025-05-05,657.9,677.4,651.05,664.45,123513
2025-05-06,678.95,678.95,651,665.4,839946
2025-05-07,660,673.7,653.75,667.45,365706
2025-05-08,668,705.45,668,675.45,357133
2025-05-09,624.45,670,624.45,662.65,198419
2025-05-12,699,699,680,693.45,184138
2025-05-13,698.15,735,690,730.9,514436
2025-05-14,739.75,756.2,722.8,740,576194
2025-05-15,739,754.95,732.6,742.3,321692
2025-05-16,743.35,747.8,668.15,671.65,587083
2025-05-19,680,704.75,673,697.8,320402
2025-05-20,703,706.9,671.3,673.55,215410
2025-05-21,682,683.1,667.1,668.3,114640
2025-05-22,670,682.4,663.7,668.45,93921
2025-05-23,672.1,693.85,660.6,682.15,219462
2025-05-26,686,692.05,678,680.75,100941
2025-05-27,684.9,695,678.85,685.9,130146
2025-05-28,667.1,680,656,659.25,653622
2025-05-29,680,680,650,651.25,224264
2025-05-30,658.45,664.2,649.9,652.9,155544
2025-06-02,659.85,660.9,632.85,645.7,260246
2025-06-03,645.75,649.95,634,638.7,126591
2025-06-04,640.95,645.7,626,628.45,364103
2025-06-05,634.95,634.95,614.95,616.4,222503
2025-06-06,625.95,631.05,611.05,622.75,319530
2025-06-09,625.9,627.95,619.45,621.3,159487
2025-06-10,620,624.7,613.95,618.8,219409
2025-06-11,618.7,626,615.55,619.4,104416
2025-06-12,622.4,625,609.4,611,103044
2025-06-13,600,612,597.1,609.05,104170
2025-06-16,603.05,622.5,598.8,605.55,84684
2025-06-17,607.9,619,601.25,608.25,121848
2025-06-18,612.9,612.9,598.5,602.55,84934
2025-06-19,605,607.85,582.3,588.75,114504
2025-06-20,588,605.45,582,602.5,147260
2025-06-23,597,610,592.35,596.05,109849
2025-06-24,608.9,635.95,604.5,631.6,422055
2025-06-25,637,642.5,626,636.45,232532
2025-06-26,635,640.95,626,628.6,94700
2025-06-27,630,635,626.3,628.75,63262
2025-06-30,632.95,633,620.65,631.1,101918
2025-07-01,631.1,638,629.3,632.1,86546
2025-07-02,632,634.3,620.05,627.05,46994
2025-07-03,629,649.6,628,641.75,311343
2025-07-04,650,669.6,641.75,662.7,534218
2025-07-07,669.9,685.3,664.05,679.85,356105
2025-07-08,685.3,687.9,670.7,684,235929
2025-07-09,694,703,676.05,698.9,320143
2025-07-10,698.05,712.9,683.05,692.75,218248
2025-07-11,695.7,697.5,685,688.25,89804
2025-07-14,686,689.85,676,678.4,102583
2025-07-15,678,697.4,678,691.85,125847
2025-07-16,697.6,710,689.1,703.85,221882
2025-07-17,704,716.55,698,708.35,115857
2025-07-18,709,719,688,700.2,193919
2025-07-21,700.2,707,692,694.35,80546
2025-07-22,695,703.7,691,692.55,60151
2025-07-23,692,697.25,684.45,691.95,63748
2025-07-24,692,702.35,678.7,685.7,89505
2025-07-25,681,689.9,670.4,673.2,90580
2025-07-28,673.2,677.85,660.1,662.65,77774
2025-07-29,661.1,675.45,660.25,673.05,58578
2025-07-30,675.9,683,670.3,673.15,49189
2025-07-31,669.85,703.3,660.2,695.75,184674
2025-08-01,701,709.95,665,674,115026
2025-08-04,643.75,650,610,636.15,360986
2025-08-05,640.85,654.65,636.15,643.3,426358
2025-08-06,644,661.35,643.3,652.85,103513
2025-08-07,648.95,683.4,643.15,678.65,237386
2025-08-08,671.05,700.05,666,689.85,298720
2025-08-11,695,721,687.25,714.45,348978
2025-08-12,713.2,724.8,706,719.7,279926
2025-08-13,704,724.55,702.05,722.2,153919
2025-08-14,720.4,730.1,692.1,707.1,168599
2025-08-18,707,714.45,696,698.85,58490
2025-08-19,698.85,702.4,684.55,689.95,71417
2025-08-20,691,698.35,685.7,690.15,71948
2025-08-21,687.5,700.05,681.45,683.7,144301
2025-08-22,687.6,687.6,672.15,679.85,107551
2025-08-25,687.9,698,680.1,694.5,118810
2025-08-26,693.95,697.15,678.3,689.1,56665
2025-08-28,677,691.65,677,684.25,47717
2025-08-29,684.25,728,683,719.3,396087
2025-09-01,724.45,728.5,690,695.1,159607
2025-09-02,704,704,684.05,686.85,52679
2025-09-03,693,694.45,680.1,688.1,62930
2025-09-04,697,698.95,682.3,686.35,30642
