Date,Open,High,Low,Close,Volume
2015-09-07,94.25,98.85,90.2,92.4,83294
2015-09-08,94.5,94.5,90.1,92.65,50210
2015-09-09,95.95,101.85,94,94.85,184408
2015-09-10,91.15,95.3,91.15,94.35,44697
2015-09-11,95.1,98.4,95,95.55,55271
2015-09-14,95.6,95.6,94,94.8,40001
2015-09-15,94.5,97.9,92.25,92.55,54565
2015-09-16,94.4,94.4,91.25,92.6,38523
2015-09-18,95.9,98.5,93,95.6,67366
2015-09-21,96.95,97,94.1,95.9,26700
2015-09-22,96,98.4,94,95.3,45153
2015-09-23,96,102.6,92.6,100.05,112180
2015-09-24,99.3,102.5,98.55,100.95,55119
2015-09-28,102,107.7,101.05,103.5,118886
2015-09-29,101.75,109.15,90,104.15,169109
2015-09-30,105,116.45,105,114.55,453038
2015-10-01,116.4,116.4,106.7,108.2,129439
2015-10-05,109.1,112.75,108,109.45,65796
2015-10-06,110,113.75,107.35,111.8,74476
2015-10-07,111.95,118.8,110.85,117,174794
2015-10-08,116.95,117.7,113.4,114.35,27528
2015-10-09,115.7,117.5,114.55,116.1,34476
2015-10-12,115.25,118.5,114,115.9,45942
2015-10-13,115,119.7,113.9,118.65,57718
2015-10-14,119.8,119.8,116.8,117.3,26736
2015-10-15,118.35,121.8,117.45,120.7,39860
2015-10-16,123,125,119.1,123.3,103055
2015-10-19,124.05,134.3,123.05,131.25,153157
2015-10-20,132.45,132.45,127.35,129.25,31304
2015-10-21,130,130.6,122.1,125.5,30792
2015-10-23,129.55,136.9,126.2,129.7,132251
2015-10-26,131.35,131.35,125.15,126.75,23912
2015-10-27,126.05,127.05,124.1,125.25,14335
2015-10-28,125.25,128.75,120,123.7,37438
2015-10-29,125.85,127.8,122.65,123.3,30583
2015-10-30,124,129.45,120.5,121.2,93851
2015-11-02,121.7,123.5,118,121.2,68522
2015-11-03,123.05,125,120,123.45,124194
2015-11-04,124.35,124.9,120,120.65,31436
2015-11-05,121,121.05,115.85,118.2,20668
2015-11-06,119.8,121.8,118.1,118.9,20700
2015-11-09,118.45,126.05,114.85,123.6,54128
2015-11-10,123,132.5,122.2,128.25,134354
2015-11-11,131,132,128.6,130.6,86751
2015-11-13,129.9,134.9,128,130.5,78385
2015-11-16,133.4,133.4,126.1,128.45,24619
2015-11-17,130.65,132.9,126.3,129.3,39123
2015-11-18,127.3,130.1,123.95,125.1,22038
2015-11-19,128,138.65,127.5,135.45,174708
2015-11-20,137.85,150.4,135,146.95,497230
2015-11-23,148.7,151,143.45,147.8,146258
2015-11-24,147.55,149.5,140.4,141.6,50388
2015-11-26,142.95,169.9,140.3,169.2,1503086
2015-11-27,173.95,177,161.2,162.9,654023
2015-11-30,163.9,173.5,158.5,167.3,730639
2015-12-01,168,171.7,164.85,166.4,211087
2015-12-02,167.75,167.95,161.05,164,77880
2015-12-03,163.6,170,158.25,160.85,195661
2015-12-04,160.35,163,156,156.7,128044
2015-12-07,158.8,161.6,153,155.85,82341
2015-12-08,156.8,160.9,154,155.05,78520
2015-12-09,155,156.55,140.1,143.1,176464
2015-12-10,145,168.7,143.25,165.85,1615234
2015-12-11,166.25,167.05,154.95,158.35,342996
2015-12-16,163.4,166,158.4,159.9,110946
2015-12-17,161.95,164.45,160.2,162.55,63007
2015-12-18,162.75,175,161.95,169.15,848914
2015-12-21,170.55,171.7,165.1,167.55,141818
2015-12-22,169.8,170,165.5,166.35,108162
2015-12-23,167.85,176.5,167.1,170.85,251339
2015-12-24,171.9,176,168.35,171.75,228775
