Date,Open,High,Low,Close,Volume
2015-09-07,122.36,122.36,117.6,118.18,7040
2015-09-08,118.4,120.4,118.08,120.26,5847
2015-09-09,122.2,124,120.96,123.98,3887
2015-09-10,121.82,124.58,121.02,121.64,2055
2015-09-11,122.8,123.96,122.8,122.8,1135
2015-09-14,122,122.82,120.8,121.24,3080
2015-09-15,120.66,120.66,118.4,118.7,2982
2015-09-16,129.4,129.4,118,118.02,4227
2015-09-18,121.9,121.98,118.4,119.36,8570
2015-09-21,122,123.6,116.8,120.04,12495
2015-09-22,123.12,123.6,120.8,121.46,1635
2015-09-23,121.2,128.88,120.04,122.8,2955
2015-09-24,123.98,124,122.02,123.96,1740
2015-09-28,123.96,124,120,122.78,2922
2015-09-29,118.62,123.56,118.6,121.54,18027
2015-09-30,121.22,131.96,121.2,123.5,14775
2015-10-01,124,124,122,122,3525
2015-10-05,123.98,123.98,120.04,122.04,7900
2015-10-06,123.58,123.58,122.04,122.7,6122
2015-10-07,122.8,123.6,122,122.9,3430
2015-10-08,123.92,123.92,122,123.6,1295
2015-10-09,123.6,123.6,122.22,122.22,1575
2015-10-12,123.96,123.98,122.2,122.48,1692
2015-10-13,122.02,126.78,122,123.36,12497
2015-10-14,123.6,124,122,122.22,15345
2015-10-15,123.58,123.58,122.08,122.92,1442
2015-10-16,123.58,123.58,122,123.04,3625
2015-10-19,123.2,125.96,123.2,124.04,47010
2015-10-20,124.04,124.42,122.54,124,8500
2015-10-21,124,126.42,122.4,123.94,17102
2015-10-23,124,126,123.2,125.9,11280
2015-10-26,126,126.02,122,122.68,28147
2015-10-27,123.22,123.98,122.66,123.6,805
2015-10-28,122.4,123.58,119.48,121.96,18902
2015-10-29,122.02,123.6,122,123.2,2660
2015-10-30,124,124.42,122.42,122.42,3312
2015-11-02,123.98,123.98,122.16,123.32,2890
2015-11-03,122,124.4,122,122.8,3415
2015-11-04,123.98,125.88,122.8,124.42,19275
2015-11-05,125.02,125.8,122,123.52,5770
2015-11-06,123.2,123.2,118,118.3,14835
2015-11-09,124,124,114.2,117.22,9255
2015-11-10,117.62,123.6,117.6,119.54,6882
2015-11-11,122.8,123.96,120.12,123.52,6777
2015-11-13,121.4,122.38,118.5,122,4127
2015-11-16,120.8,123.46,119.68,121.16,6665
2015-11-17,123.6,126.4,121.2,123.04,6940
2015-11-18,124.4,124.8,123.02,124,1647
2015-11-19,121.2,125.6,121.2,123.68,6775
2015-11-20,123.78,130,123.78,127.86,19527
2015-11-23,127.98,129.92,125.18,127.62,11632
2015-11-24,126,132,126,130.96,7837
2015-11-26,130.4,132.78,128.4,129.58,8542
2015-11-27,128.4,131.96,128,128.44,3455
2015-11-30,122.4,129.3,122.4,129.28,3195
2015-12-01,128,128,126.46,126.9,2110
2015-12-02,127.3,128.8,122.86,125.86,3750
2015-12-03,125.3,127.96,124.16,125.56,3097
2015-12-04,125.2,128,124.44,125.5,5475
2015-12-07,127.9,127.9,125.04,126.4,3397
2015-12-08,125.02,125.92,120,122.7,24872
2015-12-09,124,125.52,122.4,122.82,8262
2015-12-10,124,126.88,120.88,124.38,8642
2015-12-11,122.62,123.58,122.4,123.44,1855
2015-12-16,130.4,133.54,126.84,127.02,3872
2015-12-17,128.4,148,128.4,141.22,134360
2015-12-18,142.8,157.6,136.54,149.66,131550
2015-12-21,151.48,151.56,146.4,148.38,10222
2015-12-22,149.66,150,143.48,146.24,11602
2015-12-23,149.96,149.96,141.96,147.96,48417
2015-12-24,147.98,153.2,147.62,149.8,14940
2015-12-28,153.02,153.02,149.62,150.82,8170
2015-12-29,149.9,152.14,148.44,151.28,9797
2015-12-30,149.2,151.22,145.56,147.7,4187
2015-12-31,148,149.18,144.84,146.12,2870
2016-01-01,149.8,149.8,145.1,146.7,3790
2016-01-04,148,152,137.22,138.64,19680
2016-01-05,143.12,143.8,136,141.68,9380
2016-01-06,142,145.6,135.96,138.14,15922
2016-01-07,139.6,143.2,134.2,138.58,9432
2016-01-08,137.26,141.16,135.62,139.1,2500
2016-01-11,139.6,141.18,137.62,138.92,3927
2016-01-12,138.8,144.4,138.02,140.18,26675
2016-01-13,140.4,141.74,125.16,140.08,19915
2016-01-14,134,138.8,123.28,136.34,11010
2016-01-15,137.12,142.96,130,132.06,17047
2016-01-18,135.92,138,122,124.24,32457
2016-01-19,124.5,128.8,122,125.12,17837
2016-01-20,124.02,125.96,122,124.76,18502
2016-01-21,124.8,127.44,124.08,124.94,6845
2016-01-22,124.5,135.96,124.02,132.72,15965
2016-01-25,134,137.84,130.84,134.7,10510
2016-01-27,128.82,139.18,128.82,131.48,15430
2016-01-28,128.84,135.16,128.8,130.72,4432
