Date,Open,High,Low,Close,Volume
2015-09-07,36.3687,36.5,35.325,35.5812,236520
2015-09-08,35.6313,37.2375,35.3875,36.1938,542520
2015-09-09,37.0938,37.7125,36.75,37.4,402384
2015-09-10,37.3125,38.5,36.625,38.2375,866416
2015-09-11,38.9875,39.75,38.375,38.675,891576
2015-09-14,39.3312,39.3312,38.1875,38.425,257176
2015-09-15,38.55,38.55,37.275,37.5125,195624
2015-09-16,37.9937,38.0438,36.75,36.9438,212488
2015-09-18,37.6812,37.75,35.625,36.075,651872
2015-09-21,36.25,37.2,36,36.9125,350600
2015-09-22,37.375,37.8375,36.25,36.4688,274056
2015-09-23,36.6,37,35.8438,36.5938,116488
2015-09-24,36.7437,37,35.7625,36.5938,140152
2015-09-28,36.925,37.15,36.675,36.7437,113504
2015-09-29,36.2437,37.825,36.15,37.5688,421352
2015-09-30,37.5,37.8625,37.125,37.4625,126352
2015-10-01,37.5063,37.8188,36.85,37.425,1533512
2015-10-05,37.5,38.4375,37.1375,37.65,485208
2015-10-06,38.225,39,37.6875,38.7687,865504
2015-10-07,39.375,40.5875,39.3687,39.5688,3284880
2015-10-08,39.9625,39.9625,38.5,38.6375,938408
2015-10-09,39.825,41.2563,39.1875,39.7062,2360344
2015-10-12,39.9625,39.9625,38.8875,39.0562,559712
2015-10-13,38.9438,39.5625,38.3875,38.5625,657464
2015-10-14,38.675,39.35,38.375,38.875,488208
2015-10-15,39.0938,40.125,39.0938,39.725,754880
2015-10-16,39.8625,39.8687,39,39.55,339608
2015-10-19,39.9375,40.3,39.575,39.75,457128
2015-10-20,39.975,40.0688,38.8875,39.1375,401352
2015-10-21,39.2687,41.8,39.25,40.5125,17711264
2015-10-23,41.375,41.8062,40.0187,40.5125,2136312
2015-10-26,41.05,41.3125,39.375,39.575,586544
2015-10-27,39.8563,40,39.4375,39.5562,272352
2015-10-28,39.6313,40.7563,39.3125,39.75,654664
2015-10-29,39.6313,40.15,39.525,39.775,335992
2015-10-30,40,40.625,38.5875,39.0125,603008
2015-11-02,39.1437,39.8625,39.0625,39.3,388992
2015-11-03,39.4375,40,39.3,39.7625,417256
2015-11-04,39.7687,41.4688,39.425,40.7062,1637088
2015-11-05,40.9438,40.95,39.525,39.8687,667184
2015-11-06,41.25,41.75,40.0438,41.2437,1861312
2015-11-09,40.5,43.8813,39.95,43.2313,3013880
2015-11-10,43.175,43.6125,42.2125,42.4125,1045624
2015-11-11,42.7062,43.75,42.6812,43.3563,402552
2015-11-13,42.7812,46.5125,42.7812,45.0187,3374320
