Date,Open,High,Low,Close,Volume
2023-01-04,120.9,132,119,126.15,488000
2023-01-05,129.65,133.25,123.3,127.55,209600
2023-01-06,126.1,127.65,121.2,125.35,134400
2023-01-09,125.35,128.95,122.4,124.55,110400
2023-01-10,124.2,124.2,120.1,120.85,100800
2023-01-11,120.25,122,117,120.45,123200
2023-01-12,122.8,122.8,118.1,120.15,75200
2023-01-13,119.2,120.95,117.25,119.45,246400
2023-01-16,119.55,122.65,117.15,118.45,364800
2023-01-17,119.05,122.45,118,118.35,86400
2023-01-18,118.05,119.45,115.2,116.05,88000
2023-01-19,117,117,112.7,115.95,67200
2023-01-20,114.75,115.9,110.25,111.35,84800
2023-01-23,111.35,111.35,107,108.5,150400
2023-01-24,111.5,114,111,111.6,56000
2023-01-25,112,112,107.5,109.25,54400
2023-01-27,107.6,108.25,102.1,104.65,102400
2023-01-30,105.5,106,101.05,105.1,59200
2023-01-31,105,105,102.5,104.2,27200
2023-02-01,108,108,102.1,102.65,60800
2023-02-02,102,103.9,101.5,102.05,22400
2023-02-03,100.5,101,96,99.5,57600
2023-02-06,98.85,106.7,98.85,104.05,35200
2023-02-07,103,103.25,101.6,103,20800
2023-02-08,103.95,105.3,102.2,103.35,24000
2023-02-09,106.9,116,105,113.9,126400
2023-02-10,116,119.4,113.4,117.15,72000
2023-02-13,119,119,112.7,114.25,46400
2023-02-14,113,119.7,112,118.25,131200
2023-02-15,118.5,118.5,110,113.1,72000
2023-02-16,112,112.5,108.25,109.9,22400
2023-02-17,110,113,108.25,108.85,16000
2023-02-20,111.8,111.8,108,109.75,25600
2023-02-21,110,110,106,108,25600
2023-02-22,105.05,106.4,102.05,102.1,25600
2023-02-23,102.6,105,101.1,101.55,24000
2023-02-24,104,104,100,100.75,22400
2023-02-27,101,101,99.5,100.65,28800
2023-02-28,100.5,101,99,101,16000
2023-03-01,99.1,100.85,99.1,100.85,12800
2023-03-02,101,101,99.8,100.3,25600
2023-03-03,101,101,96.1,96.45,75200
2023-03-06,96.75,111.95,96.05,108.2,187200
2023-03-08,108.2,108.2,102,105,94400
2023-03-09,107.35,107.95,105.1,105.4,12800
2023-03-10,103.2,104.8,103,104,12800
2023-03-13,103,104,101.35,102.25,46400
2023-03-14,102.2,102.2,100,100.05,32000
2023-03-15,98.7,98.7,96,96.75,40000
2023-03-16,96,97.85,93,95.95,169600
2023-03-17,94.5,95.5,93,93.05,36800
2023-03-20,91.8,93,91.7,92.2,86400
2023-03-21,94.8,95,89,92.65,94400
2023-03-22,92.05,92.95,91.8,91.8,89600
2023-03-23,93,93.75,92.05,92.3,28800
2023-03-24,90.1,94.8,90.1,94,225600
2023-03-27,92.35,93.95,89,89.7,44800
2023-03-28,89.7,90,83.05,85.05,425600
2023-03-29,84.1,87,83.1,85.85,403200
2023-03-31,91.7,94,86.05,87.15,222400
2023-04-03,92.85,95.9,92,93.25,46400
2023-04-05,93.25,98,93.25,96.15,40000
2023-04-06,97.9,97.9,97.5,97.9,4800
2023-04-10,97.9,97.9,91.6,94,19200
2023-04-11,95,96,94,95.75,24000
2023-04-12,97,97.5,95.1,97.5,36800
2023-04-13,97.8,97.8,93.1,95.4,25600
2023-04-17,97,97,90.4,95.8,49600
2023-04-18,97,97.5,95.5,95.5,12800
2023-04-19,95.5,95.5,95.5,95.5,1600
2023-04-20,97.5,97.5,96,97.35,24000
2023-04-21,95.6,98,95.6,97.5,16000
2023-04-24,98,105,98,103.9,92800
2023-04-25,104,107,104,105.85,44800
2023-04-26,106,106,103,103.55,54400
2023-04-27,103,107,101.65,104.6,32000
2023-04-28,103,105.5,103,105.1,14400
2023-05-02,106,107.35,104,106.65,9600
2023-05-03,107.35,107.35,104.5,104.95,20800
2023-05-04,106.7,107.35,106,106.65,25600
2023-05-05,107.25,109,107,108.6,24000
2023-05-08,111,111,103.5,105,35200
2023-05-09,105,107.45,103.45,103.65,12800
2023-05-10,102.6,106,102.55,106,14400
2023-05-11,106.5,115,106.5,114.4,136000
2023-05-12,111.1,115,110,111,22400
2023-05-15,112.5,115.8,110.1,110.55,22400
2023-05-16,111,113.5,109.8,110.25,38400
2023-05-17,110,113.6,108.1,109.5,94400
2023-05-18,112,113.85,112,112.85,19200
2023-05-19,114,115,111.15,114.5,27200
2023-05-22,115,119.5,110.4,112.55,92800
2023-05-23,115,115.5,109.1,111.9,44800
2023-05-24,111.9,112.5,107,108,43200
2023-05-25,108,113.6,107.05,112.7,604800
2023-05-26,113.5,114.4,110,114.15,38400
2023-05-29,114.15,114.4,107,107,48000
2023-05-30,105.55,107.5,100,105.5,41600
2023-05-31,107,107,101.25,102.55,24000
2023-06-01,102.45,105.05,102,102,14400
2023-06-02,103.6,106.5,102,102.7,28800
2023-06-05,102.75,106,102.75,104.2,20800
2023-06-06,104.2,109.4,104.2,104.9,36800
2023-06-07,107.65,112,105.3,109.9,94400
2023-06-08,112.8,112.8,108.05,110.1,24000
2023-06-09,110.1,110.1,109,109.05,19200
