Date,Open,High,Low,Close,Volume
2024-07-26,85.5,86.45,77.7,78.65,482000
2024-07-29,79,80.85,74.05,75.25,252000
2024-07-30,75.25,76,74,74.25,104000
2024-07-31,77.15,77.15,71.6,72.45,176000
2024-08-01,72.45,73,68.2,69.2,134000
2024-08-02,69,69.9,66,67.2,182000
2024-08-05,67.2,68.95,65,65.95,142000
2024-08-06,66.3,67.7,62.3,62.55,122000
2024-08-07,64.95,64.95,61.5,61.8,90000
2024-08-08,61.85,63.5,60.9,61.55,76000
2024-08-09,63,73.85,62.9,67.1,558000
2024-08-12,67.1,67.95,65.2,65.9,42000
2024-08-13,64,67.3,62,62.6,298000
2024-08-14,65,67.4,63.8,66.85,106000
2024-08-16,65.65,72,65.65,68.75,250000
2024-08-19,69.95,71.9,68,68.95,116000
2024-08-20,69,72.5,69,70.8,120000
2024-08-21,73,73,69.25,70.35,72000
2024-08-22,72.45,82.5,71.25,78.75,650000
2024-08-23,83,84.2,78.5,81.35,454000
2024-08-26,83,84.85,80.1,81.1,154000
2024-08-27,80.55,81.35,78.1,79.25,106000
2024-08-28,78.05,79.6,73,74.95,142000
2024-08-29,75.05,76,72.6,74.5,82000
2024-08-30,77.25,77.25,75,75.4,58000
2024-09-02,76.05,76.05,71.7,74.65,86000
2024-09-03,76.8,78.7,73.7,77.1,118000
2024-09-04,75.75,78.95,74.55,75.85,102000
2024-09-05,77.1,77.1,74.9,75.5,62000
2024-09-06,76.45,76.45,73,74.15,78000
2024-09-09,70.1,73.2,70,71.5,70000
2024-09-10,73,76,73,73.15,44000
2024-09-11,74.5,75.25,72.15,73.1,20000
2024-09-12,73.65,75.3,72.3,72.45,56000
2024-09-13,72.3,72.3,70.3,70.9,38000
2024-09-16,68.3,71.1,68.3,70.4,42000
2024-09-17,70.4,70.4,66,67.2,98000
2024-09-18,67,67.1,64.5,66,114000
2024-09-19,67,67.5,63,63.35,74000
2024-09-20,64,66.9,64,64.7,60000
2024-09-23,66.55,73,66.2,70.8,158000
2024-09-24,70,70,68,68.55,42000
2024-09-25,68.5,68.5,66,66.65,22000
2024-09-26,66,67,63.7,65.5,102000
2024-09-27,65.05,70,65.05,66.65,42000
2024-09-30,65.6,65.6,63.4,64.7,20000
2024-10-01,64.75,65.75,64.15,64.95,12000
2024-10-03,65.9,65.9,63,63.25,52000
2024-10-04,63.2,63.95,61,62.2,84000
2024-10-07,62.2,62.25,58.95,59.5,216000
2024-10-08,61,63,61,62.3,30000
2024-10-09,64.75,64.75,62.3,62.8,36000
2024-10-10,63.5,63.5,60,61.55,96000
2024-10-11,60.05,61.05,59,61.05,100000
2024-10-14,60.55,62.25,59.75,60.8,162000
2024-10-15,61,62.5,60.55,60.55,22000
2024-10-16,61,62.5,59,62,130000
2024-10-17,62,63,60,61.75,80000
2024-10-18,60.15,62.55,60.15,62,28000
2024-10-21,61.3,62.5,61.1,61.7,22000
2024-10-22,63.95,65.1,63,64.35,104000
2024-10-23,63.2,63.2,60.9,60.9,32000
2024-10-24,60.9,62.9,60.9,61.6,16000
2024-10-25,60.5,60.5,58.05,59.6,36000
2024-10-28,59.65,61.65,57,57.25,32000
2024-10-29,57.3,58.9,57,58.9,32000
2024-10-30,58.15,58.95,57.5,57.9,22000
2024-10-31,58.75,61,57.95,60.25,40000
2024-11-01,64,64.85,61.95,62.2,40000
2024-11-04,62,62,61,62,34000
2024-11-05,61.5,62.7,60.15,62.35,34000
2024-11-06,62.2,62.2,61.5,61.95,32000
2024-11-07,61.65,61.65,61,61.65,24000
2024-11-08,61.65,61.65,60.1,60.1,10000
2024-11-11,60.35,62.3,58.5,62.3,36000
2024-11-12,62,62,58.5,59.95,24000
2024-11-13,56.1,62,56.1,60.9,60000
2024-11-14,59.5,61.5,58.5,61.25,38000
2024-11-18,59.05,59.7,59.05,59.7,12000
2024-11-19,59.85,64,59.35,62.25,50000
2024-11-21,60.5,65,60,63,124000
2024-11-22,63.05,64.6,63.05,64.55,82000
2024-11-25,64.55,65,63.6,65,48000
2024-11-26,64.95,65.9,64,64.95,18000
2024-11-27,63.05,66.5,63,65.95,30000
2024-11-28,65.95,66.1,65.95,66,24000
2024-11-29,64.9,67,64.9,66.45,26000
2024-12-02,68,68,65,66.15,50000
2024-12-03,65.7,67.35,65.7,67,12000
2024-12-04,66.55,68.65,65.25,67.55,48000
2024-12-05,66.6,69.9,66.6,68.6,124000
2024-12-06,68.5,71.8,68,71.5,190000
2024-12-09,73.9,75,71,72.75,210000
2024-12-10,73,73.3,70,70.2,60000
2024-12-11,70.3,72.5,70,70.45,54000
2024-12-12,70.05,71,68.9,70.85,32000
2024-12-13,69.05,71.5,69.05,70.1,54000
2024-12-16,69.85,71.45,67.2,69.45,54000
2024-12-17,69.05,69.7,68.7,68.85,18000
2024-12-18,67.5,67.5,67.2,67.2,4000
2024-12-19,65,65,60,61.55,34000
2024-12-20,63.45,66.9,63.45,64.8,62000
2024-12-23,65.5,65.5,65.5,65.5,4000
2024-12-24,65.45,65.45,63.6,63.6,4000
2024-12-26,64.85,65,64,64,14000
2024-12-27,62.3,63.15,62.3,62.8,24000
2024-12-30,63.7,63.7,62.55,63.65,10000
2024-12-31,62.05,63.85,62.05,63.75,8000
2025-01-01,65.45,69.8,65.45,68.2,154000
2025-01-02,69.1,71.8,68.5,68.6,44000
2025-01-03,69.95,70.9,68.7,69.85,22000
