Date,Open,High,Low,Close,Volume
2025-08-18,164,172.2,164,172.2,1407200
2025-08-19,167,180.4,163.6,178.85,298400
2025-08-20,175.05,180,175.05,178.35,26400
2025-08-21,176.1,176.1,170.3,173.05,31200
2025-08-22,165.25,169.7,165.2,167.2,62400
2025-08-25,165,172,161.7,166.5,666400
2025-08-26,163,173,163,171.9,80800
2025-08-28,173,180.45,173,180.45,35200
2025-08-29,185,189.45,185,189.45,25600
2025-09-01,198.9,198.9,198.9,198.9,10400
2025-09-02,220,233,208.75,221.2,197600
2025-09-03,225.65,233.95,225.6,231.75,60000
2025-09-04,234.05,236.5,212,214.3,43200
