Date,Open,High,Low,Close,Volume
2022-09-22,56.1,56.2,53.35,55.4,68000
2022-09-23,54.2,54.2,52.5,52.55,48000
2022-09-26,52,52,47.5,47.85,100000
2022-09-27,50,57.4,47.5,57.4,148000
2022-09-28,58,64.4,54.8,60.1,120000
2022-09-29,62,62,57.65,58.4,44000
2022-09-30,57.3,59.95,57,58.45,24000
2022-10-03,59.3,59.3,56,56.6,48000
2022-10-04,58,58,56.25,56.85,16000
2022-10-06,56.5,56.5,55.55,55.55,16000
2022-10-10,52.3,54,51.85,53.95,28000
2022-10-11,52,52,51.85,51.85,12000
2022-10-12,51.5,51.5,49.5,50,36000
2022-10-13,50,50,50,50,8000
2022-10-14,52.85,52.85,50.7,52.4,24000
2022-10-17,53,55,53,55,28000
2022-10-18,57.55,57.6,54.95,55,36000
2022-10-19,55,56,55,55.9,20000
2022-10-20,54.05,54.15,52.3,53.95,48000
2022-10-21,52,52,52,52,12000
2022-10-25,52,52.25,51.3,51.55,24000
2022-10-27,52.75,56,52.75,56,32000
2022-10-28,56.75,57.9,54.3,54.3,24000
2022-10-31,52.95,53.15,50.05,51.6,84000
2022-11-01,50.1,51,49.7,50.15,32000
2022-11-02,50.25,51.5,50.25,51.5,16000
2022-11-03,51.5,57.75,51.5,54.9,48000
2022-11-04,57,64,57,63.1,224000
2022-11-07,63.2,63.2,58.5,58.5,32000
2022-11-09,59.9,59.9,56.75,57.5,20000
2022-11-10,58,61,58,59,32000
2022-11-11,57.35,58.9,55.5,58.9,36000
2022-11-14,57.3,57.3,53.8,53.8,12000
2022-11-15,54,55.45,53.3,55,16000
2022-11-16,56.45,59.8,56.45,58.6,20000
2022-11-17,55,55,54,54,12000
2022-11-18,55,55,54.5,54.5,8000
2022-11-22,52.5,52.5,52,52,16000
2022-11-23,52,52,51.2,51.2,8000
2022-11-25,53.65,53.65,53.65,53.65,4000
2022-11-28,52,52,52,52,12000
2022-11-29,50.5,51.75,50.05,50.05,40000
2022-11-30,50.05,51.1,49.7,50.1,44000
2022-12-01,50.1,51.9,50,51.9,16000
2022-12-02,52.9,52.9,50,50,24000
2022-12-05,50.05,50.05,49.9,49.9,16000
2022-12-06,48.1,48.75,46,48,68000
2022-12-07,47.05,47.7,46.65,46.95,68000
2022-12-08,50,50,50,50,12000
2022-12-09,49,49,49,49,4000
2022-12-13,49,49,49,49,4000
2022-12-14,47,47,46,46,24000
2022-12-15,46.85,46.85,46.85,46.85,4000
2022-12-16,46,46,46,46,8000
2022-12-19,44.3,44.3,44.3,44.3,4000
2022-12-20,43.3,44.65,43.3,44.65,8000
