Date,Open,High,Low,Close,Volume
2022-11-30,127.05,127.05,114.1,115.7,35200
2022-12-01,120,120,115,117.2,11200
2022-12-02,118,118,113,116.75,17600
2022-12-05,118,121,116,116.35,11200
2022-12-06,108,110,105,105,25600
2022-12-07,108,108,106,108,9600
2022-12-08,108,108,108,108,6400
2022-12-09,105.35,105.35,100.6,105,11200
2022-12-12,98,103.95,98,103.95,4800
2022-12-13,105,105,97.25,97.25,4800
2022-12-14,99.25,99.25,99.25,99.25,3200
2022-12-16,99.2,102.95,97,102.95,8000
2022-12-19,102.75,102.75,98.3,98.3,3200
2022-12-21,97,97,95,95,4800
2022-12-22,95,95,84,86.7,12800
2022-12-23,87,87,78.5,82.65,12800
2022-12-26,84.5,94.95,84.5,94.95,19200
2022-12-28,91.8,101.9,91.8,100.35,22400
2022-12-29,103,103,103,103,1600
2022-12-30,95,95,95,95,1600
2023-01-02,97,97,97,97,1600
2023-01-03,95,102,95,102,4800
2023-01-04,92.1,92.1,91.3,91.3,3200
2023-01-05,91,98.25,91,98.25,6400
2023-01-06,95,95,85.05,94,6400
2023-01-10,96,96,96,96,1600
2023-01-11,94,97,94,97,3200
2023-01-12,96,96,96,96,1600
2023-01-13,96,96,96,96,1600
2023-01-16,95,95,95,95,1600
2023-01-17,96,101,96,101,16000
2023-01-18,103,103,95.1,100.9,17600
2023-01-19,99.5,99.5,99.1,99.1,3200
2023-01-20,99.5,99.5,95,95,9600
2023-01-23,97,98,97,98,4800
2023-01-24,95.5,95.5,95.5,95.5,1600
2023-01-25,95,95,90.05,91,6400
2023-01-27,95,97,90,90,4800
2023-02-01,87.05,87.05,87.05,87.05,1600
2023-02-02,86,86,86,86,1600
2023-02-03,88,92.85,88,89,4800
2023-02-08,86,88,86,87,4800
2023-02-09,86.9,89.1,86.9,89.1,16000
2023-02-10,90,90,90,90,1600
2023-02-14,90,90,90,90,1600
2023-02-15,88,89,88,89,3200
2023-02-16,89,89,87.1,87.1,3200
2023-02-17,87,93.65,86,86,4800
2023-02-20,86,88,86,88,3200
2023-02-22,86,86,86,86,1600
2023-02-27,81,81,80,80,3200
2023-02-28,78.1,78.1,78.1,78.1,1600
2023-03-03,78.5,78.5,78,78.25,4800
2023-03-06,75.05,79.95,75.05,79.95,3200
2023-03-08,78.95,78.95,78.95,78.95,1600
2023-03-13,80.95,80.95,73.5,73.5,4800
2023-03-14,73,73,70,72,8000
2023-03-15,70,72,70,72,3200
2023-03-17,72,72,72,72,3200
2023-03-21,71,75,71,75,6400
2023-03-22,73.05,73.35,73.05,73.35,40000
2023-03-23,73,74.95,73,74.95,8000
2023-03-24,89.9,89.9,75,80,9600
2023-03-27,83.95,83.95,75.2,75.25,16000
2023-03-28,75,75,75,75,3200
2023-03-29,73.55,73.55,73.55,73.55,1600
2023-03-31,73.55,73.55,70,72.15,6400
2023-04-05,75,78,75,76,6400
2023-04-10,75,75,75,75,3200
2023-04-12,78,78,78,78,8000
2023-04-17,74,74,74,74,1600
2023-04-18,73,73,73,73,1600
2023-04-21,72.4,76,72.35,76,4800
2023-04-24,78,84,78,81.15,8000
2023-04-28,87,89.95,87,89.95,3200
2023-05-03,85,85,85,85,1600
2023-05-04,81,81,81,81,8000
2023-05-09,94.45,94.45,83,85,4800
2023-05-16,86,86,86,86,1600
2023-05-18,89.95,90,89,89,4800
2023-05-19,90,91,90,91,3200
2023-05-22,89,91,84,91,9600
2023-05-24,89,89,89,89,1600
2023-05-26,89,89,86.1,86.1,8000
2023-05-30,84,86,84,86,3200
2023-05-31,84.5,84.5,84.5,84.5,1600
2023-06-01,84.5,84.5,84,84.25,3200
2023-06-02,86,86,86,86,3200
2023-06-05,87,87,87,87,1600
2023-06-06,84.1,85,80,82,9600
2023-06-07,84.05,84.05,80,80.75,8000
2023-06-08,82,83.9,80,80.2,8000
2023-06-09,82,82.9,82,82.9,3200
2023-06-12,80,82,80,80.5,6400
2023-06-13,81,82,80,80.05,14400
2023-06-14,78,80.75,78,80.75,3200
2023-06-16,81,81,81,81,3200
2023-06-19,76.05,81.9,76.05,81.9,4800
2023-06-20,77.1,77.1,77.1,77.1,1600
2023-06-26,77,77,77,77,1600
2023-06-30,76.5,76.5,76,76.2,4800
2023-07-03,78,78,78,78,1600
2023-07-04,78,78,76.05,76.05,4800
