Date,Open,High,Low,Close,Volume
2020-10-01,72.5,72.5,72.5,72.5,2000
2020-10-06,79.75,79.75,79.75,79.75,2000
2020-10-22,41.5,41.5,41.5,41.5,4000
2021-03-22,43.55,43.55,43.55,43.55,9
2021-03-23,45.7,45.7,45.7,45.7,500
2021-03-24,47.95,47.95,47.95,47.95,100
2021-03-25,50.3,50.3,50.3,50.3,200
2021-03-26,52.8,52.8,52.8,52.8,200
2021-03-31,55.4,55.4,55.4,55.4,102
2021-04-01,58.15,58.15,58.15,58.15,50
2021-04-05,61.05,61.05,61.05,61.05,100
2021-04-06,64.1,64.1,64.1,64.1,50
2021-04-07,67.3,67.3,67.3,67.3,50
2021-04-08,70.65,70.65,70.6,70.65,2240
2021-04-09,74.15,74.15,74.15,74.15,550
2021-04-12,77.85,77.85,74.15,77.85,4711
2021-04-13,81.7,81.7,81.7,81.7,3870
2021-04-15,85.75,85.75,85.75,85.75,1150
2021-04-16,90,90,90,90,600
2021-04-19,94.5,94.5,94.5,94.5,10234
2021-04-20,99.2,99.2,99.2,99.2,3320
2021-04-22,104.15,104.15,104.15,104.15,4417
2021-04-23,109.35,109.35,109.35,109.35,4730
2021-04-26,114.8,114.8,112,114.8,4331
2021-04-27,120.5,120.5,120.5,120.5,3154
2021-04-28,126.5,126.5,126.5,126.5,2176
2021-04-29,132.8,132.8,132.8,132.8,108
2021-04-30,139.4,139.4,139,139.4,3005
2021-05-03,146.35,146.35,146.35,146.35,83
2021-05-04,153.65,153.65,153.65,153.65,819
2021-05-05,161.3,161.3,161.3,161.3,511
2021-05-06,169.35,169.35,169.35,169.35,192
2021-05-07,177.8,177.8,177.8,177.8,493
2021-05-10,186.65,186.65,186.65,186.65,1518
2021-05-11,195.95,195.95,195.95,195.95,1767
2021-05-12,205.7,205.7,205.7,205.7,1236
2021-05-14,215.95,215.95,195.45,195.45,12521
2021-05-17,185.7,185.7,185.7,185.7,262
2021-05-18,176.45,176.45,176.45,176.45,2080
2021-05-19,167.65,167.65,167.65,167.65,1296
2021-05-20,159.3,159.3,159.3,159.3,832
2021-05-21,151.35,151.35,151.35,151.35,1549
2021-05-24,143.8,143.8,143.8,143.8,892
2021-05-25,136.65,136.65,136.65,136.65,1646
2021-05-26,129.85,133,129.85,129.95,29093
2021-05-27,123.5,123.5,123.5,123.5,1032
2021-05-28,117.35,117.35,117.35,117.35,1627
2021-05-31,111.5,111.5,111.5,111.5,3424
2021-06-01,106,106,105.95,105.95,2643
2021-06-02,100.7,100.7,100.7,100.7,1106
2021-06-03,95.7,95.7,95.7,95.7,5572
2021-06-04,90.95,90.95,90.95,90.95,4285
2021-06-07,86.45,95.45,86.45,95.45,18319
2021-06-08,100.2,100.2,100.2,100.2,1916
2021-06-09,105.2,105.2,105.2,105.2,1539
2021-06-10,110.45,110.45,110.45,110.45,2325
2021-06-11,115.95,115.95,115.95,115.95,1946
2021-06-14,121.7,121.7,121.7,121.7,2406
2021-06-15,127.7,127.75,115.65,127.5,25620
2021-06-16,127.5,127.75,121.25,125.75,3123
2021-06-17,125.75,126,119.5,123.15,3083
2021-06-18,118.5,123,117,117.45,3069
2021-06-21,122.95,122.95,111.6,120,4208
2021-06-22,115,121,114,115.05,3274
2021-06-23,120.75,120.75,109.35,115.95,2498
2021-06-24,115.95,115.95,110.2,115.5,1615
2021-06-25,118.1,120,109.75,117.8,857
2021-06-28,113,119,111.95,113.8,1406
2021-06-29,113.8,115.95,113,113.65,1933
2021-06-30,112,115,108.05,109.55,1095
2021-07-01,109.55,113.75,104.1,111.75,799
2021-07-02,107.05,111.75,106.2,106.75,1693
2021-07-05,102,111.75,102,109.8,2384
2021-07-06,115.25,115.25,105,107.45,2068
2021-07-07,107.45,111,106.05,108.55,653
2021-07-08,110,110,105,108.9,244
2021-07-09,106,108.9,105,106,606
2021-07-12,104.5,110,104.5,107.15,855
2021-07-13,107.15,112.5,104.05,109.35,1581
2021-07-14,104.55,114.5,104.55,108.9,1643
2021-07-15,113,113,108,108,1297
2021-07-16,108,108,105,108,491
2021-07-19,112,113,102.6,106,1494
2021-07-20,104.25,111.3,104.25,110,1278
2021-07-22,110,110,105,105,749
2021-07-23,109.8,109.8,104,109.7,408
2021-07-26,105.7,109.35,104.25,105,1581
2021-07-27,105,110,102.6,107.25,1441
2021-07-28,110,110,103.2,108.8,638
2021-07-29,105,108.75,105,108.75,202
2021-07-30,104,108.7,104,108.6,542
2021-08-02,109.5,113.85,104,105,750
2021-08-03,110,110,104,106.75,596
2021-08-04,104.2,110,104.2,108,703
2021-08-05,104,106.5,104,105.5,133
2021-08-06,106,109,106,106,40
2021-08-09,104,110,104,107.65,958
2021-08-10,110,110,102.3,102.85,1360
2021-08-11,100,102.3,97.8,100.15,135
2021-08-12,100.15,100.15,97,97.5,594
2021-08-13,95.5,95.5,92.65,93,4480
2021-08-16,93,97.65,88.35,90.4,567
2021-08-17,90.4,94.9,90.4,92.5,372
2021-08-18,89,97,87.9,96.1,878
2021-08-20,96.1,100.9,91.45,97.85,1185
2021-08-23,97.85,100,93,95,811
2021-08-24,95,95,95,95,43
2021-08-25,95,95,90.25,91.15,847
2021-08-26,95,95,86.6,95,442
2021-08-27,95,98.5,91.1,92.9,286
2021-08-30,95,95,89,95,627
2021-08-31,95,95,90.25,94,382
2021-09-01,94,94,90,93.45,205
2021-09-02,89.5,98.1,89.5,95,437
2021-09-03,91.2,95.95,91.2,92.45,418
2021-09-06,95,97.05,94.6,96,1029
2021-09-07,99.5,99.5,93,96,161
2021-09-08,96,96,92.05,95.9,518
2021-09-09,94,94,91.15,91.65,3289
2021-09-13,95,95,91.9,91.9,194
2021-09-14,92,93.4,90,93.4,1588
2021-09-15,95.2,95.2,90,91.5,468
2021-09-16,91.05,94.4,90.05,93.1,463
2021-09-17,95,95,92,92,329
2021-09-20,96.6,96.6,87.4,88.55,1333
2021-09-21,89.45,89.45,84.15,84.45,1470
2021-09-22,84.25,88.65,83,88.6,896
2021-09-23,89,90.05,86,86.85,554
2021-09-24,82.55,91.15,82.55,90.85,1359
2021-09-27,92.7,92.7,88,88,673
2021-09-28,88.1,90.05,88.1,90.05,315
2021-09-29,86.35,90.45,86.35,88.5,483
2021-09-30,88.5,88.5,88,88,22
2021-10-01,83.65,90,83.65,88.75,138
2021-10-04,85,90.25,85,88,438
2021-10-05,88,89,85,89,532
2021-10-06,89,89.95,87.55,89.95,218
2021-10-07,89.95,89.95,86,89.5,499
2021-10-08,89.5,90,87.3,89,454
2021-10-11,86,90,86,89,140
