Date,Open,High,Low,Close,Volume
2015-09-07,186.3225,189,183.1725,186.3225,54640
2015-09-08,185.4,189.45,184.95,185.58,25477
2015-09-09,189.9225,192.555,184.2075,188.28,63706
2015-09-10,187.6275,195.5475,185.85,194.0625,41186
2015-09-11,192.6225,196.605,190.35,192.6225,31234
2015-09-14,191.25,196.875,191.1375,195.795,45680
2015-09-15,194.985,195.75,189.5175,194.2875,25537
2015-09-16,193.5675,196.875,189.9,193.95,44658
2015-09-18,195.6825,195.6825,190.485,192.6675,33612
2015-09-21,193.2075,194.8275,190.35,192.42,30954
2015-09-22,194.0175,194.85,190.35,193.005,30653
2015-09-23,192.1725,192.6,189.72,191.2725,22074
2015-09-24,189.9225,191.655,189.495,191.16,16333
2015-09-28,191.0925,191.25,186.75,190.215,32374
2015-09-29,188.1,191.2725,186.3225,190.89,18972
2015-09-30,191.2725,191.2725,189.2925,190.8675,54613
2015-10-01,191.25,193.14,187.065,190.7775,42274
2015-10-05,188.5725,192.6,187.38,191.1375,119741
2015-10-06,193.0275,193.0275,187.56,191.115,105122
2015-10-07,190.5975,190.665,187.785,189.765,22920
2015-10-08,187.6725,191.25,186.9975,190.5525,27298
2015-10-09,191.25,193.41,186.975,188.9325,113734
2015-10-12,189.45,191.2275,185.985,189.1125,35274
2015-10-13,190.0575,191.4975,186.885,191.1375,123114
2015-10-14,191.0925,192.6225,188.5725,191.9925,30853
2015-10-15,190.8225,196.1775,189,193.8375,50733
2015-10-16,195.75,197.55,190.3725,194.175,41229
2015-10-19,196.965,199.35,194.67,199.215,175760
2015-10-20,202.5,202.5,187.245,199.485,153946
2015-10-21,200.7,200.7,193.5,196.9425,40472
2015-10-23,191.475,196.605,190.3725,194.7375,117889
2015-10-26,194.3325,195.975,189.45,191.295,34874
2015-10-27,189,191.2275,183.6,188.7525,114854
2015-10-28,186.7725,189,184.9275,187.7625,42858
2015-10-29,185.8275,189.1125,184.9725,188.6175,29834
2015-10-30,185.445,189.225,185.0175,186.48,27094
2015-11-02,187.6725,188.1225,185.2875,186.75,211674
2015-11-03,188.5275,190.6425,186.75,188.955,26092
2015-11-04,189.18,196.605,186.8625,193.14,55725
2015-11-05,193.905,197.0775,187.6725,190.0575,15697
2015-11-06,188.9775,191.25,185.85,190.1025,36417
2015-11-09,186.7725,193.5,185.625,191.6325,41494
2015-11-10,192.06,195.3,187.425,192.69,41654
2015-11-11,193.365,193.365,189.4725,190.575,6373
2015-11-13,190.215,190.215,185.31,186.885,30165
2015-11-16,185.4,186.705,183.7575,185.76,28161
2015-11-17,185.4,189,184.5,188.3925,27146
2015-11-18,186.9075,189.7875,185.4,187.6725,26512
2015-11-19,187.8975,191.2275,185.985,189.045,27834
2015-11-20,190.8,190.8,185.895,188.955,34794
2015-11-23,190.53,190.53,185.9625,187.2,205142
2015-11-24,187.2,188.4375,184.995,186.48,18962
2015-11-26,186.7725,187.965,184.5225,186.48,39701
2015-11-27,185.8275,188.865,184.9725,187.5825,543165
2015-11-30,187.6275,188.055,184.1625,186.4575,81800
2015-12-01,186.3225,187.65,183.195,185.22,73488
2015-12-02,184.32,186.75,180,184.59,134912
2015-12-03,186.255,186.255,182.4075,184.1625,72968
2015-12-04,185.1525,189.495,182.4075,187.74,38872
2015-12-07,186.7725,194.04,185.4675,191.4975,167053
2015-12-08,190.8,193.95,189.675,192.645,102778
2015-12-09,191.7,191.745,186.84,191.0925,37021
2015-12-10,191.2275,192.6,189.9,191.88,55910
2015-12-11,191.6325,192.6,189.99,191.6325,69462
2015-12-16,192.15,193.5,190.35,192.15,102386
2015-12-17,191.97,192.8925,191.25,192.555,73676
2015-12-18,192.105,193.5,191.5425,192.96,72870
2015-12-21,191.34,193.95,191.34,192.915,51414
2015-12-22,193.4775,194.13,191.5425,193.005,75729
2015-12-23,193.2075,194.85,189.99,193.455,76858
2015-12-24,192.375,194.85,191.2275,194.6025,33546
2015-12-28,195.75,200.25,194.895,197.415,61181
2015-12-29,194.4,200.25,193.95,195.795,23613
2015-12-30,192.375,196.515,192.375,194.7375,47493
2015-12-31,196.92,198,194.4,196.8075,40908
2016-01-01,197.0775,198.4725,191.34,193.995,20144
2016-01-04,193.95,194.355,191.2725,192.78,103000
2016-01-05,193.5,194.3775,185.445,189.9675,55522
2016-01-06,190.26,193.23,189,190.665,184866
2016-01-07,190.305,193.455,185.4675,190.845,40688
2016-01-08,192.9375,194.85,187.875,194.49,60748
2016-01-11,189.9225,197.955,186.75,193.5225,38038
2016-01-12,193.545,194.04,191.475,192.15,37014
2016-01-13,196.65,196.65,185.94,188.5275,48421
2016-01-14,185.625,190.7775,177.3,188.505,75670
2016-01-15,189.8775,189.9225,185.625,188.4825,48144
2016-01-18,182.2725,187.245,182.2725,184.275,35121
2016-01-19,181.89,184.5,180.6975,183.6,28625
2016-01-20,181.8,192.375,169.8075,182.52,139738
2016-01-21,182.2725,187.2,171.9225,174.6,25130
2016-01-22,175.3875,177.75,172.35,176.4,32898
2016-01-25,179.325,181.3275,176.0175,179.415,47181
2016-01-27,177.75,187.2,177.75,183.8025,27585
2016-01-28,181.7775,187.2,181.125,184.77,14476
2016-01-29,185.895,191.4525,182.2725,190.1925,32230
2016-02-01,187.65,193.0275,178.47,187.9875,95986
2016-02-02,184.05,190.3275,182.34,184.3425,4485
2016-02-03,186.2775,188.55,182.7,185.8275,7013
2016-02-04,184.9275,189.855,178.2,179.5725,42684
2016-02-05,177.75,184.185,176.4,178.56,25718
2016-02-08,175.0275,181.7325,175.0275,177.7275,8002
2016-02-09,175.9725,185.4,171.09,183.3075,85957
2016-02-10,183.5325,187.65,176.85,184.185,48182
2016-02-11,181.7775,183.195,160.2,172.9125,265682
2016-02-12,170.55,176.355,157.95,172.395,66541
2016-02-15,173.25,177.255,168.885,171.6975,22678
2016-02-16,171,173.7,166.9725,170.0325,39933
2016-02-17,168.75,169.5825,160.875,163.5075,48881
2016-02-18,163.26,165.51,160.6725,162.1575,48262
2016-02-19,163.3275,163.575,157.5,160.965,45797
2016-02-22,164.1375,164.1375,157.5,159.2775,60749
2016-02-23,156.8475,159.75,156.1725,159.435,37853
2016-02-24,156.375,159.75,155.34,157.9275,24474
2016-02-25,162.9,162.9,151.695,155.16,29176
2016-02-26,157.05,157.5,153.9,154.7325,11201
2016-02-29,157.95,158.8275,149.8725,153.855,38294
2016-03-01,154.125,158.445,154.125,156.69,90293
2016-03-02,158.4,160.65,154.395,156.555,89101
2016-03-03,155.7,158.985,154.9125,157.32,44652
2016-03-04,157.5,163.3275,155.385,157.4325,21768
2016-03-08,161.505,165.6,156.375,164.4975,91105
2016-03-09,162,168.75,160.7625,166.5,81292
2016-03-10,165.6,168.6375,165.6,167.13,355333
2016-03-11,166.5,186.75,165.1725,179.64,85638
2016-03-14,181.35,193.5,175.14,187.4475,160573
2016-03-15,192.15,192.15,178.3575,179.7525,24002
2016-03-16,179.55,184.5,177.7725,181.5525,52384
2016-03-17,180,181.7325,176.4,180.27,24565
2016-03-18,181.8,181.8,178.2675,179.235,16090
2016-03-21,180,182.25,177.1425,181.3725,10738
2016-03-22,182.25,185.8275,178.65,181.62,361656
2016-03-23,183.6,183.6,178.8975,181.6875,100570
2016-03-28,183.6,183.6,179.3475,181.4625,8989
2016-03-29,180.0225,184.5,179.325,183.195,29724
2016-03-30,183.7125,190.7775,181.0125,186.6825,447425
2016-03-31,184.005,188.4375,182.3175,185.355,40253
2016-04-01,184.905,186.75,180.2475,183.5325,56125
2016-04-04,181.35,184.95,179.0775,184.185,685985
2016-04-05,183.8025,189.315,181.8,187.245,298733
2016-04-06,187.6275,191.205,185.4,188.8875,43798
2016-04-07,188.6175,192.6,185.715,189.63,87814
2016-04-08,186.7725,190.1025,184.59,187.5825,22032
2016-04-11,188.0775,189,184.5,188.0775,66170
2016-04-12,188.055,193.5,185.8725,191.61,77548
2016-04-13,195.705,197.46,191.25,194.715,45942
2016-04-18,197.1,203.985,196.875,197.505,79498
2016-04-20,198.6975,199.4175,194.8725,195.795,24197
2016-04-21,196.65,198.6975,191.25,193.1625,71617
2016-04-22,199.305,199.305,191.9925,194.2425,22417
2016-04-25,195.3,195.3,190.3725,194.13,66641
2016-04-26,195.3,196.3575,192.015,195.75,59009
2016-04-27,193.275,199.7775,193.275,198.315,16101
2016-04-28,196.2,201.6,195.75,198.4725,36330
2016-04-29,201.6,201.6,195.7725,199.215,12818
2016-05-02,196.38,200.8125,194.445,196.5375,22502
2016-05-03,194.6475,198,194.4,196.245,12012
2016-05-04,195.0975,197.01,191.25,193.1175,11560
2016-05-05,192.15,195.5925,191.4975,193.815,21880
2016-05-06,191.25,195.5925,191.25,193.8825,28838
2016-05-09,193.8825,198,193.8825,196.5375,36248
2016-05-10,201.6,201.6,194.4,197.91,34454
2016-05-11,196.605,197.91,194.85,197.28,19861
2016-05-12,194.5125,197.91,190.755,192.15,186917
2016-05-13,191.925,193.5225,186.75,192.15,20328
2016-05-16,189,193.95,189,193.41,24342
2016-05-17,194.4,194.4,191.7,192.69,54528
2016-05-18,194.4,195.7275,190.35,193.23,109181
2016-05-19,195.75,199.575,191.295,192.6225,15274
2016-05-20,194.85,194.85,191.25,191.4075,28881
2016-05-23,189.4725,195.3,189.4725,191.61,44172
2016-05-24,190.125,193.905,187.605,188.7075,23141
2016-05-25,188.55,190.1025,186.3225,186.885,24598
2016-05-26,187.65,188.505,183.6,184.5,119532
2016-05-27,184.05,189.9,182.25,187.0875,260209
2016-05-30,191.25,198,190.1925,194.715,58013
2016-05-31,197.955,201.69,192.1725,199.9575,56221
2016-06-01,202.5,205.83,196.875,203.22,1286604
2016-06-02,206.0775,208.98,200.385,207.855,98737
2016-06-03,204.9975,212.085,204.9975,209.2275,100208
2016-06-06,207.9,210.465,205.425,207.18,49629
2016-06-07,207.2475,209.8575,203.6925,204.8175,84070
