Date,Open,High,Low,Close,Volume
2020-11-02,3.4,3.4,3.3767,3.3767,48000
2020-11-05,3.19,3.19,3.19,3.19,24000
2020-11-11,3.2667,3.2667,3.2667,3.2667,24000
2020-11-19,3.1567,3.1567,3.1567,3.1567,24000
2020-11-24,3,3,3,3,24000
2020-12-01,2.9733,2.9733,2.9733,2.9733,24000
2020-12-02,2.7333,3.0333,2.7333,3.0333,120000
2020-12-03,2.9733,2.9733,2.9733,2.9733,24000
2020-12-08,2.7633,2.7633,2.7633,2.7633,24000
2020-12-10,2.58,2.58,2.58,2.58,24000
2020-12-11,2.6667,2.6667,2.6667,2.6667,24000
2020-12-24,2.55,2.55,2.55,2.55,24000
2021-01-08,2.55,2.55,2.55,2.55,24000
2021-01-11,2.43,2.43,2.43,2.43,24000
2021-01-13,2.4,2.4,2.2467,2.2667,120000
2021-01-29,2.4667,2.4667,2.43,2.43,48000
2021-02-03,2.4667,2.4667,2.4667,2.4667,24000
2021-02-22,2.6,2.6,2.6,2.6,24000
2021-03-02,2.4667,2.4667,2.4667,2.4667,24000
2021-03-12,2.3067,2.3067,2.3067,2.3067,24000
2021-03-15,2.4,2.4,2.4,2.4,24000
2021-03-18,2.4667,2.4667,2.4667,2.4667,264000
2021-03-25,2.4,2.4,2.4,2.4,624000
2021-03-26,2.42,2.42,2.42,2.42,1512000
2021-03-31,2.3067,2.3067,2.3067,2.3067,24000
2021-04-15,2.1867,2.2333,2.1867,2.2333,48000
2021-04-16,2.4,2.4,2.4,2.4,24000
2021-05-04,2.3067,2.4,2.3067,2.3067,72000
2021-05-31,2.4,2.72,2.3667,2.3667,96000
2021-06-01,2.3067,2.3067,2.3067,2.3067,24000
2021-06-02,2.1867,2.2633,2.0633,2.2633,144000
2021-06-03,2.1033,2.2667,2.1033,2.2667,48000
2021-06-08,2.1867,2.72,2.1867,2.6,336000
2021-06-09,2.6667,2.6667,2.58,2.58,120000
2021-06-10,2.4333,2.5333,2.43,2.5333,72000
2021-06-15,2.6,2.6,2.6,2.6,48000
2021-06-16,2.5333,2.5333,2.4667,2.4667,72000
2021-06-30,2.6,2.6333,2.6,2.63,96000
2021-07-07,2.6,2.7333,2.6,2.7333,72000
2021-07-12,2.8667,2.8667,2.8667,2.8667,24000
2021-07-15,3.2,3.2,3.2,3.2,24000
