Date,Open,High,Low,Close,Volume
2017-07-10,265,273.5,261.85,270.825,21171378
2017-07-11,268.5,287.325,266.2,283.625,28572624
2017-07-12,288.225,321.35,287.5,314.775,35549156
2017-07-13,326,349.475,315.05,345.575,43750392
2017-07-14,348.9,362.75,280.55,299.4,67296768
2017-07-17,295,306.85,281.175,298.05,23021580
2017-07-18,295,301.5,290.55,294.45,7099796
2017-07-19,295.975,300.75,292.05,293.475,3583984
2017-07-20,294,299.475,288.55,291.3,6110080
2017-07-21,292,297.5,290.1,291.725,2877876
2017-07-24,293.25,295.475,288,293.2,2979578
2017-07-25,294.975,306,294.475,301.025,6180740
2017-07-26,301.15,303.5,296,297.5,2126020
2017-07-27,298.95,299.225,290,290.925,1698416
2017-07-28,289,299.375,285,294.25,4663896
2017-07-31,295,297.5,289.075,295.3,2100158
2017-08-01,296,296.25,291.5,292.95,844314
2017-08-02,291.1,294.95,290,291,930916
2017-08-03,291,292.75,274.05,279.25,1480784
2017-08-04,280.2,280.2,270.875,277.15,1403112
2017-08-07,275,290.725,248.125,275.7,14704942
2017-08-08,276.725,289.15,274.275,284.175,4743356
2017-08-09,282.5,282.5,270.5,274.95,2774206
2017-08-10,257.5,275.35,251,271.4,6399422
2017-08-11,266,273.925,262.575,270.75,1678474
2017-08-14,272.6,277.5,268.5,270.2,1176194
2017-08-16,272.55,275.9,270.15,272.05,975976
2017-08-17,273.2,276.25,271.05,271.75,651746
2017-08-18,270.7,274.5,267.5,268.875,573760
2017-08-21,270.375,273.25,268.675,270.1,1074978
2017-08-22,271.4,272.125,263.85,264.75,943080
2017-08-23,265.9,266.5,261,262.625,510576
2017-08-24,263.375,267.5,262.025,266.425,972048
2017-08-28,266.625,270.625,264,268.975,1001376
2017-08-29,265.5,279.4,265.5,272.4,1649802
2017-08-30,275,278.875,274.225,275.425,712294
2017-08-31,274.9,278.225,273,274.725,580208
2017-09-01,275.5,285,273.775,276.15,1765988
2017-09-04,277.875,282.15,271.025,278.5,1182770
2017-09-05,280.05,288.25,276.575,286.575,1989224
2017-09-06,284,289,281.8,283.925,1157354
2017-09-07,285.625,288,277.5,279.35,815452
2017-09-08,280.5,282.75,275,277.175,831916
2017-09-11,279.375,282.45,275.5,279.3,697004
2017-09-12,280,280.225,275.525,277.825,468214
2017-09-13,278.45,280,275.525,278.75,476598
2017-09-14,279.5,282.15,276.35,277.05,359790
2017-09-15,275.9,286,275.225,283.625,1008804
2017-09-18,284.5,288,279.5,281.35,823952
2017-09-19,281.4,281.4,275.5,276.525,931266
2017-09-20,278.4,279,273.175,274.95,1214296
2017-09-21,275.6,280.4,273,276.85,986458
2017-09-22,275.95,275.95,270.5,272.975,569140
2017-09-25,274.8,278.75,264.25,276.75,896016
2017-09-26,278.05,281.8,272.325,280.05,1125944
2017-09-27,280.45,281.7,275.825,279.325,838242
2017-09-28,278,279.9,275.05,278.575,758496
2017-09-29,279.475,288.95,275.05,284.3,792284
2017-10-03,284.6,286.675,278.775,281.275,1070914
2017-10-04,283.95,286.425,280.05,281.65,332520
2017-10-05,281,295,281,292.875,1734874
2017-10-06,295.2,311.5,293.1,307.525,3843936
2017-10-09,305.45,305.75,293.55,295.7,1247384
2017-10-10,297.4,297.475,288,290.4,678448
2017-10-11,291.05,293.65,288.825,290.8,1128084
2017-10-12,292.95,293.075,285.075,290.675,481810
2017-10-13,291.15,298,288.75,292.85,909564
2017-10-16,294.5,307.2,292,303.625,2015128
2017-10-17,302.8,304.9,299.225,302.175,542840
2017-10-18,300,304.5,294.1,295.85,628020
2017-10-19,296,301.775,296,300.45,204002
2017-10-23,300,302.975,297.65,299.25,759678
2017-10-24,299,300.975,295.75,296.7,259344
2017-10-25,295,299,282,285.125,1466270
2017-10-26,287.4,294.925,286,290.675,338256
2017-10-27,293.9,302,293,295.9,844860
2017-10-30,296.5,299.5,285.5,293.975,1627976
2017-10-31,294,297.675,290.05,290.875,453978
2017-11-01,295.475,296,290,294.65,589374
2017-11-02,298.5,309.75,298.5,305.125,1854906
2017-11-03,310,310,305.475,307.45,1074414
2017-11-06,308.975,311,303.95,307.6,645802
2017-11-07,309.15,310.1,299,305.725,688332
2017-11-08,305.5,311.9,304.5,305.925,639110
2017-11-09,306.5,314,306.5,311.875,833566
2017-11-10,309,311.5,300,302.475,573826
2017-11-13,302.5,309,297.55,307.35,750236
2017-11-14,310,312.45,308.025,311.8,534986
2017-11-15,304,314.95,304,312.975,444250
2017-11-16,313.25,326.25,313,322.8,1038832
2017-11-17,324,339.5,320.05,335.225,1326186
2017-11-20,336,337.475,329.025,331.6,357244
2017-11-21,334.6,337,324.6,325.75,1517708
2017-11-22,326.075,327.825,320.775,326.35,232062
2017-11-23,329.225,336.9,325.1,332.775,343096
2017-11-24,332.775,336.5,329,331.625,255302
2017-11-27,332.45,335,327.5,334.275,420776
2017-11-28,334.475,342.175,331.1,339.8,895444
2017-11-29,342.5,349.2,340.6,344.75,614140
2017-11-30,344,356.5,337.5,349.025,1045932
2017-12-01,349.85,356.5,345.5,351.05,539830
2017-12-04,353.925,354.9,335.15,343.825,423594
2017-12-05,343.825,345,340,342.3,314036
2017-12-06,342.3,344.975,335.05,336.425,491036
2017-12-07,338,341.925,335.025,338.8,227726
2017-12-08,339,347,338.5,344.9,479180
2017-12-11,347.45,365.975,344.025,356.425,1368978
2017-12-12,357.5,366.25,357.5,362.125,1019772
2017-12-13,364.825,368.5,347.55,349.65,515892
2017-12-14,351.6,352.95,325.45,337.875,581710
2017-12-15,342.55,346.925,330.05,335.225,3928162
2017-12-18,335.15,339.95,325,334.2,371262
2017-12-19,336.5,341.5,331.5,335.35,345962
2017-12-20,337.5,345,333.525,342.475,540510
2017-12-21,344.05,349,340.25,341.7,242830
2017-12-22,338.2,343.35,337.5,339.925,235026
2017-12-26,340.375,342.4,335.5,339.625,114448
2017-12-27,339.5,344.5,338.175,340.9,178214
2017-12-28,342.45,342.45,336.3,338.775,164434
2017-12-29,339,340.9,330.275,333.4,336048
2018-01-01,334.5,338.1,329.5,331.425,185152
2018-01-02,331.5,339.5,326.1,330.7,259520
2018-01-03,331.075,338.2,330.3,334.875,241292
2018-01-04,335.9,338.95,332.5,337.5,224020
2018-01-05,337.5,352,337.5,349.725,511032
2018-01-08,355,360,350.525,356,596384
2018-01-09,355,357.25,347.5,349.7,424642
2018-01-10,351.75,352.5,347.525,349.775,206438
2018-01-11,347,362.5,347,354.775,536650
2018-01-12,357.325,359.7,347.625,352.6,429896
2018-01-15,355.25,357.175,351.525,354,170636
2018-01-16,357,357,349.5,351.35,248946
2018-01-17,352,355,349.5,354.525,214650
2018-01-18,362.5,362.5,350,354.05,475124
2018-01-19,357.325,370.55,352.5,360.2,875398
2018-01-22,357.5,360.05,350,358.35,1368514
2018-01-23,358.425,362.025,355,356.25,160646
2018-01-24,355,357.8,346.575,349.925,207342
2018-01-25,352.875,352.875,337.45,342.125,163832
2018-01-29,342.125,350,342,344.25,149834
2018-01-30,346.85,346.95,337.025,339.65,192732
2018-01-31,335.675,338,322.7,328.275,740994
2018-02-01,326,337,324,331.45,294378
2018-02-02,328,328,277.775,319.6,794792
2018-02-05,312,317.375,302.125,309.475,1225708
2018-02-06,301,311.375,287.525,301.725,357626
2018-02-07,314.4,315,300.25,304,253984
