Date,Open,High,Low,Close,Volume
2024-07-31,200.45,200.9,193.85,194.2,544721
2024-08-01,196.4,197.4,185.9,189.05,592449
2024-08-02,185.3,189.95,183.4,188.15,438102
2024-08-05,173,182,173,176.4,1567499
2024-08-06,177.7,185.3,171.15,174.7,679930
2024-08-07,179.6,183.9,175.8,182.05,591894
2024-08-08,182.05,182.8,178.8,179.7,375882
2024-08-09,182.25,182.25,175.7,177.35,548431
2024-08-12,174.4,186.85,171.25,182.65,1116022
2024-08-13,184.75,184.75,173.9,175.15,689389
2024-08-14,174.05,174.85,167.8,169.3,1012672
2024-08-16,173.95,174.85,168.2,170.2,601023
2024-08-19,170.2,174.5,170.2,172.5,504031
2024-08-20,174.9,179.5,172.1,173.95,527738
2024-08-21,173.7,181.5,171.35,176.6,1507375
2024-08-22,179.15,185.25,178.2,181.55,1260197
2024-08-23,182.4,183.4,177.25,178,373086
2024-08-26,179.4,179.4,174.85,175.95,520280
2024-08-27,176.6,177.45,173.9,175.75,449815
2024-08-28,176.65,176.9,171.9,172.95,663840
2024-08-29,174.85,174.85,166.3,167.9,826307
2024-08-30,167.9,171.3,167.35,168.85,439174
2024-09-02,169.85,170.1,163.45,164.25,648724
2024-09-03,164.2,169.4,163.55,165.5,417053
2024-09-04,164.4,165.05,161.85,163,534297
2024-09-05,164.3,169,164.1,166.75,685266
2024-09-06,167.65,167.7,162.75,163.85,451264
2024-09-09,162.35,162.95,157.75,158.6,633562
2024-09-10,159.2,166.25,159.2,161.65,488000
2024-09-11,162.4,167.1,162,163.75,453074
2024-09-12,163.75,165.15,159.9,162.2,465682
2024-09-13,159.7,163.1,159.5,160.2,555831
2024-09-16,160.6,163.7,159.1,159.95,516271
2024-09-17,160.1,164.4,158.65,160.95,571345
2024-09-18,166.3,174.85,161.5,164.05,2311493
2024-09-19,166.15,169.45,158.85,161.8,678239
2024-09-20,163,166.35,161.05,163.75,496326
2024-09-23,165.3,165.3,161.55,163.55,428406
2024-09-24,163.4,164.7,161.65,163.5,375450
2024-09-25,162.55,169.55,160.6,167.55,935466
2024-09-26,168.9,169.15,163.45,164.1,572784
2024-09-27,164.85,167.45,162.5,163.05,299733
2024-09-30,168.45,183.4,168.2,174.75,3504985
2024-10-01,174.85,178.2,172.1,173.6,732172
2024-10-03,170.1,173.6,167.65,170.8,713491
2024-10-04,171.6,173.9,165.55,169.5,700568
2024-10-07,190.05,191,172.95,175.65,7488771
2024-10-08,175.4,176.2,166.55,167.65,2771961
2024-10-09,170.2,179.8,170,172.2,2760285
2024-10-10,174.2,176.75,168.1,170.05,1293950
2024-10-11,170.95,173.4,168,168.85,870107
2024-10-14,169.8,171.9,165.35,166.4,642396
2024-10-15,169.15,170.1,166.5,167.3,649311
2024-10-16,167.25,171.9,166.5,167.15,856104
2024-10-17,167.25,172.45,163.1,168.05,1290253
2024-10-18,168.2,170.1,164.45,166.85,640559
2024-10-21,169.15,173.45,167.35,169.85,1619001
2024-10-22,169.75,169.75,160.6,161.4,832983
2024-10-23,161.4,162.5,155.85,156.8,907586
2024-10-24,156.8,165.35,156.6,164.55,1607278
