Date,Open,High,Low,Close,Volume
2015-09-07,51.6,51.6,49.85,50.4,5277800
2015-09-08,50.55,51,49.55,50.1,3858700
2015-09-09,51,51.15,50,50.5,5512500
2015-09-10,50.2,51.15,49.4,50.55,5638800
2015-09-11,51.3,51.3,50,50.4,2067800
2015-09-14,50.35,51.8,50.35,51.5,6167300
2015-09-15,51.75,52.7,51.25,52.5,6967300
2015-09-16,52.5,52.65,51.5,52,4191600
2015-09-18,52.2,52.75,49.25,49.65,34401500
2015-09-21,49.5,50.2,48.7,49.35,7069800
2015-09-22,49.6,49.65,47.8,48.2,12573700
2015-09-23,48.2,48.8,46.75,48.45,14319300
2015-09-24,48.45,48.9,47.9,48.65,2846800
2015-09-28,48.3,49.15,48.1,48.2,2262200
2015-09-29,47.6,51.5,47.3,51.1,10475100
2015-09-30,51.15,52,50.2,51.3,8438400
2015-10-01,51.4,51.9,50.75,51.1,5197600
2015-10-05,51.9,52.3,51.1,52.1,4358800
2015-10-06,52.25,52.4,51.4,51.65,7465000
2015-10-07,51.65,52,50.9,51.2,5900600
2015-10-08,51.2,51.2,50.25,50.4,4041600
2015-10-09,50.5,51.8,49.4,50,5027700
2015-10-12,50,50.4,49.4,49.6,4935200
2015-10-13,49.1,49.95,49.1,49.75,3583700
2015-10-14,49.75,49.85,49.2,49.4,2054700
2015-10-15,49.4,50.5,49.2,49.85,3411500
2015-10-16,50,50.2,49.5,49.8,2375900
2015-10-19,50.2,50.45,49.75,50.15,4130500
2015-10-20,50.7,53.5,50.3,53.1,37756200
2015-10-21,54.25,54.3,52.45,53.6,15041400
2015-10-23,53.75,53.8,52.6,52.7,4707600
2015-10-26,52.9,53.45,52.6,53.1,4329600
2015-10-27,53,53.6,52.9,53.2,2621600
2015-10-28,53.25,53.3,51.8,52.1,5687200
2015-10-29,52.5,52.5,51.15,51.6,10727000
2015-10-30,52,52.5,51.9,52.2,4139200
2015-11-02,52.3,52.5,51.75,52.2,2493100
2015-11-03,52.85,52.9,52.15,52.5,2081400
2015-11-04,52.6,53.5,52.6,53.45,4055300
2015-11-05,53.5,53.7,52.8,53.25,5950300
2015-11-06,53.3,53.3,52.5,53,4034000
2015-11-09,52.55,54,52,53.45,3162600
2015-11-10,53.45,54,53,53.4,3473900
2015-11-11,53.75,54,53.2,53.85,577900
2015-11-13,53.85,53.85,52.4,53.1,6087400
2015-11-16,53,53.15,52.1,52.7,5449100
2015-11-17,52.8,53.15,51.9,52.3,4155200
2015-11-18,52.7,53.1,51.75,52.75,5910800
2015-11-19,52.8,54.25,52.5,54.15,3507300
2015-11-20,54.2,54.9,53.9,54.5,3861000
2015-11-23,54.6,55,54.3,55,4035900
2015-11-24,54.9,56,54.9,55.45,6254800
2015-11-26,55.55,56.45,54.95,55.5,7798500
2015-11-27,55.3,56.25,55.15,55.8,3494800
2015-11-30,56,56,54.7,55.15,2645400
2015-12-01,55.15,56.25,54.95,56.05,4725100
2015-12-02,55.7,56.3,55.5,55.7,2736400
2015-12-03,56,56.05,55.3,55.45,1828000
2015-12-04,55.45,55.85,54.35,54.5,1700300
2015-12-07,54.5,55.2,54.4,54.8,1933400
2015-12-08,54.75,56,53.8,55.4,2675900
