Date,Open,High,Low,Close,Volume
2015-09-07,325,330.925,325,327.65,76728
2015-09-08,325.5,329.4,322.5,328.1,30348
2015-09-09,333,339.95,329.775,337.725,21286
2015-09-10,338,346.9,330.4,341.15,47850
2015-09-11,342,350.975,340,344.5,70314
2015-09-14,349.85,352.45,342.5,345.85,26900
2015-09-15,345,347.475,339.5,343.9,22440
2015-09-16,338.025,344,336.25,341.175,12964
2015-09-18,342.5,343.75,336,341.775,96350
2015-09-21,339.325,343.2,333.975,340.55,21760
2015-09-22,344.725,347.5,331,334.45,176338
2015-09-23,334.025,334.025,326,327.675,57258
2015-09-24,331.625,334.95,327.5,331.475,13404
2015-09-28,334.5,338.075,333.2,335.05,167092
2015-09-29,333.425,342,325.8,335.675,12456
2015-09-30,333.875,340.5,332.5,335.075,36282
2015-10-01,337.75,338.55,332.6,333,6892
2015-10-05,336.975,336.975,309.7,331.075,32428
2015-10-06,333.25,335.275,329.125,334.45,44472
2015-10-07,331.025,332.875,327.25,330.075,80444
2015-10-08,327.55,332.75,327.55,332.35,12142
2015-10-09,339,339,328,331.3,250068
2015-10-12,338.75,338.75,326.25,330.9,45034
2015-10-13,334.95,335.025,329,331.75,55710
2015-10-14,330.15,335.7,329.4,330.175,46856
2015-10-15,331.825,337.225,329.725,330.5,83570
2015-10-16,330.5,331.325,327.5,328.725,22426
2015-10-19,327.5,334,327.5,333.5,52448
2015-10-20,331.05,333.85,331,333.475,51132
2015-10-21,333.475,333.75,330.25,332.425,32364
2015-10-23,334.2,334.225,331.45,332.1,15970
2015-10-26,332.125,337.5,329.75,332.6,30424
2015-10-27,331.575,334.025,327.05,332.925,33064
2015-10-28,330.025,334.225,329.275,333.325,8828
2015-10-29,330.025,332.35,326.775,327.7,273810
2015-10-30,326.275,330,324.5,326.375,16122
2015-11-02,325.925,329.075,323.275,328.775,25944
2015-11-03,332.5,335.5,325.75,333.575,900674
2015-11-04,336.15,341.95,330.625,337.85,392086
2015-11-05,334.05,339.475,332.375,336.4,1051340
2015-11-06,335.625,335.95,331.975,333.85,9730
2015-11-09,330.6,332,326.525,329.675,421966
2015-11-10,332.225,335,318,322.45,48392
2015-11-11,327,327.45,324,326.375,5630
2015-11-13,326.375,326.375,317.55,319.5,18036
2015-11-16,319.45,319.45,312.7,313.475,16184
2015-11-17,316,330,314,321.6,51434
2015-11-18,319.6,323.5,317.55,320.125,46802
2015-11-19,322.025,331.975,321.525,329.05,39688
2015-11-20,332.4,332.5,326.375,329.725,7668
2015-11-23,332.45,332.45,322.825,326.075,24852
2015-11-24,326,328.375,322.975,325.5,11920
2015-11-26,325.9,329.375,323.275,325.075,13760
2015-11-27,322.85,331.175,322.825,327.9,24426
2015-11-30,325.5,333.4,325.425,328.75,30088
