Date,Open,High,Low,Close,Volume
2015-09-07,94.1667,94.1667,92.6667,93.058,98244
2015-09-08,92.7,93.3333,89.558,89.9747,233028
2015-09-09,92.0753,92.692,90.1667,91.3,82662
2015-09-10,90.1747,91.5,89.3167,90.4167,115986
2015-09-11,90.8253,92.95,90.6667,91.1587,201438
2015-09-14,93.6667,93.6667,90.6747,91.0913,173328
2015-09-15,91.4247,92.4667,89.3667,90.5753,210756
2015-09-16,91.6667,92,90.6667,91.4,65700
2015-09-18,93.3333,93.3333,91.05,92.2833,48732
2015-09-21,92.3333,94.1333,91.1167,91.5167,113670
2015-09-22,91.8913,92.992,90.65,90.9333,66138
2015-09-23,90.9333,94.8333,89.6667,94.2667,185208
2015-09-24,94.35,97.792,94.35,94.6833,271086
2015-09-28,96.308,96.308,92.55,93.2167,42138
2015-09-29,93.1667,93.2167,90.7,91.7247,67440
2015-09-30,92.258,93.8413,91.8587,92.9167,69714
2015-10-01,93.308,93.7,91.4167,91.7247,48618
2015-10-05,91.6667,94.8333,91.6667,93.492,116646
2015-10-06,93.5833,96.9747,93.1413,95.9333,156468
2015-10-07,95.5,97.0413,94.8333,95.7167,106476
2015-10-08,95.8333,96.4833,94.5,94.7247,44118
2015-10-09,96.492,96.492,92.5167,93.8253,105336
2015-10-12,92.558,95,92.558,93.5913,95262
2015-10-13,94.242,94.55,93.35,93.6,67242
2015-10-14,93.6587,94.3,92.8333,93.5,202338
2015-10-15,94.208,95.8253,93.85,95.05,85470
2015-10-16,94.5253,94.808,93.0333,93.3167,130170
2015-10-19,93.6667,93.8333,92.9587,93.3413,62940
2015-10-20,93.3587,94.0833,93.1667,93.308,123468
2015-10-21,93.35,93.8333,92.9167,93.1413,125100
2015-10-23,93.508,93.6667,92.1667,92.3413,54126
2015-10-26,93,96.65,92.3747,94.2667,510132
2015-10-27,95.3253,96.35,94.25,95.75,97530
2015-10-28,96.6587,98.0833,95.758,97.5253,203646
2015-10-29,98.6667,99.1587,96.8333,97.7,125568
2015-10-30,98.3333,98.9747,96.558,96.8913,84840
