Date,Open,High,Low,Close,Volume
2015-09-07,44.6,47.75,43.9,44.45,543155
2015-09-08,44.25,45.3,44,44.25,161268
2015-09-09,45,45.8,44.1,44.35,90929
2015-09-10,44.1,45.2,43.55,44.7,119651
2015-09-11,44.65,47.6,43.1,44.15,171179
2015-09-14,44.55,45.45,44.1,45,160288
2015-09-15,44.95,46.9,44.55,46.1,179821
2015-09-16,46,47.75,45.8,46.85,159389
2015-09-18,46.45,52.25,46.45,51.3,668458
2015-09-21,50,51.75,49.4,49.9,247906
2015-09-22,50.7,50.7,48.4,49.05,158555
2015-09-23,49,49.5,47.55,49,122887
2015-09-24,49,49.9,47.6,47.9,137491
2015-09-28,48.2,53.95,48.2,53.4,1190625
2015-09-29,52,54.6,50.1,51.8,409561
2015-09-30,53,53.8,51.5,52.75,605125
2015-10-01,53.75,58,52.7,53.55,958743
2015-10-05,54.1,55.3,53.85,54.75,393340
2015-10-06,54.75,59.85,54.75,59.3,1351212
2015-10-07,59.9,63.5,59.6,61.5,2460353
2015-10-08,61.3,62.9,59.8,60.5,1010395
2015-10-09,61.4,64,60.8,62.35,1521506
2015-10-12,62.3,63.2,60.15,60.5,400515
2015-10-13,60,65,58.6,64.05,2239307
2015-10-14,65,65,61,61.6,1049052
2015-10-15,62.25,64.05,61.4,63.7,1053495
2015-10-16,63.7,64.15,62.35,63.9,953247
2015-10-19,64.7,65.9,62.05,62.75,1182483
2015-10-20,63.45,65.2,62.6,63.5,2125690
2015-10-21,64,66.9,63.2,64.55,3137871
2015-10-23,65.25,67,63.65,64.2,2469360
2015-10-26,64.9,65.45,62.55,63.75,744786
2015-10-27,63.85,64.6,62.8,63.2,948880
2015-10-28,63.2,63.7,60.8,61.4,511066
2015-10-29,61.15,62.6,61.15,62.05,660796
2015-10-30,62.85,62.85,60,60.75,557128
2015-11-02,60.7,64,60.65,63.5,762603
2015-11-03,64.2,65.5,62.8,63.5,1527114
2015-11-04,64.75,65,62.4,62.65,710334
2015-11-05,62.1,62.95,59.2,59.95,346459
2015-11-06,59.9,61,58.35,59,422463
2015-11-09,55.8,65,54.75,64.15,1280363
2015-11-10,64.45,65.25,61.5,62.05,482255
2015-11-11,62.55,63.5,62.45,63.1,201640
2015-11-13,62.8,69.9,61.55,69.05,3399054
2015-11-16,69.05,73.5,69,71.45,4427171
2015-11-17,72.6,74.3,71.5,72.25,4436946
2015-11-18,72.9,85.7,72.5,82.95,13994764
2015-11-19,82,82.1,72.8,73.55,8138847
2015-11-20,73,77,73,74.3,3562948
2015-11-23,74.9,76.5,74,74.4,1709166
2015-11-24,74.5,79.65,74,77.2,4245958
2015-11-26,77,78.5,74.8,76.6,1853998
2015-11-27,77.5,78.8,75.65,76.45,1223393
2015-11-30,76.5,76.9,72.4,73.3,1130080
2015-12-01,73.9,74.05,71.15,72.65,1218910
2015-12-02,73.05,77,73.05,75.85,1942973
2015-12-03,75.75,77,74,74.55,813939
2015-12-04,74.65,75.2,65.6,72.4,1033942
2015-12-07,73.5,74.55,71.35,71.8,521891
2015-12-08,71.85,73.6,70.3,70.75,602851
2015-12-09,70.8,71.45,68,69.2,597192
2015-12-10,70.1,72,69.35,70.65,1072196
2015-12-11,70.65,70.7,68.5,69.95,572910
2015-12-16,74.05,75,72.15,72.9,1594811
2015-12-17,73.65,74,72.6,72.95,683742
2015-12-18,72.95,74,70.1,71.1,756565
2015-12-21,71.4,71.95,70.6,71.05,375470
2015-12-22,71.4,73.4,69.6,70.1,1719792
2015-12-23,70.6,72,70,70.3,855717
2015-12-24,70.8,71.2,69.7,70,696374
2015-12-28,70.45,70.65,69.1,69.65,581610
2015-12-29,69.5,71.5,69.05,69.7,640228
2015-12-30,70.1,71.3,69.5,70,455635
2015-12-31,70.5,71.4,69.8,70,1443954
2016-01-01,70.7,73.25,70.05,71.9,2267239
2016-01-04,72.75,74.8,72.5,73.95,4035576
2016-01-05,74.05,74.95,72.3,73.85,1922395
2016-01-06,75,78.5,75,77.7,6020172
2016-01-07,76.95,77,73.5,75,3061583
2016-01-08,76,83.45,75.5,82.25,7936149
2016-01-11,81.5,86.4,81,83.6,6288087
2016-01-12,84.25,84.65,79.7,82.9,3044491
2016-01-13,83.4,89.45,78.8,87.8,8441813
2016-01-14,85.25,90.9,83.3,87.45,5412423
2016-01-15,88.5,90.6,82,83.35,4019088
2016-01-18,83,86.5,78,80.2,3145349
2016-01-19,80.8,86.4,80.8,85,2570996
2016-01-20,84,85.65,81,83.75,2374103
2016-01-21,84.3,85.7,82.1,83.3,1079746
2016-01-22,84.75,89.95,83.9,89.1,3085671
2016-01-25,90.6,91.5,87.1,87.7,1573272
2016-01-27,88,89.3,83.8,88.35,2144342
2016-01-28,88,88.9,85.6,88,1052176
2016-01-29,88,90,86.75,88.95,1641286
2016-02-01,89.4,93.7,88.6,92.9,3398557
2016-02-02,93.5,95,90,90.7,2329341
2016-02-03,90,90,85.5,88.2,1489486
2016-02-04,89.5,90.4,81.5,82.45,1792425
2016-02-05,83,87.5,82.5,86.65,1038582
2016-02-08,87.5,91.7,85.6,89.75,4267244
2016-02-09,87.75,90.75,85.05,85.65,3269883
2016-02-10,85.4,85.8,79.3,80.8,2157674
2016-02-11,80.3,82.3,75.05,75.3,1861244
2016-02-12,75.5,80,70.25,78.85,1930269
2016-02-15,80.7,82.9,79.8,80.45,916230
2016-02-16,81.6,81.7,76.25,76.8,682029
2016-02-17,76.8,81.9,73.5,80.1,1394989
2016-02-18,82.2,83.9,77.8,79.2,1289098
2016-02-19,79.75,80.65,78.15,80.05,595298
2016-02-22,80.75,81.4,78,80.1,702419
2016-02-23,80.35,80.9,78.1,78.75,696499
2016-02-24,79.95,82.4,79.5,79.95,1703284
2016-02-25,80.35,82.4,79.65,80.25,1316825
2016-02-26,81.4,83.2,81.4,82.6,1560977
2016-02-29,82.4,82.95,80,81.4,990362
2016-03-01,82.2,85.3,81.3,84.75,1113880
2016-03-02,86.4,86.4,82.2,83.4,1127302
2016-03-03,84.8,85.8,83.3,85.25,843918
2016-03-04,86.1,94,84.45,92.85,4879551
2016-03-08,93.6,102.8,93,99.55,8814462
2016-03-09,97.95,101.3,97.05,98.7,3636183
2016-03-10,99.35,100.7,95.05,95.65,2522774
2016-03-11,95.45,96.9,91.55,92.35,2559945
2016-03-14,93.85,96.3,93.3,95.45,2240567
2016-03-15,96.7,99.9,95.05,98.95,7109475
2016-03-16,98.8,101,96.5,97.85,5355585
2016-03-17,98.9,98.9,94.75,95.5,2309513
2016-03-18,96.65,99.9,96.5,96.95,4011854
2016-03-21,97.5,98.3,96,97.6,1889000
2016-03-22,99,102.8,97.1,100.8,3771572
2016-03-23,102.1,103.7,99.6,100.8,3327233
2016-03-28,102.05,102.6,99.15,100.6,2699776
2016-03-29,100.4,102.1,99.2,100.35,1846330
2016-03-30,101,115,101,108.05,11926365
2016-03-31,107.4,109.3,105.5,107.85,3545553
2016-04-01,108,112.2,107.55,109.35,4805008
2016-04-04,109.7,111.9,107.5,107.85,2949945
2016-04-05,107,107.95,104.8,106.45,2065306
2016-04-06,107.4,112,107,111,4576700
2016-04-07,110.8,110.9,104.6,105.7,3226510
2016-04-08,105.15,107.7,104.4,105.5,2247030
2016-04-11,105.8,108.9,104.55,108.2,2124820
2016-04-12,108.1,108.1,101.7,104.25,3486984
2016-04-13,104.8,107.75,104.45,104.9,1582763
2016-04-18,105.8,110.75,104.3,109.55,4675248
2016-04-20,109.55,111.85,104.55,106.15,4411743
2016-04-21,106.45,107.2,103.5,104.1,1413585
2016-04-22,104,107.1,102.5,105.15,1828650
2016-04-25,105.5,106.7,104.45,105.95,1131663
2016-04-26,105.95,107.65,104.5,105.3,1958622
2016-04-27,105.3,107.4,105,105.45,1367016
