Date,Open,High,Low,Close,Volume
2015-09-07,57.15,57.95,55.65,56.525,74892
2015-09-08,57.15,58.5,55.275,57.55,81352
2015-09-09,58.225,59.7,57.75,58.825,111446
2015-09-10,58.2,58.2,55.65,57.425,57680
2015-09-11,57.75,60.375,57.75,58.85,57306
2015-09-14,58.9,60.75,58.65,60.05,51112
2015-09-15,60,62.025,57.7,58.6,86870
2015-09-16,59.225,59.65,58,58.35,54226
2015-09-18,58.8,60.1,58.65,59.3,31168
2015-09-21,59.35,61.95,59,61.425,75280
2015-09-22,62,62.975,58.15,59.3,77974
2015-09-23,58,58.85,57.025,58.025,104230
2015-09-24,58.05,58.6,57.275,57.775,94428
2015-09-28,57.5,59.85,57.5,58.45,78758
2015-09-29,57,58.65,56.525,57.525,67780
2015-09-30,57.75,59.15,57.75,58.35,47070
2015-10-01,58.65,59.95,58.625,59.45,62368
2015-10-05,60.1,63.3,59.6,62.375,138902
2015-10-06,63,64.9,63,63.675,173872
2015-10-07,63.775,63.875,62.55,62.825,46750
2015-10-08,62.925,67,62.9,65.75,293534
2015-10-09,66.05,67.75,65.8,67.125,197918
2015-10-12,67.65,69.9,66.5,67.575,208848
2015-10-13,67.575,70.75,67.575,70.375,162700
2015-10-14,71.975,73.5,71.2,72.25,577152
2015-10-15,72.5,72.875,70.05,70.5,175610
2015-10-16,70.725,71.1,69.05,70,82050
2015-10-19,70.25,70.5,68.9,69.1,50306
2015-10-20,69.375,71,67.5,68.175,124554
2015-10-21,68.5,70.8,67.825,69.475,150648
2015-10-23,69.7,70.225,67.875,68.225,91320
2015-10-26,68.475,69.125,67.65,67.725,35524
2015-10-27,67.65,68.1,67.25,67.4,39194
2015-10-28,67.9,68.125,66.375,66.525,33384
2015-10-29,66.275,67.65,65.05,65.225,50300
2015-10-30,65.4,66.375,64.5,65.3,43830
2015-11-02,65.15,66.4,63.025,63.975,90684
2015-11-03,64.35,65.4,64.25,64.75,37514
2015-11-04,65.375,66.975,65.375,65.95,49470
2015-11-05,65.875,68.025,65.525,65.75,62042
2015-11-06,65.175,69,63.875,64.75,329382
2015-11-09,63.5,67,62.6,65.35,85212
2015-11-10,65.625,65.625,62.025,63.075,86462
2015-11-11,63.95,65.5,63.95,65.1,20134
2015-11-13,65,66.25,63.275,64.55,51050
2015-11-16,64.55,64.65,63.15,63.85,57142
2015-11-17,64.125,64.775,63.35,63.55,71804
2015-11-18,63.2,64.4,60.775,61.275,95338
2015-11-19,61.85,62.65,60.4,61.075,115890
2015-11-20,61.475,65.5,61.15,63.7,198500
2015-11-23,64.15,66.4,63.65,64.175,91912
2015-11-24,63.675,67.35,63.65,66.925,215702
2015-11-26,67.95,69.5,67.7,68.425,367894
2015-11-27,69.25,70.95,69,69.6,249542
2015-11-30,69.925,71.225,69.925,70.775,91778
2015-12-01,70.775,70.775,68.475,69.2,98380
2015-12-02,69.175,69.5,67.325,68.425,132294
2015-12-03,68.475,69.5,67.95,68.3,57580
2015-12-04,67.7,68.5,67.4,67.6,49980
2015-12-07,68.15,68.75,66.55,66.925,46020
2015-12-08,68.75,71,67.15,68.25,381998
2015-12-09,68.25,70.9,66.65,68.55,384762
2015-12-10,69.65,70,67.75,69.1,124924
2015-12-11,76,76.05,69.2,70.7,875818
2015-12-16,71.2,71.35,69.3,70.525,130510
2015-12-17,70.75,71.5,68.75,69.325,194172
2015-12-18,69.75,70.725,68.225,68.5,122516
2015-12-21,68.15,69.725,67.65,69.125,46434
2015-12-22,69.65,72.25,68.7,69.875,307906
2015-12-23,70.35,70.85,69.05,69.525,67302
2015-12-24,70.125,71.25,69,70,121048
2015-12-28,70.725,73.5,70.45,72.65,411868
2015-12-29,73,73,70.55,71.875,119616
2015-12-30,72.35,72.4,70.65,71.025,79380
2015-12-31,70.65,72.2,70.65,71.775,68322
2016-01-01,71.525,72.7,71.3,72.35,87156
2016-01-04,72.25,74,71.025,72.025,225968
2016-01-05,71.65,74.05,71,72.575,177532
2016-01-06,72.5,76,72.45,72.95,427410
2016-01-07,72.475,72.475,69.15,69.725,142290
2016-01-08,70.15,72,70.15,71.25,99750
2016-01-11,70.65,72.25,67.5,71.325,85656
2016-01-12,71.3,72.3,70.1,70.275,132562
2016-01-13,70.65,71.15,64,67.65,175604
2016-01-14,67.025,67.65,65.75,66.225,95528
2016-01-15,66.175,67,63.75,64.2,68500
2016-01-18,64.15,64.5,58.75,59.6,95866
2016-01-19,59.25,61.725,58.6,60.6,59790
2016-01-20,60.05,60.75,58.725,60.05,83504
2016-01-21,60.675,62.2,59.3,59.9,71050
2016-01-22,60.975,62.45,60.975,62.025,55986
2016-01-25,62.525,64.5,62.5,63.325,50798
2016-01-27,63.9,63.9,62.575,63.05,36970
2016-01-28,63.025,63.85,62,62.8,54804
2016-01-29,64.05,70,63.3,63.95,351696
2016-02-01,65.225,65.225,59.475,61.9,208144
2016-02-02,61.525,63.925,61.525,61.775,84932
2016-02-03,61.225,61.475,60,60.15,95042
2016-02-04,60.825,61.4,58.1,58.95,76078
2016-02-05,58.95,59.55,57,57.45,63250
2016-02-08,57.825,59.2,56.5,56.975,80454
2016-02-09,57,57.8,54.05,54.775,98446
2016-02-10,55.5,56.25,52.8,53.075,72548
2016-02-11,52.925,54.125,51.025,51.65,241464
2016-02-12,51.8,54.2,48.5,50.45,109914
2016-02-15,50.925,56.5,50.5,52.075,108070
2016-02-16,52.225,53,49.15,49.75,80912
2016-02-17,49.575,52.2,46.5,49.55,112328
2016-02-18,49.875,51.2,45.8,46.75,272588
2016-02-19,47.3,48.475,46.5,48.1,63108
2016-02-22,48.2,49.225,47.25,47.95,48862
2016-02-23,48.025,48.65,46.75,47.375,35624
2016-02-24,47.4,47.775,46,46.35,66814
2016-02-25,46,47.25,45.1,46.2,60688
2016-02-26,46.8,47.95,45.575,46.15,47892
2016-02-29,47.9,47.9,46,47.3,37686
2016-03-01,47.3,49.275,46.55,48.975,69164
2016-03-02,49.825,51.05,47.55,50,95044
2016-03-03,51,51.4,50.2,50.9,68856
2016-03-04,51.55,51.55,48.875,49.7,94684
2016-03-08,50,50.5,49.5,50,69566
