Date,Open,High,Low,Close,Volume
2020-10-05,31.5,31.5,30,30,18000
2020-10-08,28.5,29.95,28,29.95,12000
2020-10-27,31,32,31,32,18000
2020-10-28,30,30,29,29,6000
2020-10-30,28,28,27.5,27.5,6000
2020-11-06,28.95,28.95,28.95,28.95,3000
2020-11-13,30,30,30,30,6000
2020-11-14,30,34,30,32,6000
2020-11-17,31.5,32,30.4,30.4,15000
2020-11-18,31,31,30,30,9000
2020-11-19,31,31,30,30,57000
2020-11-20,31,33.4,31,33.4,90000
2020-11-23,33.4,34,33.4,34,9000
2020-11-24,36.2,36.5,36.2,36.5,9000
2020-11-25,42.8,42.8,42,42,6000
2020-12-01,40,40,40,40,6000
2020-12-02,39,39,39,39,3000
2020-12-03,37.5,37.5,37.5,37.5,3000
2020-12-04,39,39,39,39,3000
2020-12-07,40,40,40,40,3000
2020-12-08,40,40,40,40,3000
2020-12-09,40.5,40.5,40.1,40.1,6000
2020-12-14,40,40,40,40,3000
2020-12-16,40.5,41,39.5,41,12000
2020-12-17,42,45.1,41.7,45.1,108000
2020-12-18,45.1,48.45,44.85,47,51000
2020-12-21,48.05,48.05,47,47,9000
2020-12-22,48,48,48,48,3000
2020-12-23,48.2,48.2,48.2,48.2,3000
2020-12-24,48.6,49.95,48.6,49.95,18000
2020-12-28,49.95,52,49.95,52,15000
2020-12-29,53,53,51,51,12000
2021-01-04,53.5,53.5,53.5,53.5,3000
2021-01-06,55,55,54,54,6000
2021-01-07,54.85,55,54,54,18000
2021-01-08,56,58,56,58,24000
2021-01-11,58,59.95,58,59.95,12000
2021-01-12,61,64,60.05,63.75,66000
2021-01-13,67,67,65,65.4,21000
2021-01-14,67.5,71.9,67.5,71,36000
2021-01-15,72,72,72,72,6000
2021-01-18,72.5,72.5,71.95,71.95,6000
2021-01-20,71.05,71.2,71,71,9000
2021-01-21,70.95,70.95,70.95,70.95,3000
2021-01-25,68.05,68.05,67.45,67.45,9000
2021-01-27,64.1,64.1,64.1,64.1,3000
2021-01-28,61,61,60.9,60.9,30000
2021-01-29,57.9,57.9,57.9,57.9,6000
2021-02-01,55.05,55.05,55.05,55.05,6000
2021-02-05,56.95,57,56.95,57,6000
2021-02-08,59.85,59.85,59.85,59.85,3000
2021-02-09,62.8,62.8,62.8,62.8,3000
2021-02-10,65.85,65.9,65.85,65.9,6000
2021-02-12,69.15,69.15,69.15,69.15,6000
2021-02-15,69,72.6,69,72.3,15000
2021-02-16,72,72,68.7,68.7,15000
2021-02-17,66,71.7,66,71.6,9000
2021-02-18,68.1,68.1,68.1,68.1,3000
2021-02-25,68.1,68.1,68.1,68.1,3000
2021-02-26,68,68,68,68,3000
2021-03-03,67,67,67,67,3000
2021-03-12,67.1,67.1,67.1,67.1,3000
2021-03-15,68.75,68.75,68.75,68.75,3000
2021-03-16,68,68,68,68,3000
2021-03-18,70,70,70,70,3000
2021-03-19,73,73,73,73,3000
2021-03-22,76.6,76.6,76.6,76.6,3000
2021-03-23,76.6,80.4,76.6,80.4,15000
2021-03-24,80.6,81.75,76.4,78.7,24000
2021-03-25,81,82.5,81,81.75,6000
2021-03-26,79.1,83.95,77.7,82.55,63000
2021-03-30,80,80,79,79,12000
2021-04-01,80,80,80,80,3000
2021-04-05,79,79,79,79,3000
2021-04-06,78,80.5,75.05,78.05,153000
2021-04-07,80,80,80,80,9000
2021-04-08,80,80,80,80,6000
2021-04-09,80,80,80,80,3000
2021-04-12,78,78,78,78,3000
2021-04-20,75,75,74.1,74.1,6000
2021-04-22,75,75,75,75,3000
2021-04-23,76,76,76,76,3000
2021-04-30,75,75,75,75,3000
2021-05-18,77,77,77,77,3000
2021-05-26,78.6,78.95,78.6,78.8,18000
2021-05-28,79,81,79,81,6000
2021-06-01,81,81,77,77,9000
2021-06-02,76,76,75.1,75.1,27000
2021-06-04,75,75,75,75,3000
2021-06-07,75,75,75,75,150000
2021-06-09,74.05,74.05,74,74,6000
2021-06-10,74,74,74,74,195000
2021-06-11,75,75,75,75,6000
2021-06-14,75.1,78,75.1,75.1,201000
2021-06-16,77,77,77,77,3000
2021-06-18,76,76,74,74,12000
2021-06-21,75,77,75,77,153000
2021-06-28,79,79,75,75.1,126000
2021-06-30,75.2,75.5,75,75.5,237000
2021-07-05,78,79.25,78,79.25,6000
2021-07-07,76,76,76,76,3000
2021-07-08,75,75,75,75,30000
2021-07-13,73,74.5,73,74.5,6000
2021-07-14,75,76,74.1,76,177000
2021-07-15,78,79.8,77,77,21000
2021-07-19,77.05,77.05,77,77,6000
2021-07-20,78,78,78,78,3000
2021-07-22,76,77,75,77,63000
2021-07-23,77,78,77,78,6000
2021-07-26,78.5,78.5,78.5,78.5,3000
2021-07-27,79,79,79,79,3000
2021-07-28,81,81,81,81,3000
2021-07-29,80,80,80,80,3000
2021-07-30,78.15,78.15,78.1,78.1,6000
2021-08-02,80.95,82,80.95,82,24000
2021-08-03,84.8,86.1,83.05,86.1,21000
2021-08-04,90.3,90.4,88,90.4,24000
2021-08-05,94,94.9,94,94.9,21000
2021-08-06,95.1,99.3,94.9,99.25,21000
2021-08-09,98,98,94.3,94.9,24000
2021-08-11,91,95,90.2,91,30000
2021-08-12,91,91,90.95,90.95,6000
2021-08-13,91,91,88.5,88.5,12000
2021-08-16,86,86,84.25,85.05,222000
2021-08-17,86,88.2,86,88.2,9000
2021-08-18,90.95,91.5,90.9,91.5,12000
2021-08-20,91,91,87.5,89.5,15000
2021-08-23,90,90,87.1,87.1,27000
2021-08-24,87.2,91,87.2,88.4,36000
2021-08-26,92,92.8,92,92.8,6000
2021-08-27,91.6,91.6,91.6,91.6,3000
2021-08-30,90.05,94.5,90.05,94.5,9000
2021-08-31,92.25,92.25,90.5,90.5,6000
2021-09-01,91.95,92,91.95,92,6000
2021-09-02,93,93,93,93,3000
2021-09-03,95,95,95,95,3000
2021-09-06,92.1,92.1,90.5,90.85,15000
2021-09-07,93,93,89.75,89.75,6000
2021-09-08,92,93.7,90.35,90.35,9000
2021-09-09,92,92,89,90.5,333000
2021-09-15,94.95,95,94.95,95,6000
2021-09-16,95,95,95,95,3000
2021-09-17,98.9,98.9,98.9,98.9,3000
2021-09-20,98.9,98.9,97,97,6000
2021-09-24,98,98,98,98,3000
2021-09-28,98.1,98.1,97,97,15000
2021-09-30,97,97,97,97,3000
2021-10-01,95.1,95.1,95.1,95.1,3000
2021-10-12,98,98,98,98,3000
2021-10-13,97,98.5,97,98.5,6000
2021-10-20,95.2,95.2,95.2,95.2,3000
2021-10-21,95,95,95,95,3000
2021-11-04,95,95,95,95,30000
2021-11-08,95.1,96,95.1,96,6000
2021-11-09,95,95,95,95,159000
2021-11-10,95.6,95.7,95.6,95.7,6000
2021-11-12,98,98,98,98,9000
2021-11-15,98.4,99.5,98.4,99.5,12000
2021-11-16,103,104.45,103,104,33000
2021-11-17,108.95,109.2,108.9,109.2,39000
2021-11-18,114.65,114.65,114.65,114.65,51000
2021-11-22,120.35,120.35,120.35,120.35,6000
2021-11-23,126.35,126.35,126.35,126.35,9000
2021-11-24,132.65,132.65,132.65,132.65,57000
2021-11-25,139.25,139.25,139.25,139.25,6000
2021-11-26,146.2,146.2,146.2,146.2,66000
2021-11-29,153.4,153.5,145,153.5,48000
2021-11-30,160.95,161.15,159.5,161.15,30000
2021-12-01,169,169.2,153.1,153.1,84000
2021-12-02,148,150.2,145.45,145.45,72000
2021-12-03,140,144.4,138.2,144.4,15000
2021-12-06,145,147.5,145,147.25,9000
2021-12-07,150.4,154.6,150.4,154.55,27000
2021-12-08,162,162.25,162,162.25,12000
2021-12-09,170.35,170.35,163,170.35,69000
2021-12-10,174.9,178.85,173.1,178.8,114000
2021-12-13,184,184,184,184,3000
2021-12-16,184,184,184,184,3000
2021-12-17,178.1,179.95,177,177,15000
2021-12-20,170,170,170,170,3000
2021-12-21,164,164,164,164,3000
2021-12-24,160,160,160,160,3000
2021-12-28,160,160,160,160,3000
2021-12-30,161,161,161,161,3000
2021-12-31,168,169.05,168,169.05,6000
