Date,Open,High,Low,Close,Volume
2015-09-08,56.1,56.1,46,55.1,5
2015-09-15,56.5,56.5,56.5,56.5,1
2015-09-16,55,55,55,55,2
2015-09-22,54.9,54.9,54.9,54.9,1
2015-10-05,53,54.9,52.2,54.9,518
2015-10-06,55,55,55,55,4
2015-10-07,52.25,53.95,52.25,53.95,29
2015-10-08,56.5,56.5,52.05,56,295
2015-10-12,56,56,53.5,53.5,16
2015-10-15,51,51.3,51,51.25,685
2015-10-16,53.8,53.8,53.5,53.5,209
2015-10-20,51,51,51,51,1
2015-10-26,48.8,53.55,48.8,53.55,518
2015-10-27,56.2,56.2,53,53,29
2015-10-28,50.5,50.5,50.5,50.5,2
2015-10-29,48,48,48,48,5
2015-10-30,45.6,45.6,45.6,45.6,1
2015-11-03,43.5,47.8,43.5,47.8,170
2015-11-04,50.15,50.15,50.15,50.15,100
2015-11-05,52.65,52.65,52.65,52.65,600
2015-11-06,52,55,50.1,52.6,1109
2015-11-09,55.2,55.2,55.2,55.2,65
2015-11-13,54.05,54.05,54.05,54.05,100
2015-11-17,55,56.75,55,56.75,473
2015-11-18,59.55,59.55,59.55,59.55,1
2015-11-20,62.5,62.5,62.5,62.5,97
2015-11-24,65.6,65.6,65.6,65.6,25
2015-11-26,68.85,68.85,68.85,68.85,422
2015-11-27,72.25,72.25,72.25,72.25,78
2015-11-30,75.85,75.85,75.85,75.85,28
2015-12-01,79.6,79.6,79.6,79.6,34
2015-12-02,83.55,83.55,83.55,83.55,10
2015-12-03,87.7,87.7,87.7,87.7,210
2015-12-04,92.05,92.05,92.05,92.05,10
2015-12-07,96.65,96.65,96.65,96.65,4710
2016-02-09,123.5,123.5,114,114,8
2016-02-10,108.3,108.3,108.3,108.3,60
2016-02-12,102.9,102.9,102.9,102.9,40
2016-02-15,97.8,97.8,97.8,97.8,7
2016-02-16,92.95,102.6,92.95,93.05,1124
2016-02-17,97.7,97.7,97.7,97.7,4
2016-02-22,93.8,102.55,93.8,102.55,12
2016-02-23,102.55,102.55,99.8,99.8,65
2016-02-24,104.75,104.75,104.75,104.75,33
2016-02-25,99.55,109.95,99.55,106.5,15
2016-02-26,101.2,108,101.2,108,26
