Date,Open,High,Low,Close,Volume
2015-09-07,12.45,12.45,11.7,11.8,4917
2015-09-08,11.6,12.35,11.15,11.4,6886
2015-09-09,12,12.15,11.1,11.7,6823
2015-09-10,11.5,12.3,11.35,11.8,1008
2015-09-11,13.85,13.85,11.8,11.9,3896
2015-09-14,12,12,12,12,150
2015-09-15,12.2,12.25,12.1,12.1,1977
2015-09-16,12,12.55,12,12.35,3683
2015-09-18,13,13,11.6,11.8,1991
2015-09-21,11.75,12.75,11.75,12.15,1883
2015-09-22,12,12.9,11.9,12.5,734
2015-09-23,12.5,13,12,12,4759
2015-09-24,13.5,13.5,12.1,12.35,5548
2015-09-28,13,13.2,12.5,12.8,4652
2015-09-29,12.65,13,12.25,12.6,901
2015-09-30,12.4,12.4,12.4,12.4,51
2015-10-01,12.35,12.85,11.6,11.95,1344
2015-10-05,12,13.1,11.9,12.65,3088
2015-10-06,12.5,13.95,12.3,13,3164
2015-10-07,12.9,13.15,12.45,12.95,3994
2015-10-08,12.9,12.9,12.45,12.55,1561
2015-10-09,13,13.2,12.55,12.65,2657
2015-10-12,13,14,12.55,12.75,4990
2015-10-13,12.85,13.1,12.85,13.1,1140
2015-10-14,13,13.35,13,13,542
2015-10-15,13.5,13.7,12.4,12.8,1885
2015-10-16,12.8,12.8,12.8,12.8,47
2015-10-19,13.5,13.5,13,13.5,5000
2015-10-20,13.3,14,12.25,12.8,3123
2015-10-21,13.5,13.5,12.9,13.1,1295
2015-10-23,14,14,13.15,13.3,983
2015-10-26,13.25,13.85,13.25,13.45,801
2015-10-27,13.2,15.9,12.6,13.5,5561
2015-10-28,13.55,13.9,13.5,13.5,1938
2015-10-29,13.9,14,13.55,13.65,1345
2015-10-30,13.4,14.1,12.5,13.65,4442
2015-11-02,13.5,13.5,13.5,13.5,2
2015-11-03,13.3,13.3,12.55,12.6,5465
2015-11-04,12.9,13.35,12.7,12.75,743
2015-11-05,12.55,13.35,12.55,12.75,612
2015-11-06,12.65,13.65,12.5,12.5,4176
2015-11-09,12.3,13,11.3,12.85,5473
2015-11-10,12.7,13,12.5,13,174
2015-11-11,13.6,13.6,12.2,12.9,505
2015-11-13,13,13,12.9,12.9,205
2015-11-16,13.65,13.65,12.55,12.95,2367
2015-11-17,12.75,13.25,12.75,12.9,718
2015-11-18,12.85,13.2,12.6,13.1,2710
2015-11-19,12.9,13,12.65,12.85,2104
2015-11-20,13.5,13.5,12.9,13.3,5537
2015-11-23,13,13.9,12.4,12.95,16291
2015-11-24,12.75,13.5,12.6,13.4,3787
2015-11-26,13.1,13.85,13.1,13.5,684
2015-11-27,13.3,13.9,12.9,13.8,4911
2015-11-30,13.7,14,13.25,13.55,3036
2015-12-01,13.7,14.7,13.45,14.15,24430
2015-12-02,14.1,15.5,14.1,15.05,16236
2015-12-03,15,15.9,15,15.75,15588
2015-12-04,16.05,16.05,14.75,14.95,8085
2015-12-07,15.45,15.9,14.95,15,4918
2015-12-08,14.7,15.4,13.9,14.05,6307
2015-12-09,14,14.4,13.7,13.7,2309
2015-12-10,13.5,14.65,13.4,14.5,4862
2015-12-11,14.7,15,14.05,14.15,2287
2015-12-16,14.45,14.9,14.1,14.2,2434
2015-12-17,14.75,15.8,14.4,15.25,3473
2015-12-18,15,15.35,14.4,14.95,14423
2015-12-21,15.5,15.7,14.6,15.3,2305
2015-12-22,14.9,16.35,14.6,15.75,18744
2015-12-23,16.65,16.65,15.65,16.1,8804
2015-12-24,16.35,16.75,15.4,15.55,6347
2015-12-28,15.5,17.25,15.5,16.4,12431
2015-12-29,16.5,16.55,16.05,16.4,2732
2015-12-30,16.75,17.4,16.7,16.85,14072
2015-12-31,17.25,17.25,16.85,17,12187
