Date,Open,High,Low,Close,Volume
2015-09-07,983.19,991.63,935.99,949.63,120649
2015-09-08,936.79,975.03,924.95,952.31,142186
2015-09-09,967.99,987.35,959.19,977.71,136937
2015-09-10,966.39,978.39,943.99,960.51,143943
2015-09-11,969.63,986.23,945.11,951.71,143022
2015-09-14,959.19,959.99,940.39,945.15,91568
2015-09-15,946.39,959.19,904.19,920.39,163151
2015-09-16,928.79,940.79,901.99,917.63,144991
2015-09-18,933.59,949.55,913.63,937.07,106898
2015-09-21,927.99,1002.39,923.83,979.15,400434
2015-09-22,989.83,1023.19,967.99,988.63,414453
2015-09-23,982.91,1015.19,972.07,997.43,312701
2015-09-24,1019.99,1019.99,1002.39,1009.47,239744
2015-09-28,1014.39,1023.83,985.79,994.71,252904
2015-09-29,979.19,991.99,947.11,969.35,208056
2015-09-30,981.03,1002.11,974.67,994.07,218034
2015-10-01,1002.39,1006.95,987.99,995.03,159503
2015-10-05,999.99,1011.03,995.99,1000.07,81213
2015-10-06,1004.19,1053.51,1004.19,1024.59,497119
2015-10-07,1020.79,1034.15,1007.23,1014.51,177590
2015-10-08,1014.39,1027.27,997.03,1008.31,127483
2015-10-09,1012.79,1020.83,992.87,996.63,126150
2015-10-12,995.99,1003.99,968.83,976.67,160436
2015-10-13,979.99,990.79,971.07,975.07,100504
2015-10-14,975.99,1006.39,971.99,991.31,194548
2015-10-15,999.83,1001.15,977.63,980.23,102609
2015-10-16,980.03,987.07,970.87,979.75,110597
2015-10-19,979.75,988.75,973.23,976.11,67030
2015-10-20,980.79,1001.59,974.63,993.07,259738
2015-10-21,992.91,1023.99,992.43,997.43,419650
2015-10-23,1007.99,1010.79,986.31,990.11,89461
2015-10-26,997.43,997.43,963.11,971.11,92328
2015-10-27,967.99,967.99,947.63,961.07,149626
2015-10-28,959.95,977.99,954.43,965.51,100638
2015-10-29,965.43,968.87,927.99,939.95,162412
2015-10-30,947.99,958.39,928.79,932.43,83261
2015-11-02,932.79,941.55,889.39,903.51,210329
2015-11-03,911.99,918.39,873.59,887.27,171742
2015-11-04,891.99,902.31,867.19,880.07,206404
2015-11-05,887.67,887.67,867.99,878.43,114679
2015-11-06,887.19,895.19,858.51,886.91,354525
2015-11-09,851.99,906.23,799.39,902.03,172777
2015-11-10,902.31,902.31,881.59,888.51,97611
2015-11-11,891.19,899.91,886.43,892.15,22705
2015-11-13,894.07,894.07,869.67,874.63,75981
2015-11-16,871.99,898.71,860.79,881.35,163893
2015-11-17,881.19,890.39,864.27,872.07,77288
2015-11-18,872.79,883.07,826.75,838.15,139201
2015-11-19,843.99,856.79,821.35,833.43,251780
2015-11-20,836.07,864.31,814.43,855.07,279907
2015-11-23,855.99,862.79,839.99,843.31,102230
2015-11-24,843.19,855.83,840.91,845.43,102373
2015-11-26,841.63,919.19,831.99,854.43,283743
2015-11-27,854.39,908.79,853.19,900.39,268059
2015-11-30,906.79,923.99,901.63,906.11,266421
2015-12-01,911.19,914.23,899.43,902.15,119974
2015-12-02,903.19,907.99,871.59,879.67,226339
2015-12-03,880.79,880.79,858.79,862.11,183058
2015-12-04,859.19,892.99,845.75,886.23,323088
2015-12-07,894.23,899.19,861.63,880.19,253620
2015-12-08,872.79,886.95,855.99,862.07,108732
2015-12-09,859.99,864.75,827.07,841.35,256029
2015-12-10,855.19,858.39,831.99,853.11,157012
2015-12-11,856.07,882.39,849.59,855.63,274854
2015-12-16,874.39,903.99,866.11,898.47,364141
2015-12-17,907.99,979.99,904.59,973.51,1072635
2015-12-18,982.55,1017.47,975.99,1010.39,1488676
2015-12-21,1010.39,1013.79,991.27,999.87,454290
2015-12-22,1004.07,1030.15,1000.87,1010.51,536422
2015-12-23,1014.47,1021.27,997.27,1009.67,385221
2015-12-24,1011.99,1050.23,1003.99,1028.71,886801
2015-12-28,1027.99,1047.39,1020.99,1030.11,367450
2015-12-29,1029.59,1040.79,1017.91,1036.27,340072
2015-12-30,1039.15,1043.55,1019.99,1024.63,270243
2015-12-31,1024.91,1032.75,1012.87,1024.87,245011
2016-01-01,1027.99,1054.15,1022.87,1040.55,475133
2016-01-04,1047.99,1059.51,1004.07,1020.79,386017
2016-01-05,1025.59,1033.95,1008.91,1017.51,171032
2016-01-06,1016.03,1026.23,1000.79,1005.11,239184
2016-01-07,992.91,993.59,956.11,967.51,391867
2016-01-08,970.39,987.99,964.91,971.79,267513
2016-01-11,967.99,999.11,952.27,979.59,362897
2016-01-12,986.39,997.67,977.59,982.83,165234
2016-01-13,987.99,996.07,913.63,972.35,297708
2016-01-14,956.79,969.27,933.63,960.43,200715
2016-01-15,972.79,977.59,916.03,930.23,210677
2016-01-18,924.07,927.99,843.99,893.71,225830
2016-01-19,890.39,910.39,879.99,891.27,181197
2016-01-20,879.99,894.79,849.63,877.19,257580
2016-01-21,891.99,895.19,851.19,858.43,222642
2016-01-22,866.35,894.79,860.79,879.11,205496
2016-01-25,892.79,907.99,874.55,881.39,197501
2016-01-27,881.15,894.39,862.39,867.47,201604
2016-01-28,864.79,874.39,846.23,850.67,292312
2016-01-29,843.59,856.59,829.19,839.51,259456
2016-02-01,839.99,853.11,833.23,838.39,208331
2016-02-02,836.79,857.59,827.99,833.31,208381
2016-02-03,823.99,823.99,790.39,802.55,344757
2016-02-04,808.79,815.83,779.99,796.87,277488
2016-02-05,796.47,830.39,787.47,823.15,224946
2016-02-08,823.91,852.79,823.91,829.75,223139
2016-02-09,821.51,835.11,798.07,808.79,224560
2016-02-10,795.99,811.67,793.35,800.71,153119
2016-02-11,796.79,807.99,735.99,775.31,473612
2016-02-12,760.07,834.79,719.99,750.35,419635
2016-02-15,763.15,806.39,751.99,786.51,400364
2016-02-16,802.39,807.19,760.95,767.39,320472
2016-02-17,775.99,777.59,739.19,763.63,221885
2016-02-18,773.99,789.59,745.67,752.51,281789
