Date,Open,High,Low,Close,Volume
2015-09-07,9.5,9.8,9.3333,9.4,12054
2015-09-08,9.5,9.7667,9.0667,9.2333,209980
2015-09-09,9.4667,9.6,9.2667,9.3333,157429
2015-09-10,9.0333,9.3333,9.0333,9.2333,24613
2015-09-11,9.3333,9.3333,9.2333,9.3,12967
2015-09-14,9.9333,9.9667,9,9.5,17436
2015-09-15,9.2667,9.8,9.1667,9.5,30018
2015-09-16,9.5667,9.5667,9.2333,9.3333,37978
2015-09-18,9.8,9.8667,9.3333,9.6,65188
2015-09-21,9.6667,10,9.4667,9.7667,16023
2015-09-22,9.9667,9.9667,9.4667,9.4667,8532
2015-09-23,9.3333,9.6667,9.1667,9.6667,2101
2015-09-24,9.4667,9.8667,9.4667,9.8667,12877
2015-09-28,9.6667,9.8667,9.3333,9.4333,29934
2015-09-29,9.2,9.8,9.2,9.5,31657
2015-09-30,9.6333,9.7667,9.4,9.7333,30255
2015-10-01,9.6333,9.7667,9.5333,9.6667,34416
2015-10-05,9.5,9.8667,9.4667,9.8667,7524
2015-10-06,9.8667,10.2667,9.6667,10,191037
2015-10-07,10.2,10.2,9.9667,10,109390
2015-10-08,10.2667,10.3333,9.8667,9.9667,164226
2015-10-09,10.2333,11.0333,10,10.7333,532170
2015-10-12,10.7333,11.6333,10.7333,11.3,287587
2015-10-13,11.3333,11.7,11.2,11.4333,51534
2015-10-14,11.4333,12.9667,11.4333,12.3333,734622
2015-10-15,12.5667,12.7333,11.8667,12.1333,282010
2015-10-16,12.4667,13.7333,11.4333,13.0333,809737
2015-10-19,12.6333,12.6333,11.6667,11.9,463840
2015-10-20,11.9,13.9,11.5333,13.4,1208713
2015-10-21,13.8667,16.0667,13.0667,16.0667,2068786
2015-10-23,16.8,17.1333,14.8667,16.3,1281330
2015-10-26,16,16,14.7,14.9,374514
2015-10-27,14.1333,16.3667,14.1333,16.3667,1726492
2015-10-28,16.0667,17.6667,15.8,16.9,983095
2015-10-29,16.9333,18.1667,16.5667,16.8,2748666
2015-10-30,17.1667,17.2,15.2,15.4333,726520
2015-11-02,15.3333,16.5333,15.2667,16,182566
2015-11-03,16.4333,16.4333,15.7,15.8,83281
2015-11-04,16.0667,16.3667,15.4333,15.7333,102811
2015-11-05,15.9333,15.9333,14.7333,15,97356
2015-11-06,14.9,15.4667,14.1,14.8,178755
2015-11-09,13.7,15.2667,13.7,15.0333,292642
2015-11-10,15,15.1333,14.1333,14.3667,120808
2015-11-11,14.8333,15.6,14.7,15.2,148138
2015-11-13,15.1333,17.2,14.8,16.1333,826185
2015-11-16,16.3667,17.5333,16.2667,16.6,620862
2015-11-17,16.8667,17.6,16.1667,16.7,781573
2015-11-18,17.1,17.3,16.4,16.6667,349299
2015-11-19,17.0667,17.0667,16.3333,16.6,174874
2015-11-20,16.8,16.8,16.0667,16.2333,185680
2015-11-23,16.1667,16.8,15.9,15.9333,159657
2015-11-24,15.9333,16.8,15.9333,16.0667,236830
2015-11-26,16.3333,16.8,15.7333,16,245592
2015-11-27,16.2333,16.7667,15.8,16.1,995440
2015-11-30,16.3333,16.4333,15.8333,15.9,449895
2015-12-01,15.9,16.3333,15.6667,15.9667,335616
2015-12-02,16.4,18,15.9,17.8333,1796866
2015-12-03,18.1333,18.6,17.6,17.8333,1108612
2015-12-04,17.3333,18,16.9,17.1,331492
2015-12-07,17.3333,19.8667,17.1,18.5667,2195739
2015-12-08,18.3667,19.2,17.4667,17.7,877354
2015-12-09,17.5,17.8667,16.1667,16.5,766668
2015-12-10,16.6667,17.1,16.3667,16.9,442492
2015-12-11,17.1,17.1333,16.5,16.5667,324187
2015-12-16,16.5667,17.6333,16.5,16.7667,1274265
2015-12-17,16.9,17.8,16.8,17.4667,2399098
2015-12-18,17.4,17.7,16.9333,17,854491
2015-12-21,17.2,18.2667,17.1333,18,3071025
2015-12-22,18.1667,19.1333,17.9667,18.3333,3474957
2015-12-23,18.6667,18.7667,17.7,17.9,1021098
2015-12-24,18,18.5,17.4667,18.1333,1186044
2015-12-28,18.3333,18.5,17.5,17.6333,940318
2015-12-29,17.6667,18.0667,16.4667,17.0333,1816237
2015-12-30,17.1333,17.3333,16.6,16.8,700326
2015-12-31,17,17.1667,16.7,17,381978
2016-01-01,17.2,17.4667,16.9667,17.0667,554812
2016-01-04,17.1333,17.3,16.1,16.6667,700212
2016-01-05,16.9,16.9,16.2,16.4,684393
2016-01-06,16.5667,17.1667,16.1,16.4,828057
2016-01-07,16.0333,16.1333,15.2,15.4667,713010
2016-01-08,15.8333,16.6667,15.6667,16.2667,476604
2016-01-11,16,16.6667,16,16.4,357180
2016-01-12,16.4333,16.6,15.2,15.4333,706563
2016-01-13,15.8,15.9,13.6,14.8,838434
2016-01-14,14.5667,15.2,13.7667,14.6,168778
2016-01-15,14.6,14.9667,13.5333,13.8333,245989
2016-01-18,14,14,12.8667,13.0333,405832
2016-01-19,12.8667,13.8,12.8667,13.5667,142639
2016-01-20,13.2,13.2667,12.3667,12.7667,172164
2016-01-21,12.9667,13.3333,12.4,12.6,140113
2016-01-22,12.7667,13.8,12.7,13.4333,175708
2016-01-25,13.5,14.4667,13.5,13.9667,216622
2016-01-27,14,14.3333,13.4333,13.6,111450
2016-01-28,13.6333,13.7333,13.2,13.5,92383
2016-01-29,13.5,13.8,13.3333,13.4667,71937
2016-02-01,13.6333,15.2667,13.4,14.3,428464
2016-02-02,14.4667,14.6333,13.4,13.5333,118864
2016-02-03,13.6333,13.6333,12.5667,13.1,235266
2016-02-04,13.2667,13.5333,12.6667,12.7333,200688
2016-02-05,13,13.2,12.3333,12.9,190987
2016-02-08,12.8667,13.0667,12.5,12.5667,371566
2016-02-09,12.5,12.7333,11.8667,11.9667,381954
2016-02-10,11.8667,11.9667,11.4,11.7667,244975
2016-02-11,12.0333,12.0333,10.6,10.7667,214947
2016-02-12,10.9667,11.2,9.9667,10.8,159108
2016-02-15,10.8,11.6333,10.8,11.1667,138796
2016-02-16,11.4,11.5333,11.0333,11.1333,70782
2016-02-17,10.9,11.9,10.6333,11.4333,228823
2016-02-18,11.6333,11.8667,11.5,11.5333,49818
