Date,Open,High,Low,Close,Volume
2015-09-07,124.405,127.8575,124.405,126.22,178650
2015-09-08,126.4883,127.3808,125,126.1908,397057
2015-09-09,127.6492,128.4525,126.1908,127.7675,122788
2015-09-10,127.3217,127.3217,125.655,126.4583,152768
2015-09-11,127.7975,128.8092,125.9825,126.7558,119427
2015-09-14,128.3925,134.8217,128.3033,132.3217,575682
2015-09-15,133.2742,133.5117,129.0175,130.2083,246768
2015-09-16,130.3575,132.1133,128.0358,128.8092,73003
2015-09-18,129.1667,133.9283,129.1667,132.8867,314031
2015-09-21,132.2617,133.6008,130.3575,130.9525,328051
2015-09-22,132.1133,132.2617,130.1492,131.5775,265244
2015-09-23,129.7617,131.5475,128.5717,131.28,139329
2015-09-24,131.4283,134.5242,129.1967,133.9583,301831
2015-09-28,133.9583,134.5242,129.9108,130.4467,233610
2015-09-29,130.3575,132.1425,126.845,131.4883,151609
2015-09-30,131.845,132.3217,128.9883,130.7442,324472
2015-10-01,131.25,131.6967,128.5717,129.6425,247852
2015-10-05,129.8808,135.8033,129.7617,133.78,557823
2015-10-06,132.6192,133.78,132.1425,132.4108,160980
2015-10-07,133.2742,133.9283,130.7742,132.53,180812
2015-10-08,132.1425,133.2142,130.3575,130.8033,135703
2015-10-09,132.6192,132.6192,130.4167,131.875,93666
2015-10-12,132.1425,134.8217,130.3575,133.6008,245205
2015-10-13,133.8992,136.7558,133.6608,136.0417,495554
2015-10-14,136.0717,137.2917,134.0475,135.2975,215172
2015-10-15,135.4167,136.0117,133.9283,134.9108,155346
2015-10-16,135.5658,136.7858,132.3808,133.8092,218449
2015-10-19,134.7917,134.7917,132.2917,133.095,172083
2015-10-20,132.7383,134.2858,132.1425,133.4525,189224
2015-10-21,133.8692,134.375,131.5475,132.3217,130364
2015-10-23,133.9283,134.2258,131.25,131.4583,130500
2015-10-26,130.9525,132.7383,129.5833,131.3692,213739
2015-10-27,131.3692,133.6008,129.9408,131.5475,166036
2015-10-28,132.1133,132.7383,130.0592,130.9825,641182
2015-10-29,130.9825,132.1425,129.9408,130.9825,66693
2015-10-30,131.9642,132.7383,130.1192,131.9642,258699
2015-11-02,131.3092,131.3692,128.0358,130.1192,457028
2015-11-03,131.25,134.4942,129.1667,133.8392,1194148
2015-11-04,134.8217,138.0658,133.9883,137.0242,1685994
2015-11-05,136.905,137.2617,131.5775,133.3033,306236
2015-11-06,131.3092,134.97,131.3092,133.9583,175948
2015-11-09,130.9525,133.9283,129.7617,132.7975,144205
2015-11-10,131.875,133.9283,131.3692,132.0242,232034
2015-11-11,133.2742,133.9283,130.9525,131.4283,56164
2015-11-13,130.8925,132.47,129.97,130.7442,551164
2015-11-16,130.4167,131.5475,129.1667,131.1608,97042
2015-11-17,131.25,133.0058,129.4642,130.5058,626166
2015-11-18,130.3575,131.6667,129.8508,130.2083,150580
2015-11-19,131.4283,132.3808,130.3575,130.9225,103344
2015-11-20,131.3992,133.3333,130.4167,132.1425,149163
2015-11-23,133.2142,135.7142,132.2025,132.7083,140924
2015-11-24,132.2917,135.7142,130.8925,131.8158,1116828
2015-11-26,132.7383,133.8092,130,130.7742,656005
2015-11-27,131.5475,133.2142,130.3575,130.8033,164328
2015-11-30,130.8033,132.4408,129.8808,131.0117,296815
2015-12-01,131.5475,134.0475,129.8808,130.9525,621369
2015-12-02,131.5175,133.6308,130.655,132.5892,478129
2015-12-03,133.155,137.7975,131.0117,137.0833,948616
2015-12-04,136.905,141.0717,135.2383,139.2858,972584
2015-12-07,140.4758,143.155,136.905,141.7558,606434
2015-12-08,143.4525,144.6133,138.095,139.3158,894589
2015-12-09,139.7617,139.9108,132.7383,132.8275,331533
2015-12-10,133.155,135.4167,131.6075,132.3217,213984
2015-12-11,132.7383,133.2742,130.0592,130.8633,236294
2015-12-16,133.75,133.75,130.2975,132.2025,429356
2015-12-17,133.3333,138.0358,132.2025,136.1308,1943221
2015-12-18,135.625,144.4642,134.0175,143.0058,1351153
2015-12-21,143.1842,143.8692,139.8808,141.4583,307407
2015-12-22,141.6667,150.5358,141.0717,149.9108,2010998
2015-12-23,150.8033,153.3033,150.7742,151.3992,1565613
2015-12-24,151.7858,152.5592,147.7383,149.9108,337551
2015-12-28,150.9525,154.6425,150.1783,153.125,901472
2015-12-29,151.8158,157.7383,151.8158,155.7142,1207674
2015-12-30,156.875,159.4342,154.4642,158.6908,1320319
2015-12-31,159.5242,161.22,153.0058,160.03,566967
2016-01-01,160.6842,160.7142,154.8808,155.4758,305026
2016-01-04,155.9225,158.5417,155.4758,156.8158,1098974
2016-01-05,156.845,157.9467,150,153.2442,1099124
2016-01-06,154.4642,154.7617,150.0592,150.9825,225284
2016-01-07,151.0117,151.6367,146.4283,150.625,410754
2016-01-08,151.1308,154.2258,149.0175,150.2383,392536
2016-01-11,149.345,149.345,144.1967,145.655,498235
2016-01-12,146.3692,150,145.8633,146.875,268252
2016-01-13,148.6308,152.9758,145.8333,147.2325,715665
2016-01-14,145.2383,154.1667,143.0358,152.8275,718982
2016-01-15,154.7617,158.3333,150.595,152.7383,1152720
2016-01-18,152.7383,154.8217,144.3158,146.3392,414496
2016-01-19,147.6192,152.3808,146.4283,149.0475,261186
2016-01-20,148.8092,151.0717,146.4583,148.2442,292938
2016-01-21,149.97,151.7258,148.8992,149.375,398360
2016-01-22,148.6008,156.845,144.2258,150.9825,1160974
2016-01-25,154.6425,159.2858,152.3808,157.3808,1094544
2016-01-27,158.3333,162.7675,158.0358,161.6967,1166690
2016-01-28,162.5,164.7617,158.9583,160.7142,981427
2016-01-29,160.7142,163.0358,157.3217,158.6008,502917
2016-02-01,158.9283,161.4283,158.2142,160.5358,180051
2016-02-02,161.7858,162.7975,155.9825,157.7383,376423
2016-02-03,155.9525,158.6908,151.9342,157.6192,283581
2016-02-04,158.3333,160.7142,158.0358,160.0892,1365565
2016-02-05,162.6192,168.8392,160.7742,166.4583,1986261
2016-02-08,165.7742,167.1725,163.3925,164.5533,245832
2016-02-09,164.8808,164.8808,153.6908,154.9408,447284
2016-02-10,154.7025,156.5475,147.0833,148.8992,283250
2016-02-11,148.8092,152.7975,145.8333,148.095,272791
2016-02-12,145.8333,147.6192,137.7383,141.7858,591559
2016-02-15,145.655,147.5892,144.0475,145.625,173022
2016-02-16,143.155,146.4283,136.6075,138.0358,251098
2016-02-17,138.095,143.4525,132.7383,141.5175,189380
2016-02-18,142.8575,146.4283,142.2325,143.4525,1185309
2016-02-19,142.8575,143.4525,140.595,142.2325,105720
2016-02-22,142.2617,143.8692,139.6133,140.4467,105190
2016-02-23,141.6075,143.9283,140.4758,142.53,1047128
2016-02-24,142.6783,144.8808,139.2858,139.8508,274525
2016-02-25,140.4758,140.625,134.5242,135.7742,173916
2016-02-26,136.1908,139.7917,133.75,135.7142,259903
2016-02-29,136.1908,136.905,130.7442,133.5117,352830
2016-03-01,133.3925,139.8808,133.3333,138.3633,1163241
2016-03-02,139.7617,142.8575,137.5,141.5475,595978
2016-03-03,141.7858,143.6908,140.5358,142.7383,188032
2016-03-04,141.6667,142.6783,139.405,140.4167,698492
2016-03-08,138.095,141.3692,137.5592,138.5117,202467
2016-03-09,139.7617,143.9883,138.125,141.25,787471
2016-03-10,142.5,142.5,139.345,140.2675,338563
2016-03-11,141.28,142.7083,140.625,141.1908,287743
2016-03-14,141.4883,142.7675,139.5533,140.3867,172994
2016-03-15,140.8925,141.3692,136.9342,138.4525,197352
2016-03-16,138.0358,138.4525,135.7142,136.7558,212912
2016-03-17,139.7617,139.8217,135.8633,136.875,1226463
2016-03-18,136.905,137.47,132.4408,134.2858,561974
2016-03-21,136.1908,137.8275,134.1667,136.875,590172
2016-03-22,137.7975,139.8217,136.6667,139.0475,435470
2016-03-23,139.8508,139.8508,136.3092,136.875,173235
2016-03-28,138.6308,140.1492,137.8867,138.75,527518
2016-03-29,138.3033,142.6783,138.3033,142.1425,441925
2016-03-30,143.4525,146.4283,142.8867,144.2258,356851
2016-03-31,144.5242,146.4283,144.1667,145.7142,574806
2016-04-01,145.8333,145.8633,144.0475,145.5058,101563
2016-04-04,145.8333,145.8333,142.3508,144.8808,121504
2016-04-05,144.6425,150.9525,142.9758,146.3992,801378
2016-04-06,147.3217,148.8092,143.5117,144.8808,599714
2016-04-07,144.5242,147.6192,144.345,146.875,163689
2016-04-08,147.9167,152.0833,147.3217,148.5717,910902
2016-04-11,148.0358,151.7858,145.8333,151.6075,276408
2016-04-12,150.595,152.6783,148.8092,151.7258,248773
2016-04-13,150.0592,152.1133,149.1075,150.1492,231555
2016-04-18,148.8092,154.3158,148.8092,150.3867,315212
2016-04-20,151.4583,152.4108,148.9583,149.3158,225097
2016-04-21,149.405,151.1908,149.405,150,792865
2016-04-22,148.3925,153.155,148.3925,151.1608,659866
2016-04-25,151.7858,155.4758,148.8092,153.3633,573561
2016-04-26,152.3808,157.1425,152.1725,156.5475,1067944
2016-04-27,156.845,157.1425,154.7617,156.6967,221517
2016-04-28,157.1425,157.7383,155.0592,157.1133,438662
2016-04-29,156.5475,157.2917,152.3808,153.2742,97864
2016-05-02,153.125,154.0175,148.5117,151.1308,213039
2016-05-03,152.2025,158.8692,150.9225,156.9942,2029898
2016-05-04,157.1425,160.6842,153.8692,158.6908,500990
2016-05-05,159.405,159.8217,151.7858,153.6908,220647
2016-05-06,154.6133,159.4942,151.22,158.8392,646894
2016-05-09,159.6725,166.0117,158.5717,165.2675,2497426
2016-05-10,163.72,167.2617,160.3867,166.0117,654154
