Date,Open,High,Low,Close,Volume
2025-08-11,101,106.05,101,105.95,1668000
2025-08-12,101.1,105.55,100.65,104.25,434400
2025-08-13,107.8,109.45,107.8,109.45,424800
2025-08-14,108.7,109,104,104,175200
2025-08-18,105.05,105.5,98.8,98.8,69600
2025-08-19,97.5,101.9,95,100.6,55200
2025-08-20,100,105.6,98.95,105.4,211200
2025-08-21,106,110.65,106,110.6,216000
2025-08-22,114.2,114.2,107.25,109.95,55200
2025-08-25,109.95,109.95,104.45,104.45,72000
2025-08-26,104.4,105.5,98.1,98.6,73200
2025-08-28,98.6,100,97.1,98.1,54000
2025-08-29,98.95,98.95,96.5,97,20400
2025-09-01,90,96.55,90,95,30000
2025-09-02,95.5,95.5,92.5,93.65,43200
2025-09-03,91,92.05,85.6,91.9,252000
2025-09-04,94.65,103.65,94.65,101.25,177600
