Date,Open,High,Low,Close,Volume
2021-10-18,84.995,94.3,76.13,82.855,286740
2021-10-19,84.515,93.9,78.1,80.66,183080
2021-10-20,83,83.18,79,80.47,72940
2021-10-21,80.86,80.86,71.915,76.735,52910
2021-10-22,75.795,81.1,75.695,78.775,61970
2021-10-25,80.495,84.5,73.025,81.41,85270
2021-10-26,77.5,85.5,77.46,82.065,34150
2021-10-27,82.6,85,76.11,78.275,42840
2021-10-28,80.14,80.3,76.705,77.565,13900
2021-10-29,77.25,83,75.035,80.95,28320
2021-11-01,84.9,85,80.045,82.385,98280
2021-11-02,85,85.6,78,78.825,23510
2021-11-03,81.995,84.3,74.765,81.89,70080
2021-11-04,85,85.1,78,83.04,26040
2021-11-08,84.995,90.49,80.5,82.1,35770
2021-11-09,84.895,84.895,77.53,80.735,18650
2021-11-10,82.99,84.6,79.09,80.905,58020
2021-11-11,81.005,81.005,77.905,79.805,15580
2021-11-12,80,83.2,78.585,81.04,16630
2021-11-15,82.89,82.89,77.155,78.435,33590
2021-11-16,78.84,90.2,78.84,85.825,239420
2021-11-17,85,88.395,84.645,86.69,111810
2021-11-18,86.5,87.98,81.525,82.51,17000
2021-11-22,80.86,86.455,79.6,81.21,21300
2021-11-23,79.05,81.745,79.05,80.485,8720
2021-11-24,82.8,82.8,78.8,80.025,41550
2021-11-25,80.03,82.21,80.005,81.7,21150
2021-11-26,81.3,81.74,78.2,79.57,23430
2021-11-29,79,81.7,76.545,80.555,31260
2021-11-30,80.555,84.4,80,82.675,115900
2021-12-01,84.395,84.395,80.94,81.415,26990
2021-12-02,80.94,84.4,79,80.755,92930
2021-12-03,83.5,83.5,81.1,81.395,3710
2021-12-06,81.395,82.735,80.005,80.91,9520
2021-12-07,81.8,81.8,79.5,79.75,1580
2021-12-08,81.5,84.395,79.97,81.08,34160
2021-12-09,83.46,92.19,81.905,90.62,362130
2021-12-10,91,95.7,83.655,94.095,277720
2021-12-13,96.495,102.38,94.42,98.305,693150
2021-12-14,97.8,101.9,97.6,100.925,140010
2021-12-15,102.5,106.095,97.5,101.245,187290
2021-12-16,103,103,96.86,98.855,37520
2021-12-17,96.2,99.78,91.155,93.08,96540
2021-12-20,94.945,96.515,88.41,96.185,104960
2021-12-21,100.455,100.5,96.56,99.145,28560
2021-12-22,99.635,99.91,97.4,98.915,17740
2021-12-23,101.9,101.9,97.55,99.355,7890
2021-12-24,97.4,99.28,97.205,97.66,13410
2021-12-27,99.255,99.255,97.245,97.415,4840
2021-12-28,98.87,99.9,97.55,99.475,14290
2021-12-29,99.5,99.7,97.525,98.61,2640
2021-12-30,99.7,99.7,98.01,98.81,14040
2021-12-31,97.6,98.5,95.505,98.11,17580
2022-01-03,99.6,99.6,96.15,98.285,18890
2022-01-04,97.545,99.7,97.12,98.675,18790
2022-01-05,97.285,98.855,95,96.265,41190
2022-01-06,95.045,98,93.6,95.1,23020
2022-01-07,97.8,98.5,95.205,95.595,25230
2022-01-10,98,98.7,94.2,96.75,40980
2022-01-11,97.4,105.695,95.005,99.035,51430
2022-01-12,100,103,98.1,99.065,46400
2022-01-13,98.045,101.8,95.1,98.965,46840
2022-01-14,99.9,101.5,97.5,98.405,26710
2022-01-17,100.295,102.38,98.33,99.995,84010
2022-01-18,101.89,104.87,100,102.065,61930
