Date,Open,High,Low,Close,Volume
2022-10-27,65.4,68.65,65.4,68.65,1103
2022-10-28,72.05,72.05,72.05,72.05,200
2022-10-31,75.65,75.65,75.65,75.65,1
2022-11-01,79.4,79.4,79.4,79.4,101
2022-11-02,83.35,83.35,83.35,83.35,1021
2022-11-03,87.5,87.5,87.5,87.5,106
2022-11-04,91.85,91.85,91.85,91.85,100
2022-11-07,96.4,96.4,96.4,96.4,1
2022-11-09,101.2,101.2,101.2,101.2,121
2022-11-10,106.25,106.25,106.25,106.25,6213
2022-11-11,116.85,116.85,116.85,116.85,1020
2022-11-14,128.5,128.5,128.5,128.5,1034
2022-11-15,141.35,141.35,135,141.35,46993
2022-11-16,148.4,148.4,148.4,148.4,1879
2022-11-17,155.8,155.8,155.8,155.8,744
2022-11-18,163.55,163.55,163.55,163.55,1360
2022-11-21,171.7,171.7,171.7,171.7,421
2022-11-22,180.25,180.25,180.25,180.25,1916
2022-11-23,189.25,189.25,189.25,189.25,1044
2022-11-24,198.7,198.7,180.15,198.7,32062
2022-11-25,195,206.9,188.8,188.8,19146
2022-11-28,179.4,179.4,179.4,179.4,332
2022-11-29,170.45,170.45,170.45,170.45,322
2022-11-30,161.95,161.95,161.95,161.95,540
2022-12-01,153.9,170,153.9,166.65,19226
2022-12-02,167.1,173.9,158.35,158.35,1768
2022-12-05,150.45,150.45,150.45,150.45,2351
2022-12-06,142.95,150.45,142.95,142.95,4469
2022-12-07,140,150,135.85,148.5,3873
2022-12-08,154,155.9,142.1,151,1316
2022-12-09,143.5,151,143.45,146.05,2651
2022-12-12,146.05,147,138.75,145.75,2126
2022-12-13,147.95,153,141.3,146.8,2466
2022-12-14,153.95,154,140.85,145.5,491
2022-12-15,145.5,151.95,145.5,149.95,288
2022-12-16,145.05,157,145,150.2,1067
2022-12-19,150.2,154.95,143.1,150,496
2022-12-20,142.55,149.95,142.55,147.25,537
2022-12-21,148.95,148.95,141,143.45,449
2022-12-22,136.4,143.15,136.35,137,528
2022-12-23,137,137,130.15,130.2,664
2022-12-26,136.65,136.65,136.6,136.6,101
2022-12-27,142.9,143.4,138,143.35,879
2022-12-28,150.4,150.4,142,148.3,249
2022-12-29,155.7,155.7,141.2,141.7,445
2022-12-30,144.95,147.95,144.95,147.6,289
2023-01-02,147.6,154.9,140.25,145.45,2810
2023-01-03,140,146.05,140,144.45,846
2023-01-04,145.9,145.9,137.5,141.5,414
2023-01-05,144.95,144.95,134.65,139.8,369
2023-01-06,143.95,143.95,133.1,139.4,93
2023-01-09,142.95,142.95,139,139.85,129
2023-01-10,139.7,139.7,134.15,138.95,303
2023-01-11,139.5,139.5,138.8,138.8,145
2023-01-12,138.75,144.95,134,143.7,388
2023-01-13,136.7,139.95,136.6,138.95,206
2023-01-16,138.9,138.9,133.5,138.85,198
2023-01-17,132.1,134,132.05,134,825
2023-01-18,132.6,138,130.1,132,678
2023-01-19,132,132,132,132,20
2023-01-23,137.95,137.95,134.95,134.95,34
2023-01-24,137.95,137.95,134.95,134.95,38
2023-01-25,135,135,128.25,129.75,283
2023-01-27,123.35,135,123.3,135,937
2023-01-30,135,138.95,128.25,137.95,938
2023-01-31,135,137.8,131.2,136.25,424
2023-02-01,136.95,136.95,129.45,129.45,86
2023-02-02,135,135,123.05,127.65,691
2023-02-03,127.65,127.65,121.65,121.65,826
2023-02-06,127.5,127.5,127.45,127.45,12
2023-02-07,127.45,127.45,121.1,121.1,353
2023-02-08,125,125,124.7,124.7,9
2023-02-09,124.6,124.6,120,120.1,30
2023-02-10,116.05,125.4,114.15,125.4,1476
2023-02-13,119.15,125.35,119.15,125,33
2023-02-14,124.8,124.8,124.8,124.8,8
2023-02-15,125,125,125,125,2
2023-02-16,121.85,121.85,121.85,121.85,7
2023-02-17,121.85,121.85,118.8,118.8,102
2023-02-21,124.65,124.65,113,114.5,282
2023-02-22,115,115,114.5,114.5,1027
