Date,Open,High,Low,Close,Volume
2025-07-31,81.1,87.84,81.1,85.32,21119517
2025-08-01,85,87.33,84,84.3,2421603
2025-08-04,84.19,85,81.38,82.49,2245806
2025-08-05,82.49,83.09,80.15,80.37,1629096
2025-08-06,80.37,82.35,77.43,81,2748429
2025-08-07,80.69,82.27,80.07,80.99,978631
2025-08-08,80.57,87.5,80.48,83.02,6740395
2025-08-11,83.66,87.2,83.66,85.71,3251013
2025-08-12,87.5,87.5,84.46,84.65,1085036
2025-08-13,85.29,85.95,83.22,83.47,1495021
2025-08-14,84.25,84.45,82.15,82.88,587286
2025-08-18,84.9,87.4,83.46,85.45,2253671
2025-08-19,85.1,91.77,84.91,90.83,9499369
2025-08-20,91.4,91.4,85.4,85.98,2085523
2025-08-21,85.98,87.5,85.59,85.93,878538
2025-08-22,85.95,88.69,85.61,86.35,994734
2025-08-25,86.7,87.15,83.5,83.72,1204064
2025-08-26,83.7,85.31,82.51,83.16,911985
2025-08-28,82.3,85.4,82.3,84.28,1367566
2025-08-29,84.15,87.64,84.13,87.1,947343
2025-09-01,87.2,87.5,86.07,86.79,420392
2025-09-02,86.8,89.4,85.61,86.08,1137080
2025-09-03,86.49,88.06,85.21,85.51,972002
2025-09-04,86.9,86.9,83.9,84.01,678950
