Date,Open,High,Low,Close,Volume
2015-09-07,63,69.5,63,65.3,120514
2015-09-08,66.95,66.95,62.5,64.55,93091
2015-09-09,66.1,67.35,65.1,66.1,55877
2015-09-10,65.6,65.6,63.05,64.55,49017
2015-09-11,60,60,58.1,58.1,291248
2015-09-14,52.3,52.3,52.3,52.3,26088
2015-09-15,48.1,54.35,48.1,51.1,929401
2015-09-16,52.05,53.65,51,52.2,261842
2015-09-18,52.85,54.2,52.1,52.8,126412
2015-09-21,52.6,54,52,53.05,69910
2015-09-22,53.95,55.7,53,55.4,262541
2015-09-23,55.4,58.15,53,58.15,154255
2015-09-24,59.7,61.05,59.65,61.05,145312
2015-09-28,64,64.1,62,64.1,52117
2015-09-29,65.9,67.3,64.9,67.3,186079
2015-09-30,70.65,70.65,70.65,70.65,13141
2015-10-01,74.15,74.15,70.1,74.15,265369
2015-10-05,76.8,77.85,76,77.85,30033
2015-10-06,81.7,81.7,79.95,81.7,477445
2015-10-07,83.2,85.75,78.05,78.55,472517
2015-10-08,77.95,79.75,74.65,74.65,83789
2015-10-09,74.25,76.9,72,73.9,174278
2015-10-12,75,75,70.25,70.25,102945
2015-10-13,66.8,70,66.75,68.25,219871
2015-10-14,68,71.65,68,71.65,92742
2015-10-15,75.2,75.2,74,75.2,47427
2015-10-16,77,78.65,71.65,74,210005
2015-10-19,74.1,76.8,74.1,74.45,91535
2015-10-20,74.45,75.5,73.1,73.7,65483
2015-10-21,73.85,75,70.25,71.75,54051
2015-10-23,71.85,73.85,70.1,70.7,51675
2015-10-26,70.9,72,68.5,70.45,58127
2015-10-27,70.75,71,69.1,69.5,68133
2015-10-28,69.8,71,67.65,68.75,50552
2015-10-29,68,70,65.35,66.05,98415
2015-10-30,67,67.5,63.55,63.85,74448
2015-11-02,64,65.1,61.15,62.4,49587
2015-11-03,61.7,65.5,61.7,65.5,28339
2015-11-04,68.75,68.75,67.4,68.75,87813
2015-11-05,72.15,72.15,67.35,69.25,270455
2015-11-06,71.9,72.05,66.65,68,103018
2015-11-09,65,70,61.8,68.2,159282
2015-11-10,67.7,69.8,65.2,66.25,125761
2015-11-11,68,69.2,67.1,68.7,39200
2015-11-13,68.7,69,67,67.55,57235
2015-11-16,68.7,74.3,67.05,74.2,298196
2015-11-17,76.6,78,72.35,73.3,213393
2015-11-18,74.35,74.35,70,71.05,69362
2015-11-19,71,73.95,70.65,72.2,58409
2015-11-20,72.45,73.65,71,71.95,75166
2015-11-23,73,79.1,72,79.1,328521
2015-11-24,81.5,84.1,80.25,82.75,272076
2015-11-26,84,84.65,81.1,81.65,88014
2015-11-27,82.45,89.8,81.6,89.8,446633
2015-11-30,91.7,94.9,90.3,91.15,336686
2015-12-01,92,92.45,87.25,89.6,312716
2015-12-02,91.5,94.05,86.95,94.05,519200
2015-12-03,95.8,97.25,91,92.05,288472
2015-12-04,92,92.85,89.05,90.85,274245
2015-12-07,93,93.9,89.5,90.5,135136
2015-12-08,90.2,91,86,86.7,129023
2015-12-09,85,85.55,82.4,82.4,102033
2015-12-10,80,82.7,78.5,81.7,157986
2015-12-11,81.9,85.3,79,79.7,99794
2015-12-16,85.8,88.65,85,86.15,366671
2015-12-17,87,88,84.55,86.45,247751
2015-12-18,86.2,87.95,85.15,86.05,108624
2015-12-21,86.15,90.35,86.15,90.35,120303
2015-12-22,92.4,94.85,91.05,92.55,412616
2015-12-23,93.95,95.5,91,91.8,140491
2015-12-24,92.7,92.7,87.65,89.3,75844
2015-12-28,89.55,90.4,85.5,85.9,132100
2015-12-29,85.9,90.15,85.9,90.15,169805
2015-12-30,90.9,91.15,87.55,88.1,134363
2015-12-31,88.65,92.5,87.6,92.5,382383
2016-01-01,92.7,95.65,90.2,92,229611
2016-01-04,92,100.5,91.05,99.45,502369
2016-01-05,101.1,109.35,100.1,109.35,654265
2016-01-06,111.7,115.95,103.05,106.55,695153
2016-01-07,104.9,106.65,100.4,101.85,330246
2016-01-08,103,112,103,112,402115
2016-01-11,111.5,121,109,118.6,889774
2016-01-12,120.65,124.2,115.1,120.6,521235
2016-01-13,122.1,124.35,108.55,109.7,527137
2016-01-14,103.1,110.85,99.35,104.7,424729
2016-01-15,106.6,110.5,94.5,96.05,313446
2016-01-18,95,95.8,86.45,86.45,405590
2016-01-19,82.65,88.7,82.5,86.25,324245
2016-01-20,84.7,84.7,81.95,81.95,88090
2016-01-21,81.1,84.25,77.9,78,283992
2016-01-22,79.4,81.9,79.25,81.9,133635
2016-01-25,83.8,85.95,83,85.95,144509
2016-01-27,88.4,90.2,87,90.2,100587
2016-01-28,94.7,94.7,91.5,94.7,198905
2016-01-29,96.8,99.3,95,96.25,166152
2016-02-01,98,99,93,95.9,92783
2016-02-02,94.75,96.55,91.15,91.55,63657
2016-02-03,88,89,87,87,148026
2016-02-04,87,89.85,83.15,83.85,91976
2016-02-05,85.4,87.7,78.4,84.2,130592
2016-02-08,83.15,91.7,83.15,87.9,112963
2016-02-09,87.05,90.7,86.35,88.4,77517
2016-02-10,89.65,89.9,85,85.65,65105
2016-02-11,85.4,86.6,77.1,77.1,102666
2016-02-12,73.35,79.65,69.45,75.9,203913
2016-02-15,80.8,83.45,78.6,83.45,60087
2016-02-16,86.45,89,83.3,85,153246
2016-02-17,85.9,85.9,77.4,81.7,200283
2016-02-18,83.4,85.5,78.8,80.4,107040
2016-02-19,78.75,84,78.7,81.7,80263
2016-02-22,82.05,83.85,80.6,80.9,48043
2016-02-23,80.9,81.7,77,77.9,59503
2016-02-24,77,79.5,73.4,74.9,33527
2016-02-25,76.2,77,75.4,76.05,28188
2016-02-26,77,77.65,73.6,74,46483
2016-02-29,73.05,74.8,69,71.25,62085
2016-03-01,71.45,78.35,71.45,78.35,48949
2016-03-02,83.45,86.15,82.05,86.05,315112
2016-03-03,87.5,88.05,82.95,84.35,138986
2016-03-04,86.5,93,85.05,89.6,172177
2016-03-08,90.35,92.8,87,87.8,121090
2016-03-09,86.9,90.95,85.45,88.6,94374
2016-03-10,89,99,89,96.1,370041
2016-03-11,96.3,99.4,93.65,94.55,219348
2016-03-14,96.15,97.15,92.5,93.35,93388
2016-03-15,93.05,94.4,89.05,89.5,67563
2016-03-16,90.05,90.05,86.15,88.1,93293
2016-03-17,88.2,91.85,88.2,89.35,79695
2016-03-18,91.35,91.35,87,87.85,53687
2016-03-21,89.7,90.25,85.1,86.85,44671
2016-03-22,88.45,94.3,87.75,91.5,145584
2016-03-23,92,94,90,91.15,118941
2016-03-28,91.45,93.8,86.8,87.5,61447
2016-03-29,88,88,79.35,83.95,179966
2016-03-30,84.9,86.65,84.9,85.6,46313
2016-03-31,85.8,89,85.8,86.4,53621
2016-04-01,87.9,87.95,86,86.45,42841
2016-04-04,86.4,88.9,86.4,86.9,33484
2016-04-05,87.45,87.45,83,83.45,63069
2016-04-06,84,90.7,83.75,87.6,150581
2016-04-07,88,88.7,85.5,85.85,48264
2016-04-08,86.05,88.45,86.05,86.85,33070
2016-04-11,87.05,88.3,84.2,86.75,35806
2016-04-12,87.95,88.75,86,86.7,33935
2016-04-13,87.95,90.9,87,87.6,91444
2016-04-18,85.2,87.7,84.25,85.4,56593
2016-04-20,86.65,87,84.95,85.6,42632
2016-04-21,85.55,86.5,84,84.25,40509
2016-04-22,84.55,85.15,82.15,82.85,37765
2016-04-25,85,85,82.2,82.7,43067
2016-04-26,82.6,83.7,82,82.25,36827
2016-04-27,83.45,83.45,81.05,81.6,22558
2016-04-28,82.9,82.9,80.5,80.85,37844
2016-04-29,81.7,81.9,80.05,80.6,42670
2016-05-02,81.4,83.6,80,82.8,77776
