Date,Open,High,Low,Close,Volume
2015-09-07,101.15,101.6,98.15,99.8,395305
2015-09-08,100.5,102.95,99,100.3,440907
2015-09-09,103,104.5,100.15,100.55,342452
2015-09-10,99.9,101.4,99,100.05,337383
2015-09-11,100.2,102.9,99.5,100.4,317831
2015-09-14,101,102.85,99.75,101.4,486905
2015-09-15,102,102,100.35,100.55,223220
2015-09-16,102.05,102.05,100.65,101.25,188290
2015-09-18,101.9,109.9,101.9,108.15,822688
2015-09-21,108,113.7,106.6,110.4,796092
2015-09-22,111,114.9,108,109.05,557536
2015-09-23,108.7,110.7,105.1,109.55,236459
2015-09-24,109.85,112.8,109,110.25,296859
2015-09-28,110.7,111.4,107.1,107.75,288494
2015-09-29,107,107,104.15,105.45,305396
2015-09-30,107,107.8,105.6,106.8,204152
2015-10-01,108,109.4,105.55,106.35,217306
2015-10-05,106.6,111.9,106.6,109.9,554077
2015-10-06,111,113.45,110.2,111.6,416817
2015-10-07,111.6,114.9,110.55,112.15,555089
2015-10-08,112.2,112.9,111.2,111.7,143961
2015-10-09,112.65,116.2,112.55,115,680242
2015-10-12,115.7,123.35,113.7,119.55,1214219
2015-10-13,119.4,122,117.05,117.9,406960
2015-10-14,118.1,119.9,116,116.9,269329
2015-10-15,117.8,118.4,116.25,116.7,290406
2015-10-16,117,119.6,115.75,117.95,375005
2015-10-19,118.5,120.75,117.35,119.85,425683
2015-10-20,120.4,124.75,120.15,122.95,1057166
2015-10-21,124.45,126.7,120.5,123.75,796084
2015-10-23,138,144.5,132.85,135.05,7070922
2015-10-26,136,139.9,134.2,137.7,2797255
2015-10-27,137.4,137.5,134.4,136.95,761580
2015-10-28,137.25,141.4,136.1,137.8,1014412
2015-10-29,137.55,140.35,136.35,137.7,884151
2015-10-30,136.15,137.85,135.55,136.8,597634
2015-11-02,137.2,142.5,136.5,140,2306468
2015-11-03,141.45,146.65,140.15,143.6,2212444
2015-11-04,144.5,146,142.85,144.45,1350351
2015-11-05,144.45,144.7,138.1,139.7,1317688
2015-11-06,139.5,144.7,139.1,144.35,727867
2015-11-09,139,153.1,138,152.35,2648853
2015-11-10,151.2,153.3,149.2,149.8,790012
2015-11-11,150.8,150.9,145.8,146.95,163476
2015-11-13,146,154.9,143.6,154.15,1048881
2015-11-16,153.6,157.85,151.1,155.3,805500
