Date,Open,High,Low,Close,Volume
2015-09-07,14.9,15.65,14.55,14.9,4168
2015-09-08,15,15.35,14.55,14.7,992
2015-09-09,14.75,16,14.75,14.95,455
2015-09-10,15.85,15.85,14.75,14.8,1261
2015-09-11,15.5,16,14.75,15.7,1502
2015-09-14,15.3,16.25,14.8,15,2938
2015-09-15,15.05,15.95,14.9,15.95,757
2015-09-16,15.3,15.3,15.3,15.3,7
2015-09-18,16.2,16.2,15,15.05,1406
2015-09-21,15.35,15.8,14.9,14.95,2833
2015-09-22,15.9,15.9,15.7,15.7,2804
2015-09-23,15.85,16.3,15,16.3,2031
2015-09-24,16,16.7,15.55,16.3,5087
2015-09-28,16.7,16.7,16.2,16.2,3191
2015-09-29,16,16.95,15.1,15.5,1191
2015-09-30,15.55,16.9,15.55,16.75,1332
2015-10-01,17.5,17.5,16.1,16.2,2529
2015-10-05,16.05,16.25,16.05,16.1,989
2015-10-06,16.3,17.25,16.3,16.4,7300
2015-10-07,15.95,16.8,15.8,16.35,8497
2015-10-08,16.25,16.85,16.25,16.75,3225
2015-10-09,16.5,16.9,16.2,16.35,1758
2015-10-12,16.2,16.2,16.05,16.15,550
2015-10-13,16.1,16.25,16.1,16.25,160
2015-10-14,17,17,16.45,16.9,4055
2015-10-15,17,17.5,16.85,17.45,11462
2015-10-16,19,19.15,17.6,17.7,4799
2015-10-19,17.3,17.35,16.95,16.95,1980
2015-10-20,16.8,17.5,16.35,17.15,1378
2015-10-21,17,17,16.3,16.45,3030
2015-10-23,16.55,17.3,16.3,16.7,6342
2015-10-26,16.5,20,16.45,18.6,39406
2015-10-27,18.6,18.8,17.3,17.5,8999
2015-10-28,17.45,17.85,17.25,17.85,1010
2015-10-29,17.9,17.95,16.5,16.75,1854
2015-10-30,17.5,17.5,16.55,17.25,1100
2015-11-02,17,17.8,16.4,16.7,504
2015-11-03,17,17.9,17,17.65,1360
2015-11-04,17.3,17.3,16.6,16.85,1333
2015-11-05,16.7,16.7,16.2,16.35,4057
2015-11-06,16.35,17,16.35,16.7,1938
2015-11-09,16.3,20,13.4,16.2,329074
2015-11-10,17,17,15.5,15.6,5015
2015-11-11,15.3,16.9,15.2,16.8,317
2015-11-13,16.7,16.9,15.4,15.85,6605
2015-11-16,15.7,17.3,15.7,15.95,3935
2015-11-18,16,16.4,15.6,15.6,1817
2015-11-19,16.35,16.4,16,16,1706
2015-11-20,15.8,16.95,15.5,15.85,659
2015-11-23,16.8,16.8,16.05,16.1,4472
2015-11-24,16.1,16.15,16.1,16.15,184
2015-11-26,16.05,16.5,16.05,16.5,327
2015-11-27,16,17,16,16.55,1593
2015-11-30,16,16.1,16,16.1,110
2015-12-01,16.8,16.9,16.1,16.45,5710
2015-12-02,16.5,16.6,16.15,16.6,5590
2015-12-03,16.5,16.7,15.85,16,3980
2015-12-04,15.9,17,14.85,15,96907
2015-12-07,15.5,15.9,15.1,15.15,10574
2015-12-08,15.75,15.85,15,15,12473
2015-12-09,15.9,15.9,14.5,14.8,5878
2015-12-10,15.5,15.5,14.65,14.9,3023
2015-12-11,15,15.4,14.85,15.4,928
2015-12-16,16,16,15.2,15.25,2503
2015-12-17,15.75,16.7,15.4,16.35,15623
2015-12-18,16.4,19.6,16.15,19.6,426321
2015-12-21,19.6,20.7,18.6,19.25,108518
2015-12-22,19.15,19.8,17.6,17.8,68167
2015-12-23,18.65,18.65,18,18.25,23985
2015-12-24,18.15,18.25,17.5,18.05,9915
2015-12-28,18.1,18.85,17.9,18,6471
2015-12-29,18.3,18.5,17.75,18.25,13386
2015-12-30,17.9,18.9,17.65,18.3,10491
2015-12-31,18.5,18.8,18.15,18.45,13778
2016-01-01,18.5,18.5,18.1,18.1,2619
2016-01-04,18,18.05,17.5,17.75,6286
2016-01-05,17.5,19.75,17.3,19.5,9682
2016-01-06,19.8,19.95,18.3,18.5,10878
2016-01-07,18.3,18.3,17.45,17.85,16009
2016-01-08,18,18.9,17.7,18,7939
2016-01-11,17.9,18.5,17.1,17.9,8691
2016-01-12,18,18,17.5,17.5,15728
2016-01-13,17.45,17.75,17,17.75,3678
2016-01-14,17.5,17.5,16.7,17.2,11005
2016-01-15,17.05,18.4,16.65,17.3,42750
2016-01-18,17,17,15.5,16.15,17876
2016-01-19,15.7,16.9,15.6,16,531
2016-01-20,16.5,16.5,15.7,15.9,11040
2016-01-21,15.7,17.45,15.2,16.5,7710
2016-01-22,17.25,17.95,15.9,17.1,10624
