Date,Open,High,Low,Close,Volume
2022-05-30,30,30,30,30,8000
2022-05-31,28.5,28.5,28.5,28.5,2000
2022-06-02,27.1,27.1,27.1,27.1,2000
2022-06-03,28.3,28.3,28,28,6000
2022-06-06,27.25,27.25,27.25,27.25,2000
2022-06-07,28.4,28.4,27.05,27.05,10000
2022-06-08,28.4,28.4,25.7,25.7,10000
2022-06-09,26.5,26.5,26.5,26.5,2000
2022-06-10,25.2,25.2,25.2,25.2,2000
2022-06-14,25.2,25.2,25.2,25.2,2000
2022-06-27,26.25,26.25,26.25,26.25,2000
2022-07-07,25,27,25,26.95,8000
2022-07-08,27,27,27,27,4000
2022-07-11,27,27,27,27,2000
2022-07-12,27,27,27,27,4000
2022-07-13,25.65,25.65,25.65,25.65,2000
2022-07-14,26,26.85,26,26.45,6000
2022-07-18,27,27.7,27,27.7,4000
2022-07-29,26.55,26.55,26.55,26.55,2000
2022-08-01,27.85,27.85,27.85,27.85,2000
2022-08-02,29.2,29.2,29.2,29.2,2000
2022-08-03,30,30,30,30,2000
2022-08-05,29.5,29.5,29.5,29.5,2000
2022-08-10,29,29.25,29,29.25,4000
2022-08-16,28,28,28,28,2000
2022-08-17,29,29.4,29,29.4,6000
2022-08-18,30.85,30.85,30.85,30.85,2000
2022-08-19,30,30,30,30,2000
2022-08-23,31.5,31.5,31.5,31.5,2000
2022-08-25,33.05,33.05,31.5,31.5,6000
2022-08-26,33,33,33,33,2000
2022-08-29,34,34,34,34,2000
2022-08-30,35.7,35.7,35.7,35.7,2000
2022-09-01,37.45,37.45,37.45,37.45,4000
2022-09-02,35.6,39.3,35.6,38,6000
2022-09-05,36.55,39.65,36.2,39.65,6000
2022-09-06,38.05,38.05,38,38,4000
2022-09-07,36.1,36.1,36.1,36.1,2000
2022-09-08,37.85,37.9,35.9,36.95,16000
2022-09-09,36.95,36.95,36.95,36.95,2000
2022-09-12,36.95,37.85,35.5,37.85,10000
2022-09-13,36.15,36.15,36,36,8000
2022-09-14,34.2,35.4,34.2,35.4,6000
2022-09-16,33.65,33.65,33.65,33.65,2000
2022-09-19,33,33,33,33,2000
2022-09-21,32,32,31.35,31.35,6000
2022-09-23,31.95,31.95,31.95,31.95,2000
2022-09-30,30.4,30.4,30.4,30.4,4000
2022-10-03,31.9,31.9,31.9,31.9,2000
2022-10-11,31.9,31.9,31.5,31.5,10000
2022-10-12,31.5,31.5,30.35,30.75,6000
2022-10-13,31.5,32.25,29.35,29.35,8000
2022-10-17,30.8,30.8,30,30,6000
2022-10-21,31,31,30.25,30.25,6000
2022-10-24,28.8,30.2,28.8,30.2,4000
2022-10-25,31.35,31.35,29.5,30,8000
2022-10-27,31,31,31,31,2000
2022-10-31,31,31,31,31,2000
2022-11-01,32,32,32,32,2000
2022-11-02,30.4,30.4,30.4,30.4,6000
2022-11-03,30,30,30,30,2000
2022-11-04,31.4,31.5,30.15,30.15,6000
2022-11-07,31.65,31.65,31.65,31.65,2000
2022-11-09,33.2,33.2,33.2,33.2,10000
2022-11-10,34.85,34.85,34.85,34.85,2000
2022-11-11,36.55,36.55,36.55,36.55,4000
2022-11-14,34.75,34.75,34.75,34.75,4000
