Date,Open,High,Low,Close,Volume
2023-10-26,43,46.5,38,43.45,1172000
2023-10-27,45.6,45.9,42.8,43.95,436000
2023-10-30,43.5,43.95,39.1,41.15,396000
2023-10-31,40.7,44.35,40.55,43.2,336000
2023-11-01,44,44.25,42.5,42.75,172000
2023-11-02,42.95,43.65,41.2,41.95,140000
2023-11-03,42.8,43,41.5,42.45,232000
2023-11-06,43,43.25,42,42.6,240000
2023-11-07,42.5,43.1,41,41.45,316000
2023-11-08,41.15,42.4,41.15,41.5,220000
2023-11-09,41.7,44.1,41.7,42.55,236000
2023-11-10,42.25,42.25,38.9,41.85,476000
2023-11-12,43.05,43.1,40.6,41.4,144000
2023-11-13,42.4,42.4,36.8,38.15,616000
2023-11-15,38.95,39,36.8,37.75,412000
2023-11-16,37.75,38.25,37.35,38,252000
2023-11-17,39.55,44,39,42.25,880000
2023-11-20,43.35,43.35,41.25,41.55,220000
2023-11-21,41.1,41.95,40.6,41.15,132000
2023-11-22,41.5,41.85,39,40,216000
2023-11-23,40.5,40.95,39.15,39.45,172000
2023-11-24,40.45,44,40,43.15,492000
2023-11-28,43.9,47.65,43,47,1044000
2023-11-29,46.5,48,45.15,46,420000
2023-11-30,47.5,48.65,46.4,46.9,560000
2023-12-01,46,47,44.5,44.75,404000
2023-12-04,46,46.4,43.35,44.55,228000
2023-12-05,44.4,44.4,43.15,43.7,136000
2023-12-06,43,47.9,43,47.25,748000
2023-12-07,49.1,51.85,47.9,49.6,1720000
2023-12-08,51.05,52,48.5,49.2,496000
2023-12-11,49.7,50.85,48.55,48.7,200000
2023-12-12,49.2,49.2,46.6,46.9,188000
2023-12-13,46.5,49.6,45.6,47.4,320000
2023-12-14,48.8,49.1,47.05,47.9,152000
2023-12-15,46.6,47.6,46.55,46.8,104000
2023-12-18,47.45,47.45,45.15,45.5,180000
2023-12-19,47,47,44.15,44.45,212000
2023-12-20,45.8,45.8,42.2,42.4,228000
2023-12-21,42.05,44.1,41.05,42.4,216000
2023-12-22,42.45,43.3,41.65,41.8,100000
2023-12-26,41.6,42.9,41.25,42.6,120000
2023-12-27,42.6,42.6,41.5,41.65,112000
2023-12-28,43.9,43.9,42.1,42.55,192000
2023-12-29,42.55,42.55,40.6,42,228000
2024-01-01,43.5,43.5,41.15,42.05,132000
2024-01-02,42.05,42.05,41.6,41.8,92000
2024-01-03,41.8,42,40.45,41.05,300000
2024-01-04,41.65,42,40.95,41.15,272000
2024-01-05,41.15,46.8,41.15,44.35,736000
2024-01-08,45,46.7,42.55,42.85,228000
2024-01-09,44.95,45,43.1,43.65,168000
2024-01-10,43.05,44.4,42.3,42.9,356000
2024-01-11,43.25,43.7,43.1,43.65,68000
2024-01-12,44,44,43,43.55,184000
2024-01-15,43.9,43.9,43,43.1,152000
2024-01-16,43.5,43.85,42.95,43,268000
2024-01-17,42.5,43.15,42.05,42.25,100000
2024-01-18,42.15,42.15,41.3,42,104000
2024-01-19,42.9,43.2,42.05,42.9,196000
2024-01-20,43.95,44,42.95,43.6,268000
2024-01-23,44,44.2,42.4,42.55,172000
2024-01-24,42.15,43.1,42.15,42.9,44000
2024-01-25,42.5,42.5,42,42.15,100000
2024-01-29,42.1,42.2,41.4,41.55,128000
2024-01-30,41.5,41.9,41.1,41.45,80000
2024-01-31,41.5,41.9,40.65,41,164000
2024-02-01,41.6,41.7,41,41,40000
2024-02-02,41.7,42,40.85,41,92000
2024-02-05,40.5,40.5,38,38.35,328000
2024-02-06,38.35,39.2,36.9,38.5,176000
2024-02-07,38.95,39.4,38.4,39.15,100000
2024-02-08,38.8,39.4,38.05,38.3,160000
2024-02-09,38.6,38.75,37.55,38.45,148000
2024-02-12,39,39,37.25,37.55,116000
2024-02-13,37,38.05,37,37.45,120000
2024-02-14,37.65,38.35,37,38.35,156000
2024-02-15,38.75,39.2,38,39.2,96000
2024-02-16,39,39,38,38.05,136000
2024-02-19,38.65,40.95,38.65,40.75,144000
2024-02-20,41.4,41.55,40.15,40.95,88000
2024-02-21,41,41.75,40.05,40.3,124000
2024-02-22,39.7,39.85,39.05,39.3,72000
2024-02-23,39.9,39.9,38.55,39.2,88000
2024-02-26,40.15,40.15,39.5,39.75,60000
2024-02-27,40,40.25,39.25,39.9,176000
2024-02-28,39.4,40,38.6,38.85,200000
2024-02-29,39,39,38.5,39,40000
2024-03-01,39,39.4,38.6,38.65,60000
2024-03-02,38.3,38.3,37.65,37.95,56000
2024-03-04,38,38.15,37,37.3,160000
2024-03-05,37.3,37.8,34,34.4,320000
2024-03-06,34.55,35.85,34.4,35.2,148000
2024-03-07,34.9,35.5,33.5,35.35,136000
2024-03-11,34.75,35.9,34.1,34.35,128000
2024-03-12,33.55,33.95,29.9,30.95,572000
2024-03-13,31,31.1,28,28.2,404000
2024-03-14,27,31.4,27,29.55,356000
2024-03-15,30,30,28.5,29.85,280000
2024-03-18,30.7,30.8,29.15,29.4,168000
2024-03-19,28.8,29.75,28.8,29.55,136000
2024-03-20,29.75,30.6,29,29,180000
2024-03-21,29.3,30.65,29.3,30.15,156000
2024-03-22,30.5,30.5,30,30.35,120000
2024-03-26,30.35,31,30.05,30.75,228000
2024-03-27,31.5,32.3,28.6,29.15,328000
2024-03-28,30.5,30.5,28.85,28.95,296000
2024-04-01,30.4,32.45,30.3,32.05,144000
2024-04-02,32.5,32.9,31.8,32.15,68000
