Date,Open,High,Low,Close,Volume
2015-09-07,47.52,48.3,46.31,46.52,10712115
2015-09-08,46.98,48.98,46.46,48.14,16869000
2015-09-09,49.3,49.76,48.11,49.02,15309745
2015-09-10,48,48,46.76,47.49,18084584
2015-09-11,48.13,48.95,47.36,47.88,13365270
2015-09-14,48.3,49.64,47.68,49.43,13208095
2015-09-15,49.58,49.78,48.16,48.4,12855795
2015-09-16,49.16,50.25,48.63,49.57,16817164
2015-09-18,50.38,52.4,50.2,51.41,19556250
2015-09-21,50.8,53.09,50.44,52.84,15111230
2015-09-22,53.4,54,50.4,50.86,17239354
2015-09-23,49.7,52.52,49.5,51.72,16429975
2015-09-24,51.65,52.46,51.05,51.67,14612660
2015-09-28,52,53.1,51.44,51.65,10986185
2015-09-29,50.94,53.19,50.05,52.32,26681684
2015-09-30,52.86,53.24,51.41,51.96,10116270
2015-10-01,52.66,52.66,51.42,51.84,7644320
2015-10-05,52.67,54.19,52.27,53.98,13051255
2015-10-06,54.46,55.98,53.7,55.33,19724560
2015-10-07,55.3,56.77,55.2,55.95,13831165
2015-10-08,55.8,57.07,55.22,55.62,12692750
2015-10-09,56.3,56.76,55.31,55.71,9102155
2015-10-12,54.91,56.48,54.48,55.2,9818455
2015-10-13,55.3,55.88,54.73,55.5,7226335
2015-10-14,55.7,55.88,54.5,54.73,8216060
2015-10-15,55.05,56.66,55,56.35,9812645
2015-10-16,56.4,56.75,55.31,56.16,9604625
2015-10-19,56.36,56.54,55.4,55.69,5637755
2015-10-20,55.61,56.95,55.61,56.13,7319875
2015-10-21,56.1,56.39,54.52,54.82,7052950
2015-10-23,55.4,55.88,55,55.18,5850670
2015-10-26,55.56,55.56,54.11,54.31,5865870
2015-10-27,54.37,54.84,53.7,54.06,7887595
2015-10-28,53.9,53.9,52.5,52.94,7649630
2015-10-29,53.14,53.22,52,52.14,6594685
2015-10-30,52.56,53.2,51.02,51.38,9698005
2015-11-02,51.36,51.76,50.67,51.58,8032820
2015-11-03,51.96,52.55,51.68,52,7033225
2015-11-04,52.48,52.8,50.4,50.69,26198514
2015-11-05,50.4,50.88,49.72,49.99,10459825
2015-11-06,49.99,51.53,49.71,50.99,12399445
2015-11-09,49.78,51.9,49.46,51.43,7483080
2015-11-10,51.09,52.35,50.36,50.64,9073070
2015-11-11,51.2,51.38,50.31,50.84,794845
2015-11-13,50.62,51.72,50.11,51.47,6843670
2015-11-16,51.36,52.5,51.13,52.34,5610855
2015-11-17,52.7,52.83,50.92,51.18,9574825
2015-11-18,51.33,51.85,49.64,49.93,6635925
2015-11-19,50.52,50.58,49.55,49.86,9000505
2015-11-20,49.73,50.5,49.1,49.74,10683800
2015-11-23,50,50.28,49.44,49.65,5391815
2015-11-24,49.6,49.9,48.42,48.75,7677415
2015-11-26,49.06,49.19,48.31,48.47,6355515
2015-11-27,48.96,50.34,48.67,50.18,10399175
2015-11-30,50.18,50.98,50.15,50.45,7097285
2015-12-01,50.7,50.82,49.73,50.06,5089320
2015-12-02,49.91,50.05,48.65,48.83,6529360
2015-12-03,48.4,48.93,47.82,47.93,7917040
2015-12-04,47.6,47.72,46.52,46.61,10617610
2015-12-07,47.16,47.22,46.13,46.58,6481810
2015-12-08,46.4,47.09,45.88,46.01,7977380
2015-12-09,45.98,46.6,45.22,45.53,6436800
2015-12-10,45.96,46.17,44.71,45.15,6682230
2015-12-11,45.3,45.98,44.14,44.39,10348810
2015-12-16,44.04,44.62,43.9,44.07,6940960
2015-12-17,44.54,44.79,44.02,44.55,6648460
2015-12-18,44.59,45.53,44.26,44.52,10156385
2015-12-21,45,45,44.4,44.64,5307170
2015-12-22,44.69,45.32,43.76,43.93,6776870
2015-12-23,44.2,44.5,44.06,44.17,4486515
2015-12-24,44.59,44.59,43.84,44.09,3993390
2015-12-28,44.17,44.58,44.01,44.18,3768555
2015-12-29,44.4,44.6,43.8,44.12,4645230
2015-12-30,44.22,44.64,43.24,43.38,7479350
2015-12-31,43.36,43.36,42.44,42.59,22089450
2016-01-01,42.58,43.92,42.48,43.66,7746450
2016-01-04,43.24,43.72,42.22,42.67,8049600
2016-01-05,42.98,43.11,41.82,42.12,8002995
2016-01-06,42.2,42.5,41.4,41.5,9776105
2016-01-07,41,41,39.63,39.74,9077890
2016-01-08,40,40.4,39.74,39.94,6031335
2016-01-11,39.6,40.03,38.64,39.06,7962895
2016-01-12,39.2,39.58,37.37,37.6,9377220
