Date,Open,High,Low,Close,Volume
2015-09-07,167.05,169.5,161.5,164.7,3873
2015-09-08,165.9,166.9,161,164,9236
2015-09-09,163.65,167.8,163,164.15,7932
2015-09-10,164.15,165,162.3,162.9,2386
2015-09-11,163,168.9,163,164.65,5904
2015-09-14,166.7,166.95,162.8,166.1,7955
2015-09-15,165,166.85,163.25,163.55,2405
2015-09-16,163.9,166.75,163.9,165.65,11492
2015-09-18,166.45,168,164,166.75,6877
2015-09-21,166.7,166.7,164.05,165.25,6089
2015-09-22,166.65,166.65,160.4,162.65,10671
2015-09-23,166.25,166.25,159,161.45,26831
2015-09-24,163.9,163.9,161.05,161.85,7174
2015-09-28,162,163.5,156.3,156.85,14854
2015-09-29,156.05,171,156,161.05,17190
2015-09-30,164,164.9,159.1,159.6,15418
2015-10-01,161.9,161.9,155.15,157.9,11184
2015-10-05,158.95,161.45,157.5,160.4,14609
2015-10-06,161,161.3,156.15,158.6,18799
2015-10-07,159.05,161,157.35,159.25,106661
2015-10-08,160.9,164.7,158.25,160.8,18451
2015-10-09,162.25,164.9,161.15,162.55,20959
2015-10-12,162.65,173.45,162,171.25,72486
2015-10-13,174,179.75,173.1,178.8,52385
2015-10-14,178.8,180,174,175.4,25533
2015-10-15,178,179.85,173,174.3,17455
2015-10-16,177,178.4,173.9,174.3,9058
2015-10-19,174.35,177.9,169.7,171.85,16732
2015-10-20,172.05,173.95,169.5,172.2,19338
2015-10-21,175,177.5,172,175,84362
2015-10-23,176,177,173.55,176.55,74199
2015-10-26,177,180.95,175,176,31415
2015-10-27,175,177.25,174.4,174.8,9512
2015-10-28,175,178,175,175.75,4846
2015-10-29,175.15,176.75,175.1,176,50074
2015-10-30,176,176.65,171.35,175.5,5982
2015-11-02,180.5,184.95,178,179.35,52537
2015-11-03,179.35,181.55,176.4,178.35,22845
2015-11-04,180,180,176,176.65,23223
2015-11-05,176.65,179,174.2,177.55,110119
2015-11-06,176,177,173.6,175.25,5024
2015-11-09,174,178,168.2,175.1,23129
2015-11-10,175,177,173.5,175.55,11120
2015-11-11,175,179.8,172.25,173.55,8373
2015-11-13,173.55,176,173,174.75,4856
2015-11-16,176,177.5,173.5,175.8,17032
2015-11-17,175.05,175.5,175,175.1,32254
2015-11-18,174,177.25,173.5,175.7,13237
2015-11-19,175.65,176,175,175.05,8121
2015-11-20,175,177,171.5,175.05,8159
2015-11-23,175,176.5,174,176.05,29780
2015-11-24,175.05,176.95,175,175,17018
2015-11-26,174.75,177.95,174.75,175.05,22993
2015-11-27,178,178.5,175,175.1,9525
2015-11-30,176.25,177.45,175,176.9,6707
2015-12-01,177,184.9,176.95,182.7,103491
2015-12-02,182.7,188.85,180.65,184.2,18922
2015-12-03,181,183,176.5,177.4,25636
2015-12-04,177.25,181,176.5,177.05,11274
2015-12-07,177.05,184.05,177,182.05,11181
2015-12-08,177.1,182.8,177.1,182,84701
2015-12-09,180,182.9,179.95,180.15,33132
2015-12-10,180.1,183.65,179,180,13852
2015-12-11,182.95,190.9,179.1,188.7,51832
2015-12-16,182.5,184.9,182,182.5,12076
2015-12-17,182.5,184.6,182,184.35,13259
2015-12-18,183.1,184.5,182,182.95,8988
2015-12-21,178.55,184.5,178.55,181.75,19590
2015-12-22,180,183,178.1,182.2,15988
2015-12-23,182,184.95,181.6,182.6,17587
2015-12-24,182.1,184.35,181.3,182.55,4240
2015-12-28,182.55,184.75,182,182.15,15907
2015-12-29,181.25,183.95,178.5,182,14620
2015-12-30,182,184.55,182,184,27915
2015-12-31,184.95,185,182.1,184,21062
2016-01-01,183.9,186.85,183.1,185.9,18153
2016-01-04,183.6,186,183.4,184.05,27068
2016-01-05,184.95,186.3,183.1,184.8,19212
2016-01-06,186.3,192.2,182.05,187.5,51392
2016-01-07,185,191,183,187,45188
2016-01-08,187.55,189.8,183.2,186.15,25425
2016-01-11,185,185.05,182.8,183.25,10127
2016-01-12,183,189.6,183,188.45,66656
2016-01-13,188,190.45,183.1,185.5,42435
2016-01-14,183.3,189.3,181.55,187.75,16416
2016-01-15,188,189.45,183.8,184.05,18286
2016-01-18,180.15,186.9,175.1,178,24846
2016-01-19,175.5,180.95,175.5,178.8,6982
2016-01-20,177,184,176.6,179.85,175549
