Date,Open,High,Low,Close,Volume
2024-12-30,651,682,631,636.2,2751746
2024-12-31,635,661,633,637.65,681554
2025-01-01,640,646.2,631,640.2,383912
2025-01-02,640.2,659,635.25,649,634229
2025-01-03,652,692.4,651.7,662.1,1011425
2025-01-06,651.1,659.45,622.45,649.7,386138
2025-01-07,649,657,635.1,647.95,347154
2025-01-08,645.1,646.7,628,633.6,178834
2025-01-09,630.1,633.85,616.95,621.5,154717
2025-01-10,618.45,635,586.05,614.05,223847
2025-01-13,599.85,603.75,568.5,586.25,290543
2025-01-14,586.25,596.35,562,568.35,104789
2025-01-15,568.35,574.05,538,540.25,185134
2025-01-16,549,589.8,545,578.35,457796
2025-01-17,568.1,576.15,555.6,572.4,173359
2025-01-20,570.2,578.95,554,563.7,175856
2025-01-21,561.45,572.9,550.65,555.45,133688
2025-01-22,558,559,527,530.5,92920
2025-01-23,526.8,538,520.4,522.4,71567
2025-01-24,511,544.5,510.4,532.3,142425
2025-01-27,517,523.05,495,514.5,156797
2025-01-28,509,520.2,499.25,508.75,143161
2025-01-29,508.9,515.85,503,506.75,85607
2025-01-30,512.95,575,507.7,545.5,430795
2025-01-31,555.5,590,534.05,575.6,327496
2025-02-01,566.95,586,552.25,565.3,94155
2025-02-03,549.9,553.75,538.6,545.1,70245
2025-02-04,545,551.7,525.2,545.9,162653
2025-02-05,545.9,549.75,536.3,540.2,100375
2025-02-06,540,545.5,531.45,541.85,58980
2025-02-07,520,520,433.5,433.5,537694
2025-02-10,413.7,428.65,351.5,356.35,2169412
2025-02-11,362,378.8,361,372.4,1720274
2025-02-12,377,379.3,351.05,353.4,710592
2025-02-13,357.95,374.35,355,360.9,184723
2025-02-14,371,371,351,353.65,194549
2025-02-17,353.65,362.15,339,340.7,161547
2025-02-18,346.95,347.7,325,333,100546
2025-02-19,332.4,353.7,330.1,351.35,139494
2025-02-20,349.75,360.85,345.45,355.35,71641
2025-02-21,355.3,365.8,350.05,351.7,74889
2025-02-24,350.05,350.85,339,339.5,60898
2025-02-25,340,345.45,332,334.8,51989
2025-02-27,334.8,336.9,327.05,330.15,67336
2025-02-28,327,332.8,320.95,322.1,83553
2025-03-03,318,327.2,302.1,310.9,144177
2025-03-04,307,321.3,304.7,318.9,57006
2025-03-05,320,328.45,319.1,326.95,46971
2025-03-06,338,344.85,333.7,342.2,68050
2025-03-07,342.2,354.5,341.25,349.45,67386
2025-03-10,351,352.85,324,325.5,75680
2025-03-11,321.95,327,318,319.8,55330
2025-03-12,321.5,324.85,315.2,316.8,55178
2025-03-13,317,322,314,315.25,54410
2025-03-17,312.9,319.45,302.4,304.35,84347
2025-03-18,313.4,313.4,302.8,304.75,89865
2025-03-19,306.95,335.2,306.45,319.15,229801
2025-03-20,322.4,327.8,318.1,319.7,134089
2025-03-21,321.8,335,320.05,333.55,92569
2025-03-24,338,366.9,335.7,361.1,289404
2025-03-25,361.1,363.05,336.2,344.15,268863
2025-03-26,332.55,332.55,310.1,313.1,424115
2025-03-27,313.2,320.05,311,311.75,260642
2025-03-28,315.25,318,307,309.05,219836
2025-04-01,315,326.3,309.1,311.75,360498
2025-04-02,317.9,321.9,312.55,319.65,66778
2025-04-03,315.6,324.8,315.6,322.85,57523
2025-04-04,318.05,321.95,304.15,308.2,119467
2025-04-07,292.05,294.95,264,265.45,463802
2025-04-08,280.9,282.3,270,271.6,245599
2025-04-09,273.95,273.95,253.15,254.2,257542
2025-04-11,265,279.8,256,276.6,909394
2025-04-15,281.8,302.55,274.2,294.6,375144
2025-04-16,294.75,301.5,285.7,296.3,230528
2025-04-17,298,309.2,298,306,333697
2025-04-21,305,323.5,305,320.3,178020
2025-04-22,326.9,335.05,320.1,323.05,199591
2025-04-23,326,329.4,316.95,323,139076
2025-04-24,327,338.15,324,331.4,303255
2025-04-25,332,397.65,326.8,386.55,1670659
2025-04-28,386.45,397.8,367,380.25,619020
2025-04-29,380.25,388.65,357.5,364.25,260153
2025-04-30,366,400.65,363.5,374.35,602295
2025-05-02,373.95,393.75,372.05,381.35,230928
2025-05-05,386.95,397,377.4,390.15,160933
2025-05-06,389.8,412.25,384.75,393.65,447949
2025-05-07,394.9,405.8,387.8,398,174276
2025-05-08,402.6,415,384,391.25,155949
2025-05-09,385,401.85,381.05,394.5,164681
2025-05-12,406,424.95,406,418.55,203617
2025-05-13,418.55,434.55,415,427.95,116269
2025-05-14,444,444,432.6,436.2,84181
2025-05-15,436.15,439,427.05,429.95,64965
2025-05-16,430,440.7,424.05,434,116672
2025-05-19,440.75,444,432.35,434.9,64269
2025-05-20,438,445.7,428.85,435.95,149837
2025-05-21,433.55,442.8,432.95,440.8,42314
2025-05-22,444.65,455,439.55,441.95,97201
2025-05-23,447,447.15,437,443.4,50542
2025-05-26,446.8,454.85,446.25,450.5,67788
2025-05-27,456,456,441.15,450.55,67609
2025-05-28,455,464,440.7,460.75,222460
2025-05-29,466.85,467.2,458.7,463.7,83181
2025-05-30,460.05,464.8,453.5,457,98889
2025-06-02,452,456.45,416,434.5,214978
2025-06-03,436.95,463.45,436.95,454.4,110323
2025-06-04,457.6,457.7,444.5,446.4,52609
2025-06-05,451.6,452.7,437.9,438.8,48472
2025-06-06,439,440.3,430.55,431.45,58122
2025-06-09,437.95,449,430.4,446.85,63166
2025-06-10,452,470,441.55,457.45,324975
2025-06-11,454,463.75,446,450,72670
2025-06-12,469.9,469.9,454,457.35,116384
2025-06-13,448.2,452.55,438.35,450.05,77227
2025-06-16,449.9,450.4,442.15,447.25,31987
2025-06-17,449,457,444.3,448.35,38622
