Date,Open,High,Low,Close,Volume
2021-08-20,1599.8,1618,1475,1501.05,11573178
2021-08-23,1526,1596,1515,1579.8,2200048
2021-08-24,1584,1584.4,1525.35,1536.3,567358
2021-08-25,1535.15,1547,1465.95,1476.25,515692
2021-08-26,1476.25,1486.3,1425,1428.2,405762
2021-08-27,1420.05,1465,1414.85,1435.4,379801
2021-08-30,1439.95,1550,1423.15,1508.35,849179
2021-08-31,1505,1531,1480.2,1488.5,285431
2021-09-01,1490.05,1506,1465,1469.35,166463
2021-09-02,1472,1500,1455.25,1456.8,161927
2021-09-03,1468.95,1475,1450.3,1466,143088
2021-09-06,1464.1,1508.85,1461,1468,345058
2021-09-07,1468.1,1476.75,1451,1452.55,98852
2021-09-08,1459.6,1507,1455.05,1476.15,305059
2021-09-09,1476.15,1499.95,1476.15,1490.55,167063
2021-09-13,1485.2,1536,1479,1518.65,445416
2021-09-14,1524,1529.95,1492.75,1510.9,333373
2021-09-15,1511.75,1512,1476.15,1486.7,298393
2021-09-16,1488.85,1544,1465.65,1497.45,491943
2021-09-17,1497.25,1507.7,1449.5,1451.25,301127
2021-09-20,1446,1452.25,1405,1414.35,204461
2021-09-21,1436,1436,1365,1385.2,361454
2021-09-22,1390.95,1409.6,1386.05,1396.05,142820
2021-09-23,1397,1411.95,1380.3,1381.9,131780
2021-09-24,1390,1394.7,1320.2,1325.6,302051
2021-09-27,1345,1345,1291,1295.4,340622
2021-09-28,1300,1315,1260,1267.25,318562
2021-09-29,1265.2,1290,1214.2,1234.7,383189
2021-09-30,1227.65,1277.65,1211,1236.1,999401
2021-10-01,1234,1299,1229.35,1289.25,655686
2021-10-04,1298,1324.8,1286.35,1316.5,201303
2021-10-05,1315.8,1353.9,1310.5,1336.75,212061
2021-10-06,1345,1462,1341.05,1426.9,902488
2021-10-07,1431,1441.9,1385,1391.25,196187
2021-10-08,1391.25,1425,1387.15,1412.3,441723
2021-10-11,1423.6,1440,1402,1419.95,216412
2021-10-12,1414.9,1419.55,1352,1375.5,108688
2021-10-13,1379,1393,1351.25,1359.95,160283
2021-10-14,1375,1380,1346,1350.3,314055
2021-10-18,1360,1361.65,1312.05,1320.2,149611
2021-10-19,1329,1332.9,1300.05,1303.95,140660
2021-10-20,1309.25,1310,1274.05,1288.85,92349
2021-10-21,1305.1,1305.1,1270,1275.5,64839
2021-10-22,1285,1299.05,1253,1259.55,75162
2021-10-25,1278,1278,1230.55,1234,72393
2021-10-26,1245,1265.2,1235,1242.7,74741
2021-10-27,1250,1265,1240.05,1251.5,61400
2021-10-28,1259,1259,1230,1235.8,71589
2021-10-29,1200,1215,1155,1197.5,184621
2021-11-01,1199.9,1213,1156,1160,173257
2021-11-02,1174,1180,1165,1167.4,74720
2021-11-03,1170,1184,1146,1148.1,100701
2021-11-04,1157,1170,1155,1166.45,24370
2021-11-08,1170.25,1174.6,1139,1143.75,103787
2021-11-09,1144,1159.45,1139.05,1140.9,90417
2021-11-10,1141,1147.75,1130.3,1132.4,112493
2021-11-11,1132,1137.45,1115,1117.9,105818
2021-11-12,1121,1131.95,1115,1116.6,114553
2021-11-15,1118.1,1150,1118.1,1137.6,142202
2021-11-16,1144.95,1145.55,1107.75,1116.3,145348
2021-11-17,1119,1125.05,1085,1089.3,162929
2021-11-18,1080.5,1100,1042.1,1049.05,214705
2021-11-22,1045,1048.7,995.15,1002.95,277288
2021-11-23,999,1045,988.2,1003.1,272102
2021-11-24,1005,1013.15,991.05,994.8,446501
2021-11-25,999,1018,995.75,1005.55,628126
2021-11-26,995.45,1003.7,965.1,969.95,266764
2021-11-29,970,970,911.35,944,246274
2021-11-30,940,965.1,902.5,919.1,446458
2021-12-01,922,934.9,896.3,899.6,265072
2021-12-02,899.6,958,899,936.25,485621
2021-12-03,940,949.9,910,924.3,272380
2021-12-06,923.55,935.95,890,892.4,189821
2021-12-07,914,914.4,880,881.35,179255
2021-12-08,900.95,919.7,892.3,895.7,299811
2021-12-09,904.6,910.7,890.1,892,138864
2021-12-10,895,977.9,895,968.7,756650
2021-12-13,974,982.75,930,933.05,323058
2021-12-14,926.95,931,911.2,914.85,164257
2021-12-15,916,925,905,909.5,126692
2021-12-16,922,931,896.35,903.4,293824
2021-12-17,917,917,883.25,903.55,240406
2021-12-20,892,901.4,864,867.65,155335
2021-12-21,871,880,840,848.45,234863
2021-12-22,854.95,865.45,829.05,831.35,227297
2021-12-23,841,853.7,833,850.15,185210
2021-12-24,854.6,854.6,825.2,827.6,121680
2021-12-27,826,826,805,807.85,186764
2021-12-28,810.5,844.95,810.5,832.25,227495
2021-12-29,837,913,829.15,878.9,621685
2021-12-30,875.4,877.55,846.7,848.85,148755
2021-12-31,847.3,863.75,845,848.3,104886
2022-01-03,846.5,855,828.3,835.25,229126
2022-01-04,837,867.65,835.2,844.9,187428
2022-01-05,844,851.35,837.2,845.15,117729
2022-01-06,836.5,848,830,830.55,135431
2022-01-07,839.5,841.75,814.95,823.8,216891
2022-01-10,833,842,822,828.85,145959
2022-01-11,828,837.55,821.35,824.4,158673
2022-01-12,826.7,832,811.9,818.15,183595
2022-01-13,823,832.45,815.1,816.95,108548
2022-01-14,819.9,853.25,815,844.85,247417
2022-01-17,844.75,890.95,830,863.9,333041
2022-01-18,864.95,864.95,831,835.15,153521
2022-01-19,837,846.4,826,834.45,126971
2022-01-20,834.45,844.75,824.2,826.65,82541
2022-01-21,825,828.8,808,812.7,94760
2022-01-24,812.75,820,758,768.25,229388
2022-01-25,767.9,767.9,703.25,721.25,667205
2022-01-27,700,708.7,669.3,674.85,346430
2022-01-28,679,688,650,653.25,464855
2022-01-31,664.95,733,661.05,725.15,904700
2022-02-01,733,768.45,730.1,762.3,530165
2022-02-02,766,766,733,739.25,221582
2022-02-03,740,748,726.95,731.25,124528
2022-02-04,728,752,720.2,727.3,242711
2022-02-07,728,733,701.8,705.3,177902
2022-02-08,709,713.1,686.85,690.8,140105
2022-02-09,695.05,706.85,677,685.9,108566
2022-02-10,690,694.95,663.1,666.35,200134
2022-02-11,660,665.35,642.5,646.75,259893
2022-02-14,622,638.4,620,629.1,143220
2022-02-15,630,639.95,610.6,628.3,194837
2022-02-16,628.3,654.95,628.3,632.25,261544
2022-02-17,637,643,611.6,613.65,227936
2022-02-18,603,608.95,583,588,337939
2022-02-21,580,582.85,560,562.3,345964
2022-02-22,538,586,538,561.05,527916
2022-02-23,570.1,575.8,541,545.35,258257
2022-02-24,533,533.95,460,477.85,872200
2022-02-25,484.7,540.5,482.4,521.95,742912
2022-02-28,510,547.5,506.1,540,784118
2022-03-02,530,556.95,528,549.5,453954
2022-03-03,550,583.9,550,556.8,477727
2022-03-04,550,557.4,539,542.55,320697
2022-03-07,522,527.3,500,507,229309
2022-03-08,503,517,493,500.2,229031
2022-03-09,509.6,534.2,496.95,526.75,454414
2022-03-10,537.7,594,535.7,576.45,591364
2022-03-11,576.45,581.95,560.2,566.05,287875
2022-03-14,559,562.75,545,548.15,155335
2022-03-15,549,564.75,536,555.6,294245
2022-03-16,564.5,582.9,562,566.3,251205
2022-03-17,576,597,571,576.65,247981
2022-03-21,580.35,580.35,556,572.05,229555
2022-03-22,573.75,587.9,567.1,577.65,185288
2022-03-23,580,622.2,577.55,613.15,773590
2022-03-24,609,636,603,621.8,332512
2022-03-25,624.5,647.45,615,619,326255
2022-03-28,619.05,623.45,581.55,601.65,352290
2022-03-29,604.5,610.65,585.55,600.25,272746
2022-03-30,605.8,608,595,599.7,185674
2022-03-31,601,627.9,572.6,579.6,343323
2022-04-01,584.65,625.95,577.65,622.2,296238
2022-04-04,622,644.85,622,633.05,173902
2022-04-05,637.75,660.4,633.4,637.65,260131
2022-04-06,628,659.8,625.45,649.65,165987
2022-04-07,651,661.85,621.75,624.45,149094
2022-04-08,628,630.7,615,620.05,95574
2022-04-11,619.6,634.9,608.2,615.95,187219
