Date,Open,High,Low,Close,Volume
2015-09-07,1968,1999.9,1850,1862.15,13173
2015-09-08,1851.05,1884.95,1824,1843.4,15634
2015-09-09,1873.3,1917,1870,1893,3747
2015-09-10,1889.9,1938.9,1850,1890.45,2687
2015-09-11,1895.45,1935.95,1895.45,1921.15,2317
2015-09-14,1921.15,1945,1908,1917.25,1866
2015-09-15,1915.95,1950,1915.95,1943.35,1816
2015-09-16,1925.05,1995,1925.05,1967.75,3411
2015-09-18,1991.15,2017,1960,1987.2,2151
2015-09-21,1987,2046.9,1959,2023.25,2786
2015-09-22,2069,2069,1959,1977.55,2622
2015-09-23,1963.05,1993,1950,1972.8,1664
2015-09-24,1972.8,1980,1949.95,1975.5,1773
2015-09-28,1972.25,1975,1888.7,1898.45,5292
2015-09-29,1949.35,2000,1897.55,1990.5,4315
2015-09-30,2035,2035,1915.5,2020.65,4203
2015-10-01,2019,2027,1948,1952.45,3762
2015-10-05,1977.95,1982.8,1942.4,1966.05,2300
2015-10-06,1996.95,2021.5,1955.2,2018.7,4181
2015-10-07,1975,2040,1975,2025.4,2743
2015-10-08,2045,2045,2000,2024.05,1892
2015-10-09,2024.05,2038,2005,2031.1,2725
2015-10-12,2050,2064.9,2001.2,2018.65,3045
2015-10-13,2005.25,2025.1,1990,2006.05,2358
2015-10-14,1992.05,2015.05,1975.4,2002.15,1221
2015-10-15,2011.35,2043.5,1991.85,2041.3,2250
2015-10-16,2041,2148,2029.95,2130.75,51170
2015-10-19,2117.9,2195,2110,2147.75,8717
2015-10-20,2188,2209.9,2150,2198.4,8634
2015-10-21,2201,2284.95,2201,2244.85,44417
2015-10-23,2265.05,2300,1850.85,1994.3,164200
2015-10-26,1986,2035,1979.9,1985.25,14205
2015-10-27,1951,1999.8,1950.05,1964.1,5695
2015-10-28,1964,1994.95,1954,1973.85,4507
2015-10-29,1980,1992,1950,1961.65,5192
2015-10-30,2024,2024,1900,1906.15,5070
2015-11-02,1906,1993.8,1887.6,1981.95,7703
2015-11-03,1946,2000,1931.05,1973.05,3256
2015-11-04,1932.5,1980,1916,1922,5868
2015-11-05,1922,1943.95,1890,1900.25,3101
2015-11-06,1919.25,1919.25,1851.5,1877.15,3343
2015-11-09,1857,1910,1800,1887.5,3306
2015-11-10,1900,1917.95,1825,1850.45,3244
2015-11-11,1880,1890,1856.9,1875.75,2459
2015-11-13,1876,1884.75,1818,1821.5,3132
2015-11-16,1820,1832.05,1800,1818.9,3450
2015-11-17,1845,1863.8,1820.7,1855.55,7114
2015-11-18,1894,1894,1850,1872.25,4723
2015-11-19,1869.95,1905,1850,1857.55,1967
2015-11-20,1864.55,1883.9,1850,1856.7,2949
2015-11-23,1880,1941,1855,1906.05,9970
2015-11-24,1861,1930,1861,1924.45,8412
2015-11-26,1919.95,1954,1888,1937.5,10142
2015-11-27,1951,1951,1880.05,1902.95,3451
2015-11-30,1913,1960,1889.95,1956.85,4821
2015-12-01,1935.05,1960,1935.05,1945.3,3514
2015-12-02,1964,1964,1908,1932.8,3230
2015-12-03,1935,1935,1900.05,1919.95,9670
2015-12-04,1949,1960,1888,1956.1,4029
2015-12-07,1974.95,1974.95,1920.05,1930.05,1690
2015-12-08,1925.8,1940,1891.05,1905.25,1890
2015-12-09,1933,1979.75,1830.1,1924.35,5978
2015-12-10,1924.05,1972,1900,1958.15,4267
2015-12-11,1958,1975,1878.05,1897.8,10854
2015-12-16,1948.95,1950,1903.55,1940.45,3167
2015-12-17,1954.95,1954.95,1906,1943.05,2844
2015-12-18,1953,1964.9,1929.95,1949.9,6949
2015-12-21,1921.05,1965.25,1917,1948.55,2237
2015-12-22,1973.9,1999,1949.05,1991.3,4066
2015-12-23,1970,2000,1965.1,1976.55,1795
2015-12-24,1985.15,1990.05,1955,1968.15,2866
2015-12-28,1982,2000,1975.05,1994.3,4025
2015-12-29,1994.05,1997.95,1971.95,1982,1183
2015-12-30,2000,2049,2000,2006.7,7029
2015-12-31,2020,2040,2000,2016.6,2845
2016-01-01,2009.95,2023,2000.1,2018.75,1611
2016-01-04,2000,2019.75,1960,1983.9,3144
2016-01-05,1985,2010,1975,2005.05,2094
2016-01-06,2025,2025,1966.15,2011.65,2655
2016-01-07,2000,2000.3,1968,1973.7,2678
2016-01-08,1961.1,2000,1952.3,1960.05,2431
2016-01-11,1955,2010,1879.95,1990.3,8858
2016-01-12,1972.3,2000,1913,1925.85,5724
2016-01-13,1940.05,1944.05,1816,1848,8515
2016-01-14,1825.05,1870,1800,1854,4625
2016-01-15,1854,1874.95,1799,1804.95,5576
2016-01-18,1804,1824.45,1761.15,1789.8,12184
2016-01-19,1829.95,1829.95,1784,1795.4,2812
2016-01-20,1780.05,1810,1710.2,1748.75,8455
2016-01-21,1790,1795,1742,1750.15,3742
2016-01-22,1780,1825,1735.1,1752.2,9047
2016-01-25,1730.8,1798.65,1730.8,1744.5,8487
2016-01-27,1752,1765.05,1734.95,1750.5,6603
2016-01-28,1750,1770,1730,1741.85,2892
2016-01-29,1743.95,1819,1741,1749.45,9494
2016-02-01,1750,1760,1711.95,1738.8,7070
2016-02-02,1758,1818.65,1693,1740.05,103414
2016-02-03,1748,1748,1694.4,1707.55,4966
2016-02-04,1715,1735,1693,1701.25,3687
2016-02-05,1714.95,1720.05,1690.2,1701.45,4899
2016-02-08,1720,1720,1681,1688.35,9406
2016-02-09,1680,1698.55,1612.55,1642.75,9049
2016-02-10,1628,1630,1561.5,1583.8,12287
2016-02-11,1605.8,1619.95,1509.95,1578.2,12145
2016-02-12,1580,1658.95,1529.95,1639.25,10180
2016-02-15,1694,1694,1621.15,1636.5,3988
2016-02-16,1665,1665,1607.95,1649.05,6444
2016-02-17,1640.3,1660,1610,1646.65,57569
2016-02-18,1654.95,1664.3,1612.05,1638.85,22979
2016-02-19,1630,1645.05,1610,1640.35,3184
2016-02-22,1615.5,1710,1615.5,1664.1,3159
2016-02-23,1700,1700,1620,1655.85,2471
2016-02-24,1675,1675,1600,1601.85,2877
2016-02-25,1620.7,1675,1547,1639.85,3601
2016-02-26,1626.15,1685,1609.9,1671.45,2662
2016-02-29,1680,1709.95,1651.2,1698.35,3808
2016-03-01,1697.65,1819.95,1696,1770.75,10681
2016-03-02,1825,1873,1791.7,1852.1,4728
2016-03-03,1815.05,1881.1,1804,1836.35,5583
2016-03-04,1831.05,1875,1803.9,1847.55,4975
2016-03-08,1880,1909.95,1815,1862.95,3083
2016-03-09,1863,1863,1811.05,1840.75,4687
2016-03-10,1821.25,1825,1759.3,1781.45,6146
2016-03-11,1781.45,1829.35,1729,1762.05,4779
2016-03-14,1726,1813.95,1726,1788.8,5881
2016-03-15,1790,1848,1781.05,1817.5,5720
2016-03-16,1810,1845,1782,1837.8,6426
2016-03-17,1834,1840,1775.55,1800.55,5798
2016-03-18,1817.45,1820,1749,1774.55,4736
2016-03-21,1774.05,1845,1709.95,1827.7,5092
2016-03-22,1827,1827,1780,1790.2,3671
2016-03-23,1790,1825,1775.05,1817.9,2415
2016-03-28,1830,1830,1778,1813.3,3733
2016-03-29,1800.05,1840,1790,1834.3,3777
2016-03-30,1819.95,1848.2,1805.55,1820,8094
2016-03-31,1835.5,1839.95,1800.05,1829.9,2160
2016-04-01,1809.9,1841,1809.9,1838.4,4397
2016-04-04,1849.9,1849.9,1821.05,1838.05,2781
2016-04-05,1828,1834.05,1770,1774.55,74308
2016-04-06,1781.75,1802.85,1761.05,1773.95,2070
2016-04-07,1776,1799.95,1763.05,1767.9,2339
2016-04-08,1773,1780,1757,1760.3,1124
2016-04-11,1778.5,1778.5,1742.4,1769.65,2941
2016-04-12,1778.5,1779.9,1752.3,1770.25,146345
2016-04-13,1778.85,1809.95,1750,1795.5,6897
2016-04-18,1795,1818,1765,1786.3,6312
2016-04-20,1804.5,1807.65,1775,1801,3574
2016-04-21,1801,1820,1790,1792.6,2662
2016-04-22,1809.95,1810,1780,1801.1,16598
2016-04-25,1778,1810,1778,1803,37855
2016-04-26,1803,1809,1790,1796.7,1655
2016-04-27,1796,1809.95,1791,1793.75,1402
2016-04-28,1800,1808,1786.95,1791.85,2178
2016-04-29,1791,1850,1780.25,1844.95,3651
2016-05-02,1843.95,1884,1821.3,1879.8,7319
2016-05-03,1925,2011.95,1925,1975.05,87051
2016-05-04,1994,2015,1953.05,1980.75,16671
2016-05-05,1981,1995,1968,1980.1,3818
2016-05-06,1980.05,1987,1961.05,1976.35,3575
2016-05-09,1952,2006.85,1923,1995.15,7717
2016-05-10,2014.8,2090,2004.75,2060.1,16380
2016-05-11,2075,2095,2032,2079.75,5116
2016-05-12,2079,2100,2032.5,2052.85,3827
2016-05-13,2036,2059.35,2020.95,2044.35,2984
2016-05-16,2033,2045.4,1980,2015.5,5924
2016-05-17,2015.5,2030,1999.95,2017.4,2218
2016-05-18,2018,2030,2007,2027.15,2663
2016-05-19,2036.9,2036.9,1998.1,2007.05,2223
2016-05-20,2027.95,2028,1980,1997.6,4209
2016-05-23,2040,2040,1977.5,2022.15,3423
2016-05-24,2021.95,2021.95,1987.7,2007.15,2410
2016-05-25,2007,2070,2000,2053.85,3403
