Date,Open,High,Low,Close,Volume
2023-10-10,89,91.9,85.5,87.65,514000
2023-10-11,89.5,94.5,87.3,90.5,456000
2023-10-12,92,93.6,90.65,91.2,126000
2023-10-13,90.65,92.45,90,90.65,140000
2023-10-16,91.9,91.9,86.05,86.85,122000
2023-10-17,87.5,90.65,87,90.15,158000
2023-10-18,92,92,87.05,87.3,72000
2023-10-19,87,87,83,86.85,72000
2023-10-20,86.8,86.85,84.1,85.1,70000
2023-10-23,86,97,86,87.05,862000
2023-10-25,92,92.55,87.3,87.95,222000
2023-10-26,88,88.9,81.05,87.45,122000
2023-10-27,89.65,91.2,88.05,89,240000
2023-10-30,90.65,96.25,88.05,92.8,670000
2023-10-31,92.95,93.9,90.25,90.6,112000
2023-11-01,88.35,91.9,88.35,88.95,114000
2023-11-02,90.25,91.7,89.45,90.2,96000
2023-11-03,91.75,94.8,91,94.25,268000
2023-11-06,96.3,100,95.25,96.4,488000
2023-11-07,97.3,100.25,97.3,98.7,514000
2023-11-08,101.95,107.35,99,105.55,860000
2023-11-09,108,109.8,103.25,104.6,234000
2023-11-10,103.55,104.25,96.5,97.1,248000
2023-11-12,102,102,98.25,100.4,44000
2023-11-13,99.9,101,97.6,97.85,74000
2023-11-15,98.15,106.4,98.1,102.15,280000
2023-11-16,102,104.5,100.9,102.5,116000
2023-11-17,103.5,103.7,99,99.65,88000
2023-11-20,100.2,101.4,99.75,100.1,62000
2023-11-21,100.25,102.35,98.8,101.4,96000
2023-11-22,101.9,102.9,97.3,98.4,120000
2023-11-23,99.7,100.5,98,100,58000
2023-11-24,99.5,102,99.5,100.45,90000
2023-11-28,101,101,97,97.35,84000
2023-11-29,99.2,99.2,92.05,93.45,106000
2023-11-30,93.45,93.95,85.75,91.05,222000
2023-12-01,92.45,92.75,85.5,86.25,304000
2023-12-04,88.5,88.5,84.55,86.4,126000
2023-12-05,88.2,88.45,86,86.3,100000
2023-12-06,87.45,89.45,86,89.1,86000
2023-12-07,87.65,88.65,85.5,86.05,116000
2023-12-08,87,88.9,87,87.9,64000
2023-12-11,88,88.7,87.4,88,40000
2023-12-12,87.95,88.95,87.95,88.8,46000
2023-12-13,88.2,89.2,88.1,88.6,22000
2023-12-14,90.25,90.35,89.1,90.15,30000
2023-12-15,90.5,90.5,89.05,89.05,48000
2023-12-18,89.05,89.15,80,84.35,180000
2023-12-19,85.95,88.25,85,85.35,198000
2023-12-20,87.8,87.8,81.6,82.15,114000
2023-12-21,83.9,84.45,80,81.95,92000
2023-12-22,82.4,83,80,80.1,126000
2023-12-26,82.2,87.5,77,86.55,322000
2023-12-27,89,94.1,88.2,90.45,436000
