Date,Open,High,Low,Close,Volume
2019-11-20,130.75,133.5,126.35,128.1,2750
2019-11-21,136.05,136.05,125.4,127.8,1543
2019-11-22,131,136.05,127.9,128.5,1381
2019-11-25,129.8,142.2,129.8,139.8,3338
2019-11-26,131.3,144.75,131.3,141.15,5064
2019-11-27,148.8,148.8,137.85,141.55,1248
2019-11-28,140.4,145.4,138.55,141.55,2269
2019-11-29,150,150,138,143,5418
2019-12-02,139.8,150.15,136.7,138.15,798
2019-12-03,146.65,146.65,136.65,140.7,2399
2019-12-04,143.15,145.4,134.2,143.25,2149
2019-12-05,145.9,145.9,137.3,142.9,1743
2019-12-06,137.95,142.25,136.05,136.2,1644
2019-12-09,126.05,148.65,126.05,138.1,3894
2019-12-10,131.05,140,127.9,135.8,5599
2019-12-11,130.4,141,127.95,132,4836
2019-12-12,128.55,133.2,124.85,131.9,6501
2019-12-13,129.15,131,127.3,127.4,7948
2019-12-16,131.65,132.3,122.35,124.85,7096
2019-12-17,131,131,122.3,126.05,1685
2019-12-18,130.7,130.7,122.95,129.3,1810
2019-12-19,129.1,131.65,126.15,131.25,1860
2019-12-20,135.3,135.4,129.15,134.3,1216
2019-12-23,137.85,137.85,127.35,127.4,246
2019-12-24,134.7,136.85,130.4,132.1,1391
2019-12-26,128.55,138.55,128.55,132.75,1416
2019-12-27,134.75,138.55,129.8,134.15,895
2019-12-30,138.65,138.65,131.05,136.95,2447
2019-12-31,137.9,137.9,127.9,130.25,9354
2020-01-01,130.25,132.85,126.75,128.4,5871
2020-01-02,129.8,134.15,129.15,130.6,4384
2020-01-03,134.75,134.75,129.35,131,4551
2020-01-06,131,131.05,126.65,128.65,3477
2020-01-07,131.05,133.5,128.85,132.85,6370
2020-01-08,137.9,155.95,133.5,137.85,36137
2020-01-09,146.65,146.65,136.05,140.45,7490
2020-01-10,134.8,143.5,134.15,143.45,6174
2020-01-13,139.15,144.35,138.7,143.3,1580
2020-01-14,141.65,146.5,138.55,141.45,5033
2020-01-15,140.3,143.5,140.3,143.5,10080
2020-01-16,142.25,145.4,137.45,144.15,16459
2020-01-17,148.05,152.9,141.65,150.15,8466
2020-01-20,146.65,152.9,146.65,152.4,6666
2020-01-21,154.7,154.7,145.4,151.5,2594
2020-01-22,151.5,151.5,147.5,150.8,3296
2020-01-23,149.75,151,146.65,146.65,6125
2020-01-24,146.65,149.45,144.5,146,4328
2020-01-27,143.5,147.9,139.8,141,2591
2020-01-28,141.1,144.75,140.95,143.5,6274
2020-01-29,139.5,147.25,139.5,145.9,3304
2020-01-30,142.9,152.85,139.8,143.3,1423
2020-01-31,140.95,150.35,140.7,140.75,1769
2020-02-01,144.75,148.8,141,142.95,2467
2020-02-03,139.15,143.5,139.15,143.3,5019
2020-02-04,143.5,143.5,140.55,143.5,2241
2020-02-05,144.75,144.75,139.15,141.25,9048
2020-02-06,143.5,143.5,136.05,140.35,13217
2020-02-07,137.3,139.9,134.2,135.4,3729
2020-02-10,136.05,141.6,131.05,134.25,2746
2020-02-11,137.3,139.05,132.3,134.45,4737
2020-02-12,136.95,136.95,132.3,134.75,6519
2020-02-13,131.05,134.15,129.3,131.85,1746
2020-02-14,129.5,133.15,129.35,131.05,3464
2020-02-17,130.3,131.9,124.8,127.1,5459
2020-02-18,127.9,129.15,118.05,127.85,10870
2020-02-19,128.65,128.65,121.7,125.15,6261
2020-02-20,126,127.9,119.55,127.9,2483
2020-02-24,144.75,144.75,118.8,123.3,5552
2020-02-25,121.05,125.9,119.8,124.4,1088
2020-02-26,120.05,124.35,118.8,123.7,902
2020-02-27,126.2,126.2,120.45,123.2,657
2020-02-28,123.85,123.85,116.05,118.4,10650
2020-03-02,121.7,121.7,106.7,113.15,28243
2020-03-03,114.2,114.8,106.7,111.35,2790
2020-03-04,115.45,116.95,108.6,111.2,1355
2020-03-05,116.35,118.1,109.35,112.8,799
2020-03-06,110.55,119.85,107.35,119.25,729
2020-03-09,125.4,125.4,112.3,118.7,2626
2020-03-11,120.45,120.45,109.25,115.45,1421
2020-03-12,109.2,109.2,94.2,95.35,12392
2020-03-13,83,112.9,81.1,112.8,6517
2020-03-16,103.1,115.9,98.6,103.6,6126
2020-03-17,110.9,112.25,101.35,103.55,4160
2020-03-18,105.4,107,95.45,105.5,1764
2020-03-19,99.85,103.6,84.6,101.8,2225
2020-03-20,99.85,99.85,91.1,99.35,2400
2020-03-23,99.85,99.85,79.5,85.1,2926
2020-03-24,93,93,74.9,88.8,2362
2020-03-25,91.75,91.75,76.15,86.85,1580
2020-03-26,91.75,93.25,83.6,91.4,1681
2020-03-27,96.65,99.1,88.6,92.25,4623
2020-03-30,84.95,93.45,84.95,91.55,5072
2020-03-31,91.75,96.7,88.65,91.6,216
2020-04-01,91.6,93.65,83.45,87.9,3040
2020-04-03,84.3,90.5,76.55,80.2,2705
2020-04-07,82.95,88.1,81.45,84.25,1530
2020-04-08,90.5,90.5,81.45,87.8,1342
2020-04-09,96.55,98.7,86.1,95.95,5801
2020-04-13,96.1,99.7,89.25,91.9,3921
2020-04-15,82.05,99.95,82.05,92.9,2926
2020-04-16,92.4,93,85,92,2631
2020-04-17,94.2,96.35,90.7,95.95,3751
2020-04-20,93.55,101.1,90.5,92.15,27964
2020-04-21,92.15,93.5,86.1,88.55,6277
2020-04-22,90.55,90.8,86.75,88.7,1951
2020-04-23,91.1,92.35,87.65,89.95,3931
2020-04-24,91.9,92,85.35,87.6,975
2020-04-27,87.35,89.85,86.9,89.75,1498
2020-04-28,91.75,98.3,91.2,95.7,16224
2020-04-29,91.7,98.6,89.3,95.3,5129
2020-04-30,93.35,97.35,92.95,95.45,4070
2020-05-04,95.45,96.65,90.5,92.85,4657
2020-05-05,95.9,96.7,89.9,91.95,1224
2020-05-06,93.95,93.95,89.05,90.9,1583
2020-05-07,92.6,93.55,88,92.75,1620
2020-05-08,90.45,94.3,88,89.8,754
2020-05-11,87.95,91.4,85.5,90.65,1633
2020-05-12,89.85,91.75,86.75,87.75,1003
2020-05-13,88.6,93,86.1,88.05,4919
2020-05-14,86.75,90.5,86.75,90.1,2310
2020-05-15,88.6,93.75,86.8,88.2,2100
2020-05-18,91.05,102.95,86.45,94.35,40761
2020-05-19,93.65,113.2,88.75,104.75,239421
2020-05-20,106.1,109.15,92.35,94.9,850669
2020-05-21,94.85,101.1,93.75,96.55,149176
2020-05-22,96.4,98.6,92.4,95.2,94860
2020-05-26,98.6,98.6,90.5,91.55,194525
2020-05-27,91.9,95.95,87.6,90.6,163458
2020-05-28,90.65,93.6,89.35,90.05,79381
2020-05-29,87.9,89.55,81.3,85.7,78849
2020-06-01,86.75,89.8,82,87.5,217201
2020-06-02,88,91.75,85.5,90,67092
2020-06-03,91.4,91.4,87.35,88,28434
2020-06-04,87.35,88.5,86.75,87.25,18036
2020-06-05,88.6,88.6,86.85,87.9,29485
2020-06-08,88,91.5,88,88.45,65266
2020-06-09,90.4,90.4,85.6,86.4,25153
2020-06-10,86.75,87.85,86.4,87.15,13919
2020-06-11,86.4,88.9,85.2,87.95,36991
2020-06-12,84.35,87.2,84.3,86.5,18395
2020-06-15,87.45,88.6,85.75,86.25,19701
2020-06-16,87.3,87.35,82.9,84.8,23750
2020-06-17,83,86.65,81.45,85.5,24291
2020-06-18,84.85,86.1,82.4,85.15,15873
2020-06-19,85.25,89.25,84.45,88.35,33658
2020-06-22,89.2,90.35,86.25,88.65,29871
2020-06-23,89.85,90.5,87.4,87.95,21998
2020-06-24,88.75,91.05,85,85.75,44939
2020-06-25,84.95,88.3,84.95,87,14883
2020-06-26,87.6,97.4,87.6,90.95,174903
2020-06-29,91.1,94.2,91.1,92.4,55108
2020-06-30,90.5,92.35,88.95,89.15,26346
2020-07-01,88.5,88.95,84.95,86.85,21309
2020-07-02,88,88,85.5,85.7,8278
2020-07-03,87.3,87.65,86.1,86.7,9857
2020-07-06,86.7,86.7,82,84.35,34491
2020-07-07,83.75,86.1,83.75,84.95,10179
2020-07-08,86.1,89.85,86,86.5,33008
2020-07-09,87.4,88.6,84.6,85.3,23908
2020-07-10,85.5,86.35,83.7,85,11025
2020-07-13,88.6,101.95,87.65,98.45,522145
2020-07-14,97.95,98.4,92,94.35,121700
2020-07-15,95.15,96.65,90.4,90.8,57676
2020-07-16,91.15,93,89.25,92.15,38887
2020-07-17,93.6,99.2,91.15,94.85,72717
2020-07-20,98.45,98.45,92.35,93.5,43645
2020-07-21,93.6,94.95,92.85,94.45,26506
2020-07-22,94.45,94.85,91.9,92.4,29955
2020-07-23,90.8,93.65,89.25,91.9,43056
2020-07-24,93,93,90.5,91.75,19394
2020-07-27,92.35,97.35,89.45,95.1,69751
2020-07-28,94.2,95.8,92.55,93.95,15549
2020-07-29,95.05,95.05,91.75,92.45,8948
2020-07-30,94.6,94.8,92.35,92.75,22875
2020-07-31,92.75,93.9,91.1,91.55,8078
2020-08-03,90.65,93.45,89.7,90.15,21070
2020-08-04,90.3,92.05,90,91.15,17741
2020-08-05,92.2,93.3,90.6,91.25,17839
2020-08-06,92.95,99.8,91,95.35,122440
2020-08-07,96.1,97.35,94.25,94.95,46916
2020-08-10,94.95,101.45,92.5,93.65,41573
2020-08-11,93.6,100.3,92.3,99.45,110727
2020-08-12,100.45,100.45,97.2,97.8,31903
2020-08-13,99.05,99.85,96.1,99,21477
2020-08-14,99,103.6,95.9,97.6,71341
2020-08-17,102.4,102.4,95.9,96.3,40870
2020-08-18,97,99.2,96.25,98.6,18115
2020-08-19,99.45,101.45,98.7,99.1,27383
2020-08-20,98.6,106.1,97.35,104.5,62116
2020-08-21,107.35,109.2,104.4,105.35,37850
2020-08-24,104.85,110,102.5,106.35,42350
2020-08-25,106.5,108.3,101.6,102.5,47788
2020-08-26,103.5,105.45,101.45,101.9,115701
2020-08-27,104.2,105.15,103,104.35,37149
2020-08-28,105.45,105.6,102.95,103.25,19560
2020-08-31,106.1,106.1,93.65,94.2,53575
2020-09-01,96.05,106,94.1,102.6,177229
2020-09-02,102.95,107.85,101.1,102.7,51528
2020-09-03,105.2,106.1,102.35,104.7,18516
2020-09-04,101.75,103.85,100.3,101.6,15129
2020-09-07,102.35,102.35,97.05,97.45,19277
2020-09-08,98.6,99.65,96.7,97.05,9543
2020-09-09,96.75,98.85,94.95,95.25,13229
2020-09-10,97.3,99.55,96.1,98.55,10604
2020-09-11,98.55,99.8,95.8,96.2,14238
2020-09-14,97.25,102.6,96.9,99.3,21068
2020-09-15,98.95,101.15,97.95,99.1,17472
2020-09-16,98,101.2,98,99.7,14192
2020-09-17,99.6,101.1,97.85,99.3,14573
2020-09-18,100.75,100.75,97,98.5,12009
2020-09-21,100.2,102.35,94.2,94.95,31730
2020-09-22,96.7,96.7,90.65,94.75,14144
2020-09-23,98.6,98.6,93.8,96.45,11522
2020-09-24,96.45,96.45,93.65,94.2,6020
2020-09-25,96.7,97.35,94.8,95.25,6301
2020-09-28,95.95,97.95,94.95,96.1,15818
2020-09-29,97.8,97.85,93.15,93.7,26275
2020-09-30,94.8,96.4,93.75,95.5,12572
2020-10-01,97.95,99.8,95.2,96.05,21985
2020-10-05,96.1,98.6,93,94,12705
2020-10-06,95.45,96.05,93.1,93.8,9998
2020-10-07,93.55,93.6,91.5,91.85,16291
2020-10-08,93.6,93.6,88.2,91.6,16243
2020-10-09,91.75,93.6,90.65,91.75,9580
