Date,Open,High,Low,Close,Volume
2025-04-17,35.79,36.9,34.59,36,124917
2025-04-21,36.5,38,35.1,37.39,186393
2025-04-22,38.39,39,37.35,38.21,208101
2025-04-23,38.95,39.5,38.25,39.09,189660
2025-04-24,39.85,39.85,37.74,38.96,169547
2025-04-25,39.7,39.7,37.47,38.45,144289
2025-04-28,39,39.6,36.15,36.88,246796
2025-04-29,37.43,37.89,36.17,36.69,67006
2025-04-30,36.7,37.9,36.2,37.07,111794
2025-05-02,37.65,37.81,35.78,36.57,129495
2025-05-05,37.3,38.06,36.02,36.91,196843
2025-05-06,37.4,37.82,35.55,36.16,223967
2025-05-07,36.85,36.85,35.38,36.03,22368
2025-05-08,36.52,36.8,34,35.06,67463
2025-05-09,36,36,34.83,35.51,101090
2025-05-12,37,37.59,35.25,35.8,211692
2025-05-13,36.47,37.2,35.9,36.33,179952
2025-05-14,36.96,37.85,35.95,36.34,101585
2025-05-15,36.99,37,35.11,35.58,194085
2025-05-16,36,36.97,35.13,35.34,273281
2025-05-19,35.9,37.7,35.61,36.65,95371
2025-05-20,37.7,38.63,36.84,37.54,396913
2025-05-21,38,39.1,37.78,38.15,536939
2025-05-22,38.6,38.6,36.85,37.04,37271
2025-05-23,37.55,37.57,36.71,37,31461
2025-05-26,37.1,38.1,36.49,36.8,240553
2025-05-27,37.63,38.8,37.02,38.47,562227
2025-05-28,39.24,39.24,32.51,34.98,1473130
2025-05-29,36,36.61,35.5,36.06,342511
2025-05-30,36.99,36.99,36.06,36.6,151368
2025-06-02,37,37.9,36.15,36.61,288665
2025-06-03,37,37.6,35.91,37.26,154233
2025-06-04,37.65,37.74,36.4,36.62,146079
2025-06-05,37.02,37.34,35.7,35.96,114435
2025-06-06,36.47,38.05,36.45,37.76,316331
2025-06-09,38.35,39.2,37.41,38.21,466696
2025-06-10,39.1,39.15,37.8,38.46,763205
2025-06-11,39.1,41.75,38.2,40.91,1693139
2025-06-12,41.32,41.9,39.62,40.82,451498
2025-06-13,40.8,40.8,39.4,39.79,328809
2025-06-16,39.95,42.8,39,42.25,3062991
2025-06-17,42.9,44.5,41.5,42.14,2476387
2025-06-18,42,43.5,41.87,42.65,463154
2025-06-19,43,44.5,41.27,42.28,924620
2025-06-20,42.7,44.3,42.16,43.25,434991
2025-06-23,43.9,43.9,41.5,42.19,161887
2025-06-24,42.8,43.35,41.73,42.21,303649
2025-06-25,42.8,43.02,41.77,42.12,247841
2025-06-26,42.55,43.6,41.6,42.39,400605
2025-06-27,42.8,42.98,36.15,40.09,1282723
2025-06-30,40.09,41.41,39.34,40.56,560367
2025-07-01,41.15,42,40.5,40.8,232552
2025-07-02,41.2,41.4,40,40.23,139259
2025-07-03,40.85,40.85,39.38,39.92,412393
2025-07-04,40.1,41.79,38.8,40.92,829130
2025-07-07,41.35,42,40,40.52,776280
2025-07-08,40.95,40.95,39.5,40.45,280923
2025-07-09,40.85,40.85,39.73,39.93,324579
2025-07-10,39.73,40.3,38.93,39.11,233634
2025-07-11,39.45,39.8,38.31,38.5,231729
2025-07-14,39.89,39.89,36.87,37.94,278186
2025-07-15,38.49,38.49,37.13,37.52,672627
2025-07-16,37.72,37.86,36.83,37.41,408549
2025-07-17,37.5,37.61,36.71,36.89,102583
2025-07-18,37,38,35.88,36.26,836243
2025-07-21,36.26,37.45,35.28,37.07,506625
2025-07-22,37.45,38.32,36.84,37.91,789708
2025-07-23,38.09,38.71,37.5,37.92,678029
2025-07-24,37.95,38.35,36.93,37.18,250416
2025-07-25,37.81,38.17,36.66,37.37,523638
2025-07-28,37.95,37.95,36,36.2,138802
2025-07-29,36.59,36.59,35.48,35.8,239397
2025-07-30,36.1,36.73,34.95,35.64,228800
2025-07-31,35.15,36.3,34.35,34.93,455319
2025-08-01,35,35.29,32.99,33.61,242578
2025-08-04,33.1,34.6,33.1,33.64,121995
2025-08-05,33.31,33.99,33.05,33.51,87098
2025-08-06,33.55,34.85,33.35,33.72,218360
2025-08-07,33.85,34,32.6,33.32,104324
2025-08-08,33.7,33.9,32.31,32.74,203294
2025-08-11,32.95,34.39,32.57,32.99,252384
2025-08-12,32.51,36,32.51,35.16,637993
2025-08-13,35.5,36.07,33.5,34.63,99581
2025-08-14,35.15,36.5,33.31,33.8,195354
2025-08-18,34.3,34.88,33.26,34.45,131323
2025-08-19,34.5,35.9,34.15,34.71,126986
2025-08-20,34.95,35.89,34.5,35.21,152900
2025-08-21,35.55,35.99,35.17,35.38,211857
2025-08-22,35.65,35.76,34.75,35.28,133894
2025-08-25,35.28,35.49,34.75,34.83,137449
2025-08-26,34.85,36,33.46,34.23,165758
2025-08-28,34,35.85,33.36,34.04,197046
2025-08-29,33.75,34.1,33.29,33.64,45029
2025-09-01,33.9,35,31.55,33.61,167083
2025-09-02,33.89,34.49,33.37,33.64,81260
2025-09-03,32.6,34.74,32.01,32.84,260514
2025-09-04,33.89,34.55,32.55,33.31,141654
