Date,Open,High,Low,Close,Volume
2017-04-18,104.525,118.7375,104.525,108.125,568048
2017-04-19,108.2375,112.625,108.2375,109.9875,217700
2017-04-20,110.25,113.25,110,110.4125,97992
2017-04-21,111.2125,111.7375,107.75,108.6875,84496
2017-04-24,110.975,110.975,107.1125,109.525,97776
2017-04-25,108,112.4875,108,109.1875,105236
2017-04-26,107.8875,110.725,107.8875,109.3,86396
2017-04-27,107.875,111.25,107.875,109.5,68268
2017-04-28,108.125,117.25,108.125,114.225,201436
2017-05-02,117.25,117.25,111.5125,112.95,79224
2017-05-03,113.325,113.6125,110.3875,110.5375,34892
2017-05-04,111.9875,112,110.15,110.4125,50428
2017-05-05,110.7875,111.5,109.75,110.8125,51412
2017-05-08,112,112,108.75,110.4,50108
2017-05-09,110.5,110.8625,109.75,110.025,46920
2017-05-10,110.5125,116.2875,109.25,115.225,171168
2017-05-11,114.5,117.5,113.25,117.15,176448
2017-05-12,116.2625,116.85,111.7625,112.225,28236
2017-05-15,114.75,114.75,110.5,110.6125,19296
2017-05-16,110.725,112.0875,109.875,110.0375,19488
2017-05-17,110.225,111.2,109.975,110.025,16692
2017-05-18,108.75,109.75,108.75,109.5125,20188
2017-05-19,109.975,109.975,104.5,105.2625,36568
2017-05-22,105.5125,107.125,104.5375,106.325,17536
2017-05-23,105.0375,105.7875,102.5,105.1875,20284
2017-05-24,107.5,107.5,103.8125,105.0625,52020
2017-05-25,105.0125,107.2375,104.5,106.3625,22544
2017-05-26,106.275,107.0875,106.0625,106.25,16108
2017-05-29,103.8875,107.5,103.8875,106.3625,21812
2017-05-30,105.625,106.9375,105.5,106.1875,13064
2017-05-31,104.2625,106.7625,104.2625,106.25,22504
2017-06-01,105.375,108.75,105.125,106.35,16408
2017-06-02,107.5,107.5,106.25,106.2625,15876
2017-06-05,106.25,106.5125,105.5,106.2,15312
2017-06-06,106.25,108.25,105.375,106.275,15164
2017-06-07,107.75,108.75,105.5,106.2375,11748
2017-06-08,106.25,106.525,105.5625,106.25,17988
2017-06-09,105.5,107,105.5,106.25,14860
2017-06-12,105.25,106.75,105.25,106.25,14932
2017-06-13,105.275,106.75,105.275,106.25,24396
2017-06-14,106.25,106.6,105.25,106.25,23936
2017-06-15,106.25,106.7375,105,106.25,18300
2017-06-16,107.375,107.4875,105.2625,106.2625,28832
2017-06-19,105.7625,107.375,105.75,106.2625,65716
2017-06-20,105.0375,106.5,105.0375,106.2625,23844
2017-06-21,106.25,110.475,106,108.25,31424
2017-06-22,108.75,110.375,106.1875,106.4,96504
2017-06-23,106.4,107.0625,105.575,106.3125,16392
2017-06-27,105,106.725,105,106.1875,42260
2017-06-28,105.3125,106.5,105.3125,106.225,69212
2017-06-29,106.25,106.5125,105.7625,106.1875,20416
2017-06-30,105.5375,106.375,105.125,106.25,55532
2017-07-03,106.25,107,105.75,106.1625,15020
2017-07-04,105.75,106.5125,105.75,106.1875,11400
2017-07-05,106.2,106.375,105.5,106.15,15792
2017-07-06,105.5375,111,105.5375,106.4,31300
2017-07-07,106.2875,107.5,106.0625,106.2875,20892
2017-07-10,105.0375,109.975,105.0375,106.2375,7340
2017-07-11,106.25,112,106.05,106.375,66728
2017-07-12,105.3375,107.25,105.3375,106.25,22608
2017-07-13,105.75,108,105.75,106.9375,38676
2017-07-14,106.25,107.1125,106.0125,106.4375,33604
2017-07-17,105.6,106.675,105.6,106.1875,15036
2017-07-18,105.775,106.5,105.7625,106.1375,24812
2017-07-19,106.1375,107.25,104.5,104.9875,19304
2017-07-20,104.625,105.8,104.0125,104.2625,15184
2017-07-21,104.3125,106.25,101.3125,102.675,15204
2017-07-24,101.375,103.25,100.375,101.3375,18156
2017-07-25,100.375,110.45,100.375,102.5,18684
2017-07-26,105.1875,105.1875,101.2875,102.05,20552
2017-07-27,101.475,103.5,101.475,102.75,17372
2017-07-28,101.9625,103,101.25,102.4,18600
2017-07-31,100.2875,102.475,96.2625,97.725,24052
2017-08-01,95.275,97.875,95.275,97.425,22596
2017-08-02,96.375,97.4875,94.025,95.0875,17792
2017-08-03,95,98.5,93.75,97.5125,32224
2017-08-04,97.05,99,95.625,98.7625,18844
2017-08-07,97.85,100.8875,97.5,99.4375,12084
2017-08-08,99.225,99.225,97.25,97.5125,9780
2017-08-09,97.5875,97.5875,95.525,96.2,15264
2017-08-10,95.2875,96.75,93.8375,96.2375,19564
2017-08-11,95.0125,95.0125,90.025,93.8125,17192
2017-08-14,93.8125,96.4125,92.5,96.225,13580
2017-08-16,95.8,97.725,94.075,97.5125,6808
2017-08-17,98.575,100.7375,97.375,100.125,13244
2017-08-18,97.8375,100.2125,97.7875,99.8375,11108
2017-08-21,97.825,102.5,97.825,101.7375,15828
2017-08-22,100.6625,102.2375,99,99.5375,8796
2017-08-23,98.925,99.8125,98.75,98.7625,4000
2017-08-24,98.075,98.7625,96.25,96.6125,9316
2017-08-28,96.6125,96.6125,93.75,94.4625,12900
2017-08-29,95,95.0125,93.125,93.4,7596
2017-08-30,93.025,95.5,93.025,93.3,6736
2017-08-31,93.2625,93.95,91.25,92.4875,41388
2017-09-01,92.5,95.725,91.325,91.6625,12668
2017-09-04,92.2625,92.5,90.275,91.3125,9488
2017-09-05,93.925,93.925,90.5,91.525,12584
2017-09-06,90.675,92.725,90,90.425,12944
2017-09-07,90.425,92.0625,88.325,88.7625,14360
2017-09-08,89.5,89.65,87.6125,87.775,11096
2017-09-11,87,88.2625,86.125,86.35,17340
2017-09-12,85.2875,85.625,82.725,83.0125,35712
2017-09-13,82.95,83,80.925,81.1625,35680
2017-09-14,81,82.5,78.5125,79.075,41532
2017-09-15,78.7625,93.675,78.6125,87.525,592964
2017-09-18,87.875,90.0125,82.55,87.5625,94448
2017-09-19,87.65,87.65,85.0375,86.65,10944
2017-09-20,86.325,87.975,85.5,87.425,22724
2017-09-21,86.3,88.4875,86.3,87.35,17800
2017-09-22,86.7625,87.5,82.75,84.9,12260
2017-09-25,83.3125,89.5,82.5125,85.5875,35744
2017-09-26,85.075,87.5,84.3875,85.4375,13804
2017-09-27,85.325,87.4875,84.5375,85.1125,20628
2017-09-28,85.5,86.9875,84.25,84.7125,14940
2017-09-29,84.5375,92,84.5375,87.3,47780
2017-10-03,86.325,87.4375,83.75,84.8375,20776
2017-10-04,84.7625,85.7375,84,84.4875,8680
2017-10-05,85.5,86.725,83.65,84.275,25556
2017-10-06,86.25,86.475,84.1375,84.6375,13876
2017-10-09,83.4125,84.95,83.25,84.0625,13512
2017-10-10,83.625,84.975,83.5,84.3,16660
2017-10-11,83.8375,88.7375,83.8375,84.7,35308
2017-10-12,84.9875,85.5,84,84.75,10636
2017-10-13,84.0625,86.35,83.9375,84.9625,17100
2017-10-16,84.95,85.25,83.8875,84.1875,19676
2017-10-17,83.8,84.975,82.5,82.65,10032
2017-10-18,82.5,96.2375,81.25,88.725,197484
2017-10-19,87.5,89.0625,86.25,87.0875,6080
2017-10-23,87.725,88,85,87.6,23356
2017-10-24,85.7875,88.25,85.7875,87.3125,15120
2017-10-25,87.75,87.75,83.7875,84.6375,10864
2017-10-26,84.6375,87.45,83.5,83.7875,15880
2017-10-27,83.75,84.9875,83.025,83.3125,21868
2017-10-30,83.2875,84.9125,82.625,82.9375,10436
2017-10-31,83,83.25,82.5,82.5375,8308
2017-11-01,82.55,83.25,81.6375,82.075,9772
