Date,Open,High,Low,Close,Volume
2015-09-07,348.2,352.75,329.5,332.55,1949816
2015-09-08,333.6,340.5,321.55,338.85,702682
2015-09-09,341.75,360.95,341.75,359.4,786182
2015-09-10,355.95,385.3,349.5,379.65,1942296
2015-09-11,384,398.8,366.85,380.15,1301140
2015-09-14,385.25,391.7,380.65,387.1,365722
2015-09-15,386.95,390.4,373.75,374.8,205253
2015-09-16,377.45,380.65,351.65,353.5,1397803
2015-09-18,360.95,366.1,356.1,360.75,1204125
2015-09-21,362.2,363.5,352,353.1,280406
2015-09-22,359.4,362.75,353.55,357.5,403628
2015-09-23,353.1,361.1,347.3,359.35,360522
2015-09-24,358.9,358.9,343.3,347.45,922112
2015-09-28,343.1,344.3,335.6,338.4,1255952
2015-09-29,337.3,358.15,335.6,355.1,1244281
2015-09-30,359.7,387.75,358.65,380.15,1592948
2015-10-01,381.6,387.75,371.9,385.45,492300
2015-10-05,387.85,403.7,375.8,395.1,1261963
2015-10-06,400.05,403.2,383.25,385.7,542772
2015-10-07,385.7,395.5,385.3,389.9,262460
2015-10-08,389.9,395.55,386.55,394.25,150175
2015-10-09,394.75,395.55,390.4,394.05,185847
2015-10-12,396.8,402.6,390.55,394.15,170410
2015-10-13,392.95,396.8,377,381.95,429886
2015-10-14,384,388.65,380.65,383.4,255761
2015-10-15,383.5,387.45,377.85,381.25,279382
2015-10-16,384,386.2,368.2,371.25,334710
2015-10-19,375.65,381.7,367.35,381,210410
2015-10-20,381.45,383.7,371.9,377.95,303390
2015-10-21,380.15,380.95,374.25,376.4,335803
2015-10-23,378.9,380.15,340.75,346.9,2523675
2015-10-26,349.7,350.7,341.75,344.65,2507393
2015-10-27,345.6,345.6,334.3,339.3,3051425
2015-10-28,343.95,347.1,340.5,345.55,775785
2015-10-29,347.6,347.6,335.35,338.15,1210640
2015-10-30,343.05,343.05,335.6,339.25,862745
2015-11-02,342.75,344.85,336.9,339.6,657816
2015-11-03,344.3,345.6,338.35,344.5,180210
2015-11-04,345.35,348.15,342.25,345.35,466890
2015-11-05,347.55,358.35,345.6,351.8,728678
2015-11-06,357.1,364.55,355.85,359.45,765406
2015-11-09,350.75,365.05,350.75,359.85,287745
2015-11-10,362.25,366.85,353.3,357.6,281093
2015-11-11,358.85,365.8,358.4,364.1,64066
2015-11-13,359.2,363.35,354.85,359.6,194441
2015-11-16,356.85,361.4,349.9,352.7,397851
2015-11-17,356.6,360.95,352.25,353.75,439460
2015-11-18,353.55,358.15,348.2,349.75,135691
2015-11-19,350.8,354.55,338.95,344.65,662526
2015-11-20,345.6,350.7,343.65,348.4,776741
2015-11-23,348.95,354.3,348.95,351.2,765636
2015-11-24,350.7,367.35,349.45,363.7,459362
2015-11-26,366.85,369.6,361.9,363.75,251292
2015-11-27,364.3,367.2,354.85,360.4,262678
2015-11-30,363.5,367.35,352.2,355.9,1045448
2015-12-01,362.5,365.8,356.75,363.6,238812
2015-12-02,365.55,371.7,361.75,367,832448
2015-12-03,366.35,376.05,366.35,370.2,497702
2015-12-04,368,373.25,359.7,361.75,287198
2015-12-07,365.8,369.4,362.2,365.15,354491
2015-12-08,363.25,371.05,362.5,364.65,694733
2015-12-09,363.5,364.1,339.3,343.15,539046
2015-12-10,345.1,353.3,339.2,345.85,181937
2015-12-11,345.85,347.4,335.9,338.85,311843
2015-12-16,338.2,339.05,331.25,332.75,380066
2015-12-17,332.8,334.2,324.2,329.1,1235691
2015-12-18,332.3,337.2,328.95,333,2312410
2015-12-21,328.5,337.9,328.5,332.55,307647
2015-12-22,332.55,337.65,332.55,334.6,263093
2015-12-23,335.65,337.25,332.8,334.25,151538
2015-12-24,335.35,337.9,333.45,334.55,224163
2015-12-28,334.6,339.95,333.3,335.3,410963
2015-12-29,336.65,336.65,331,332.35,177171
2015-12-30,334.1,335.75,327.7,328.2,207820
2015-12-31,335.35,337.9,331.5,336.15,618500
2016-01-01,337.9,364.25,336.25,355.35,2014491
2016-01-04,356.75,362.25,341.6,345.3,984187
2016-01-05,346.95,348.65,332.85,335.95,766480
2016-01-06,336.9,339.15,328.95,329.7,1325851
2016-01-07,329.2,329.2,321.9,323.75,657487
2016-01-08,326.65,330,318.7,326.25,1576375
2016-01-11,325.4,331.5,320.75,328,534612
2016-01-12,332.3,333.8,320,321.95,574358
2016-01-13,325,325.4,310.25,315.95,534108
2016-01-14,314.6,314.9,308.15,313.35,200230
2016-01-15,316.9,319,310.3,313.55,476745
2016-01-18,311.05,311.55,294.9,295.7,1090257
2016-01-19,296.2,304.4,288,302.4,550257
2016-01-20,299,314.9,292.35,310.4,919910
2016-01-21,312.3,317.45,304.65,308.95,673660
2016-01-22,312.3,313.5,306.3,307.2,629893
2016-01-25,309.75,314.85,307.65,309.9,426026
2016-01-27,302.25,313.7,298.85,310,1563163
2016-01-28,310,316.9,303.05,307.85,1422101
2016-01-29,307.2,310.35,302.5,303.85,878807
2016-02-01,304.65,309.65,299.5,305.8,552253
2016-02-02,303.4,305.9,294.9,298,545546
2016-02-03,296.95,296.95,279.05,282.85,1400382
2016-02-04,284.65,288.8,283.4,284.2,1025233
2016-02-05,284.15,291.3,284.15,288.65,1543070
2016-02-08,288.5,294.75,285.95,294.05,462401
2016-02-09,293.65,294.7,277.75,291.45,271441
2016-02-10,287,290.3,281.6,282.35,1091425
2016-02-11,281.6,284.95,276.5,280.4,1640882
2016-02-12,282.1,285.65,269.05,276.65,911022
2016-02-15,278.8,298.25,277.65,295.45,280390
2016-02-16,305.9,305.9,292.1,296.1,409816
2016-02-17,296.45,304.6,288.65,301.5,290945
2016-02-18,302.6,305.45,290.6,291.6,496851
2016-02-19,291.6,291.6,282.6,286.65,495577
2016-02-22,288,302.4,285.45,296.8,624753
2016-02-23,297.45,299.25,288.5,290.6,902198
2016-02-24,290.3,292.6,283,290.15,397636
2016-02-25,294.15,300,287.35,298,3105573
2016-02-26,300.3,303.6,295,299.6,1146718
2016-02-29,297.75,299.7,292.95,296.55,874963
2016-03-01,301.8,305.65,297.35,303.7,904855
2016-03-02,312.6,318.3,305.2,310.4,2939781
2016-03-03,313.75,313.75,303.7,305.15,882710
2016-03-04,304.65,321.3,302.7,316.65,626066
2016-03-08,314.9,323.85,307.15,314,302053
2016-03-09,308.1,309.5,303.4,305.9,1970085
2016-03-10,304.4,306.2,296.55,297.85,1641835
2016-03-11,299,301.8,292.9,293.75,6783245
2016-03-14,292.8,298,292.15,296.3,1334882
2016-03-15,298,298,292.5,294.15,1093991
2016-03-16,293.8,296.45,293.1,295.45,615601
2016-03-17,296.4,300.55,295.4,299.5,930303
2016-03-18,300.55,300.55,290.95,293.85,1733687
2016-03-21,295.15,308.45,295,307.05,1190343
2016-03-22,306.95,312.3,303.1,310.8,567620
2016-03-23,311.05,314.1,307.85,312.65,469522
2016-03-28,312.6,316.65,311.95,313.95,422195
2016-03-29,315.4,316.15,303.4,305.2,1793268
2016-03-30,306.2,321.3,306.2,318.35,852522
2016-03-31,319.1,324.35,311.15,318.3,5554803
2016-04-01,318.2,324.1,313.55,322.15,480125
2016-04-04,324.7,330.6,323.05,326.2,568987
2016-04-05,320.8,325.3,315.9,321.25,1090612
2016-04-06,324.6,327.7,319.85,325.1,709015
2016-04-07,326.15,327.15,320.65,326.15,308265
2016-04-08,325.1,327.1,321.1,324.65,227406
2016-04-11,324.65,326.45,320,321.85,358866
2016-04-12,322.55,327.7,322.55,324.6,573972
2016-04-13,327.65,328.95,316.35,325.25,945741
2016-04-18,328.65,343,326.4,341.05,1608831
2016-04-20,343.15,354.8,342.2,353.1,1127151
2016-04-21,354.55,354.8,347.85,348.3,836588
2016-04-22,347.9,350.45,345.85,348,248077
2016-04-25,348.65,350.7,342.1,342.95,802945
2016-04-26,342.95,350.45,340.75,347.35,1439570
2016-04-27,346.9,349,342.3,344.75,425593
2016-04-28,344.8,344.8,335.35,338.15,1286257
2016-04-29,340.45,347.55,337.2,346.35,602862
2016-05-02,344.3,353,341.05,350.65,502386
2016-05-03,350.7,357.9,349.45,353.2,861218
2016-05-04,351.7,360.45,350.6,353.15,767585
2016-05-05,353,353.55,342.55,345.3,1464838
2016-05-06,344.5,347.6,339.2,340.35,839803
2016-05-09,343.95,351.45,338.2,339.4,546156
2016-05-10,340.2,343.05,331.8,332.8,469160
2016-05-11,330.25,337.4,328.15,333.1,264577
2016-05-12,333.15,345.1,333.15,342.65,532546
2016-05-13,342,348.65,341.25,343.6,458042
2016-05-16,347.9,352.25,340.65,350.75,375253
2016-05-17,352.25,354.55,349.5,351.2,222406
2016-05-18,350.6,351.75,346.9,349.4,194640
2016-05-19,351.95,354.55,345.65,347.4,279062
2016-05-20,347.35,351.95,340.5,342.1,209362
2016-05-23,342.5,357.2,342.5,351.1,776792
2016-05-24,354,356.85,346.35,353.9,899772
2016-05-25,356.35,357.85,350.45,355.5,614991
2016-05-26,346.1,352.95,343.05,348.7,1179147
2016-05-27,349.9,355.05,345.7,353.35,822187
2016-05-30,354.55,370.7,354.55,367.75,1257647
2016-05-31,369.9,375.05,363.5,368.4,1987886
2016-06-01,368.4,369.4,358.9,360.5,278296
2016-06-02,363.1,363.1,353.35,354.85,396147
2016-06-03,358.4,358.4,345.85,346.2,408136
2016-06-06,349.1,349.1,339.85,341.1,487456
2016-06-07,344,346.9,342.75,345.5,439241
2016-06-08,349.1,351.75,345.85,349.05,981241
2016-06-09,349.7,352.75,345.9,347.4,486253
2016-06-10,348.15,351.65,346.35,347.15,285855
2016-06-13,344.05,350.9,344.05,348.05,320612
2016-06-14,350.2,352,338.7,343,284831
2016-06-15,344.3,347.75,342.05,345.45,430218
2016-06-16,345.6,346.9,342.8,344.65,309053
2016-06-17,345.55,346.9,337.9,339.1,439983
2016-06-20,336.55,350.2,336.55,343.25,708698
2016-06-21,343.6,351.25,339.5,340.9,783660
2016-06-22,337.45,345.55,337.45,341.9,510487
2016-06-23,344.15,349.45,338,346.05,570178
2016-06-24,343,350.95,338.1,347.9,449250
2016-06-27,347.9,355.2,345,346.95,681397
2016-06-28,347.4,356.4,347.4,353.6,478698
2016-06-29,354.6,372.75,352.9,371.5,868245
2016-06-30,372.05,376.3,363.4,366.2,1203768
2016-07-01,365.3,378.6,363.65,373.6,799890
2016-07-04,374.2,376.3,370.85,371.6,371875
2016-07-05,371.6,378.35,369.95,374.9,537687
2016-07-07,375.3,381.25,373.8,375.3,802875
2016-07-08,376.6,378.7,373.15,375.25,440406
2016-07-11,376.8,380.4,369.45,371.7,670120
2016-07-12,373.8,375.15,364.1,365.5,956987
2016-07-13,367.35,371.15,362.25,365.6,999858
2016-07-14,366.3,372.9,364.05,369.5,2389511
2016-07-15,372.2,378.35,372,375.3,939296
2016-07-18,377.6,378.45,360.65,364.15,295456
2016-07-19,366.15,368.65,361.45,367.2,405781
2016-07-20,367.1,373.75,367.1,372.6,313566
2016-07-21,373.75,375.3,366.7,370.05,539983
2016-07-22,370.9,377.35,368.4,373,682015
2016-07-25,373,381.45,373,378.55,1066303
2016-07-26,378.9,382.45,358.5,369.95,1016987
2016-07-27,371.2,377.6,365.45,375.4,545300
2016-07-28,375.4,381.4,374.05,376.3,1355702
2016-07-29,376.3,386.9,374.3,383.95,1161378
2016-08-01,387.85,391.4,382.5,386.2,775577
2016-08-02,386.05,394.25,385.3,388.6,912307
2016-08-03,390.35,391.7,378.05,380.2,464858
2016-08-04,385.75,385.85,365.25,368.05,892160
2016-08-05,369.65,372.5,360.95,369.3,729167
2016-08-08,371.2,372.3,359.3,366.6,425605
2016-08-09,369.4,379.55,364.9,373.5,1057331
2016-08-10,364.8,382.7,364.8,375.65,1534347
2016-08-11,371.7,373.75,359.7,363.25,478882
2016-08-12,366.45,367.85,356.25,357.75,598300
2016-08-16,358.4,362.65,357.2,358.2,530538
2016-08-17,358.15,362.1,357.55,360.95,615335
2016-08-18,362,362.75,354.85,355.55,433378
2016-08-19,355.85,355.85,348.7,349.8,718007
2016-08-22,349.7,354.25,347.65,349.25,392406
2016-08-23,351.85,352.9,343.3,346.7,371198
2016-08-24,346.7,350.45,345.6,348.7,295390
2016-08-25,348.65,355.85,345.85,352.35,1433066
2016-08-26,350.45,353.45,348.15,349.7,256640
2016-08-29,352.7,353.8,347.95,351.7,177511
2016-08-30,354.25,354.25,349.65,351.5,465213
2016-08-31,352,362.15,349.45,357,696417
2016-09-01,358.4,360.2,353.3,355.6,211327
2016-09-02,357.1,357.2,349.45,351.75,398397
2016-09-06,352.35,354.5,348.95,352.05,858667
2016-09-07,353.5,356.25,351.75,353.2,308605
2016-09-08,355,355.2,350.9,353.85,228765
