Date,Open,High,Low,Close,Volume
2025-08-14,195,198,185.25,186.9,2632800
2025-08-18,186,186,177.55,178.25,533600
2025-08-19,178,187.15,177,187.15,581600
2025-08-20,189.9,194,181.3,185.05,162400
2025-08-21,182,184,177,180,158400
2025-08-22,180,189,180,187.8,240800
2025-08-25,185.5,195,185.5,194.8,263200
2025-08-26,195,197.5,185.1,190.2,165600
2025-08-28,195,197.95,190,193.45,138400
2025-08-29,194.9,198.4,186.1,192,128000
2025-09-01,198,207,195.5,205.2,604000
2025-09-02,210,213.25,200,205.2,318400
2025-09-03,208.45,211.55,189,194,355200
2025-09-04,196,196,181,181.9,282400
