Date,Open,High,Low,Close,Volume
2015-09-07,30,31,26.65,26.95,7032
2015-09-08,26.25,27.95,25.9,27.1,5486
2015-09-09,27.1,28.85,27.1,27.25,4574
2015-09-10,26.25,27.8,26.25,27.25,541
2015-09-11,27.7,28.75,27.55,28.55,4669
2015-09-14,28,28.8,28,28.6,2172
2015-09-15,27.65,30.95,27.65,28.75,3414
2015-09-16,29.8,29.8,28.35,28.45,4542
2015-09-18,29.7,29.7,28.3,28.6,2309
2015-09-21,28,29.3,27.7,28.35,1196
2015-09-22,28.3,30.9,28.05,29.15,9324
2015-09-23,29,29.8,28.65,29.2,2725
2015-09-24,31,31,28.25,28.4,4338
2015-09-28,28.85,33.7,28.3,32.95,71874
2015-09-29,33.4,36.1,31,34.9,151148
2015-09-30,37.3,38.5,36.2,37.95,236679
2015-10-01,38.45,38.5,36,36.7,44654
2015-10-05,37.5,37.5,34.15,34.4,18953
2015-10-06,35,35,32.25,32.95,21851
2015-10-07,32.75,34.25,32.35,33.65,9539
2015-10-08,35.75,36.2,33.7,35.05,15037
2015-10-09,34.5,37.4,34.15,35.4,24932
2015-10-12,36.45,37.05,35.15,36.25,23452
2015-10-13,36.25,41.45,35.45,39.3,110282
2015-10-14,39.6,42.7,38.45,40.65,70079
2015-10-15,40.65,42,38.55,39.05,77239
2015-10-16,39.5,40,37.4,37.9,30811
2015-10-19,36,42.2,36,41.55,64505
2015-10-20,41.05,43.45,40.55,41.95,74937
2015-10-21,41.7,43.1,40.85,41.45,21126
2015-10-23,41.75,42.35,39.05,39.8,12189
2015-10-26,40.9,40.9,37.7,37.75,13814
2015-10-27,37.5,41.05,37.5,38.95,19783
2015-10-28,38.55,39.7,38.05,38.35,7819
2015-10-29,39.85,39.9,37.7,38.25,8286
2015-10-30,38,38.5,36.85,36.9,7402
2015-11-02,36.6,38.2,34.45,35.65,11924
2015-11-03,37.95,38,36.25,36.55,7393
2015-11-04,36.3,37.7,36.1,36.6,3459
2015-11-05,36.3,37.4,36.25,36.35,5459
2015-11-06,35.75,36.5,34.4,35.2,3349
2015-11-09,35,35.8,32.7,34.75,4007
2015-11-10,35,35.95,33.7,34.85,6916
2015-11-11,34.35,35.95,34.35,35.5,302
2015-11-13,34.9,35,33.35,34.15,4807
2015-11-16,33.9,35.65,32.8,34.25,3098
2015-11-17,34.1,35.55,34.1,34.8,5431
2015-11-18,34.2,35.5,33.7,34.05,4538
2015-11-19,35.8,35.8,34.1,35,7098
2015-11-20,34.25,36.45,34.05,35.6,3118
2015-11-23,34.4,35.65,34.05,34.4,4181
2015-11-24,34.45,36,34.05,35.75,6339
2015-11-26,35.75,40.45,35.75,39.8,52188
2015-11-27,39.8,40.5,38.2,38.9,19247
2015-11-30,39,39.2,37.2,38.15,15587
2015-12-01,38.5,38.6,36.5,37.05,8059
2015-12-02,37.75,38.05,36.8,36.95,9896
2015-12-03,36.6,42.8,36.6,40.5,85977
2015-12-04,40.35,43.45,40.35,41.15,181563
2015-12-07,42,42.6,37.2,38.15,39282
