Date,Open,High,Low,Close,Volume
2015-09-07,174.5,177.85,172.25,173.3,23317
2015-09-08,176,176,171.3,173.2,39990
2015-09-09,173.55,177.5,171.1,172.45,244830
2015-09-10,172,172,168,169,53719
2015-09-11,170,170.05,167,167.95,76353
2015-09-14,167,172.8,166.45,170.2,795694
2015-09-15,170,174.9,169.4,170.15,127696
2015-09-16,172.8,173.15,169.3,170.2,90601
2015-09-18,175,175,162.4,164.2,222718
2015-09-21,167.95,167.95,163.2,164.35,202584
2015-09-22,165.85,165.85,162,162.6,88391
2015-09-23,162,162.25,160,161.3,180412
2015-09-24,159.05,162,158.35,161.1,45262
2015-09-28,160.05,163,158,159.45,104944
2015-09-29,158.85,161.5,151.7,153.85,489456
2015-09-30,153.35,155.5,151.85,154.8,774829
2015-10-01,156,168.05,154.5,159.3,545971
2015-10-05,161.9,163.5,156.6,157.5,1148955
2015-10-06,159.95,164.25,158,160.25,460061
2015-10-07,160.25,163.8,158.55,160.75,79234
2015-10-08,163.8,164.05,161,162.7,190303
2015-10-09,161.7,167.35,161.7,165.75,335414
2015-10-12,169,194.6,167.6,185.15,1305185
2015-10-13,187.8,197,185.15,192.65,768872
2015-10-14,192.4,198.5,186.7,194.95,897768
2015-10-15,197.4,197.4,188.95,190.3,122870
2015-10-16,193,193,186.5,190.15,81231
2015-10-19,193.5,193.5,186,190.55,91521
2015-10-20,189.65,199.95,189.4,194.55,202236
2015-10-21,193,197.75,192.2,195.1,147148
2015-10-23,192.15,196.9,191,191.7,55071
2015-10-26,192,195.5,191,194.35,128772
2015-10-27,194.55,195,186,192.15,471801
2015-10-28,189.15,194.55,187.2,191.5,126445
2015-10-29,189.55,193.8,186,187.4,113440
2015-10-30,186.2,189.9,185.25,187.25,72134
2015-11-02,188.95,189.6,182.2,188.4,67615
2015-11-03,190,191.9,184,187.1,313004
2015-11-04,187.1,189,181.5,183.95,510397
2015-11-05,184,188.7,178.3,179.85,302317
2015-11-06,179,181.65,179,180.6,28503
2015-11-09,179,184.75,177.3,183.95,748993
2015-11-10,182.2,194.4,182.1,191.4,668846
2015-11-11,193.85,193.85,188,192.35,19338
2015-11-13,192.9,192.9,188,189.3,23811
2015-11-16,189,193.5,189,190.3,71909
2015-11-17,191.2,192,186.65,187.35,39463
2015-11-18,189,191.35,185,185.85,25601
2015-11-19,187.95,191.8,187.05,188.3,56772
2015-11-20,188.5,191.85,184.2,186.2,42543
2015-11-23,189.55,189.55,186,186.4,29526
2015-11-24,185,192,185,190.15,39657
2015-11-26,189.95,198,189.95,192.7,175665
2015-11-27,193.05,194.85,190.05,191.6,389042
2015-11-30,192.4,197.5,191.1,194.8,101395
2015-12-01,194.2,199,193.35,194.65,211581
2015-12-02,197.5,204,191.6,196.05,295049
2015-12-03,199.95,199.95,192,195.7,40401
2015-12-04,194,196.7,192,195.3,164304
2015-12-07,193,195.1,192,193,19519
2015-12-08,193,195.3,189,189.6,25761
2015-12-09,188.35,190.4,181.1,183.35,134582
2015-12-10,183.75,185,179.05,184.2,24114
2015-12-11,188,188,182.5,183.25,26046
2015-12-16,186.3,186.3,182.35,184.05,18968
2015-12-17,185.5,187.4,184.55,186.75,17884
2015-12-18,187.05,192.1,183.8,187.7,42221
2015-12-21,188.7,192.9,187.2,190.95,17838
2015-12-22,190.95,194.9,190.95,191.55,18282
2015-12-23,193.9,193.9,190,190.25,13267
2015-12-24,190.3,192.6,189,189.3,14761
2015-12-28,188.55,192,188.45,189.05,15493
2015-12-29,195.85,195.85,188.5,189.7,16123
2015-12-30,188.75,191.95,188.15,188.95,9840
2015-12-31,186.75,191.5,186.75,188.25,40429
2016-01-01,189.3,190.5,188.75,189.95,16613
2016-01-04,189.95,191,186.5,188.9,61656
2016-01-05,188.2,190.9,185.25,185.85,273556
2016-01-06,185.6,188,185.25,185.75,27831
2016-01-07,187.55,187.55,175.55,177.7,50854
2016-01-08,180.05,183,178.15,181.45,57176
2016-01-11,179.1,182.5,177.5,178.95,397962
2016-01-12,181.2,183.7,174.75,175.95,31078
2016-01-13,179,179.8,169,172,138175
2016-01-14,172,180.9,166.15,171.55,54278
2016-01-15,172.25,175,162.35,167.6,38500
2016-01-18,168.8,171.85,163,163.9,144315
2016-01-19,164,166.5,161.8,165,31785
2016-01-20,165,174.9,161.7,166.6,102390
2016-01-21,166.6,171.85,163.3,165.5,94019
2016-01-22,169,170.9,155.2,165.95,386420
2016-01-25,165,166,158.15,164.65,48924
2016-01-27,165,180,164,171.3,186931
