Date,Open,High,Low,Close,Volume
2025-08-05,1015,1104,1015,1082.65,19682593
2025-08-06,1070,1091.15,1026,1065.9,2928924
2025-08-07,1060,1167.8,1042.5,1134.3,1673531
2025-08-08,1150,1224,1071.05,1090.85,3019630
2025-08-11,1094,1122.5,1047.85,1063.55,1064058
2025-08-12,1063,1078.95,1045.55,1061.55,381708
2025-08-13,1065,1085,1051.1,1066.6,346148
2025-08-14,1071,1080,1046.65,1057.05,342055
2025-08-18,1069.9,1098.95,1059,1090.55,420901
2025-08-19,1095.9,1159.2,1093.6,1112.5,774435
2025-08-20,1124.95,1223.75,1086.15,1223.75,1604181
2025-08-21,1275,1320,1187,1288.95,4279584
2025-08-22,1293.35,1385,1267.2,1360.45,1717335
2025-08-25,1354,1354,1292.45,1319.75,727098
2025-08-26,1316.85,1325.95,1261.1,1283,438144
2025-08-28,1283,1285.65,1232,1250.3,316022
2025-08-29,1250.3,1303,1244.9,1264,395742
2025-09-01,1262.7,1262.7,1200.8,1248.2,785420
2025-09-02,1260,1310.6,1257,1310.6,296171
2025-09-03,1322,1376.1,1281.6,1357.7,465965
2025-09-04,1384,1425.5,1361.6,1386.5,613397
