Date,Open,High,Low,Close,Volume
2023-09-07,450,472.5,427.5,472.5,388800
2023-09-08,489.7,496.1,451,496.1,177000
2023-09-11,491,500,474.2,482.5,70200
2023-09-12,482.5,498,458.4,458.4,34800
2023-09-13,450,455,435.5,452.6,35400
2023-09-14,442.05,475.2,442.05,473.15,30000
2023-09-15,480,493.85,475,485.85,31800
2023-09-18,489,489,466.1,466.8,12600
2023-09-20,454,459.95,444.25,454.95,24000
2023-09-21,461.85,461.85,432.2,436,18600
2023-09-22,432,432,400,420.5,25800
2023-09-25,424,495,424,477.35,46800
2023-09-26,468.3,468.3,438,445,9600
2023-09-27,449,470,448,468,8400
2023-09-28,460,466.9,460,466.9,1800
2023-09-29,464.75,471.9,464,471.9,6000
2023-10-03,460,460,450,450,1800
2023-10-04,450,455,440,445,3000
2023-10-05,450,460,450,459,2400
2023-10-06,440.1,445,440,442,3000
2023-10-09,445,445,421,421,6000
2023-10-10,420,487.5,419,439.4,35400
2023-10-11,449.05,460,448,458.1,5400
2023-10-12,469.85,470,465,465,6600
2023-10-13,470,475,461.05,470,6600
2023-10-16,465,469.85,445.05,445.05,4200
2023-10-17,466,466,455,455,1800
2023-10-18,464.95,465,442.25,442.25,2400
2023-10-19,442.25,442.25,435,435,1200
2023-10-20,463.8,463.8,451.05,452,3600
2023-10-23,431.2,435,430,430,5400
2023-10-25,430,432,429,429,3000
2023-10-26,427,427,427,427,600
2023-10-27,423,435,423,435,5400
2023-10-30,450,450,450,450,1200
2023-10-31,480,480,468,472.45,6000
2023-11-01,479.5,479.5,466,466,4200
2023-11-02,460,469.95,453.55,453.55,3000
2023-11-06,468,468,455.1,455.45,4200
2023-11-07,450,450,435,448.8,3000
2023-11-08,439,439,439,439,1200
2023-11-09,454,454.95,444,444,11400
2023-11-10,442,455,442,449.25,6000
2023-11-12,429,430,403,408.25,18600
2023-11-13,420,420,401.5,408.35,15600
2023-11-15,415,441,411.25,435.65,20400
2023-11-16,435.65,439.95,429.75,429.75,5400
2023-11-17,439.7,440,422.5,430,7800
2023-11-20,424,424,415.2,418.75,3000
2023-11-21,341,416.9,341,416.15,15000
2023-11-22,427.5,427.5,425,425,1200
2023-11-23,426.9,426.9,426.9,426.9,600
2023-11-24,425,425,410,410.2,4200
2023-11-28,410,410,395,400.1,24600
2023-11-29,402.05,450,402.05,449.25,27000
2023-11-30,450,468,450,463.95,16800
