Date,Open,High,Low,Close,Volume
2015-09-07,3.15,3.3,3.1,3.3,14644
2015-09-08,3.65,3.95,3.05,3.5,41453
2015-09-09,3.9,3.9,3.8,3.8,1550
2015-09-10,3.65,3.65,3.65,3.65,1
2015-09-11,3.2,3.65,3.15,3.65,1097
2015-09-14,3.45,3.9,3,3.4,16482
2015-09-15,3.75,3.75,3.2,3.5,271
2015-09-16,3.25,3.8,3.2,3.4,13226
2015-09-18,3.25,3.4,3.25,3.4,981
2015-09-22,3.4,3.4,3.4,3.4,231
2015-09-23,3.1,3.4,3.1,3.4,1001
2015-09-24,3.1,3.1,3.1,3.1,200
2015-09-28,3.15,3.15,3.15,3.15,275
2015-09-29,3.15,3.15,3.15,3.15,1268
2015-09-30,3.2,3.2,3.2,3.2,250
2015-10-01,3.1,3.1,3.1,3.1,322
2015-10-05,3.1,3.2,3.1,3.2,18
2015-10-06,3.1,3.1,3.1,3.1,500
2015-10-07,3.3,3.65,3.2,3.25,982
2015-10-08,3.3,3.3,3.3,3.3,1062
2015-10-09,3.3,3.75,3.3,3.7,1001
2015-10-12,3.5,3.75,3.5,3.75,700
2015-10-13,3.5,3.75,3.4,3.75,3852
2015-10-14,3.3,3.7,3.3,3.7,526
2015-10-15,3.35,3.7,3.3,3.6,1800
2015-10-16,3.7,3.7,3.4,3.45,356
2015-10-19,3.55,3.65,3.4,3.4,1900
2015-10-20,3.5,3.9,3.3,3.4,8456
2015-10-21,3.7,3.7,3.25,3.4,1350
2015-10-23,3.5,3.7,3.3,3.55,9403
2015-10-26,3.3,3.75,3.1,3.75,9503
2015-10-27,3.9,3.9,3.35,3.7,1810
2015-10-28,3.9,3.9,3.5,3.5,4582
2015-10-29,3.5,3.5,3.5,3.5,186
2015-10-30,3.5,3.5,3.5,3.5,3980
2015-11-02,3.5,3.7,3.5,3.6,11850
2015-11-03,3.45,3.45,3.45,3.45,519
2015-11-04,3.8,4.1,3.8,4.05,26219
2015-11-05,4.25,4.25,3.65,3.65,4890
2015-11-06,3.65,3.65,3.55,3.55,5839
2015-11-09,3.55,4.1,3.2,4.05,1737
2015-11-10,4.55,4.55,3.55,3.85,4568
2015-11-11,4.4,4.45,3.75,4.4,512
2015-11-13,4.25,4.5,3.75,4,15671
2015-11-16,3.75,4,3.75,3.75,974
2015-11-17,3.75,3.85,3.65,3.75,7437
2015-11-18,3.7,4.3,3.25,3.45,21153
2015-11-19,3.95,4.1,3.8,3.85,17696
2015-11-20,3.85,4.15,3.8,3.8,4957
2015-11-23,3.85,3.85,3.75,3.8,3572
2015-11-24,4.35,4.35,3.75,3.8,4900
2015-11-26,4.2,4.2,3.7,3.7,3780
2015-11-27,3.8,3.8,3.7,3.7,3736
2015-11-30,3.7,3.9,3.65,3.9,3500
2015-12-01,4,4,3.7,3.9,1758
2015-12-02,3.7,4,3.7,3.75,9102
2015-12-03,3.9,3.9,3.75,3.75,5400
2015-12-04,3.75,3.95,3.75,3.95,2540
2015-12-07,4.3,4.3,3.4,4,21802
2015-12-08,3.8,4.05,3.75,4.05,1482
2015-12-09,4,4,3.6,3.65,7199
2015-12-10,3.95,3.95,3.65,3.65,902
2015-12-11,3.65,3.9,3.4,3.9,29842
2015-12-16,3.45,3.85,3.45,3.7,2938
2015-12-17,3.85,3.85,3.6,3.6,1438
2015-12-18,3.45,3.75,3.45,3.55,4361
2015-12-21,3.75,3.9,3.75,3.9,4350
2015-12-22,3.75,4.1,3.7,3.95,1579
2015-12-23,3.85,4.5,3.85,4.2,42523
2015-12-24,4,5,3.85,5,69569
2015-12-28,4.95,5.5,4.75,5.45,117466
2015-12-29,5.75,5.85,5.15,5.25,75574
2015-12-30,5.05,5.3,4.75,4.9,45169
2015-12-31,5,5.3,4.9,5.05,20790
2016-01-01,5.15,5.25,4.85,5.15,5784
2016-01-04,5,5.25,4.75,4.9,19568
2016-01-05,4.75,5.3,4.75,5.1,23250
2016-01-06,4.85,5.25,4.75,4.85,18380
2016-01-07,4.6,4.8,4.4,4.4,15082
