Date,Open,High,Low,Close,Volume
2025-03-24,24.43,24.61,24.43,24.61,89
2025-03-25,25.84,25.84,25.84,25.84,160
2025-03-26,27.13,27.13,27.13,27.13,2
2025-03-27,28.48,28.48,28.48,28.48,2
2025-03-28,29.9,29.9,29.9,29.9,5
2025-04-01,31.39,31.39,31.39,31.39,5
2025-04-02,32.95,32.95,32.95,32.95,24
2025-04-03,34.59,34.59,34.59,34.59,20
2025-04-04,36.31,36.31,36.31,36.31,83
2025-04-08,39.94,39.94,39.94,39.94,2
2025-04-09,43.93,43.93,43.93,43.93,2
2025-04-11,48.32,48.32,48.32,48.32,30
2025-04-15,50.73,50.73,50.73,50.73,1
2025-04-16,53.26,53.26,53.26,53.26,10
2025-04-17,55.92,55.92,55.92,55.92,30
2025-04-21,58.71,58.71,58.71,58.71,2
2025-04-22,61.64,61.64,61.64,61.64,110
2025-04-23,64.72,64.72,64.72,64.72,38
2025-04-24,66.01,66.01,66.01,66.01,2
2025-04-25,67.33,67.33,67.33,67.33,4
2025-04-28,68.67,68.67,68.67,68.67,15
2025-04-29,70.04,70.04,70.04,70.04,7
2025-04-30,71.44,71.44,71.44,71.44,2
2025-05-02,72.86,72.86,72.86,72.86,25
2025-05-05,74.31,74.31,74.31,74.31,151
2025-05-06,75.79,75.79,75.79,75.79,390
2025-05-07,77.3,77.3,77.3,77.3,1915
2025-05-08,78.84,78.84,78.84,78.84,14
2025-05-09,80.41,80.41,80.41,80.41,107
2025-05-12,82.01,82.01,82.01,82.01,236
2025-05-13,83.65,83.65,83.65,83.65,87
2025-05-15,85.32,85.32,85.32,85.32,25
2025-05-16,87.02,87.02,87.02,87.02,2
2025-05-19,88.76,88.76,88.76,88.76,143
2025-05-20,90.53,90.53,90.53,90.53,2
2025-05-21,92.34,92.34,92.34,92.34,83
2025-05-22,94.18,94.18,94.18,94.18,32
2025-05-23,96.06,96.06,96.06,96.06,62
2025-05-26,97.98,97.98,97.98,97.98,94
2025-05-27,99.93,99.93,99.93,99.93,2
2025-05-29,101.92,101.92,101.92,101.92,10
2025-05-30,103.95,103.95,103.95,103.95,5
2025-06-02,106.02,106.02,106.02,106.02,57
2025-06-03,108.14,108.14,108.14,108.14,5
2025-06-04,110.3,110.3,110.3,110.3,5
2025-06-05,112.5,112.5,112.5,112.5,15
2025-06-06,114.75,114.75,114.75,114.75,5
2025-06-09,117.04,117.04,117.04,117.04,19
2025-06-10,119.25,119.38,119.25,119.38,1293
2025-06-11,121.76,121.76,121.76,121.76,150
2025-06-12,124.19,124.19,124.19,124.19,5
2025-06-13,126.67,126.67,126.67,126.67,5
2025-06-16,129.2,129.2,129.2,129.2,5
2025-06-17,131.78,131.78,131.78,131.78,5
2025-06-18,134.41,134.41,134.41,134.41,3
2025-06-19,137.09,137.09,137.09,137.09,2
2025-06-20,139.83,139.83,139.83,139.83,5
2025-06-23,142.62,142.62,142.62,142.62,2
2025-06-24,145.47,145.47,145.47,145.47,5
2025-06-25,148.37,148.37,148.37,148.37,5
2025-06-26,151.33,151.33,151.33,151.33,2
2025-06-27,154.35,154.35,154.35,154.35,2
2025-06-30,157.43,157.43,157.43,157.43,89
2025-07-01,160.57,160.57,160.57,160.57,34
2025-07-02,163.78,163.78,163.78,163.78,14
2025-07-03,167.05,167.05,167.05,167.05,100
2025-07-04,170.39,170.39,170.39,170.39,23
2025-07-07,173.79,173.79,173.79,173.79,2
2025-07-08,177.26,177.26,177.26,177.26,15
2025-07-09,180.8,180.8,180.8,180.8,2
2025-07-10,184.41,184.41,184.41,184.41,5
2025-07-11,188.09,188.09,188.09,188.09,2
2025-07-14,191.85,191.85,191.85,191.85,500
2025-07-15,195.68,195.68,195.68,195.68,8894
2025-07-16,199.59,199.59,199.59,199.59,1
2025-07-17,203.58,203.58,203.58,203.58,951
2025-07-18,207.65,207.65,207.65,207.65,1
2025-07-21,211.8,211.8,211.8,211.8,6
2025-07-22,216.03,216.03,216.03,216.03,1
2025-07-23,220.35,220.35,220.35,220.35,6
2025-07-24,224.75,224.75,224.75,224.75,1
2025-07-25,229.24,229.24,229.24,229.24,1028
2025-07-28,233.82,233.82,233.82,233.82,165
2025-07-29,238.49,238.49,238.49,238.49,15
2025-07-30,243.25,243.25,243.25,243.25,280
2025-07-31,248.11,248.11,248.11,248.11,12
2025-08-01,253.07,253.07,248.11,253.07,4494
2025-08-04,258.13,258.13,258.13,258.13,120
2025-08-05,263.29,263.29,263.29,263.29,1
2025-08-06,268.55,268.55,268.55,268.55,1
2025-08-07,273.92,273.92,273.92,273.92,25
2025-08-08,279.39,279.39,279.35,279.35,6
2025-08-11,284.93,284.93,284.93,284.93,110
2025-08-12,290.62,290.62,290.62,290.62,60
2025-08-13,296.43,296.43,296.43,296.43,1
2025-08-14,302.35,302.35,302.35,302.35,1
2025-08-18,308.39,308.39,308.39,308.39,1
2025-08-19,314.55,314.55,314.55,314.55,1707
2025-08-20,320.84,320.84,320.84,320.84,2826
2025-08-21,327.25,327.25,327.25,327.25,1006
2025-08-22,333.79,333.79,333.79,333.79,3935
2025-08-25,335.11,337,335.11,337,3718
2025-08-26,331,331,330.26,330.26,989
2025-08-28,323.65,323.65,323.65,323.65,536
2025-08-29,317.17,317.17,317.17,317.17,1100
2025-09-01,310.85,310.85,310.85,310.85,16
2025-09-02,304.65,304.65,304.65,304.65,56
2025-09-03,298.55,298.55,298.55,298.55,331
2025-09-04,292.6,292.6,292.6,292.6,26
