Date,Open,High,Low,Close,Volume
2023-07-10,403,427,403,420.6,21041989
2023-07-11,425.25,504.7,420.8,493.2,14891955
2023-07-12,507.5,547,505.6,518.3,7921315
2023-07-13,524.55,537,502,514,3189609
2023-07-14,516.5,522.2,493.55,501.9,1395304
2023-07-17,507.5,532.35,505.1,510.65,2250952
2023-07-18,513.9,517.4,494.55,497.5,821334
2023-07-19,498.95,508,492,504.75,978219
2023-07-20,506.45,513,501.95,508.2,588540
2023-07-21,505.05,508.25,492.95,496.8,548249
2023-07-24,470.15,506.7,450.05,493.95,2061687
2023-07-25,500,500,470,478.7,377215
2023-07-26,478.95,498.4,474.95,495.45,474453
2023-07-27,499,506.95,490.2,503.35,697707
2023-07-28,505.9,531.2,498.55,509.3,1026623
2023-07-31,523.35,523.4,510.6,515.8,474234
2023-08-01,514.8,517,503,512.95,256967
2023-08-02,509,510.7,490,493.9,293450
2023-08-03,493.8,498.45,488,489.8,193486
2023-08-04,493.65,509.05,483.05,504.7,1010093
2023-08-07,509,510,491.3,498.2,463115
2023-08-08,498.2,498.4,490.35,495,366379
2023-08-09,497.95,498,490,491.3,92396
2023-08-10,491,503.65,490,496.75,153840
2023-08-11,503,503,479,487.75,260714
2023-08-14,487,498.4,466.05,494.25,204079
2023-08-16,494.05,502.15,491.8,495.45,124664
2023-08-17,495,513,491.8,507.9,284248
2023-08-18,514.9,518,505,515.4,335915
2023-08-21,519.4,567.9,512.5,554.25,1338130
2023-08-22,562,573,545.25,554.1,594514
2023-08-23,557,577.35,550.25,562.25,502513
2023-08-24,570,576,555,568.6,376212
2023-08-25,562,586.05,561.1,574.5,342786
2023-08-28,580,583,567.1,573.6,181083
2023-08-29,574.9,575.1,553.3,556.7,129667
2023-08-30,557.5,569,548,556.15,242641
2023-08-31,553.1,604,551.4,597.55,740467
2023-09-01,605,630,605,622.4,841413
2023-09-04,626,638.5,616.8,624.6,263233
2023-09-05,624.6,748.9,623.8,718.4,1815180
