Date,Open,High,Low,Close,Volume
2020-10-05,6.1333,6.1333,6.1333,6.1333,12000
2020-11-13,7.36,7.36,7.3333,7.36,39130
2020-11-14,8.83,8.83,8.83,8.83,65500
2020-11-17,10.5267,10.5933,9.8667,10.5933,359230
2020-11-18,11.3333,11.65,9.5367,9.5367,870670
2020-11-19,8.6867,9.6567,8.5833,8.9267,611110
2020-11-20,8.9267,9.1967,8.0733,8.2533,173380
2020-11-23,8.2533,8.3267,7.8433,7.8433,233430
2020-11-24,7.8433,7.8467,7.4533,7.4667,137470
2020-11-25,7.1367,7.84,7.1367,7.84,257550
2020-11-26,8.23,8.23,7.8667,8.2,191790
2020-11-27,8.3667,8.4667,7.79,7.9333,176970
2020-12-01,8.0333,8.33,8.0333,8.2467,86490
2020-12-02,8.14,8.4,7.9333,8.2733,52720
2020-12-03,8.35,8.4667,8.0667,8.4067,87190
2020-12-04,8.5,8.5,8.17,8.32,65910
2020-12-07,8.3667,8.48,8.1933,8.39,67860
2020-12-08,8.63,8.63,8.1333,8.3533,52200
2020-12-09,8.4667,8.4667,8.2,8.3867,31110
2020-12-10,8.4667,8.4667,8.0667,8.2733,34050
2020-12-11,8.46,8.46,8,8.2833,34870
2020-12-14,8.4,8.4667,8.3333,8.4533,77950
2020-12-15,8.4333,8.8733,8.3333,8.8433,7676760
2020-12-16,9,9.2667,8.6667,9.0767,273540
2020-12-17,9.0833,9.3367,8.63,9.0333,364710
2020-12-18,9.2467,9.2467,8.7467,8.86,200580
2020-12-21,8.9333,8.9967,8.42,8.6767,239260
2020-12-22,8.5667,8.9333,8.25,8.66,66600
2020-12-23,8.9933,8.9933,8.6667,8.77,55510
2020-12-24,8.9333,9.1,8.5333,8.7233,99700
2020-12-28,8.9267,8.9333,8.7333,8.8433,31710
2020-12-29,8.8667,9.0333,8.8,8.8833,103360
2020-12-30,8.9333,8.9333,8.67,8.88,243840
2020-12-31,8.9867,8.9867,8.7367,8.85,184350
2021-01-01,8.95,8.9667,8.7033,8.92,177280
2021-01-04,8.9333,9.0933,8.7333,8.8467,206760
2021-01-05,8.7633,8.8667,8.5333,8.6433,263070
2021-01-06,8.6433,8.79,8.4867,8.5433,159990
2021-01-07,8.5133,8.6667,8.3367,8.4933,160320
2021-01-08,8.5,8.7533,8.3333,8.5467,218740
2021-01-11,8.3367,8.68,8.3,8.37,142510
2021-01-12,8.3433,8.5267,7.9533,7.97,333330
2021-01-13,8.0033,8.2833,7.5733,7.5733,465820
2021-01-14,7.8533,7.95,7.3067,7.95,317040
2021-01-15,8.3267,8.3467,7.61,8.33,268800
2021-01-18,8.4667,8.4667,7.9267,7.98,351970
2021-01-19,7.7333,8.1033,7.6367,7.7067,280570
2021-01-20,7.93,7.93,7.4867,7.51,316150
2021-01-21,7.4133,7.7467,7.2633,7.3733,427600
2021-01-22,7.3333,7.51,7.07,7.2333,629230
2021-01-25,7.5867,7.5867,7.1367,7.2667,518800
2021-01-27,7.4667,7.5233,7.1667,7.2933,776050
2021-01-28,7.0633,7.58,7.0633,7.31,907030
2021-01-29,7.5067,7.5333,7.0767,7.1667,1299220
2021-02-01,7.4533,7.4567,7.1533,7.3,460330
2021-02-02,7.3067,7.5333,7.28,7.5033,726640
2021-02-03,7.4067,7.8767,7.37,7.66,654030
2021-02-04,7.9333,8.04,7.6667,8.04,612790
2021-02-05,8.2333,8.8067,8.2333,8.5967,761970
2021-02-08,8.74,9.3267,8.6667,9.12,679060
2021-02-09,9.0967,9.4633,8.81,8.8833,670920
2021-02-10,9.1167,9.1333,8.53,8.9267,575470
2021-02-11,9.1967,9.1967,8.6733,8.7567,640770
2021-02-12,8.8767,9.3267,8.7433,8.9367,701340
2021-02-15,9.0967,9.1867,8.8033,8.92,614520
2021-02-16,8.6667,9.0967,8.6667,8.8833,662490
2021-02-17,8.8367,9.0733,8.6667,8.8133,789750
2021-02-18,9.1367,9.1367,8.7167,8.8267,654550
2021-02-19,8.8333,9.06,8.8067,8.8233,733470
2021-02-22,8.9867,9.0667,8.5333,8.64,781450
2021-02-23,8.9333,9.0933,8.47,8.6,1052860
2021-02-24,8.9,9,8.4667,8.8567,147780
2021-02-25,9.11,9.11,8.4767,8.5867,733150
2021-02-26,8.8433,8.9,8.56,8.68,962310
2021-03-01,8.8167,8.8167,8.6067,8.7033,758830
2021-03-02,8.9267,8.9267,8.5833,8.6833,389050
2021-03-03,8.73,8.7567,8.6367,8.69,385980
2021-03-04,8.7967,8.7967,8.57,8.74,390990
2021-03-05,9.0667,9.3333,8.7433,8.8733,367290
2021-03-08,8.7033,9,8.6367,8.7067,387640
2021-03-09,8.7333,8.8967,8.6833,8.8133,234600
2021-03-10,8.86,8.9533,8.6,8.7033,468460
2021-03-12,8.8067,8.8467,8.6367,8.7967,326920
2021-03-15,8.6167,9,8.6133,8.6933,329820
2021-03-16,8.7233,8.8333,8.6667,8.7133,309180
2021-03-17,8.7967,8.8433,8.62,8.68,318030
2021-03-18,8.7567,8.7767,8.5667,8.6533,284100
2021-03-19,8.69,8.8767,8.5333,8.5833,678240
2021-03-22,8.82,8.86,8.6167,8.6833,270970
2021-03-23,8.73,8.8167,8.6,8.6167,807180
2021-03-24,8.7333,8.84,8.6067,8.6367,237720
2021-03-25,8.73,8.7333,8.58,8.6333,245400
2021-03-26,8.7067,8.78,8.61,8.6333,457800
2021-03-30,8.9433,8.9667,8.6567,8.7333,164260
2021-03-31,8.9067,8.9067,8.61,8.63,228840
2021-04-01,8.6667,8.83,8.63,8.6967,334530
2021-04-05,8.68,8.7867,8.5833,8.66,581100
2021-04-06,8.7433,8.8233,8.6233,8.74,455890
2021-04-07,8.6667,8.7933,8.6,8.76,406260
2021-04-08,8.76,8.7867,8.6533,8.7167,358840
2021-04-09,8.9333,8.9333,8.71,8.7933,360520
2021-04-12,8.9233,8.9233,8.6333,8.6467,474760
2021-04-13,8.9233,8.9233,8.6667,8.7267,457380
2021-04-15,8.73,8.7333,8.6367,8.6567,353790
2021-04-16,8.8367,9.1267,8.6667,9.0067,413050
2021-04-19,8.9,9.1267,8.7267,9.0067,542010
2021-04-20,9.0667,9.3267,8.8767,8.92,768100
2021-04-22,9.05,9.1,8.8233,8.9,238470
2021-04-23,8.79,9.64,8.79,9.3167,185050
2021-04-26,9.39,10.6667,9.39,10.35,790210
2021-04-27,10.7933,11.2133,10.26,11.06,364540
2021-04-28,11.3333,11.59,10.5667,11.1133,179350
2021-04-29,10.7533,11.6633,10.7533,10.9467,212460
2021-04-30,10.9433,11.6667,10.82,11.4667,126780
2021-05-03,11.3333,11.8567,10.7667,11.3667,158070
2021-05-04,11.5633,11.5667,11.1333,11.25,75910
2021-05-05,11.2567,11.3333,10.2667,11.1167,128400
2021-05-06,10.9333,11.5467,10.6667,10.9867,22960
2021-05-07,10.8667,11.0567,10.6133,10.9333,60180
2021-05-10,10.4,10.8667,10.4,10.67,144090
2021-05-11,10.7333,10.8667,10.7333,10.8667,22330
2021-05-12,10.4433,10.8667,10.4433,10.79,25860
2021-05-14,10.4,10.9767,10.4,10.79,39430
2021-05-17,10.8333,10.84,10.2667,10.4833,53880
2021-05-18,10.3333,10.5467,9.96,10.0333,158280
2021-05-19,10.1333,10.23,9.7067,10.12,37390
2021-05-20,9.73,10.4,9.73,10.2767,255450
2021-05-21,10.3233,10.3333,10.0067,10.1333,150030
2021-05-24,10.1333,10.4333,9.8733,10.3233,109750
2021-05-25,10.5333,10.7667,10.14,10.5667,69060
2021-05-26,10.7667,11.0667,10.2,10.8667,105570
2021-05-27,11.1967,11.1967,10.6,11.1,69780
2021-05-28,10.8667,11.3667,10.7667,11.2667,27400
2021-05-31,11.0667,11.7933,10.7333,10.8867,206580
2021-06-01,11.3333,11.3333,10.8667,10.95,170740
2021-06-02,10.9333,11.4967,10.9333,11.4233,91180
2021-06-03,11.0667,11.4233,11,11.2667,166450
2021-06-04,10.8,11.4667,10.8,11.2,146200
2021-06-07,11.0667,11.4667,10.8,11.2,106210
2021-06-08,11.0667,11.4667,11.0667,11.2733,244840
2021-06-09,11.4667,11.7933,11.14,11.2533,230410
2021-06-10,11.1333,11.6667,11.1333,11.3433,211710
2021-06-11,11.5333,11.5333,11.1333,11.29,92200
2021-06-14,11.2,11.5,11.0667,11.2967,156550
2021-06-15,11.1333,11.3667,11.0667,11.3667,64470
2021-06-16,11.3333,11.4667,11.1533,11.2667,156280
2021-06-17,11.3833,11.6933,11,11.2533,159550
2021-06-18,11.6,11.6667,11.1667,11.3467,119790
2021-06-21,11.7833,11.8,11.2,11.4333,101530
2021-06-22,11.1333,12,11.1333,11.92,45100
2021-06-23,12.4,12.5,11.7333,11.9333,75870
2021-06-24,11.7667,12.4633,11.6033,12,32830
2021-06-25,12.2667,12.2667,12,12.0067,58170
2021-06-28,12.46,12.5567,11.8667,12.2867,232440
2021-06-29,11.8,12.4,11.8,12.29,661330
2021-06-30,12.0167,12.24,12.0167,12.1833,102730
2021-07-01,12.5333,12.5333,11.9667,12.2133,83470
2021-07-02,12.6667,12.6667,12.0667,12.18,246910
2021-07-05,12.6,12.6,12.0333,12.0967,68790
2021-07-06,12.1333,12.6,12.0667,12.1067,86760
2021-07-07,12.1333,12.5167,12.0733,12.1867,58510
2021-07-08,12.63,12.63,12.1367,12.39,22170
2021-07-09,12.5867,12.5867,12.1333,12.3967,9180
2021-07-12,12.73,12.73,12.3633,12.3667,15690
2021-07-13,12.6667,12.8333,12.1433,12.3333,83590
2021-07-14,12.5333,12.5333,12.1,12.4,38160
2021-07-15,12.3333,12.53,12.1333,12.1867,116010
2021-07-16,12.3333,12.58,12.15,12.2067,106570
2021-07-19,12.5967,12.5967,12.0667,12.23,63430
2021-07-20,12.3967,12.7,12.11,12.2167,57180
2021-07-22,12.4333,12.4333,12.2,12.22,55590
2021-07-23,12.2,12.4633,12.1333,12.4167,75990
2021-07-26,12.3233,12.43,12.1667,12.37,55050
2021-07-27,12.37,12.4033,12.1667,12.1733,26730
2021-07-28,12.4,12.4667,12.2,12.3433,44920
2021-07-29,12.4,12.4667,12.23,12.3967,60000
2021-07-30,12.33,12.4967,12.1,12.4067,233830
2021-08-02,12.8,12.8,12.1733,12.29,151240
2021-08-03,12.7967,12.7967,12.1733,12.18,101740
2021-08-04,12.3,12.5333,12.1833,12.41,100620
2021-08-05,12.3967,12.5367,12.2,12.3467,346090
2021-08-06,12.3333,12.49,12.1,12.1367,196200
2021-08-09,12.4967,12.4967,12.1,12.1533,370290
2021-08-10,12.8533,12.8533,12.17,12.28,254340
2021-08-11,13.0667,13.0667,12.1533,12.33,149650
2021-08-12,12.63,12.63,12.2667,12.3167,151350
2021-08-13,12.4633,12.4667,12.1867,12.26,1147500
2021-08-16,12.9067,12.9067,12.2133,12.37,121810
2021-08-17,12.4967,12.4967,12.22,12.27,48030
2021-08-18,12.6667,12.6667,12.2067,12.29,114670
2021-08-20,12.4,12.4,12.1,12.1767,45450
2021-08-23,12.9333,12.9333,12.1833,12.2933,151570
2021-08-24,12.4967,12.4967,12.2067,12.28,111900
2021-08-25,12.4967,12.5367,12.2333,12.3767,275920
2021-08-26,12.4967,12.4967,12.2333,12.34,57370
2021-08-27,12.4967,12.8667,12.2533,12.77,194980
2021-08-30,13.1333,13.3167,12.8033,12.96,766810
2021-08-31,13,13.05,12.7,12.8033,311740
2021-09-01,13.0067,13.0667,12.6,12.71,273420
2021-09-02,12.6667,12.9333,12.6333,12.7933,85530
2021-09-03,12.8667,12.9967,12.6833,12.9633,75240
2021-09-06,13,13.1267,12.8433,13.01,53700
2021-09-07,12.97,13.1333,12.95,13.0533,58540
2021-09-08,13.13,13.13,13,13,21630
2021-09-09,13.0633,13.2667,12.6767,13.1867,153760
2021-09-13,13.1333,13.23,13.0667,13.1467,39730
2021-09-14,13.1333,13.2133,13.0833,13.0833,31690
2021-09-15,13.6667,13.6667,12.92,13.0133,132060
2021-09-16,13.6,13.6,12.9233,12.94,68530
2021-09-17,13,13.26,12.8833,13.06,90300
2021-09-20,13.06,13.0933,12.57,12.6733,70800
2021-09-21,13.2167,13.2167,12.7,12.75,22380
2021-09-22,13.1633,13.1633,12.6333,12.7667,146850
2021-09-23,12.9967,12.9967,12.6767,12.7,21240
2021-09-24,12.9933,12.9933,12.6333,12.8,56380
2021-09-27,12.9967,12.9967,12.6833,12.7567,30900
2021-09-28,12.8,12.9433,12.6667,12.7033,27540
2021-09-29,12.9967,12.9967,12.6667,12.7267,19410
2021-09-30,12.9333,12.9333,12.67,12.7333,23880
2021-10-01,13,13,12.5433,12.7133,62370
2021-10-04,12.7333,12.7933,12.6333,12.7333,86310
2021-10-05,12.7167,12.7333,12.6,12.6333,18630
2021-10-06,12.6,12.74,12.6,12.7267,23200
2021-10-07,13.2967,13.2967,12.4133,12.63,67410
2021-10-08,12.9633,12.9633,12.6933,12.6967,2080
2021-10-11,12.6833,12.8,12.6333,12.75,137680
2021-10-12,12.7333,12.7333,12.46,12.6567,114940
2021-10-13,12.7333,12.7333,12.5833,12.6367,25180
2021-10-14,13.0967,13.0967,12.6,12.7567,24430
2021-10-18,12.7167,12.7267,12.5833,12.6667,18280
2021-10-19,13.0967,13.0967,12.6,12.63,23590
2021-10-20,13.2967,13.2967,12.4333,12.6867,46570
2021-10-21,12.7267,12.73,12.6167,12.6567,19710
2021-10-22,13.4667,13.4667,12.55,12.5833,59790
2021-10-25,12.83,12.83,12.6667,12.6967,18420
2021-10-26,13.19,13.19,12.54,12.7333,63430
2021-10-27,13.8967,13.8967,12.6167,12.7133,27160
2021-10-28,12.75,12.76,12.34,12.5733,111390
2021-10-29,13.1667,13.1667,12.44,12.59,136770
2021-11-01,13.2533,13.2533,12.5667,12.71,33030
2021-11-02,13.3333,15.25,12.7967,14.12,1386990
2021-11-03,14.63,14.63,13.1,13.2433,398230
2021-11-04,13.51,13.92,13.51,13.6167,22170
2021-11-08,13.4667,13.58,13.1667,13.22,42370
2021-11-09,13.2,13.3333,13.07,13.18,63610
2021-11-10,13.2,13.59,13.0167,13.1233,39940
2021-11-11,13.5233,13.5233,13.1233,13.2667,30700
2021-11-12,13.2667,13.4667,13.1667,13.2833,60700
2021-11-15,13.3,13.4,13.2667,13.3233,37960
2021-11-16,13.6667,13.6667,13.2167,13.2767,14770
2021-11-17,13.3,13.6,13.2067,13.2567,13920
2021-11-18,13.4367,13.4367,13.1433,13.19,68440
2021-11-22,13.3333,13.3633,13.1333,13.3433,29640
2021-11-23,13.3333,14.0967,13.1333,13.9133,115470
2021-11-24,13.9133,14.5867,13.83,14.1533,237750
2021-11-25,14.2,14.8567,14.0333,14.3367,217590
2021-11-26,14.5933,14.5933,13.54,13.7767,37080
2021-11-29,13.8,14.0967,13.0167,13.5067,78400
2021-11-30,13.8567,13.8567,13.0433,13.2167,77980
2021-12-01,14.5333,14.5333,13.3333,13.7533,49780
2021-12-02,14.16,14.16,13.3567,13.58,289830
2021-12-03,13.9,13.9,13.4,13.5633,36750
2021-12-06,13.9,13.9,13.2667,13.5433,45970
2021-12-07,13.8333,13.8967,13.4833,13.7633,59460
2021-12-08,13.6667,13.8967,13.6,13.6,52590
2021-12-09,13.6667,13.9,13.3333,13.51,196290
2021-12-10,13.6,13.7333,13.1433,13.2433,62410
2021-12-13,13.4667,13.71,13.1433,13.35,42640
2021-12-14,13.3933,13.58,13.1333,13.4367,76740
2021-12-15,13.4667,13.5933,13.3,13.55,34170
2021-12-16,13.4767,13.5333,13.2567,13.4067,111430
2021-12-17,13.4033,13.4667,13.2333,13.4067,49650
2021-12-20,13.34,13.5333,13.0667,13.2067,256330
2021-12-21,13.43,13.43,13.1767,13.2533,154360
2021-12-22,13.43,13.43,13.1367,13.21,105120
2021-12-23,13.3,13.33,13.2167,13.2367,41790
2021-12-24,13.3633,13.3633,13.2,13.2233,26580
2021-12-27,13.3,13.3367,13.0667,13.2567,151740
2021-12-28,13.2667,13.3333,13.1667,13.2567,110730
2021-12-29,13.18,13.33,13.18,13.2667,28900
2021-12-30,13.23,13.2667,13.1733,13.23,56350
2021-12-31,13.6667,13.6667,13.2167,13.2433,35340
2022-01-03,13.2067,13.9867,13.1833,13.9,352840
2022-01-04,14.26,14.2667,14,14.1333,92140
2022-01-05,14.3967,14.3967,13.9533,14.1867,216820
2022-01-06,14.1767,14.3333,14,14.3267,48670
2022-01-07,14.2767,14.4667,14.2,14.3933,261760
2022-01-10,14.4,14.4667,14.1967,14.3333,102450
2022-01-11,14.35,14.35,14.01,14.0567,68290
2022-01-12,14.6,14.6,13.9,13.9367,144760
2022-01-13,14.0267,14.2667,13.94,14.0767,70170
2022-01-14,14,14.1933,14,14.0133,32140
2022-01-17,14.0533,14.3867,13.8733,13.9533,137070
2022-01-18,14,14.0333,13.8833,13.8933,28290
2022-01-19,13.9433,13.95,13.8667,13.8767,21870
2022-01-20,13.9333,14.0333,13.8667,13.8667,19080
2022-01-21,13.8767,13.96,13.81,13.8333,22230
2022-01-24,14.1,14.1967,13.75,13.7933,31210
2022-01-25,13.8,14.1933,13.41,13.7433,761730
2022-01-27,13.6667,14.0467,13.61,13.9267,208350
2022-01-28,14.0667,14.0733,13.4767,13.7867,1686070
2022-01-31,13.5567,14,13.51,13.7133,1014090
2022-02-01,13.6667,14.14,13.6,13.8067,661900
2022-02-02,13.6767,13.9867,13.5933,13.8867,555580
2022-02-03,13.9933,14.0033,13.4467,13.7767,774240
2022-02-04,13.56,14.2,13.3333,13.71,880360
2022-02-07,13.8033,14.0633,13.5767,13.8267,426600
2022-02-08,14.06,14.0967,13.6,13.8333,304420
2022-02-09,13.9333,13.95,13.7333,13.8133,123190
2022-02-10,13.79,13.99,13.7233,13.7867,956160
2022-02-11,13.6467,14.0967,13.6433,13.98,783060
2022-02-14,14.2967,14.2967,13.6,13.68,735960
2022-02-15,13.79,14.53,13.7433,14.1733,128550
2022-02-16,14.6,14.6,14.0867,14.36,113100
2022-02-17,14.2733,14.7267,14.23,14.4833,95950
2022-02-18,14.49,14.5967,14.3367,14.45,213790
2022-02-21,14.2767,16.66,14.2667,15.1033,1222410
2022-02-22,14.3333,15.8667,14.3333,15.4133,278350
2022-02-23,15.4667,15.6667,15.0367,15.09,238230
2022-02-24,14.0667,14.8233,13.8,13.8967,221550
2022-02-25,13.78,15.9967,13.78,15.6067,219270
2022-02-28,15.6667,17.0667,15.2033,16.4233,261420
2022-03-02,16.6667,16.6667,15.71,16.16,174280
2022-03-03,16.0067,16.48,15.4667,15.89,86400
2022-03-04,15.09,16.4667,15.09,16.18,63760
2022-03-07,15.5033,15.7967,14.9333,15.1467,91440
2022-03-08,14.77,15.5767,14.77,15.0067,49020
2022-03-09,14.94,15.25,14.5533,14.9733,19230
2022-03-10,14.8133,15.1933,14.67,14.9067,38010
2022-03-11,14.7667,15.2567,14.4933,14.8367,58930
2022-03-14,14.8367,17.8033,14,17.8033,4643800
2022-03-15,19.93,21.1933,17.6867,17.9,5443830
2022-03-16,18.4867,18.9967,17.55,17.79,2065980
2022-03-17,17.79,18.24,17.07,17.8067,384370
2022-03-21,17.5,20.4467,17.5,18.89,1502520
2022-03-22,18.9333,22.6633,18.3333,21.58,3890220
2022-03-23,21.2667,23.2067,20.5167,22.8933,4232560
2022-03-24,23.2,23.3333,20.9767,21.3,2716860
2022-03-25,21.2667,21.2667,19.2667,20.02,1549510
2022-03-28,20.2,20.8667,19.7,20,983580
2022-03-29,20.5333,21.23,19.6,20,275100
2022-03-30,20.5267,20.5267,19.6833,19.97,83380
2022-03-31,20.4333,21.6,19.75,21.3133,403240
2022-04-01,21.6533,21.6533,20.1067,20.6833,112810
2022-04-04,21.4667,21.6667,20.07,20.61,1264110
2022-04-05,20.6233,21.42,20.4967,20.7867,935400
2022-04-06,20.67,21.1333,20.54,20.6533,196920
