Date,Open,High,Low,Close,Volume
2015-09-07,305.15,308.95,296,302,12324
2015-09-08,309,310,299.05,307.7,9872
2015-09-09,308.95,311,299,302.8,168574
2015-09-10,299,303.15,296.35,299.95,14566
2015-09-11,304.55,307,298,302.35,10992
2015-09-14,300.1,310,299.5,306.15,8109
2015-09-15,311.45,315.8,307,312.95,6473
2015-09-16,316.95,316.95,308.1,315.5,4753
2015-09-18,320.15,368.7,314.25,316.55,10022
2015-09-21,310.05,322.25,310.05,319.25,7581
2015-09-22,321.55,323.8,313,313.7,19938
2015-09-23,310.05,325,310,315.45,8272
2015-09-24,319.85,319.85,314,315.1,1904
2015-09-28,315,319.95,311.6,318.25,6346
2015-09-29,318,319.8,312.1,316.75,4661
2015-09-30,314,327,312.6,323.4,6890
2015-10-01,328.85,328.85,319,323.8,3016
2015-10-05,324.85,325,320.05,323.1,2066
2015-10-06,321.15,324.9,314,319.9,23825
2015-10-07,327.85,327.85,312.8,313.85,15078
2015-10-08,313.55,317.95,310,314.15,24736
2015-10-09,312.35,314.7,307.05,308,37099
2015-10-12,308,312.05,306.85,307.4,15522
2015-10-13,319.95,325.25,305.15,307,148249
2015-10-14,309.5,310.05,307.9,308.35,42132
2015-10-15,309.05,309.5,294,305.5,319628
2015-10-16,310,310,298.05,308.05,67010
2015-10-19,312.5,315,304.05,313.5,15610
2015-10-20,314.65,318.8,309.25,317.6,23287
2015-10-21,317.6,322.45,312,319.75,13334
2015-10-23,320.9,326.5,319,320.65,545872
2015-10-26,323.95,323.95,313.6,321.15,108087
2015-10-27,320.35,323.4,312,321.65,3645
2015-10-28,321.4,324,320,320.4,8389
2015-10-29,323.95,333,321,325.4,19084
2015-10-30,325.25,327.05,321.6,326.8,7243
2015-11-02,321.4,327.9,316.7,322.35,14299
2015-11-03,319.25,330,316.1,317.75,7569
2015-11-04,319.85,321.7,316,316.5,1527
2015-11-05,315.05,318.95,309.45,312.5,10345
2015-11-06,313.55,321.4,306.35,319.35,4719
2015-11-09,303.3,326,303.3,324.95,9193
2015-11-10,339.5,339.5,320,326.65,33840
