Date,Open,High,Low,Close,Volume
2023-09-25,542.95,544.5,527,529.9,4167
2023-09-26,525.05,545,525.05,535.6,5576
2023-09-27,537,539.95,522,528.15,5870
2023-09-28,524.3,543.45,524.3,529.05,9491
2023-09-29,528.7,538.45,521,532.25,5918
2023-10-03,531.9,540,527,529.8,5880
2023-10-04,518.1,539,518.1,526.35,7405
2023-10-05,539,539,520,526.05,5016
2023-10-06,530.5,535,526.1,532.4,5217
2023-10-09,515,525.3,509.3,515.45,9272
2023-10-10,517.3,522.05,514.1,516.75,4084
2023-10-11,509.35,533,509.35,522,5617
2023-10-12,526.2,526.8,515,516.75,3059
2023-10-13,521.1,525.5,501.1,511.1,6411
2023-10-16,520,524.95,505,519.85,6369
2023-10-17,526.35,531.35,514.6,526.35,6833
2023-10-18,533,533.95,515,520.1,4448
2023-10-19,518.9,528,514.8,519.7,4233
2023-10-20,524.65,524.65,505.3,511.4,4235
2023-10-23,510,513.45,481.1,489.65,15943
2023-10-25,497,498,456.1,474.95,15818
2023-10-26,474.45,496.45,457.05,486.2,8112
2023-10-27,494,496.5,479,482.2,5285
2023-10-30,490,495.15,478.95,488.9,6283
2023-10-31,493.8,499.8,487.05,496.25,2964
2023-11-01,503.9,508.55,485,486.8,5435
2023-11-02,494.15,499.45,476.8,484.15,5202
2023-11-03,487.15,494.45,483,486.45,3366
2023-11-06,493.5,502,486.85,500.05,3992
2023-11-07,500,506.9,465.3,480.95,50018
2023-11-08,480.95,481.1,470.1,472.1,9175
2023-11-09,472.1,473.75,462.05,466.1,7910
2023-11-10,466.25,497.95,458.7,474.55,11328
2023-11-12,468,484.95,462.75,469,4856
2023-11-13,471.05,476.45,462.45,465.1,5462
2023-11-15,465.1,472.45,463.55,464.6,4455
2023-11-16,456,471.45,456,459.05,6659
2023-11-17,457,461.35,456,456.3,5451
2023-11-20,464.95,494,446.1,472.25,18273
2023-11-21,473.4,489,471.55,478.2,13638
2023-11-22,470.05,527.4,470.05,518.95,68673
2023-11-23,525,534,510,522.35,24489
2023-11-24,533.95,534.35,524,530.1,22578
2023-11-28,537.7,537.7,516.6,524.8,8855
2023-11-29,530.05,530.05,510.05,522.85,6908
2023-11-30,524.9,529.7,508,520.5,17037
2023-12-01,521.5,555,518.5,542.45,35475
2023-12-04,569,569,515.65,523,15559
2023-12-05,542.8,542.8,503.55,514.3,17879
2023-12-06,508.2,527.45,501.05,522.75,10464
2023-12-07,522.85,535,509.6,512.65,17258
2023-12-08,516.65,517.25,501.5,506.8,7475
2023-12-11,502,511.95,489.05,495.7,16894
2023-12-12,489.1,510.3,489.1,493.65,9798
2023-12-13,489.6,504.95,489.6,491.15,7503
2023-12-14,493.7,498.4,479.4,484.85,16822
2023-12-15,485.05,499,483.05,488.85,11593
2023-12-18,488.8,504,484.85,491.1,13157
2023-12-19,505,557,496.95,516.4,106928
2023-12-20,525,577,525,548.15,202104
2023-12-21,542.7,568.8,540,559.65,41608
2023-12-22,567,567,545.65,549.7,21154
2023-12-26,565,581,545.1,570.2,46570
2023-12-27,570.3,588.3,562.5,568.25,28944
2023-12-28,576.75,576.75,545.75,550.8,23000
2023-12-29,553.6,559.2,533.55,553,21556
2024-01-01,557.2,558.95,541.1,544.75,17537
2024-01-02,549.9,549.9,534.55,540.2,10926
2024-01-03,537.95,547.65,536,536.85,6802
2024-01-04,542.2,542.2,532.5,534.2,12010
2024-01-05,540,557.4,528.55,545.5,22008
2024-01-08,554.85,555.85,532.2,540.5,14618
2024-01-09,562,562,533,535.35,10704
2024-01-10,530,550,530,544.15,10255
2024-01-11,546.85,552.95,537.9,542.15,9496
2024-01-12,544,544.9,525,527.65,36794
2024-01-15,529.95,530.45,514.65,518.15,12783
2024-01-16,518.15,540,509.85,529.95,26085
2024-01-17,521.05,538.95,511.05,527.7,18129
2024-01-18,522.4,530.55,514.6,517.6,10716
2024-01-19,520.2,528.8,511.05,514.55,6964
2024-01-20,517.1,523.9,512.75,520.25,6107
2024-01-23,525,525,505,509.85,5195
2024-01-24,512.4,515.1,504.5,507.2,9345
2024-01-25,509.7,509.7,500,502.7,8449
2024-01-29,514.85,515.1,497.7,508.35,7075
2024-01-30,506.45,513.75,503.05,505,4396
2024-01-31,507.5,520.15,503.95,515,7106
2024-02-01,516.15,522,500.05,502.15,6762
2024-02-02,504.7,509.85,498,500.05,5364
2024-02-05,500.95,504.8,481.6,487.35,15405
2024-02-06,480.6,491.8,458.65,475.3,36896
2024-02-07,465,480.75,460,467.8,20082
2024-02-08,467.8,479.8,460.25,463,11665
2024-02-09,465.3,474.85,452.3,469.4,12997
2024-02-12,478.8,478.8,458.25,460.25,10650
2024-02-13,465,469.45,455.05,465.8,5834
2024-02-14,465.8,480,462.1,473.65,6671
2024-02-15,476,487.7,475.55,484.7,8487
2024-02-16,494.4,501.5,485.45,498.7,12711
2024-02-19,501,523,497,519.5,12932
2024-02-20,515.5,528.75,511.05,526.1,13308
2024-02-21,531,531,505.05,511.4,9697
2024-02-22,515.5,570,515.5,551.8,137604
2024-02-23,555,566.25,542.35,561.05,46230
2024-02-26,547,561.05,541.45,545.6,15188
2024-02-27,545.6,555,542.55,548.75,9369
2024-02-28,550,554.8,531,537.75,11932
2024-02-29,532.4,549.9,522.6,545.4,14459
2024-03-01,549.95,623.4,548.4,606.65,281935
2024-03-02,620,630,600,603.95,20926
2024-03-04,610,610,574,580.4,37329
2024-03-05,586.2,586.2,566.15,572.2,13512
2024-03-06,566.5,577.8,542.65,554.75,44071
2024-03-07,557.5,564.85,546.15,550.65,17477
2024-03-11,560,560,533.05,540.9,13374
2024-03-12,537.45,549.4,530.55,538.75,20689
2024-03-13,541.4,541.4,503.2,507.85,32504
2024-03-14,502.05,536.25,502.05,518,15855
2024-03-15,513,559.95,513,533.45,28606
2024-03-18,530.15,541.05,519.4,531.85,8806
2024-03-19,526.5,537.35,518.25,534.5,4785
2024-03-20,537,537.2,518.8,524.6,6821
2024-03-21,527.2,539.55,515,521.9,6802
2024-03-22,513,547.95,513,529.05,66786
2024-03-26,530,532.55,512,515.45,25368
2024-03-27,517.45,538,515.2,522.9,11045
2024-03-28,525.3,529,496.1,506.85,34302
2024-04-01,509.4,525.55,508.3,520.45,14215
2024-04-02,516,520.2,514,518.7,7541
2024-04-03,523.9,525,514.6,518,7700
2024-04-04,525.5,558.35,519.25,549.75,41191
2024-04-05,555.25,590,546,587.2,49586
2024-04-08,594,597.95,563.75,583.9,40837
2024-04-09,589,589,564.45,571.15,28053
2024-04-10,573,581.45,562,567.2,18901
2024-04-12,561.55,583.95,557.8,571.25,20206
2024-04-15,570,570,550.15,558.15,14099
2024-04-16,553.95,560.95,546.5,558.8,10909
2024-04-18,567.2,571.95,553,557.05,8517
2024-04-19,545,585.85,541.25,579.6,24320
2024-04-22,582,589.8,562.05,583.15,15891
2024-04-23,585,585,570,572.95,8456
2024-04-24,581.55,598.85,567.55,591.1,23676
2024-04-25,594,596.95,580,584.35,10730
2024-04-26,593.1,597.3,575,577.15,8271
2024-04-29,576.05,593.45,561.95,564.9,36333
2024-04-30,569.9,585,560.55,569.3,33048
2024-05-02,577,582.9,550.5,556.1,24996
2024-05-03,556.15,567.15,542,546.6,9231
2024-05-06,549,560.8,531,551,17291
2024-05-07,552,561.95,537.1,545.05,14057
2024-05-08,545.05,556.95,539.1,552.75,10634
2024-05-09,555,555,536,538.85,6129
2024-05-10,540.65,540.65,530,537.75,7661
2024-05-13,535,553.1,531.05,544.6,10252
2024-05-14,544.6,555.45,536,548.45,6371
2024-05-15,544.85,560,541.15,556.95,10280
2024-05-16,551.4,555.5,538,539.7,9227
2024-05-17,542.4,559.35,542.4,556.85,9074
2024-05-18,546.75,567.9,546.75,563.95,3691
2024-05-21,571,578,558.1,573.3,18541
2024-05-22,575,582.2,551,566.95,18243
2024-05-23,560.2,565.15,545,558.35,16590
2024-05-24,561.3,561.3,545,551.15,10360
2024-05-27,539,539,493.6,499.9,84507
2024-05-28,510,519,497.55,504.65,23503
2024-05-29,495.1,514.6,495,496.95,12068
2024-05-30,495,499.5,489,491.8,4108
2024-05-31,490,499.5,480.6,484.65,9009
2024-06-03,490,500,474.2,481.65,16959
2024-06-04,481.65,491.3,455,476.95,15933
2024-06-05,471.25,494.9,464.35,485,10209
2024-06-06,498.1,505,485,489,8948
2024-06-07,489,504.7,489,498,8022
2024-06-10,498,512.05,490,499.4,14728
2024-06-11,496,510,496,503.05,4317
2024-06-12,500.1,558.7,500.1,536.9,70771
2024-06-13,539.7,548,533,538.05,13263
2024-06-14,538.05,538.05,525.8,529.35,6921
2024-06-18,529.65,535.6,504,512.95,14722
2024-06-19,518.1,529.8,500.55,505.6,12071
2024-06-20,505.6,529.4,501.05,515.6,17531
2024-06-21,515.7,526.7,510,517.15,18166
2024-06-24,517.15,519.05,508,510.85,6290
2024-06-25,513.8,513.8,505.1,507.8,7533
2024-06-26,506,512.8,500,504.45,5839
2024-06-27,506,536.8,505.95,515.2,18712
2024-06-28,521.95,534,515.1,527.8,9999
2024-07-01,525,537,518,528,14952
2024-07-02,540,614,529.05,577.85,190075
2024-07-03,587.8,693.4,571.35,655,602486
2024-07-04,647.75,655,601.4,607.9,98410
2024-07-05,614.8,672,614.7,657.6,77903
2024-07-08,662,672,612,640.1,25566
2024-07-09,645,680,635.75,670.2,69215
2024-07-10,673.45,691.65,600,636.6,81388
2024-07-11,644.85,665,618,622.6,39586
2024-07-12,627.05,635.9,600.6,605.8,25076
2024-07-15,605.8,628.95,587.05,593.3,76399
2024-07-16,593.3,606.55,589.6,594.15,33699
2024-07-18,593.75,605.95,586.25,590.4,13579
2024-07-19,584.5,590.3,565,567.7,34743
2024-07-22,570,588.9,561,576.9,18772
2024-07-23,576.9,582.05,553,571.2,20373
2024-07-24,571.15,621,566.25,597.6,76638
2024-07-25,606,640,587.25,633.7,64308
2024-07-26,635,645.25,632.95,635.6,19321
2024-07-29,640,640,588.05,597.75,74904
2024-07-30,606.7,610,584.7,597.65,36738
2024-07-31,600.75,630.65,590,611.85,37633
2024-08-01,621.15,621.15,587.95,588.8,34192
2024-08-02,580,602.75,579,581,19515
2024-08-05,581,581,560.6,574.2,20430
2024-08-06,580,592.9,569.25,576.9,21911
2024-08-07,579,595.45,561.05,579.55,36437
2024-08-08,570.85,578,556.05,559.4,27998
2024-08-09,565.6,586.35,531,570.85,158152
2024-08-12,560.05,560.95,545.25,550.7,22739
2024-08-13,548,552.4,535.05,538.9,16043
2024-08-14,542.2,547.05,535,541.25,8236
2024-08-16,545,550,531,543.7,15096
2024-08-19,540,566.95,540,546.45,9571
2024-08-20,553,576.5,553,567.95,16090
2024-08-21,574.8,624,568,593.95,89846
2024-08-22,590,608,580.95,582.75,13586
2024-08-23,591.5,591.5,569.55,580.3,36855
2024-08-26,589.95,590.2,563.2,578.55,20947
2024-08-27,578.55,595,561.1,565.75,12802
2024-08-28,565.75,578,552.1,554.7,13755
2024-08-29,554.7,562.75,540,549.7,14385
2024-08-30,552.7,574.1,552.7,568.05,13783
2024-09-02,570.2,572.9,551,553.8,6449
2024-09-03,559.8,579.8,558,562.65,10301
2024-09-04,574.8,585,557.55,558.9,14430
2024-09-05,568.1,579.45,552,560.9,8070
2024-09-06,555.1,569.8,552,554.35,7739
2024-09-09,546,573.8,546,558.5,10557
2024-09-10,556.05,562.85,550.35,556.95,5774
2024-09-11,560.6,563.45,555.15,557.2,5351
2024-09-12,567.5,567.5,548.7,553.85,7556
2024-09-13,559.85,559.85,552.75,556.25,3736
2024-09-16,564.95,564.95,549,550.4,9119
2024-09-17,555.95,556.4,540,540.85,8034
2024-09-18,540.85,552.45,533.55,550.95,11433
2024-09-19,554.85,559,535.55,540.85,6515
2024-09-20,540.85,560.45,540.85,549.3,7606
2024-09-23,549.3,572,549.3,563.4,12089
2024-09-24,567.05,573,550,567.25,10545
2024-09-25,579.8,582.9,561.6,562.3,8246
