Date,Open,High,Low,Close,Volume
2025-06-11,245,257.25,232.75,232.75,2752430
2025-06-12,223,230.7,221.11,224.95,5284175
2025-06-13,216,236,214,232.83,1732397
2025-06-16,231,240,227.05,237.72,560911
2025-06-17,239,243,229,232.21,280325
2025-06-18,232,232.21,222.65,226.49,546189
2025-06-19,226.2,231.4,218.55,225.49,249929
2025-06-20,221,225.49,214.21,217.97,488269
2025-06-23,215,228.86,213.85,228.85,1604801
2025-06-24,234,238,224.01,225.98,688155
2025-06-25,228.5,228.5,209.99,218.49,832609
2025-06-26,218,224.25,211,215.06,557157
2025-06-27,207.59,215.34,199,201.85,1511275
2025-06-30,201.85,202.85,186.57,196.13,1345677
2025-07-01,199.9,202,192.32,193.95,749087
2025-07-02,194,227,191,218.15,3675313
2025-07-03,216,223.58,210.25,213.53,1293567
2025-07-04,215.99,226.9,215.66,223.72,1346210
2025-07-07,226.9,233,218.35,228.5,1239439
2025-07-08,229.5,235.4,225.22,232.94,1093081
2025-07-09,236,238,221.01,225.1,1025600
2025-07-10,225.92,227.49,219.05,220.28,447795
2025-07-11,218.21,227,216.25,217.48,723995
2025-07-14,218.7,234,216.66,229.76,1300148
2025-07-15,231.7,235.01,229.02,233.3,798402
2025-07-16,238,260.78,235.63,249.44,6756699
2025-07-17,252.4,256.9,247.7,249.78,1088135
2025-07-18,250.75,253.13,240.8,249.03,692172
2025-07-21,254,278,251.3,255.97,5868059
2025-07-22,258.5,278,256.81,267.99,3739289
2025-07-23,277.69,279.69,261,267.4,1211107
2025-07-24,268,268,255.5,256.47,737434
2025-07-25,255.05,257.89,245.36,250.24,1048836
2025-07-28,249.92,252.99,236.5,238.22,802318
2025-07-29,242.9,246.99,235.82,244.59,644399
2025-07-30,244.35,245.05,236.78,237.26,290163
2025-07-31,232,241.9,230.1,232.59,541852
2025-08-01,236,236,218.04,222.73,568309
2025-08-04,220.2,222.25,213.22,215.23,795843
2025-08-05,216.39,218,207.91,210.11,724636
2025-08-06,209,210.03,201.96,206.1,477630
2025-08-07,206,214.02,204.61,211.87,579801
2025-08-08,211.87,213.64,201,202.86,339812
2025-08-11,203.99,206.99,196.76,197.64,415661
2025-08-12,200.99,203.36,196,199.64,434669
2025-08-13,201.19,207.78,199.15,205.49,312465
2025-08-14,205.4,210.69,202.4,208.25,375066
2025-08-18,211.51,216.59,205.1,213.2,472280
2025-08-19,214.29,218,212.5,216.64,198232
2025-08-20,217.99,219,210.27,211.36,263305
2025-08-21,213,216.45,210,212.15,237050
2025-08-22,212,215,205.2,206.73,224836
2025-08-25,208.84,210,204.42,206.44,193206
2025-08-26,207.6,209.69,201,201.68,263465
2025-08-28,202.95,206.64,199.67,202.78,122879
2025-08-29,202.3,205.45,200.05,200.83,128006
2025-09-01,201.01,207.7,200.83,206.51,157493
2025-09-02,205.2,209.5,201,202.04,224580
2025-09-03,203.9,206,201.3,201.75,150535
2025-09-04,204,205.05,197.9,198.38,173906
