Date,Open,High,Low,Close,Volume
2025-03-24,90,90,85.5,85.5,188800
2025-03-25,81.25,81.25,81.25,81.25,3200
2025-03-26,77.2,77.2,77.2,77.2,6400
2025-03-27,73.35,73.35,73.35,73.35,1600
2025-03-28,69.7,69.7,69.7,69.7,4800
2025-04-01,66.25,66.25,66.25,66.25,1600
2025-04-02,62.95,62.95,62.95,62.95,6400
2025-04-03,59.8,59.8,59.8,59.8,1600
2025-04-04,56.85,56.85,56.85,56.85,3200
2025-04-07,54,54,54,54,1600
2025-04-08,48.6,48.6,48.6,48.6,8000
2025-04-09,43.75,50.05,43.75,45.9,963200
2025-04-11,44.3,48.85,44.3,47.3,97600
2025-04-15,47.3,52,47.3,52,102400
2025-04-16,53.3,57.2,53.3,57.2,187200
2025-04-17,60.5,60.5,53.75,57,137600
2025-04-21,56.8,56.8,52.1,54.4,276800
2025-04-22,53,56.25,52.5,55.6,174400
2025-04-23,55.6,55.6,51,51.5,129600
2025-04-24,50.95,54.05,50.95,53.45,62400
2025-04-25,52.35,55.9,51.2,54,48000
2025-04-28,51.9,52,51.4,51.6,14400
2025-04-29,51.6,53.5,50.1,53.5,17600
2025-04-30,52,52,50.85,50.85,11200
2025-05-05,48.3,53,48.3,52.5,52800
2025-05-06,52.05,52.05,49.9,49.9,19200
2025-05-07,47.4,49.9,47.4,47.45,16000
2025-05-08,45.1,47.45,45.1,45.5,12800
2025-05-09,43.25,47.5,43.25,45.65,22400
2025-05-12,45.65,47.5,45.65,46.7,12800
2025-05-13,45.8,45.8,44.75,44.75,8000
2025-05-14,45.5,45.5,44,44.4,14400
2025-05-15,44.4,44.4,44,44.15,12800
2025-05-16,44.15,45,44.15,44.9,6400
2025-05-19,44.9,44.9,43,44,20800
2025-05-20,43,45.8,43,44.7,22400
2025-05-21,44,44.65,44,44.65,6400
2025-05-22,44.65,44.65,44.25,44.25,3200
2025-05-23,44.65,44.65,43,44,17600
2025-05-26,44,45.35,44,45.3,14400
2025-05-27,45.2,46.35,43.5,45.05,16000
2025-05-28,44.95,47.3,44.95,46.8,27200
2025-05-29,45.35,49.1,45,49.1,49600
2025-05-30,49.1,51.55,49.1,51.55,27200
2025-06-02,50.15,54.1,50.15,54.1,32000
2025-06-03,54,55.15,54,54.9,19200
2025-06-04,55,55,54.65,54.65,9600
2025-06-05,54.5,54.5,54.15,54.15,9600
2025-06-06,54.15,54.15,54.15,54.15,1600
2025-06-09,54,54,53.6,54,19200
2025-06-10,54.5,55,54.2,55,16000
2025-06-11,54.7,54.7,54.5,54.5,9600
2025-06-12,54.75,54.75,54.7,54.75,9600
2025-06-13,54.5,54.5,54.3,54.3,4800
2025-06-16,54.25,54.25,53.25,53.75,17600
2025-06-17,53.25,53.8,53.25,53.3,32000
2025-06-18,53.4,53.4,53.2,53.2,6400
2025-06-19,53.2,53.2,52.15,52.15,20800
2025-06-23,52.15,52.15,52.15,52.15,1600
2025-06-24,52.15,52.15,51.1,51.1,4800
2025-06-25,51.1,51.4,50.1,51.2,12800
2025-06-26,52,52,51.75,51.75,3200
2025-06-27,52,52,51.6,51.6,4800
2025-06-30,51,52.5,51,52.5,22400
2025-07-01,52.3,53.5,52.3,53.5,11200
2025-07-02,53.5,54,53.5,54,12800
2025-07-03,54.5,54.9,54.5,54.5,16000
2025-07-04,54.9,55.4,54.9,55.4,4800
2025-07-07,54,57.15,53.8,57.15,12800
2025-07-08,56.15,57.5,56,57.5,22400
2025-07-09,57.5,57.5,56.3,56.9,9600
2025-07-10,57,57.7,54.7,56.85,25600
2025-07-11,57,57,55,56,27200
2025-07-14,56,58.4,54.1,56.8,35200
2025-07-15,58.1,58.1,57,58,4800
2025-07-16,56.5,58,55.1,58,30400
2025-07-17,55.55,58.5,55.3,57.2,40000
2025-07-18,55,58.75,55,58.5,11200
2025-07-21,58.1,58.5,58,58.5,6400
2025-07-22,57.5,61.2,57.25,60.05,24000
2025-07-23,60,63.05,59.65,63.05,41600
2025-07-24,66,66.2,64,64.5,14400
2025-07-25,64.9,65,61.75,62.85,11200
2025-07-28,62.85,69.1,58.7,67.65,44800
2025-07-29,67,70.4,67,70.35,32000
2025-07-30,71,73,71,72.95,8000
2025-07-31,71,71.45,66.5,71.4,22400
2025-08-01,71.55,71.55,68.5,68.5,4800
2025-08-04,67.85,68.45,62.1,64.7,121600
2025-08-05,63,63,60.5,62,9600
2025-08-06,61.5,62.3,61.5,62.3,36800
2025-08-07,61.55,63,60.5,62.9,14400
2025-08-08,63.3,69.15,63.3,69,40000
2025-08-11,72.85,75.9,72.6,75.1,83200
2025-08-12,73.6,79.95,73.25,78.1,49600
2025-08-13,78.2,80,78.2,79.55,28800
2025-08-14,79.1,79.2,77,77.45,16000
2025-08-18,80,81.25,79.4,81.2,27200
2025-08-19,83.5,85.2,80,85,41600
2025-08-20,81.5,85,81.5,83.55,57600
2025-08-21,83.65,86.9,81.85,86.05,56000
2025-08-22,86.9,88.5,85,88.1,33600
2025-08-25,87.5,90.1,86,90.1,65600
2025-08-26,86.1,89.6,85.9,86.05,24000
2025-08-28,83,85,81.75,83.4,20800
2025-08-29,80.5,87.55,80.5,86.85,62400
2025-09-01,88,90,87.5,88.45,59200
2025-09-02,88.85,90.2,86.5,89.7,73600
2025-09-03,87.9,90,86.5,89.45,40000
2025-09-04,89.4,90,89,89.75,56000
